   caturthaḥ paricchedaḥ	caturTaH paricCedaH
   atha kāvyabhedamāha--	aTa kAvya-Bedam-Aha--
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
         (lo, a) evaṃ kāvyasya svarūpamuktvā viśeṣaṃ	(lo, a) evam kAvyasya svarUpam-uktvA viSezam
   nirūpayitumavatārayati--atheti---bhidyate aneneti bhedaḥ /	nirUpayitum-avatArayati--aTa-iti---Bidyate anena-iti BedaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   kāvyaṃ dhvanirguṇībhūtavyaṅgyaṃ ceti dvidhā matam /	kAvyam DvaniH-guNIBUta-vyaFgyam ca-iti dviDA matam /
   tatra---	tatra---
   vācyātiśayini vyaṅgye dhvanistatkāvyamuttamam // VisSd_4.1 //	vAcya-atiSayini vyaFgye DvaniH-tad-kAvyam-uttamam // VisSd-_4.1 //
   vācyādadhikacamatkāriṇi vyaṅgyārthe dhvanyate 'sminniti vyutpattyā	vAcyAt-aDika-camat-kAriNi vyaFgya-arTe Dvanyate asmin=-iti vyutpattyA
   dhvanirnāmottamaṃ kāvyam /	DvaniH-nAma-uttamam kAvyam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ka) kāvyalakṣaṇe kṛte tadeva kāvyaṃ	(vi, ka) kAvya-lakzaNe kRte tat-eva kAvyam
   katividhamityākāṅkṣāyāmāha---kāvyaṃ dhvanirityādi /	kativiDam-iti-AkAFkzAyAm-Aha----kAvyam DvaniH-ityAdi /
        dhvanyate 'sminniti--dhvanyate vyajyate vyaṅgyārthaḥ śabdādinā asmin	Dvanyate asmin=-iti--Dvanyate vyajyate vyaFgya-arTaH Sabda-AdinA asmin
   kāvye ityarthaḥ /	kAvye iti-arTaH /
        Locanā:	LocanA:
        (lo, ā) vācyeti---vācyādatiśayastātparyāviṣayatvāt /	(lo, A) vAcya-iti---vAcyAt-atiSayaH-tAtparyA-vizaya-tvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   bhedau dhvanerapi dvāvudīritau lakṣaṇābhidhāmūlau /	BedO DvaneH-api dvO=-udIritO lakzaNa-aBiDA-mUlO /
   avivakṣitavācyo 'nyo vivakṣitānyaparavācyaśca // VisSd_4.2 //	avivakzita-vAcyaH anyaH vivakzitAni-aparavAcyaH-ca // VisSd-_4.2 //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        (lo, i) lakṣaṇābhidhā ca mūle kāraṇer'thād vyaṅgyāt vyañjane yayoḥ /	(lo, i) lakzaNa-aBiDA ca mUle kAraNer-aTAt vyaFgyAt vyaQjane yayoH /
        yasya dhvaneḥ vyaṅgyārtharūpopādhilakṣaṇābhidhāmūlatvena	yasya DvaneH vyaFgya-arTa-rUpa-upADi-lakzaNa-aBiDA-mUla-tvena
   dvaividhyapratipādanām tadupādhikasya kāvyasya dvaividhyam /	dvEviDya-pratipAdanAm tad-upADikasya kAvyasya dvEviDyam /
        dhvaniśabdo hyanekārthaḥ, tathā hi dhvanyata iti dhvaniḥ, śabdādigatā	Dvani-SabdaH hi-aneka-arTaH, taTA hi Dvanyate iti DvaniH, Sabda-Adi-gatA
   śaktiḥ /	SaktiH /
        dhvananaṃ dhvaniḥ rasādipratītiḥ /	Dvananam DvaniH rasa-Adi-pratItiH /
        dhvanyate asmin iti dhvaniḥ kāvyam /	Dvanyate asmin iti DvaniH kAvyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   tatrāvivakṣitavācyo nāma lakṣaṇāmūlo dhvaniḥ /	tatra-avivakzita-vAcyaH nAma lakzaNA-mUlaH DvaniH /
   lakṣaṇāmūlatvādevātra vācyamavivakṣitaṃ bādhitasvarūpam /	lakzaNA-mUla-tvAt-eva-atra vAcyam-avivakzitam bADita-svarUpam /
   vivakṣitānyaparavācyastvabhidhāmūlaḥ, ata evātra vācyaṃ vivakṣitam /	vivakzitAni-apara-vAcyaH-tu-aBiDA-mUlaH, atas eva-atra vAcyam vivakzitam /
   anyaparaṃ vyaṅgyaniṣṭham /	anya-param vyaFgya-nizWam /
   atra hi vācyor'thaḥ svarūpaṃ prakāśayanneva vyaṅgyārthasya prakāśakaḥ /	atra hi vAcyor-aTaH sva-rUpam prakASayan=-eva vyaFgya-arTasya prakASakaH /
   yathā---pradīpo ghaṭasya /	yaTA-a----pradIpaH Gawasya /
   abhidhāmūlasya bahuviṣayatayā paścānnirdeśaḥ /	aBiDA-mUlasya bahu-vizaya-tayA paScAt-nirdeSaH /
