   sāṃkhyasaptatiṭīkā jayamaṅgalā //	sAMKya-saptatiwIkA jaya-maFgalAH //
   kārikā 1	kArikA 1
   adhigatatattvālokaṃ lokottaravādinaṃ praṇamya munim /	aDigata-tattva-Alokam lokottara-vAdinam praNamya munim /
   kriyate saptatikāyāṣṭīkā jayamaṅgalā nāma //	kriyate saptatikAya-azwIkA jayamaFgalA nAma //
   prekṣāvanto 'nukte prayojane na kvacitpravartanta iti prayojanamucyate	prekzAvantaH anukte prayojane na kvacid-pravartante iti prayojanam-ucyate
   tattvajñānānmokṣaḥ tattvāni pañcaviṃśatiḥ / tathā coktam -	tattva-jQAnAt-mokzaH tattvAni paQcaviMSatiH / taTA ca-uktam -
   pañcaviṃśatitattvajño yatra kutrāśrame rataḥ /	paQcaviMSati-tattva-jQaH yatra kutra-ASrame rataH /
   jaṭī muṇḍī śikhī vāpi mucyate nātra saṃśayaḥ // iti //	jawI muNxI SiKI vA-api mucyate na-atra saMSayaH // iti //
   teṣu ca ṣaṣṭitantrādikhyāteṣviti / vistaratvāt ṣaṣṭitantrasya	tezu ca zazwi-tantra-Adi-KyAtezu-iti / vistara-tvAt zazwitantrasya
   saṃkṣiptarucisattvānugrahārthaṃ saptatikārambhaḥ / vakṣyati ca	saMkzipta-ruci-sattva-anugraha-arTam saptatika-AramBaH / vakzyati ca
   'etadāryābhiḥ saṃkṣiptam'; iti / mokṣeṇa kiṃ phalamiti cedduḥkhanivṛttiḥ /	aetat-AryABiH saMkziptam-a; iti / mokzeNa kim Palam-iti ced-duHKa-nivRttiH /
   atattvajño duḥkhairabhihanyamānassaṃsarannāste / tattvajñānāttu	atattva-jQaH duHKEH-aBihanyamAna-ssaMsaran=-Aste / tattva-jQAnAt-tu
   kaivalyamāpnoti, na duḥkhairabhihanyate / hanyamānena ko heturjijñāsitavya	kEvalyam-Apnoti, na duHKEH-aBihanyate / hanyamAnena kaH hetuH-jijQAsitavya
   ityatrāha-	iti-atra-Aha-
   duḥkhatrayābhighātājjijñāsā tadavaghātake hetau /	duHKa-traya-aBiGAtAt-jijQAsA tad-avaGAtake hetO /
   dṛṣṭe sāpārthā cennaikāntātyantato 'bhāvāt // ISk_1 //	dRzwe sA-apArTA ced-na-ekAnta-atyantataH aBAvAt // ISc-_1 //
   'duḥkhatrayābhighātājjijñāsā'; ityādi / duḥkhānāṃ trayaṃ duḥkhatrayam /	aduHKa-traya-aBiGAtAt-jijQAsA-a; ityAdi / duHKAnAm trayam duHKa-trayam /
   ādhyātmikam, ādhibhautikam, ādhidaivikaṃ ceti / ātmanyadhyātmam, tatra	ADyAtmikam, ADiBOtikam, ADidEvikam ca-iti / Atmani-aDyAtmam, tatra
   yadbhavati tadādhyātmikam / śārīraṃ mānasaṃ ceti / tatra	yat-Bavati tad-ADyAtmikam / SArIram mAnasam ca-iti / tatra
   vātapittaśleṣmaṇāṃ vaiṣamyeṇa jvarādiduḥkham, taccharīre bhavatīti śārīram	vAta-pitta-SlezmaNAm vEzamyeNa jvara-Adi-duHKam, tat-SarIre Bavati-iti SArIram
