   akrodhādyāś ca niyamāḥ SUp_7.101c	akroDa-AdyAH ca niyamAH SUp_7.101c
   akrodho guruśuśrūṣā SUp_7.100c	akroDaH guru-SuSrUzA SUp_7.100c
   akṣayaṃ phalam āpnuyāt SUp_6.126d	akzayam Palam ApnuyAt SUp_6.126d
   agnikāryaṃ prakurvīta SUp_2.24a	agni-kAryam prakurvIta SUp_2.24a
   agnirūpeṇa rudreṇa SUp_5.2a	agni-rUpeNa rudreNa SUp_5.2a
   agniṃ prajvālya homayet SUp_4.49b	agnim prajvAlya homayet SUp_4.49b
   agniṃ yugapad ānīya SUp_7.71a	agnim yugapad AnIya SUp_7.71a
   agnau ca vividhāṃ siddhiṃ SUp_7.73c	agnO ca viviDAm sidDim SUp_7.73c
   agrārṣasavitur vyoma SUp_4.18a	agrArzasavituH vyoma SUp_4.18a
   aṅgulīyākṣasūtraṃ ca SUp_7.44c	aFgulIyAkzasUtram ca SUp_7.44c
   aṅguṣṭhatalamūle ca SUp_5.45a	aFguzWa-tala-mUle ca SUp_5.45a
   ajasraṃ kṣarate tathā SUp_6.164b	ajasram kzarate taTA SUp_6.164b
   ajām ekāṃ supuṣṭāṅgīṃ SUp_6.200c	ajAm ekAm su-puzwa-aFgIm SUp_6.200c
   ajñānapaṅkanirmagnaṃ SUp_7.41a	ajQAna-paFka-nirmagnam SUp_7.41a
   atyucchritāṃ suvistīrṇāṃ SUp_6.119c	ati-ucCritAm su-vistIrNAm SUp_6.119c
   atha pūrvasthito liṅge SUp_2.1a	aTa pUrva-sTitaH liFge SUp_2.1a
   atha bhaktyā śivaṃ pūjya SUp_6.1a	aTa BaktyA Sivam pUjya SUp_6.1a
   atha svargāpavargārthe SUp_7.1a	aTa svarga-apavarga-arTe SUp_7.1a
   athāgneyaṃ mahāsnānam SUp_5.1a	aTa-Agneyam mahA-snAnam SUp_5.1a
   athānyair alpavittaiś ca SUp_3.1a	aTa-anyEH alpa-vittEH ca SUp_3.1a
   athaikabhinnāvicchinnaṃ SUp_4.1a	aTa-eka-Binna-avicCinnam SUp_4.1a
   aduṣṭaṃ gurave naraḥ SUp_6.204b	aduzwam gurave naraH SUp_6.204b
   adharottarabhāgena SUp_6.149c	aDara-uttara-BAgena SUp_6.149c
   adhikṣiptas tiraskṛta SUp_5.39b	aDikziptaH tiraskRta SUp_5.39b
   adhīyītājñayā guroḥ SUp_7.25d	aDIyIta-AjQayA guroH SUp_7.25d
   adhenuṃ dhenum ity eva SUp_7.81a	aDenum Denum iti eva SUp_7.81a
   adhobhāge sthitaḥ skandaḥ SUp_2.5a	aDoBAge sTitaH skandaH SUp_2.5a
   adhyāyaiḥ saptabhiḥ smṛtam SUp_7.140b	aDyAyEH saptaBiH smRtam SUp_7.140b
   adhruve jīvite sati SUp_7.59b	aDruve jIvite sati SUp_7.59b
   anārogyaṃ prajāyate SUp_5.16b	anArogyam prajAyate SUp_5.16b
   anivedya na bhuñjīta SUp_7.24a	anivedya na BuQjIta SUp_7.24a
   aniṣiddhaṃ ca bhojanam SUp_2.28d	anizidDam ca Bojanam SUp_2.28d
   anujñātaś ca guruṇā SUp_7.17c	anujQAtaH ca guruNA SUp_7.17c
   anekadoṣaduṣṭasya SUp_7.123a	aneka-doza-duzwasya SUp_7.123a
   anekaśikharākīrṇam SUp_6.106c	aneka-SiKara-AkIrNam SUp_6.106c
   anekākārasaṃsthitām SUp_7.127b	aneka-AkAra-saMsTitAm SUp_7.127b
   anena vai sa dehena SUp_5.27c	anena vE sa dehena SUp_5.27c
   antardhānaṃ vinā guruḥ SUp_7.47b	antarDAnam vinA guruH SUp_7.47b
   ante divi vased bhogais SUp_6.211c	ante divi vaset BogEH SUp_6.211c
   ante nirvāṇam āpnuyāt SUp_6.176d	ante nirvANam ApnuyAt SUp_6.176d
   ante muktim avāpnuyāt SUp_6.128d	ante muktim avApnuyAt SUp_6.128d
   ante muktiṃ ca śāśvatīm SUp_2.22b	ante muktim ca SASvatIm SUp_2.22b
   andhaś ca jāyamānaḥ syād SUp_4.48c	anDaH ca jAyamAnaH syAt SUp_4.48c
   annapānaphalādikam SUp_6.38d	anna-pAna-Pala-Adikam SUp_6.38d
   annapānaviśeṣaiś ca SUp_7.77a	anna-pAna-viSezEH ca SUp_7.77a
   annapānauṣadhīnāṃ ca SUp_6.281c	anna-pAna-ozaDInAm ca SUp_6.281c
   [a]nnasya vā paridhitrayam SUp_5.4b	[a]nnasya vA pariDi-trayam SUp_5.4b
   annārthaṃ homayet kṣīraṃ SUp_4.61a	anna-arTam homayet kzIram SUp_4.61a
   anyatra caiva sarpet tu SUp_7.36c	anyatra ca-eva sarpet tu SUp_7.36c
   anyatra prasthitaḥ kvacit SUp_6.193b	anyatra prasTitaH kvacid SUp_6.193b
   anyathā doṣam āvahet SUp_3.11b	anyaTA dozam Avahet SUp_3.11b
   anyā vṛttā prakartavyā SUp_4.15a	anyA vRttA prakartavyA SUp_4.15a
   anyāsakto na bhuñjāno SUp_7.16a	anya-AsaktaH na BuQjAnaH SUp_7.16a
   anyeṣām evam ādīnāṃ SUp_6.265a	anyezAm evam AdInAm SUp_6.265a
   anyaiś ca munisattamaiḥ SUp_1.7b	anyEH ca muni-sattamEH SUp_1.7b
   anveṣyam api yatnataḥ SUp_6.249b	anvezyam api yatnatas SUp_6.249b
   apanīya samucchiṣṭaṃ SUp_6.220a	apanIya samucCizwam SUp_6.220a
   apavitraṃ bhavet toyaṃ SUp_5.14a	apavitram Bavet toyam SUp_5.14a
   apām asaṃbhave homaṃ SUp_4.63c	apAm asaMBave homam SUp_4.63c
   api kaṇṭakam uddhṛtya SUp_6.281a	api kaNwakam udDRtya SUp_6.281a
   api kāśakuśaṃ sūtraṃ SUp_6.283c	api kASa-kuSam sUtram SUp_6.283c
   api gacched rasātalam SUp_7.29d	api gacCet rasAtalam SUp_7.29d
   api tat kīrtanād yāti SUp_1.22c	api tat kIrtanAt yAti SUp_1.22c
   apidhānaṃ suśobhanam SUp_4.6b	apiDAnam su-SoBanam SUp_4.6b
   api prāṇān parityajet SUp_7.28b	api prANAn parityajet SUp_7.28b
   api māṣakamātrakam SUp_6.102b	api mAzaka-mAtrakam SUp_6.102b
   api yojanamātrāya SUp_6.206a	api yojana-mAtrAya SUp_6.206a
   api yo vittam arthinām SUp_6.254d	api yaH vittam arTinAm SUp_6.254d
   api vatsa vinā karaiḥ SUp_5.42b	api vatsa vinA karEH SUp_5.42b
   api śūdrasya paṅktisthaḥ SUp_5.4c	api SUdrasya paFkti-sTaH SUp_5.4c
   apy ekaṃ divasaṃ bhaktyā SUp_4.24c	api ekam divasam BaktyA SUp_4.24c
   abdān api ca lakṣakam SUp_4.43b	abdAn api ca lakzakam SUp_4.43b
   abhāve kāṣṭhabhasmanā SUp_5.6d	aBAve kAzWa-BasmanA SUp_5.6d
   abhāve na tyajet karma SUp_4.65c	aBAve na tyajet karma SUp_4.65c
   abhāve prāṅmukhaṃ kāryam SUp_4.5c	aBAve prAFmuKam kAryam SUp_4.5c
   abhigacchet pratiṣṭhitam SUp_7.31d	aBigacCet pratizWitam SUp_7.31d
   abhivardhya tataḥ śeṣam SUp_6.160c	aBivarDya tatas Sezam SUp_6.160c
   abhiṣicya janā yasmin SUp_6.129c	aBizicya janAH yasmin SUp_6.129c
   abhyaṅgodvartanaṃ snānam SUp_6.219a	aByaFga-udvartanam snAnam SUp_6.219a
   abhyaṅgodvartanaṃ snānaṃ SUp_7.33a	aByaFga-udvartanam snAnam SUp_7.33a
   abhyarcya puṣpadhūpaiś ca SUp_6.81a	aByarcya puzpa-DUpEH ca SUp_6.81a
   abhyukṣayec chiras tena SUp_5.36c	aByukzayet SiraH tena SUp_5.36c
   amīmāṃsyā hi guravaḥ SUp_7.30c	amImAMsyAH hi guravaH SUp_7.30c
   amedhyāṅgārabhasmāni SUp_7.51c	ameDya-aFgAra-BasmAni SUp_7.51c
   ambakoṭiṃ śive loke SUp_6.30a	amba-kowim Sive loke SUp_6.30a
   ambhasā vāruṇaṃ snānam SUp_5.32c	amBasA vAruNam snAnam SUp_5.32c
