   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   śrīgaṇeśāyanamaḥ /	SrI gaNeSAya namaH /
   śrīlakṣmīnṛsiṃhāya namaḥ /	SrI lakzmI nRsiMhAya namaH /
   śrīdattātreyāya namaḥ /	SrIdattAtreyAya namaH /
   śrīvedavyāsāya namaḥ /	SrI vedavyAsAya namaH /
   śrīhayagrīvāya namaḥ /	SrI hayagrIvAya namaH /
   atha gāruḍe brahmakāṇḍastṛtīya ārabhyate /	aTa gAruxe brahmakANxaH tRtIyaH AraByate /
   oṃ mallānāmaśanirnṛṇāṃ naravaraḥ strīṇāṃ smaro mūrtimān gopānāṃ svajano	om mallAnAm aSaniH nRNAm nara varaH strINAm smaraH mUrtimAn gopAnAm sva janaH 
   'satāṃ kṣitibhṛtāṃ śāstā svapitroḥ śiśuḥ /	asatAm kzitiBRtAm SAstA sva pitroH SiSuH /
   mṛtyurbhojapatervidhātṛvihita stattvaṃ paraṃ yogināṃ vṛṣṇīnāṃ ca patiḥ	mRtyuH BojapateH viDAtR vihita stattvam param yoginAm vRzNInAm ca patiH
   sadaiva śuśubhe raṅge 'cyutaḥ sāgrajaḥ // GarP_3,1.1 //	sadA eva SuSuBe raFge acyutaH sAgrajaH // GarP_3,1.1 //
   namo nārāyaṇāyeti tasmai vai mūlarūpiṇe /	namaH nArAyaNAya iti tasmE vE mUla rUpiNe /
   namaskṛtya pravakṣyāmi nārāyaṇakathāmimām // GarP_3,1.2 //	namaskRtya pravakzyAmi nArAyaNa kaTAm imAm // GarP_3,1.2 //
   śaunakādyā mahātmāno hyṛṣayo brahmavādinaḥ /	SOnaka AdyAH mahAtmAnaH hi RzayaH brahma vAdinaH /
   naimiṣākhye mahāpuṇye tapastepurmahattaram // GarP_3,1.3 //	nEmiza AKye mahA puNye tapaH tepuH mahattaram // GarP_3,1.3 //
   jitendriyā jitāhārāḥ saṃtaḥ satyaparāyaṇāḥ /	jita indriyAH jita AhArAH saMtaH satya parAyaNAH /
   yajantaḥ parayā bhaktyā viṣṇumādyaṃ jagadgurum // GarP_3,1.4 //	yajantaH parayA BaktyA vizNum Adyam jagadgurum // GarP_3,1.4 //
   gṛṇantaḥ paramaṃ brahma jagaccakṣurmahaujasaḥ /	gRNantaH paramam brahma jagaccakzuH mahA ojasaH /
   sarvaśāstrārthatattvajñāstepurnaimiṣa kānane // GarP_3,1.5 //	sarva SAstra arTa tattva jQAH tepuH nEmiza kAnane // GarP_3,1.5 //
   yajñairyajñapatiṃ kecijjñānairjñānātmakaṃ param /	yajQEH yajQa patim kecid jQAnEH jQAna Atmakam param /
   kecitparamayā bhaktyā nārāyaṇamapūjayan // GarP_3,1.6 //	kecid paramayA BaktyA nArAyaNam apUjayan // GarP_3,1.6 //
   ekadā tu mahātmānaḥ samājaṃ cakruruttamāḥ /	ekadA tu mahAtmAnaH samAjam cakruH uttamAH /
