   akarod dharmato rājyaṃ NsP_52.124e	akarot DarmataH rAjyam NsP_52.124e
   akarmiṇo bhāgyavivarjitāś ca NsP_63.24c	akarmiNaH BAgya vivarjitAH ca NsP_63.24c
   akarṣakā harimahisvakarṣakā NsP_42.30c	akarzakA harimahi sva karzakAH NsP_42.30c
   akāryam iha kaḥ kuryāt NsP_12.17c	akAryam iha kaH kuryAt NsP_12.17c
   akāryaṃ neha kurvatām NsP_12.4b	akAryam na iha kurvatAm NsP_12.4b
   akṛte vaiśvadeve tu NsP_58.100a	akRte vESvadeve tu NsP_58.100a
   akṛtyam eva daityādīn NsP_43.29a	akRtyam eva dEtya AdIn NsP_43.29a
   akṛtrimarasam bhaktaṃ NsP_42.21c	akRtrima rasam Baktam NsP_42.21c
   akrītalabhyeṣu sadaiva satsu NsP_62.19b	akrIta laByezu sadA eva satsu NsP_62.19b
   akrūraś ca nṛpātmaja NsP_53.43d	akrUraH ca nRpa Atmaja NsP_53.43d
   akrūrasya vibhūtidam NsP_53.42d	akrUrasya viBUti dam NsP_53.42d
   akrūreṇa ca tau nītau NsP_53.41c	akrUreNa ca tO nItO NsP_53.41c
   akleśataḥ prāpyam idaṃ visṛjya NsP_43.11a	akleSataH prApyam idam visRjya NsP_43.11a
   akṣatā vā kṣatā vāpi NsP_52.32c	akzatA vA kzatAH vA api NsP_52.32c
   akṣamālāṃ japan mantraṃ NsP_33.22a	akzamAlAm japan mantram NsP_33.22a
   akṣarādim asaṃbhavam NsP_16.28b	akzara Adim asaMBavam NsP_16.28b
   akṣasūtram alaṃkāraṃ NsP_25.24c	akza sUtram alaMkAram NsP_25.24c
   agatīnāṃ gatir bhavān NsP_11.49b	agatInAm gatiH BavAn NsP_11.49b
   agastyasya ca dhīmataḥ NsP_6.41d	agastyasya ca DImataH NsP_6.41d
   agastyāya mahāmune NsP_67.12d	agastyAya mahA mune NsP_67.12d
   agastyāśramam uttamam NsP_50.4d	agastya ASramam uttamam NsP_50.4d
   agastye vai diśaṃ prati NsP_67.16b	agastye vE diSam prati NsP_67.16b
   agastyoktaṃ jayapradam NsP_52.99b	agastya uktam jaya pradam NsP_52.99b
   agastyo vai jayapradam NsP_52.98b	agastyaH vE jaya pradam NsP_52.98b
   agnigarbho 'diteḥ putraḥ NsP_19.4c	agnigarBaH aditeH putraH NsP_19.4c
   agnijihvaṃ srucaṃ tuṇḍaṃ NsP_39.12c	agni jihvam srucam tuNxam NsP_39.12c
   agnijvālājvalajjihvāṃ NsP_52.87a	agni jvAlA jvalat jihvAm NsP_52.87a
   agnimārutasaṃbhava NsP_67.14b	agni mAruta saMBava NsP_67.14b
   agniloke sa moditvā NsP_34.8c	agni loke sa mA uditvA NsP_34.8c
   agniś ca pitaraś caiva NsP_5.19c	agniH ca pitaraH ca eva NsP_5.19c
   agniṣṭomādikarmāṇi NsP_64.4a	agnizwoma Adi karmANi NsP_64.4a
   agnihotraparāyaṇaḥ NsP_13.4d	agnihotra parAyaNaH NsP_13.4d
   agnihotrasamo vidhiḥ NsP_58.107d	agnihotra samaH viDiH NsP_58.107d
   agnihotrāgninā dagdhvā NsP_48.127c	agnihotra agninA dagDvA NsP_48.127c
   agnihotrī ca nirvṛtim NsP_30.31d	agnihotrI ca nirvRtim NsP_30.31d
   agniṃ cātmani vai kṛtvā NsP_59.8c	agnim ca Atmani vE kRtvA NsP_59.8c
   agniṃ svātmani saṃsthāpya NsP_60.4c	agnim sva Atmani saMsTApya NsP_60.4c
   agnau kriyāvatāṃ devo NsP_62.5a	agnO kriyAvatAm devaH NsP_62.5a
   agre nijagmus tenaiva NsP_49.52c	agre nijagmuH tena eva NsP_49.52c
   agre vyagramanāḥ sthitvā NsP_10.7c	agre vyagramanAH sTitvA NsP_10.7c
   aghasyānto na vidyate NsP_41.45b	aGasya antaH na vidyate NsP_41.45b
   aṅgadas tūrṇam utthāya NsP_50.87a	aFgadaH tUrNam utTAya NsP_50.87a
   aṅgadaṃ prāha buddhimān NsP_50.82d	aFgadam prAha budDimAn NsP_50.82d
   aṅgadaṃ vinayānvitam NsP_50.26d	aFgadam vinaya anvitam NsP_50.26d
   aṅgadaṃ saṃjñayābravīt NsP_50.63b	aFgadam saMjQayA abravIt NsP_50.63b
   aṅgadādyā ime sarve NsP_52.113a	aFgada AdyAH ime sarve NsP_52.113a
   aṅgado jāmbavāṃś cātha NsP_52.70c	aFgadaH jAmbavAn ca aTa NsP_52.70c
   aṅgam ekaṃ prayaccha vai NsP_49.13d	aFgam ekam prayacCa vE NsP_49.13d
   aṅgārako 'pi śukrasya NsP_31.103a	aFgArakaH api Sukrasya NsP_31.103a
   aṅgirāḥ pulahaḥ kratuḥ NsP_4.2d	aFgirAH pulahaH kratuH NsP_4.2d
   aṅgulīyakam unmucya NsP_50.119c	aFgulIyakam unmucya NsP_50.119c
   aṅguṣṭhakaniṣṭhikābhyāṃ NsP_58.75c	aFguzWa kanizWikAByAm NsP_58.75c
   aṅguṣṭhamātraṃ kecic ca NsP_64.76a	aFguzWa mAtram kecid ca NsP_64.76a
   aṅguṣṭhena pradeśinyā NsP_58.75a	aFguzWena pradeSinyA NsP_58.75a
   acarāni carāṇi ca NsP_4.7b	acarAni carANi ca NsP_4.7b
   acintyam amalaṃ viṣṇuṃ NsP_16.23c	acintyam amalam vizNum NsP_16.23c
   acintyaṃ gandhamādane NsP_65.10d	acintyam ganDamAdane NsP_65.10d
   acintyaḥ stūyate yatra NsP_42.13a	acintyaH stUyate yatra NsP_42.13a
   acintyāya namo nityaṃ NsP_37.14c	acintyAya namaH nityam NsP_37.14c
   acirād eva duṣṭo 'sau NsP_40.27c	acirAt eva duzwaH asO NsP_40.27c
   acirād eva putrāṃs te NsP_6.42e	acirAt eva putrAn te NsP_6.42e
   acirād eva yūyaṃ tāṃ NsP_50.85a	acirAt eva yUyam tAm NsP_50.85a
   acirād rāmabāṇās te NsP_51.24c	acirAt rAma bANAH te NsP_51.24c
   acyutasya prasuptasya NsP_37.5a	acyutasya prasuptasya NsP_37.5a
   acyutasya priyaṃ bhaktaṃ NsP_42.20c	acyutasya priyam Baktam NsP_42.20c
   acyutasya mahātmanaḥ NsP_37.1b	acyutasya mahAtmanaH NsP_37.1b
   acyutaṃ puruṣottamam NsP_7.33b	acyutam puruzottamam NsP_7.33b
   acyutaṃ bhūtabhāvanam NsP_16.19b	acyutam BUta BAvanam NsP_16.19b
   acyutārādhanaṃ guro NsP_7.40d	acyuta ArADanam guro NsP_7.40d
   acyutārcanapūrvakam NsP_35.20b	acyuta arcana pUrvakam NsP_35.20b
   ajaram amaram ekaṃ dhyeyam ādyantaśūnyaṃ NsP_64.124a	ajaram amaram ekam Dyeyam Adi anta SUnyam NsP_64.124a
   ajaṃ vareṇyaṃ janaduḥkhanāśanaṃ NsP_10.10a	ajam vareNyam jana duHKa nASanam NsP_10.10a
   ajaṃ viśokaṃ vimalaṃ viśuddhaṃ NsP_25.72a	ajam viSokam vimalam viSudDam NsP_25.72a
   ajāyata sa viśveśo NsP_45.7c	ajAyata sa viSveSaH NsP_45.7c
   ajitaṃ jñānavardhanam NsP_25.6b	ajitam jQAna varDanam NsP_25.6b
   ajinaṃ daṇḍakāṣṭhaṃ ca NsP_58.22a	ajinam daNxakAzWam ca NsP_58.22a
   ajeyaṃ devadānavaiḥ NsP_40.61d	ajeyam deva dAnavEH NsP_40.61d
   ajaikapād ahirbudhnyaḥ NsP_5.9a	ajEkapAd ahirbuDnyaH NsP_5.9a
   ajñānakṛtapāpānām NsP_50.56a	ajQAna kRta pApAnAm NsP_50.56a
   ajñānāt kṛtapāpasya NsP_13.51c	ajQAnAt kRta pApasya NsP_13.51c
   ajñānād athavādhipatyarabhasā vāsmatparokṣe hṛtā NsP_52.30a	ajQAnAt aTavA ADipatya raBasA vA asmad parokze hRtA NsP_52.30a
   ajñānād apakāriṇam NsP_49.12d	ajQAnAt apakAriNam NsP_49.12d
   ajñānān na pracoditam NsP_33.9b	ajQAnAt na pracoditam NsP_33.9b
   ajñānāṃ vismayāvaham NsP_42.26d	ajQAnAm vismaya Avaham NsP_42.26d
   añjanācalasaṃnibhaḥ NsP_64.107b	aQjana acala saMniBaH NsP_64.107b
   añjanābha hṛṣīkeśa NsP_11.46a	aQjana ABa hRzIkeSa NsP_11.46a
   añjaliṃ prāṅmukhaṃ kṛtvā NsP_51.2a	aQjalim prAFmuKam kRtvA NsP_51.2a
   añjasā svaṃ tathā vīryam NsP_51.5a	aQjasA svam taTA vIryam NsP_51.5a
   aṭan brāhmaṇageheṣu NsP_13.26a	awan brAhmaNa gehezu NsP_13.26a
   aṭituṃ grāmam añjasā NsP_13.25d	awitum grAmam aQjasA NsP_13.25d
   aṇor aṇīyāṃsam avṛddhim akṣayaṃ NsP_10.15c	aNoH aNIyAMsam avRdDim akzayam NsP_10.15c
   ata ūrdhvaṃ ca nirmālyaṃ NsP_28.37a	atas UrDvam ca nirmAlyam NsP_28.37a
   ata ūrdhvaṃ na gantavyaṃ NsP_8.15c	atas UrDvam na gantavyam NsP_8.15c
   ata ūrdhvaṃ pravakṣyāmi NsP_60.1a	atas UrDvam pravakzyAmi NsP_60.1a
   ata eva prasanno 'smi NsP_40.55aba	atas eva prasannaH asmi NsP_40.55aba
   atarkitagatīn vane NsP_31.45d	atarkita gatIn vane NsP_31.45d
   atasīkusumābhāsaṃ NsP_25.42a	atasI kusuma ABAsam NsP_25.42a
   atas tvam eva jānāsi NsP_50.107c	atas tvam eva jAnAsi NsP_50.107c
   atas tvaṃ tatra gatvādya NsP_13.47c	atas tvam tatra gatvA adya NsP_13.47c
   atas tvaṃ na gamiṣyasi NsP_49.80b	atas tvam na gamizyasi NsP_49.80b
   atas tvāṃ paripṛcchāmi NsP_1.17a	atas tvAm paripRcCAmi NsP_1.17a
