   // siddhaṃ namo bhagavatyai āryadhvajāgrakeyūrāyai //	// sidDam namaH BagavatyE Arya-Dvaja-agra-keyUrAyE //
   evaṃ mayā śrutam ekasmin samaye bhagavān deveṣu trayastriṃśeṣu viharati	evam mayA Srutam ekasmin samaye BagavAn devezu trayastriMSezu viharati
   sma pāṇḍukambalaśilāyām* / atha khalu śakro devānām indro 'surair jitaḥ	sma pANxu-kambala-SilA-AyAm* / aTa Kalu SakraH devAnAm indraH asurEH jitaH
   parājitaḥ satvaraṃ tvaramāṇarūpo yena bhagavāṃs tenopasaṃkrāntaḥ /	parAjitaH sa-tvaram tvaramANa-rUpaH yena BagavAn tena-upasaMkrAntaH /
   upasaṃkramya bhagavataḥ pādau śirasābhivandya bhagavantam etad avocat* /	upasaMkramya BagavataH pAdO SirasA-aBivandya Bagavantam etat avocat* /
   ihāhaṃ bhagavan vemacitriṇāsurendreṇa jitaḥ parājito devās trayastriṃśāś	iha-aham Bagavan vema-citriNA-asura-indreNa jitaH parAjitaH devAH trayastriMSAS
   ca jitāḥ parājitāḥ / tatrāsmābhir bhagavan kathaṃ pratipattavyam* /	ca jitAH parAjitAH / tatra-asmABiH Bagavan kaTam pratipattavyam* /
   bhagavān āha / udgṛhṇa tvaṃ devendra dhvajāgrakeyūrānāmadhāriṇīm	BagavAn Aha / udgRhNa tvam deva-indra Dvaja-agra-keyUra-AnAma-DAriNIm
   aparājitāṃ yā mayā pūrvaṃ bodhisatvabhūtenāparājitadhvajasya	aparAjitAm yA mayA pUrvam boDisatva-BUtena-aparAjita-Dvajasya
   tathāgatasyāntikād udgṛhītā / udgṛhya parebhyo vistareṇa saṃprakāśitā /	taTAgatasya-antikAt udgRhItA / udgRhya pareByaH vistareNa saMprakASitA /
   nābhijānāmi tato 'rvāg bhayaṃ vā stambhitatvaṃ vā romaharṣanimittaṃ	na-aBijAnAmi tatas arvAk Bayam vA stamBita-tvam vA roma-harza-nimittam
   vāntaśaḥ kṣaṇikām api kāyapīḍām* /	vAntaSas kzaNikAm api kAya-pIxAm* /
   tat katamā sā bhagavan dhvajāgrakeyūrā nāma dhāriṇī aparājitā /	tat katamA sA Bagavan DvajAgrakeyUrA nAma DAriNI aparAjitA /
   tadyathā oṃ jaya 2 vijaya 2 jayavāhini śaṅkari bhayaṅkari prabhañjani	tat-yaTA om jaya 2 vijaya 2 jaya-vAhini SaFkari BayaFkari praBaQjani
   rakṣa rakṣa āvadhūtaśrīālakhavajraṃ saparivāraṃ sarvasatvāṃś ca /	rakza rakzaH AvaDUta-SrIAlaKa-vajram sa-parivAram sarva-satvAn ca /
   pratyarthiko vā pratyamitro vābhidravati / oṃ jambhaya 2 stambhaya 2	pratyarTikaH vA pratyamitraH vA-aBidravati / om jamBayaH 2 stamBaya 2
   mohaya 2 bhagavati jayavāhini matha matha pramatha pramatha grasa grasa	mohaya 2 Bagavati jaya-vAhini maTa maTa pramaTa pramaTa grasa grasa
   hasa hasa hūṃ hūṃ lambha lambha lambodari trinetre caturvaktre	hasa hasa hUm hUm lamBa lamBa lambodari trinetre catur-vaktre
   caturdaṃṣṭre caturbhuje asimuśalacakratriśūlavajrakavacamudrādhāriṇi rakṣa	catur-daMzwre catur-Buje asi-muSala-cakra-triSUla-vajra-kavaca-mudrA-DAriNi rakza
   rakṣa āvadhūtaśrīālakhavajraṃ saparivāraṃ sarvasatvāṃś ca bhagavati	rakzaH AvaDUta-SrIAlaKa-vajram sa-parivAram sarva-satvAn ca Bagavati
