   Vigrahavyāvartanī (Vv)	Vigraha vyAvartanI (Vv)
   sarveṣāṃ bhāvānāṃ sarvatra na vidyate svabhāvaścet /	sarvezAm BAvAnAm sarvatra na vidyate svaBAvaH ced /
   tvadvacanamasvabhāvaṃ na nivartayituṃ svabhāvamalam // Vv_1 //	tvad vacanam asvaBAvam na nivartayitum svaBAva malam // Vu _1 //
   atha sasvabhāvametadvākyaṃ śrutvā hatā pratijñā te /	aTa sa svaBAvam etat vAkyam SrutvA hatA pratijQA te /
   vaiṣamikatvaṃ tasmin viśeṣahetuśca vaktavyaḥ // Vv_2 //	vEzamika tvam tasmin viSeza hetuH ca vaktavyaH // Vu _2 //
   mā śabdavadityetat syātte buddhirna caitadupapannam /	mA Sabda vat iti etat syAt te budDiH na ca etat upapannam /
   śabdenātra satā bhaviṣyato vāraṇaṃ tasya // Vv_3 //	Sabdena atra satA BavizyataH vAraNam tasya // Vu _3 //
   pratiṣedhaḥ pratiṣeddhyo 'pyevamiti mataṃ bhavet tadasadeva /	pratizeDaH pratizedDyaH api evam iti matam Bavet tat asat eva /
   evaṃ tava pratijñā lakṣaṇato duṣyate na mama // Vv_4 //	evam tava pratijQA lakzaNataH duzyate na mama // Vu _4 //
   pratyakṣeṇa hi tāvan yadyupalabhya vinivartayasi bhāvān /	pratyakzeNa hi tAvan yadi upalaBya vinivartayasi BAvAn /
   tannāsti pratyakṣaṃ bhāvā yenopalabhyante // Vv_5 //	tat na asti pratyakzam BAvAH yena upalaByante // Vu _5 //
   anumānaṃ pratyuktaṃ pratyakṣeṇāgamopamāne ca /	anumAnam pratyuktam pratyakzeNa Agama upamAne ca /
   anumānāgamasādhyā ye 'rthā dṛṣṭāntasādhyāśca // Vv_6 //	anumAna Agama sADyAH ye arTAH dRzwAnta sADyAH ca // Vu _6 //
   kuśalānāṃ dharmāṇāṃ dharmāvasthāvidaśca manyante /	kuSalAnAm DarmANAm Darma avasTA vidaH ca manyante /
   kuśalaṃ janasvabhāvaṃ śeṣeṣvapyeṣa viniyogaḥ // Vv_7 //	kuSalam jana svaBAvam Sezezu api eza viniyogaH // Vu _7 //
   nairyāṇikasvabhāvo dharmo nairyāṇikāśca ye teṣām /	nEryANika svaBAvaH DarmaH nEryANikAH ca ye tezAm /
   dharmāvasthoktānāmeva ca nairyāṇikādīnām // Vv_8 //	Darma avasTA uktAnAm eva ca nEryANika AdInAm // Vu _8 //
