   // Saddharmalaṅkāvatārasūtram //	// Sat Darma laFkA avatAra sUtram //
   om namo ratnatrayāya / om namaḥ sarvabuddhabodhisattvebhyaḥ //	om namaH ratnatrayAya / om namaH sarva budDa boDisattveByaH //
   START Parivarta 1	START Parivarta 1
   rāvaṇādhyeṣaṇāparivartaḥ prathamaḥ /	rAvaNa aDyezaNA parivartaH praTamaH /
   evaṃ mayā śrutam / ekasmin samaye bhagavāṃllaṅkāpure samudramalayaśikhare	evam mayA Srutam / ekasmin samaye BagavAn= laFkA pure samudra malaya SiKare
   viharati sma nānāratnagotrapuṣpapratimaṇḍite mahatā bhikṣusaṃghena sārdhaṃ	viharati sma nAnA ratna gotra puzpa pratimaNxite mahatA Bikzu saMGena sArDam
   mahatā ca bodhisattvagaṇena	mahatA ca boDisattva gaNena
   nānābuddhakṣetrasaṃnipatitairbodhisattvairmahāsattvaiḥ	nAnA budDa kzetra saMnipatitEH boDisattvEH mahAsattvEH
   anekasamādhivaśitābalābhijñāvikrīḍitairmahāmatibodhisattvapūrvaṃgamaiḥ	aneka samADi vaSitA bala aBijQA vikrIxitEH mahAm ati boDisattva pUrvaMgamEH
   sarvabuddhapāṇyabhiṣekābhiṣiktaiḥ	sarva budDa pANi aBizeka aBiziktEH
   svacittadṛśyagocaraparijñānārthakuśalairnānāsattvacittacaritrarūpanayavinayadhāribhiḥ	sva citta dRSya gocara parijQAna arTa kuSalEH nAnA sattva citta caritra rUpa naya vinaya DAriBiH
   pañcadharmasvabhāvavijñānanairātmyādvayagatiṃgataiḥ //	paQca Darma svaBAva vijQAna nErAtmya advaya gatiMgatEH //
   tena khalu punaḥ samayena bhagavān sāgaranāgarājabhavanāt saptāhenottīrṇa	tena Kalu punar samayena BagavAn sAgara nAga rAja BavanAt sapta ahena uttIrNa
   'bhūt / anekaśakrabrahmanāgakanyākoṭibhiḥ pratyudgamyamāno	aBUt / aneka Sakra brahma nAga kanyA kowiBiH pratyudgamyamAnaH 
   laṅkāmalayamavalokya smitamakarot   pūrvakairapi tathāgatairarhadbhiḥ	laFkA malayam avalokya smitam akarot  pUrvakEH api taTAgatEH arhadBiH
   samyaksaṃbuddhairasmiṃllaṅkāpurīmalayaśikhare	samyaksaMbudDEH asmin= laFkA purI malaya SiKare
   svapratyātmāryajñānatarkadṛṣṭitīrthyaśrāvakapratyekabuddhāryaviṣaye	sva pratyAtma Arya jQAna tarka dRzwi tIrTya SrAvaka pratyekabudDa Arya vizaye
   tadbhāvito dharmo deśitaḥ / yannvahamapi atraiva rāvaṇaṃ	tad BAvitaH DarmaH deSitaH / yat nu aham api atra eva rAvaNam
   yakṣādhipatimadhikṛtya etadevodbhāvayan dharmaṃ deśayeyam //	yakza aDipatim aDikRtya etat eva udBAvayan Darmam deSayeyam //
   aśrauṣīdrāvaṇo rākṣasādhipatistathāgatādhiṣṭhānāt   bhagavān kila	aSrOzIt rAvaNaH rAkzasa aDipatiH taTAgata aDizWAnAt  BagavAn kila
   sāgaranāgarājabhavanāduttīrya anekaśakrabrahmanāgakanyākoṭibhiḥ parivṛtaḥ	sAgara nAga rAja BavanAt uttIrya aneka Sakra brahma nAga kanyA kowiBiH parivRtaH
   puraskṛtaḥ samudrataraṃgānavalokya	puraskRtaH samudra taraMga an avalokya
   ālayavijñānodadhipravṛttivijñānapavanaviṣaye preritāṃstebhyaḥ	AlayavijQAna udaDi pravRtti vijQAna pavana vizaye preritAn= teByaH
   saṃnipatitebhyaścittānyavalokya tasminneva sthitaḥ udānamudānayati sma  	saMnipatiteByaH cittAni avalokya tasmin= eva sTitaH udAnam udAnayati sma  
   yannvahaṃ gatvā bhagavantamadhyeṣya laṅkāṃ praveśayeyam / tanme	yat nu aham gatvA Bagavantam aDyezya laFkAm praveSayeyam / tat me
   syāddīrgharātramarthāya hitāya sukhāya devānāṃ ca manuṣyāṇāṃ ca //	syAt dIrGarAtram arTAya hitAya suKAya devAnAm ca manuzyANAm ca //
   atha rāvaṇo rākṣasādhipatiḥ saparivāraḥ pauṣpakaṃ vimānamadhiruhya yena	aTa rAvaNaH rAkzasa aDipatiH sa parivAraH pOzpakam vimAnam aDiruhya yena
   bhagavāṃstenopajagāma / upetya vimānādavatīrya saparivāro bhagavantaṃ	BagavAn= tena upajagAma / upetya vimAnAt avatIrya sa parivAraH Bagavantam
   triṣkṛtvaḥ pradakṣiṇīkṛtya tūryatālāvacaraiḥ pravādyadbhirindranīlamayena	trizkRtvas pradakziNIkRtya tUrya tAlA vacarEH pravAdyadBiH indranIla mayena
   daṇḍena vaiḍūryamusāra(galva)pratyuptāṃ vīṇāṃ priyaṅgupāṇḍunā anardhyeṇa	daNxena vExUrya musAra( galva) pratyuptAm vINAm priyaFgu pANxunA anarDyeNa
   vastreṇa pārśvāvalambitāṃ kṛtvā	vastreNa pArSva avalambitAm kRtvA
   ṣaḍjarṣabhagāndhāradhaivataniṣādamadhyamakaiśikagītasvaragrāmamūrchanādiyuktenānusārya	zaxja RzaBa gAnDAra DEvata nizAda maDyama kESika gIta svara grAma mUrCana Adi yuktena anusArya
   salīlaṃ vīṇāmanupraviśya gāthābhigītairanugāyati sma  	sa lIlam vINAm anupraviSya gATA aBigItEH anugAyati sma  
   cittasvabhāvanayadharmavidhiṃ nairātmyaṃ dṛṣṭivigataṃ hyamalam /	citta svaBAva naya Darma viDim nErAtmyam dRzwi vigatam hi amalam /
   pratyātmavedyagatisūcanakaṃ deśehi nāyaka iha dharmanayam // Lank_1.1 //	pratyAtma vedya gati sUcanakam deSehi nAyakaH iha Darmanayam // Lank _1.1 //
   (Vaidya 2)	(VEdyaH 2)
   śubhadharmasaṃcitatanuṃ sugataṃ nirmāṇanirmitapradarśanakam /	SuBa Darma saMcita tanum sugatam nirmANa nirmita pradarSanakam /
   pratyātmavedyagatidharmarataṃ laṅkāṃ hi gantu samayo 'dya mune // Lank_1.2	pratyAtma vedya gati Darma ratam laFkAm hi gantu samayaH adya mune // Lank _1.2
   laṅkāmimāṃ pūrvajinādhyuṣitāṃ putraiśca teṣāṃ bahurūpadharaiḥ /	laFkAm imAm pUrva jina aDyuzitAm putrEH ca tezAm bahu rUpa DarEH /
   deśehi nātha iha dharmavaraṃ śroṣyanti yakṣa bahurūpadharāḥ // Lank_1.3 //	deSehi nATaH iha Darma varam Srozyanti yakza bahu rUpa DarAH // Lank _1.3 //
   atha rāvaṇo laṅkādhipatiḥ toṭakavṛttenānugāyya punarapi	aTa rAvaNaH laFkA aDipatiH towaka vRttena anugAyya punar api
   gāthābhigītenānugāyati sma  	gATA aBigItena anugAyati sma  
   saptarātreṇa bhagavān sāgarānmakarālayāt /	sapta rAtreNa BagavAn sAgarAn makara AlayAt /
   sāgarendrasya bhavanāt samuttīrya taṭe sthitaḥ // Lank_1.4 //	sAgara indrasya BavanAt samuttIrya tawe sTitaH // Lank _1.4 //
   sthitamātrasya buddhasya rāvaṇo hyapsaraiḥ saha /	sTita mAtrasya budDasya rAvaNaH hi apsarEH saha /
   yakṣaiśca nānāvividhaiḥ śukasāraṇapaṇḍitaiḥ // Lank_1.5 //	yakzEH ca nAnA viviDEH Suka sAraNa paNxitEH // Lank _1.5 //
   ṛddhyā gatvā tamadhvānaṃ yatra tiṣṭhati nāyakaḥ /	RdDyA gatvA tam aDvAnam yatra tizWati nAyakaH /
   avatīrya pauṣpakādyānādvandya pūjya tathāgatam /	avatIrya pOzpakAt yAnAt vandya pUjya taTAgatam /
   nāma saṃśrāvayaṃstasmai jinendreṇa adhiṣṭhitaḥ // Lank_1.6 //	nAma saMSrAvayan= tasmE jinendreNa aDizWitaH // Lank _1.6 //
   rāvaṇo 'haṃ daśagrīvo rākṣasendra ihāgataḥ /	rAvaNaH aham daSagrIvaH rAkzasa indraH iha AgataH /
   anugṛhṇāhi me laṅkāṃ ye cāsmin puravāsinaḥ // Lank_1.7 //	anugRhNAhi me laFkAm ye ca asmin pura vAsinaH // Lank _1.7 //
   pūrvairapi hi saṃbuddhaiḥ pratyātmagatigocaram /	pUrvEH api hi saMbudDEH pratyAtma gati gocaram /
   śikhare ratnakhacite puramadhye prakāśitam // Lank_1.8 //	SiKare ratna Kacite pura maDye prakASitam // Lank _1.8 //
   bhagavānapi tatraiva śikhare ratnamaṇḍite /	BagavAn api tatra eva SiKare ratna maNxite /
   deśetu dharma virajaṃ jinaputraiḥ parīvṛtaḥ /	deSetu Darma virajam jinaputrEH parIvRtaH /
   śrotukāmā vayaṃ cādya ye ca laṅkānivāsinaḥ // Lank_1.9 //	Srotu kAmAH vayam ca adya ye ca laFkA nivAsinaH // Lank _1.9 //
   deśanānayanirmuktaṃ pratyātmagatigocaram /	deSanA naya nirmuktam pratyAtma gati gocaram /
   laṅkāvatārasūtraṃ vai pūrvabuddhānuvarṇitam // Lank_1.10 //	laFkA avatAra sUtram vE pUrva budDa anuvarNitam // Lank _1.10 //
   smarāmi pūrvakairbuddhairjinaputrapuraskṛtaiḥ /	smarAmi pUrvakEH budDEH jinaputra puraskRtEH /
   sūtrametannigadyate bhagavānapi bhāṣatām // Lank_1.11 //	sUtram etat nigadyate BagavAn api BAzatAm // Lank _1.11 //
   bhaviṣyantyanāgate kāle buddhā buddhasutāśca ye /	Bavizyanti anAgate kAle budDAH budDa sutAH ca ye /
   etameva nayaṃ divyaṃ śikhare ratnabhūṣite /	etam eva nayam divyam SiKare ratna BUzite /
   deśayiṣyanti yakṣāṇāmanukampāya nāyakāḥ // Lank_1.12 //	deSayizyanti yakzANAm anukampAya nAyakAH // Lank _1.12 //
   divyalaṅkāpurīramyāṃ nānāratnairvibhūṣitām /	divya laFkA purI ramyAm nAnA ratnEH viBUzitAm /
   prāgbhāraiḥ śītalaiḥ ramyai ratnajālavitānakaiḥ // Lank_1.13 //	prAgBArEH SItalEH ramyEH ratna jAla vitAnakEH // Lank _1.13 //
   rāgadoṣavinirmuktāḥ pratyātmagaticintakāḥ /	rAga doza vinirmuktAH pratyAtma gati cintakAH /
   santyatra bhagavan yakṣāḥ pūrvabuddhaiḥ kṛtārthinaḥ /	santi atra Bagavan yakzAH pUrva budDEH kRtArTinaH /
   mahāyānanaye śraddhā niviṣṭānyonyayojakāḥ // Lank_1.14 //	mahAyAna naye SradDA nivizwa anyonya yojakAH // Lank _1.14 //
   (Vaidya 3)	(VEdyaH 3)
   yakṣiṇyo yakṣaputrāśca mahāyānabubhutsavaḥ /	yakziNyaH yakza putrAH ca mahAyAna buButsavaH /
   āyātu bhagavān śāstā laṅkāmalayaparvatam // Lank_1.15 //	AyAtu BagavAn SAstA laFkA malaya parvatam // Lank _1.15 //
   kumbhakarṇapuroigāśca rākṣasāḥ puravāsinaḥ /	kumBakarNa puroigAH ca rAkzasAH pura vAsinaH /
   śroṣyanti pratyātmagatiṃ mahāyānaparāyaṇāḥ // Lank_1.16 //	Srozyanti pratyAtma gatim mahAyAna parAyaNAH // Lank _1.16 //
   kṛtādhikārā buddheṣu kariṣyantyadhunā ca vai /	kRta aDikArA budDezu karizyanti aDunA ca vE /
   anukampārthaṃ mahyaṃ vai yāhi laṅkāṃ sutaiḥ saha // Lank_1.17 //	anukampA arTam mahyam vE yAhi laFkAm sutEH saha // Lank _1.17 //
   gṛhamapsaravargāśca hārāṇi vividhāni ca /	gRham apsara vargAH ca hArANi viviDAni ca /
   ramyāṃ cāśokavanikāṃ pratigṛhṇa mahāmune // Lank_1.18 //	ramyAm ca aSoka vanikAm pratigRhNa mahA mune // Lank _1.18 //
   ājñākaro 'haṃ buddhānāṃ ye ca teṣāṃ jinātmajāḥ /	AjQAkaraH aham budDAnAm ye ca tezAm jina AtmajAH /
   nāsti tadyanna deyaṃ me anukampa mahāmune // Lank_1.19 //	na asti tat yat na deyam me anukampa mahA mune // Lank _1.19 //
   tasya tadvacanaṃ śrutvā uvāca tribhaveśvaraḥ /	tasya tat vacanam SrutvA uvAca tri Bava ISvaraH /
   atītairapi yakṣendra nāyakai ratnaparvate // Lank_1.20 //	atItEH api yakza indra nAyakEH ratna parvate // Lank _1.20 //
   pratyātmadharmo nirdiṣṭaḥ tvaṃ caivāpyanukampitaḥ /	pratyAtma DarmaH nirdizwaH tvam ca eva api anukampitaH /
   anāgatāśca vakṣyanti girau ratnavibhūṣite // Lank_1.21 //	anAgatAH ca vakzyanti girO ratna viBUzite // Lank _1.21 //
   yogināṃ nilayo hyeṣa dṛṣṭadharmavihāriṇām /	yoginAm nilayaH hi eza dRzwa Darma vihAriNAm /
   anukampyo 'si yakṣendra sugatānāṃ mamāpi ca // Lank_1.22 //	anukampyaH asi yakza indra sugatAnAm mama api ca // Lank _1.22 //
   adhivāsya bhagavāṃstūṣṇīṃ śamabuddhyā vyavasthitaḥ /	aDivAsya BagavAn= tUzNIm Sama budDyA vyavasTitaH /
   ārūḍhaḥ puṣpake yāne rāvaṇenopanāmite // Lank_1.23 //	ArUXaH puzpake yAne rAvaNena upanAmite // Lank _1.23 //
   tatraiva rāvaṇo 'nye ca jinaputrā viśāradāḥ /	tatra eva rAvaNaH anye ca jinaputrAH viSAradAH /
   apsarairhāsyalāsādyaiḥ pūjyamānāḥ purīṃ gatāḥ // Lank_1.24 //	apsarEH hAsya lAsa AdyEH pUjyamAnAH purIm gatAH // Lank _1.24 //
   tatra gatvā purīṃ ramyāṃ punaḥ pūjāṃ pralabdhavān /	tatra gatvA purIm ramyAm punar pUjAm pralabDavAn /
   rāvaṇādyairyakṣavargairyakṣiṇībhiśca pūjitaḥ /	rAvaNa AdyEH yakza vargEH yakziNIBiH ca pUjitaH /
   yakṣaputrairyakṣakanyābhī ratnajālaiśca pūjitaḥ // Lank_1.25 //	yakza putrEH yakza kanyABiH ratna jAlEH ca pUjitaH // Lank _1.25 //
   rāvaṇenāpi buddhasya hārā ratnavibhūṣitāḥ /	rAvaNena api budDasya hArAH ratna viBUzitAH /
   jinasya jinaputrāṇāmuttamāṅgeṣu sthāpitāḥ // Lank_1.26 //	jinasya jinaputrANAm uttamAFgezu sTApitAH // Lank _1.26 //
   pragṛhya pūjāṃ bhagavān jinaputraiśca paṇḍitaiḥ /	pragRhya pUjAm BagavAn jinaputrEH ca paNxitEH /
   dharmaṃ vibhāvayāmāsa pratyātmagatigocaram // Lank_1.27 //	Darmam viBAvayAmAsa pratyAtma gati gocaram // Lank _1.27 //
   rāvaṇo yakṣavargāśca saṃpūjya vadatāṃ varam /	rAvaNaH yakza vargAH ca saMpUjya vadatAm varam /
   mahāmatiṃ pūjayanti adhyeṣanti punaḥ punaḥ /	mahAmatim pUjayanti aDyezanti punar punar /
   tvaṃ praṣṭā sarvabuddhānāṃ pratyātmagatigocaram // Lank_1.28 //	tvam prazwA sarva budDAnAm pratyAtma gati gocaram // Lank _1.28 //
   (Vaidya 4)	(VEdyaH 4)
   ahaṃ hi śrotā yakṣāśca jinaputrāśca sanniha /	aham hi SrotAH yakzAH ca jinaputrAH ca san= iha /
   adhyeṣayāmi tvāṃ yakṣā jinaputrāśca paṇḍitāḥ // Lank_1.29 //	aDyezayAmi tvAm yakzAH jinaputrAH ca paNxitAH // Lank _1.29 //
   vādināṃ tvaṃ mahāvādī yogināṃ yogavāhakaḥ /	vAdinAm tvam mahA vAdI yoginAm yogavAhakaH /
   adhyeṣayāmi tvāṃ bhaktyā nayaṃ pṛccha viśārada // Lank_1.30 //	aDyezayAmi tvAm BaktyA nayam pRcCa viSArada // Lank _1.30 //
   tīrthyadoṣairvinirmuktaṃ pratyekajinaśrāvakaiḥ /	tIrTya dozEH vinirmuktam pratyeka jina SrAvakEH /
   pratyātmadharmatāśuddhaṃ buddhabhūmiprabhāvakam // Lank_1.31 //	pratyAtma DarmatA SudDam budDa BUmi praBAvakam // Lank _1.31 //
   nirmāya bhagavāṃstatra śikharān ratnabhūṣitān /	nirmAya BagavAn= tatra SiKarAn ratna BUzitAn /
   anyāni caiva divyāni ratnakoṭīralaṃkṛtāḥ // Lank_1.32 //	anyAni ca eva divyAni ratna kowIH alaMkRtAH // Lank _1.32 //
   ekaikasmin girivare ātmabhāvaṃ vidarśayan /	ekEkasmin giri vare Atma BAvam vidarSayan /
   tatraiva rāvaṇo yakṣa ekaikasmin vyavasthitaḥ // Lank_1.33 //	tatra eva rAvaNaH yakzaH ekEkasmin vyavasTitaH // Lank _1.33 //
   atra tāḥ parṣadaḥ sarvā ekaikasmin hi dṛśyate /	atra tAH parzadaH sarvAH ekEkasmin hi dRSyate /
   sarvakṣetrāṇi tatraiva ye ca teṣu vināyakāḥ // Lank_1.34 //	sarva kzetrANi tatra eva ye ca tezu vinAyakAH // Lank _1.34 //
   rākṣasendraśca tatraiva ye ca laṅkānivāsinaḥ /	rAkzasa indraH ca tatra eva ye ca laFkA nivAsinaH /
   tatpratispardhinī laṅkā jinena abhinirmitā /	tad pratisparDinI laFkA jinena aBinirmitA /
   anyāścāśokavanikā vanaśobhāśca tatra yāḥ // Lank_1.35 //	anyAH ca aSoka vanikAH vana SoBAH ca tatra yAH // Lank _1.35 //
   ekaikasmin girau nātho mahāmatipracoditaḥ /	ekEkasmin girO nATaH mahAmati pracoditaH /
   dharmaṃ dideśa yakṣāya pratyātmagatisūcakam /	Darmam dideSa yakzAya pratyAtma gati sUcakam /
   dideśa nikhilaṃ sūtraṃ śatasāhasrikaṃ girau // Lank_1.36 //	dideSa niKilam sUtram Sata sAhasrikam girO // Lank _1.36 //
   śāstā ca jinaputrāśca tatraivāntarhitāstataḥ /	SAstA ca jinaputrAH ca tatra eva antarhitAH tatas /
