   ātmasiddhiḥ /	Atma sidDiH /
   siddhāñjananāmakavyākhyopetā /	sidDAQjana nAmaka vyAKyA upetAH /
   yatpadāmbhoruhadhyānavidhvastāśeṣakalmaṣaḥ /	yad pada amBoruha DyAna viDvasta aSeza kalmazaH /
   vastutāmupayāto 'haṃ yāmuneyaṃ namāmi tam // 1 //	vastu tAm upayAtaH aham yAmunA iyam namAmi tam // 1 //
   mūlam	mUlam
   prakṛtipuruṣakālavyaktamuktā yadicchā 	prakRti puruza kAla vyakta muktA yat icCA 
   manuvidadhati nityaṃ nityasiddhairanekaiḥ	manu vidaDati nityam nitya sidDEH anekEH
   svaparicaraṇabhogaiḥ śrīmati prīyamāṇe	sva paricaraNa BogEH SrImati prIyamANe
   bhavatu mama parasmin puruṣe bhaktibhūyā // 1 //	Bavatu mama parasmin puruze Bakti BUyAH // 1 //
   vyākhyānam	vyAKyAnam
   jagajjanmasthitilayai ramamāṇaṃ parātparam /	jagat janma sTiti layEH ramamANam parAtparam /
   svāmin sarvajagatāṃ śriyaḥpatimupāsmahe // 1 //	svAmin sarva jagatAm SriyaH patim upAsmahe // 1 //
   jñānavairāgyabhaktīnāṃ śevadhiṃ karuṇārṇavam /	jQAna vErAgya BaktInAm SevaDim karuNA arNavam /
   yāmunārthaṃ munivaraṃ paramācāryamāśraye // 2 //	yAmunA arTam muni varam parama AcAryam ASraye // 2 //
   śrībhāṣyādiprabandhena tattvaṃ sandarśayan param /	SrI BAzya Adi prabanDena tattvam sandarSayan param /
   rāmānujāryo bhagavān dayatā mayi saṃśriye // 3 //	rAma anujAryaH BagavAn dayatA mayi saMSriye // 3 //
   deśikendradayāsāramavalambya vidhīyate /	deSika indra dayA sAram avalambya viDIyate /
   siddhitrayasya vyākhyānaṃ rītyā saralayā mayā // 4 //	sidDi trayasya vyAKyAnam rItyA saralayA mayA // 4 //
   kka yāmunāryaśrīsūktisandarbhaḥ kka ca me matiḥ /	kkaH yAmunA ArI aSrI sUkti sandarBaH kka ca me matiH /
   atyalpaviṣayāthāpi cāpalaṃ tvaparādhyati // 5 //	ati alpa vizaya aTa api cApalam tu aparADyati // 5 //
   viśiṣṭadvaitasiddhāntanirdhāraṇadhurandharāḥ /	viSizwa dvEta sidDAnta nirDAraNa DuranDarAH /
   saṃśriteṣu dayāsārā deśikāḥ śaraṇaṃ mama // 6 //	saMSritezu dayA sArAH deSikAH SaraNam mama // 6 //
   vātsyaṃ śrīvādibhīkṛdgurukulatilakaṃ kṛṣṇamāryaṃ guṇāḍhyaṃ	vAtsyam SrIvAdi BIkRt guru kula tilakam kRzNam Aryam guNa AXyam
   tātaṃ mannapradaṃ me draviḍanigamasūktyarthasandarśakaṃ tam /	tAtam manna pradam me dravixa nigama sUkti arTa sandarSakam tam /
   natvā rāmānujāryaṃ guruvaramapi me bhāṣyakṛdvaṃśadīpaṃ	natvA rAma anujAryam guru varam api me BAzya kRt vaMSa dIpam
   hārītaṃ cārukīrtiṃ budhakulatilakaṃ yāmunoktīrvivṛṇve // 7 //	hArItam cAru kIrtim buDa kula tilakam yAmunA uktIH vivRNve // 7 //
   śrīmannāgapurābhikhyābhijano vādibhīkaraḥ /	SrImat nAgapura aBiKyA aBijanaH vAdiBIkaraH /
   aṇṇaṅgarāryadāso 'haṃ vivṛṇomi gurorgiraḥ // 8 //	aNNaFgarArya dAsaH aham vivRNomi guroH giraH // 8 //
   atha khalu bhagavān śrīmadyāmunaminiḥ	aTa Kalu BagavAn SrImat yAm unaminiH
   śrīvaiṣṇavasaṃpradāyapravartakācāryeṣu prathamaparigāṇitasya	SrI vEzNava saMpradAya pravartaka AcAryezu praTama parigANitasya
   yogarahasyanyāyatattvaśāstrapraṇeturbhagavataḥ śrīmannāthamuneḥ pautra	yoga rahasya nyAya tattva SAstra praNetuH BagavataH SrImat nATa muneH pOtra
   riśvaramunitanujanmā viśiṣṭādvaitasiddhāntapravartanadhurandharaḥ	riSvara muni tanu janmA viSizwa advEta sidDAnta pravartana DuranDaraH
   prativādivāraṇaprakaṭāṭopavipāṭanakṣamaḥ paramācārya ātmasiddhināmakaṃ	prativAdi vAraNa prakawa Awopa vipAwana kzamaH parama AcAryaH Atma sidDi nAmakam
   vedāntaprakaraṇamupakramamāṇo 'vighnaparisamāptipracayagamanādiphalaṃ	vedAnta prakaraNam upakramamANaH aviGna parisamApti pracaya gamana Adi Palam
