   puṣkara uvāca-	puzkaraH uvAca-
   śāntātītaṃ gaṇaṃ hutvā śāntim āpnoti mānavaḥ /	SAnta-atItam gaNam hutvA SAntim Apnoti mAnavaH /
   bhaiṣajyaṃ ca gaṇaṃ hutvā sarvān rogān vyapohati // Vdho_2,127.1 //	BEzajyam ca gaNam hutvA sarvAn rogAn vyapohati // VDas-_2,127.1 //
   triṣaptīyaṃ gaṇaṃ hutvā sarvapāpaiḥ pramucyate /	trizaptIyam gaNam hutvA sarva-pApEH pramucyate /
   kvacin nāapnoti ca bhayaṃ hutvā caivābhayaṃ gaṇam // Vdho_2,127.2 //	kvacid na-aapnoti ca Bayam hutvA ca-eva-aBayam gaNam // VDas-_2,127.2 //
   na parājāyate rāma gaṇaṃ hutvāparājitam /	na parAjAyate rAma gaNam hutvA-aparAjitam /
   āyuṣyaṃ ca gaṇam hutvā cāpamṛtyūṃ vyapohati // Vdho_2,127.3 //	Ayuzyam ca gaNam hutvA ca-apamRtyUm vyapohati // VDas-_2,127.3 //
   svastim āpnoti sarvatra hutvā svastyayanaṃ gaṇaṃ /	svastim Apnoti sarvatra hutvA svastyayanam gaNam /
   śreyasā yogam āpnoti śarmavarmagaṇaṃ tathā // Vdho_2,127.4 //	SreyasA yogam Apnoti Sarma-varma-gaNam taTA // VDas-_2,127.4 //
   vāstoṣpatyagaṇaṃ hutvā vāstudoṣān vyapohati /	vAstozpatya-gaNam hutvA vAstu-dozAn vyapohati /
   tathā raudragaṇaṃ hutvā sarvān doṣān vyapohati //	taTA rOdra-gaNam hutvA sarvAn dozAn vyapohati //
   etair daśagaṇair homo hy aṣṭādaśasu śāntiṣu // Vdho_2,127.5 //	etEH daSa-gaNEH homaH hi azwAdaSasu SAntizu // VDas-_2,127.5 //
   vaiṣṇavī śāntir aindrī ca brāhmī raudrī tathaiva ca /	vEzNavI SAntiH EndrI ca brAhmI rOdrI taTA-eva ca /
   vāyavyā vāruṇī caiva kauberī bhārgavī tathā // Vdho_2,127.6 //	vAyavyA vAruNI ca-eva kOberI BArgavI taTA // VDas-_2,127.6 //
   prājāpatyā tathā tvāṣṭrī kaumārī vahnidevatā /	prAjApatyA taTA tvAzwrI kOmArI vahni-devatA /
   mārudgaṇā ca gāndharvī śāntair nairṛtakī tathā // Vdho_2,127.7 //	mArut-gaNA ca gAnDarvI SAntEH nErRtakI taTA // VDas-_2,127.7 //
   śāntir āṅgirasī yāmyā pārthivī ca bhṛgūttama /	SAntiH AFgirasI yAmyA pArTivI ca BRgu-uttamaH /
   etās tu śāntayaḥ proktāḥ sarvakarmahitāḥ sadā // Vdho_2,127.8 //	etAH tu SAntayaH proktAH sarva-karma-hitAH sadA // VDas-_2,127.8 //
   yas tvā mṛtyur iti hy etaj japtaṃ mṛtyuvināśanaṃ /	yaH tvA mRtyuH iti hi etat japtam mRtyu-vinASanam /
   hutvā ca mātṛnāmāni kāmān evam avāpnuyāt // Vdho_2,127.9 //	hutvA ca mAtR-nAmAni kAmAn evam avApnuyAt // VDas-_2,127.9 //
   suparṇas tveti hutvā ca bhujagair naiva bādhyate /	suparNaH tvA-iti hutvA ca BujagEH na-eva bADyate /
   [Bhattacharyya edits bhujagainava bādhyate, which can be just a typo!]	[Bhatta-CaryyaH editH Bujaga-enava bADyate, whiC can be just a typo!]
   yasyedaṃ bhūmyām iti ca bhūmikāmo japet sadā // Vdho_2,127.10 //	yasya-idam BUmyAm iti ca BUmi-kAmaH japet sadA // VDas-_2,127.10 //
   pṛthivyām uttamo 'sīti hutaṃ śraiṣṭhyapradaṃ sadā /	pRTivyAm uttamaH asi-iti hutam SrEzWya-pradam sadA /
   audumbaraṃ yo na iti tathā vīryavivardhanam // Vdho_2,127.11 //	Odumbaram yaH naH iti taTA vIrya-vivarDanam // VDas-_2,127.11 //
   indreṇa dattam ity etat sarvabādhāvināśanam /	indreNa dattam iti etat sarva-bADA-vinASanam /
   hiraṇyavarṇā iti ca snānaṃ pāpaharaṃ bhavet // Vdho_2,127.12 //	hiraNya-varNAH iti ca snAnam pApa-haram Bavet // VDas-_2,127.12 //
