   (Khs_11)	(KhH-_11)
   // namaḥ śrīkhasarpaṇāya //	// namaH SrIKasarpaNAya //
   iha śubhaṅkaranāmā upāsakaḥ śubhakarmakārī karuṇāyamānaḥ sa kila	iha SuBaFkara-nAmA upAsakaH SuBa-karma-kArI karuNAyamAnaH sa kila
   potalakagamanodyataḥ / gacchan khāḍīmaṇḍale khasarpaṇanāmā grāmo 'sti	potalaka-gamana-udyataH / gacCan KAxI-maNxale Ka-sarpaNa-nAmA grAmaH asti
   tatroṣitaḥ / tasya tu bhagavatāryāvalokitśvareṇa pratyādeco dattaḥ / mā	tatra-uzitaH / tasya tu BagavatArya-avalokitSvareNa pratyAdecaH dattaH / mA
   gaccha tvam ihāsmān vairocanābhisaṃbodhitantrarājakrameṇa sthāpaya tena	gacCa tvam iha-asmAn vErocana-aBisaMboDi-tantra-rAja-krameNa sTApaya tena
   mahān satvārtho bhaviṣyati / tato 'sau bhagavantaṃ śīghram eva kāritavān /	mahAn satva-arTaH Bavizyati / tatas asO Bagavantam SIGram eva kAritavAn /
   ity eṣā śrutiḥ / tatra bhagavataḥ sādhanāya dṛṛṣṭisaṃpattiḥ kriyate /	iti ezA SrutiH / tatra BagavataH sADanAya dRRzwi-saMpattiH kriyate /
   tathā hi	taTA hi
   varaṃ bhikṣoḥ śīlavipattir na punar dṛṣṭivipattir iti / atas tatra tāvat	varam BikzoH SIla-vipattiH na punar dRzwi-vipattiH iti / atas tatra tAvat-
   kṣaṇikān nirātmakān sarvadharmān vyavalokya vyapagatasakalavikalpaḥ	kzaNikAn nirAtmakAn sarva-DarmAn vyavalokya vyapagata-sakala-vikalpaH
   kṛpāśayo 'ho vatāmī satvāḥ kleśakarmādibhir upadrutāḥ / tato	kRpA-ASayaH aho vatA-amI satvAH kleSa-karma-AdiBiH upadrutAH / tatas-
   jātijarāmaraṇaduḥkhair (Khs_12) atīva pīḍyamānāḥ santo 'nekaprakāraduḥkham	jAti-jarA-maraNa-duHKEH (KhH-_12) atIva pIxyamAnAH santaH aneka-prakAra-duHKam
   anubhavanti / tato 'haṃ lokeśvaro bhūtvā teṣāṃ duḥkhādy apanayāmi /	anuBavanti / tatas aham loka-ISvaraH BUtvA tezAm duHKa-Adi apanayAmi /
   sarvajñajñāne pratiṣṭhāpayāmi / ity evaṃ pratijñāśayaṃ kṛtvā svahṛdi	sarvajQa-jQAne pratizWApayAmi / iti evam pratijQA-ASayam kRtvA sva-hRdi
   paṃkārajasahaśradalapadmavarāṭakamadhye akārajacandramaṇḍalopari āṃ tāṃ	paMkAra-ja-saha-Sradala-padma-varAwaka-maDye akAra-ja-candra-maNxala-upari Am tAm
   suṃ bhṛṃ haṃ iti pañca bījāni vinyasya / etadraśmimālābhiḥ sañcodyānīya	sum BRm ham iti paQca bIjAni vinyasya / etad-raSmi-mAlABiH saQcA-udya-AnIya
   tān gurubuddhabodhisatvān gaganatale purovartinaḥ kṛtvā	tAn guru-budDa-boDisatvAn gagana-tale purovartinaH kRtvA
