   acidaṃśavyapohena Svs_133a	acit-aMSa-vyapohena Svs_133a
   acintyavibhavasya tāḥ Svs_43b	acintya-viBavasya tAH Svs_43b
   ajñatvasarvaveditva- Svs_111a	ajQa-tva-sarva-vedi-tva Svs_111a
   ataś copaniṣajjāta- Svs_72a	atas ca-upanizad-jAta Svs_72a
   atas tat tvam asītyāder Svs_134a	atas tat tvam asi-ityAdeH Svs_134a
   atas tadbhedam āśritya Svs_182a	atas tad-Bedam ASritya Svs_182a
   ataḥ saprathamāḥ sarve Svs_11a	atas sa-praTamAH sarve Svs_11a
   ataḥ sarvaṃ sadā bhāyād Svs_199a	atas sarvam sadA BAyAt Svs_199a
   ataḥ svarasavispaṣṭa- Svs_414a	atas svarasa-vispazwa Svs_414a
   ato deśādibhedena Svs_93a	atas deSa-Adi-Bedena Svs_93a
   ato na vastu nā(vastu Svs_258a	atas na vastu na-a(vastu Svs_258a
   ato niścitasadbhāvaḥ Svs_101a	atas niScita-sadBAvaH Svs_101a
   atra brūmo 'dvitīyoktau Svs_3a	atra brUmaH advitIya-uktO Svs_3a
   atha na sphuratīti cet Svs_166b	aTa na sPurati-iti ced Svs_166b
   atha brahmāham asmīti Svs_297a	aTa brahmA-aham asmi-iti Svs_297a
   athavā tasya te yad vā Svs_344a	aTavA tasya te yat vA Svs_344a
   athavāpy upalakṣaṇe Svs_112b	aTavA-api upalakzaNe Svs_112b
   atha sarvajñatā mṛṣā Svs_234b	aTa sarvajQa-tA mRzA Svs_234b
   atha sā nityasaty api Svs_287b	aTa sA nitya-satI api Svs_287b
   athārthāntarabhāvo 'pi Svs_214a	aTa-arTa-antara-BAvaH api Svs_214a
   advitiyā svayamprabhā Svs_181b	advi-tiyA svayampraBA Svs_181b
   advitīye dvitīyārtha- Svs_19a	advitIye dvitIya-arTa Svs_19a
   advitīyo 'dya bhūtale Svs_38b	advitIyaH adya BU-tale Svs_38b
   advaitavacasām iti Svs_241b	advEta-vacasAm iti Svs_241b
   ananyagocaratvena Svs_179a	ananya-gocara-tvena Svs_179a
   ananyat kāraṇāt kāryaṃ Svs_60a	ananyat kAraNAt kAryam Svs_60a
   anirvācyaṃ tavāpatet Svs_400b	anirvAcyam tava-Apatet Svs_400b
   anumānā (?) vilakṣaṇāḥ Svs_319b	anumAnAH (?) vilakzaNAH Svs_319b
   anusandhānam ekatve Svs_326a	anusanDAnam eka-tve Svs_326a
   anyatas te nivartate Svs_221b	anyatas te nivartate Svs_221b
   anyatve sadṛśatve vā Svs_8a	anya-tve sadRSa-tve vA Svs_8a
   anyaiva na nirūpyate Svs_217b	anyA-eva na nirUpyate Svs_217b
   anyonyānātmanā sphuṭam Svs_425b	anyonya-anAtmanA sPuwam Svs_425b
   anyonyāśrayaṇaṃ punaḥ Svs_247b	anyonya-ASrayaNam punar Svs_247b
   anyonyāśrayaṇaṃ bhavet Svs_228b	anyonya-ASrayaNam Bavet Svs_228b
   aparokṣaṃ prakāśante Svs_187a	aparokzam prakASante Svs_187a
   apalakṣaṇatā bhavet Svs_18b	apalakzaNa-tA Bavet Svs_18b
   api ca vyavahārajñāḥ Svs_301a	api ca vyavahAra-jQAH Svs_301a
   api ceyam avidyā te Svs_218a	api ca-iyam avidyA te Svs_218a
   api yuktiparāhatam Svs_316b	api yukti-parAhatam Svs_316b
   api vastudvayāśrayam Svs_137b	api vastu-dvaya-ASrayam Svs_137b
   apohāḥ kiṃ na santy eva Svs_355a	apohAH kim na santi eva Svs_355a
   abādhitāḥ pratīyante Svs_315a	abADitAH pratIyante Svs_315a
   abrahmānātmatābhāve Svs_135a	abrahmAn-Atma-tA-aBAve Svs_135a
   abhāvasyānavasthiteḥ Svs_177b	aBAvasya-anavasTiteH Svs_177b
   abhāviny eva sā mithyā Svs_281a	aBAvinI eva sA miTyA Svs_281a
   abhāvo 'nyo viruddho vā Svs_225a	aBAvaH anyaH virudDaH vA Svs_225a
   abhāsamāne vijñāne Svs_421a	aBAsamAne vijQAne Svs_421a
   abhedābhedino 'satye Svs_139a	aBeda-aBedinaH asatye Svs_139a
   abhedo bhedamardī tu Svs_140a	aBedaH Beda-mardI tu Svs_140a
   abhyupetyaiva hi brahma Svs_347a	aByupetya-eva hi brahma Svs_347a
   artha ity apy asundaram Svs_134b	arTaH iti api asundaram Svs_134b
   arthaḥ saṃvedanāt pṛthak Svs_434b	arTaH saMvedanAt pRTak Svs_434b
   arthānarthāntaratvādi- Svs_212a	arTa-anarTa-antara-tva-Adi Svs_212a
   arthāntaratve siddhaṃ tat Svs_398a	arTa-antara-tve sidDam tat Svs_398a
   arthāntaram avidyā cet Svs_211a	arTa-antaram avidyA ced Svs_211a
   arthāntaraṃ vā tanmātre Svs_397a	arTa-antaram vA tanmAtre Svs_397a
   avagamyopaśāmyate Svs_290b	avagamya-upaSAmyate Svs_290b
   avastutvād avidyāyāḥ Svs_248a	avastu-tvAt avidyAyAH Svs_248a
   avidyākṛtadehātma- Svs_232a	avidyA-kRta-deha-Atma Svs_232a
   avidyātatsamāśleṣa- Svs_311a	avidyA-tad-samASleza Svs_311a
   avidyāpratibaddhatvād Svs_287a	avidyA-pratibadDa-tvAt Svs_287a
   avidyāpratibaddhatvād Svs_304a	avidyA-pratibadDa-tvAt Svs_304a
   avidyā bhavatāśritā Svs_387b	avidyA BavatA-ASritA Svs_387b
   avidyā sā kim ekaiva Svs_261a	avidyA sA kim ekA-eva Svs_261a
   avidyeyaṃ tu nedṛśī Svs_216b	avidyA-iyam tu na-IdRSI Svs_216b
   avidyopādhike jīve Svs_124a	avidyA-upADike jIve Svs_124a
   asakṛt tat tvam ity āha Svs_153a	asakRt tat tvam iti Aha Svs_153a
   asataḥ kārakaiḥ sattvaṃ Svs_98a	asataH kArakEH sattvam Svs_98a
   asataḥ sattvam iṣyate Svs_96b	asataH sattvam izyate Svs_96b
   asataḥ sarvadāsattvaṃ Svs_102a	asataH sarvadA-asattvam Svs_102a
   asatīveti tadvyaktir Svs_288a	asatI-iva-iti tad-vyaktiH Svs_288a
   asato 'rthāntarebhyaś ca Svs_393a	asataH arTa-antareByaH ca Svs_393a
   asattvaṃ ca ghaṭādiṣu Svs_90b	asattvam ca Gawa-Adizu Svs_90b
   asattvān na hy asad brahma Svs_30a	asattvAt na hi asat brahma Svs_30a
   asattve na viśeṣo 'sti Svs_103a	asattve na viSezaH asti Svs_103a
   asattve vā kathaṃ tasminn Svs_75a	asattve vA kaTam tasmin Svs_75a
   asatyām api darśanāt Svs_158b	asatyAm api darSanAt Svs_158b
   asti cet pakṣabādhaḥ syān Svs_413a	asti ced pakza-bADaH syAt Svs_413a
   astitvaṃ yady abūbudhat Svs_89b	astitvam yadi abUbuDat Svs_89b
   astināstīti no dhiyaḥ Svs_92b	astinA-asti-iti naH DiyaH Svs_92b
   astīti pratyayo bhavet Svs_75b	asti-iti pratyayaH Bavet Svs_75b
   asthāne tena tadvacaḥ Svs_309b	asTAne tena tad-vacaH Svs_309b
   aspṛṣṭasyākhileśituḥ Svs_42b	aspRzwasya-aKila-ISituH Svs_42b
   āgamaḥ kāryaniṣṭhatvād Svs_383a	AgamaH kArya-nizWa-tvAt Svs_383a
   ātmano nityamuktatvān Svs_284a	AtmanaH nitya-mukta-tvAn Svs_284a
   ādāv ante ca yan nāsti Svs_100a	AdO ante ca yat na-asti Svs_100a
