   // namaḥ sarvajñāya //	// namaH sarvajQAya //
   evaṃ mayā śrutaṃ / ekasmin samaye bhagavāñ śrāvastyāṃ viharati	evam mayA Srutam / ekasmin samaye BagavAn SrAvastyAm viharati
   sma jetavane 'nāthapiṃḍadasyārāme mahatā bhikṣusaṃghena sārdham	sma jetavane anATa-piMxadasya-ArAme mahatA Bikzu-saMGena sArDam
   ardhatrayodaśabhir	arDa-trayodaSaBiH-
   bhikṣuśatair abhijñānābhijñātaiḥ sthavirair mahāśrāvakaiḥ sarvair	Bikzu-SatEH aBijQAna-aBijQAtEH sTavirEH mahA-SrAvakEH sarvEH-
   arhadbhiḥ /	arhadBiH /
   tadyathā sthavireṇa ca śāriputreṇa mahāmaudgalyāyanena ca mahākāśyapena	tat-yaTA sTavireNa ca SAriputreNa mahAmOdgalyAyanena ca mahAkASyapena
   ca mahākapphiṇena ca mahākātyāyanena ca mahākauṣṭhilena	ca mahA-kapPiNena ca mahAkAtyAyanena ca mahA-kOzWilena
   ca revatena ca śuddhipaṃthakena ca naṃdena cānaṃdena ca rāhulena ca	ca revatena ca SudDi-paMTakena ca naMdena ca-anaMdena ca rAhulena ca
   gavāṃpatinā ca bharadvājena ca kālodayinā ca vakkulena cāniruddhena	gavAMpatinA ca BaradvAjena ca kAla-udayinA ca vakkulena ca-anirudDena
   ca / etaiś cānyaiś ca saṃbahulair mahāśrāvakaiḥ saṃbahulaiś ca	ca / etEH ca-anyEH ca saMbahulEH mahA-SrAvakEH saMbahulEH ca
   bodhisattvair	boDisattvEH-
   mahāsattvaiḥ / tadyathā maṃjuśriyā ca kumārabhūtenājitena ca	mahAsattvEH / tat-yaTA maMju-SriyA ca kumAra-BUtena-ajitena ca
   bodhisattvena gaṃdhahastinā ca bodhisattvena nityodyuktena ca	boDisattvena gaMDa-hastinA ca boDisattvena nitya-udyuktena ca
   bodhisattvenānikṣiptadhureṇa	boDisattvena-anikzipta-DureNa
   ca bodhisattvena / etaiś cānyaiś ca saṃbahulair bodhisattvair	ca boDisattvena / etEH ca-anyEH ca saMbahulEH boDisattvEH-
   mahāsattvaiḥ / śakreṇa ca devānām iṃdreṇa brahmaṇā ca sahāṃpatinā /	mahAsattvEH / SakreNa ca devAnAm iMdreNa brahmaNA ca sahAMpatinA /
   etaiś cānyaiś ca saṃbahulair devaputranayutaśatasahasraiḥ //1//	etEH ca-anyEH ca saMbahulEH deva-putra-nayuta-Sata-sahasrEH //1//
   P--O.93:J.196	P--O.93:J.196
   tatra khalu bhagavān āyuṣmaṃtaṃ śāriputram āmaṃtrayati sma / asti	tatra Kalu BagavAn AyuzmaMtam SAriputram AmaMtrayati sma / asti
   śāriputra paścime digbhāga ito buddhakṣetraṃ koṭiśatasahasraṃ	SAriputra paScime diS-BAgaH itas budDa-kzetram kowi-Sata-sahasram
   buddhakṣetrāṇām	budDa-kzetrANAm
   atikramya sukhāvatī nāma lokadhātuḥ / tatrāmitāyurnāma tathāgato	atikramya suKAvatI nAma lokaDAtuH / tatra-amita-AyuH-nAma taTAgataH-
   'rhan samyaksaṃbuddha etarhi tiṣṭhati dhriyate yāpayati dharmaṃ ca	arhan samyaksaMbudDaH etarhi tizWati Driyate yApayati Darmam ca
   deśayati / tat kiṃ manyase śāriputra kena kāraṇena sā lokadhātuḥ	deSayati / tat kim manyase SAriputra kena kAraNena sA lokaDAtuH
   sukhāvatīty ucyate / tatra khalu punaḥ śāriputra sukhāvatyāṃ lokadhātau	suKAvatI-iti ucyate / tatra Kalu punar SAriputra suKAvatyAm lokaDAtO
   nāsti sattvānāṃ kāyaduḥkhaṃ na cittaduḥkhaṃ apramāṇāny eva sukhakāraṇāni /	na-asti sattvAnAm kAya-duHKam na citta-duHKam apramANAni eva suKa-kAraNAni /
   tena kāraṇena sā lokadhātuḥ sukhāvatīty ucyate //2//	tena kAraNena sA lokaDAtuH suKAvatI-iti ucyate //2//
   punar aparaṃ śāriputra sukhāvatī lokadhātuḥ saptabhir vedikābhiḥ	punar aparam SAriputra suKAvatI lokaDAtuH saptaBiH vedikABiH
   saptabhis tālapaṃktibhiḥ kiṃkiṇījālaiś ca samalaṃkṛtā samaṃtato	saptaBiH tAlapaMktiBiH kiMkiNI-jAlEH ca samalaMkRtA samaMtataH-
   'nuparikṣiptā	anuparikziptA
   citrā darśanīyā caturṇāṃ ratnānāṃ / tadyathā suvarṇasya	citrA darSanIyA caturNAm ratnAnAm / tat-yaTA suvarNasya
   rūpyasya vaiḍūryasya sphaṭikasya / evaṃrūpaiḥ śāriputra	rUpyasya vExUryasya sPawikasya / evaMrUpEH SAriputra
   buddhakṣetraguṇavyūhaiḥ	budDa-kzetra-guNa-vyUhEH
   samalaṃkṛtaṃ tadbuddhakṣetraṃ //3//	samalaMkRtam tat-budDa-kzetram //3//
   punar aparaṃ śāriputra sukhāvatyāṃ lokadhātau saptaratnamayyaḥ puṣkariṇyaḥ	punar aparam SAriputra suKAvatyAm lokaDAtO sapta-ratna-mayyaH puzkariNyaH
   tadyathā suvarṇasya rūpyasya vaiḍūryasya sphaṭikasya lohita-	tat-yaTA suvarNasya rUpyasya vExUryasya sPawikasya lohita-
   muktasyāśmagarbhasya musāragalvasya saptamasya ratnasya / aṣṭāṃgopetavāri-	muktasya-aSmagarBasya musAra-galvasya saptamasya ratnasya / azwAMga-upeta-vAri-
   paripūrṇāḥ samatīrthakāḥ kākapeyā(1) suvarṇavālukāsaṃstṛtāḥ /	paripUrNAH sama-tIrTakAH kAkapeyA(1) suvarNa-vAlukA-saMstRtAH /
   tāsu ca puṣkariṇīṣu samaṃtāc caturdiśaṃ catvāri sopānāni citrāṇi	tAsu ca puzkariNIzu samaMtAt caturdiSam catvAri sopAnAni citrANi
   darśanīyāni caturṇāṃ ratnānāṃ / tadyathā suvarṇasya rūpyasya vaiḍūryasya	darSanIyAni caturNAm ratnAnAm / tat-yaTA suvarNasya rUpyasya vExUryasya
   sphaṭikasya / tāsāṃ ca puṣkariṇīnāṃ samaṃtād ratnavṛkṣā jātāś citrā	sPawikasya / tAsAm ca puzkariNInAm samaMtAt ratna-vRkzAH jAtAH citrA
   darśanīyā saptānāṃ ratnānāṃ / tadyathā suvarṇasya rūpyasya vaiḍūryasya	darSanIyA saptAnAm ratnAnAm / tat-yaTA suvarNasya rUpyasya vExUryasya
   sphaṭikasya lohitamuktasyāśmagarbhasya musāragalvasya saptamasya	sPawikasya lohita-muktasya-aSma-garBasya musAra-galvasya saptamasya
   P--O.94:J.198	P--O.94:J.198
   ratnasya / tāsu ca puṣkariṇīṣu saṃti padmāni jātāni nīlāni	ratnasya / tAsu ca puzkariNIzu saMti padmAni jAtAni nIlAni
   nīlavarṇāni nīlanirbhāsāni nīlanidarśanāni / pītāni	nIla-varNAni nIla-nirBAsAni nIla-nidarSanAni / pItAni
   pītavarṇāni pītanirbhāsāni pītanidarśanāni / lohitāni	pIta-varNAni pIta-nirBAsAni pIta-nidarSanAni / lohitAni
   lohitavarṇāni lohitanirbhāsāni lohitanidarśanāni / avadātāny	lohita-varNAni lohita-nirBAsAni lohita-nidarSanAni / avadAtAni-
   avadātavarṇāny avadātanirbhāsāny avadātanidarśanāni / citrāni	avadAta-varNAni avadAta-nirBAsAni avadAta-nidarSanAni / citrAni
   citravarṇāni citranirbhāsāni citranidarśanāni śakaṭacakra-	citra-varNAni citra-nirBAsAni citra-nidarSanAni Sakawa-cakra-
   pramāṇapariṇāhāni / evaṃrūpaiḥ śāriputra buddhakṣetraguṇavyūhaiḥ	pramANa-pariNAhAni / evaMrUpEH SAriputra budDa-kzetra-guNa-vyUhEH
   samalaṃkṛtaṃ	samalaMkRtam
   tadbuddhakṣetraṃ //4//	tat-budDa-kzetram //4//
   punar aparaṃ śāriputra tatra buddhakṣetre nityapravāditāni divyāni	punar aparam SAriputra tatra budDa-kzetre nitya-pravAditAni divyAni
   tūryāṇi suvarṇavarṇā ca mahāpṛthivī ramaṇīyā / tatra ca buddhakṣetre	tUryANi suvarNa-varNA ca mahA-pRTivI ramaNIyAH / tatra ca budDa-kzetre
   triṣkṛtvo rātrau triṣkṛtvo divasasya puṣpavarṣaṃ pravarṣati divyānāṃ	trizkRtvas rAtrO trizkRtvas divasasya puzpa-varzam pravarzati divyAnAm
   māṃdāravapuṣpāṇāṃ / tatra ye sattvā upapannās ta ekena purobhaktena	mAMdArava-puzpANAm / tatra ye sattvAH upapannAH te ekena puroBaktena
   koṭiśatasahasraṃ buddhānāṃ vaṃdaṃty anyāṃl lokadhātūn gatvā / ekaikaṃ ca	kowi-Sata-sahasram budDAnAm vaMdaMti anyAn lokaDAtUn gatvA / ekEkam ca
   tathāgataṃ koṭiśatasahasrābhiḥ puṣpavṛṣṭibhir abhyavakīrya punar api	taTAgatam kowi-Sata-sahasrABiH puzpa-vRzwiBiH aByavakIrya punar api
   tām eva lokadhātum āgacchaṃti divāvihārāya / evaṃrūpaiḥ śāriputra	tAm eva lokaDAtum AgacCaMti divA-vihArAya / evaMrUpEH SAriputra
   buddhakṣetraguṇavyūhaiḥ samalaṃkṛtaṃ tadbuddhakṣetraṃ //5//	budDa-kzetra-guNa-vyUhEH samalaMkRtam tat-budDa-kzetram //5//
   punar aparaṃ śāriputra tatra buddhakṣetre saṃti haṃsāḥ kraiṃcā mayūrāś ca	punar aparam SAriputra tatra budDa-kzetre saMti haMsAH krEMcAH mayUrAH ca
   te triṣkṛtvo rātrau triṣkṛtvo divasasya saṃnipatya saṃgītiṃ kurvaṃti	te trizkRtvaH rAtrO trizkRtvas divasasya saMnipatya saMgItim kurvaMti
   sma svakasvakāni ca rutāni pravyāharaṃti / teṣāṃ pravyāharatām	sma sva-ka-svakAni ca rutAni pravyAharaMti / tezAm pravyAharatAm
   iṃdriyabalabodhyaṃgaśabdo niścarati / tatra teṣāṃ manuṣyāṇāṃ taṃ śabdaṃ	iMdriya-bala-boDyaMga-SabdaH niScarati / tatra tezAm manuzyANAm tam Sabdam
   śrutvā buddhamanasikāra utpadyate dharmamanasikāra utpadyate	SrutvA budDa-manasikAraH utpadyate Darma-manasikAraH utpadyate
   saṃghamanasikāra	saMGa-manasikAra
   utpadyate // tat kiṃ manyase śāriputra tiryagyonigatās te	utpadyate // tat kim manyase SAriputra tiryagyoni-gatAH te
   P--O.95:J.200	P--O.95:J.200
   sattvāḥ / na punar evaṃ draṣṭavyaṃ / tat kasmād dhetoḥ / nāmāpi śāriputra	sattvAH / na punar evam drazwavyam / tat kasmAt DetoH / nAma-api SAriputra
   tatra buddhakṣetre nirayāṇāṃ nāsti tiryagyonīnāṃ yamalokasya	tatra budDa-kzetre nirayANAm na-asti tiryagyonInAm yama-lokasya
   nāsti / te punaḥ pakṣisaṃghās tenāmitāyuṣā tathāgatena nirmitā	na-asti / te punar pakzi-saMGAH tena-amita-AyuzA taTAgatena nirmitA
   dharmaśabdaṃ niścārayaṃti / evaṃrūpaiḥ śāriputra buddhakṣetraguṇavyūhaiḥ	Darma-Sabdam niScArayaMti / evaMrUpEH SAriputra budDa-kzetra-guNa-vyUhEH
   samalaṃkṛtaṃ tadbuddhakṣetraṃ //6//	samalaMkRtam tat-budDa-kzetram //6//
   punar aparaṃ śāriputra tatra buddhakṣetre tāsāṃ ca tālapaṃktīnāṃ teṣāṃ ca	punar aparam SAriputra tatra budDa-kzetre tAsAm ca tAlapaMktInAm tezAm ca
   kiṃkiṇījālānāṃ vāteritānāṃ valgur manojñaḥ śabdo niścarati /	kiMkiNI-jAlAnAm vAta-IritAnAm valguH manojQaH SabdaH niScarati /
   tadyathāpi nāma śāriputra koṭiśatasahasrāṃgikasya divyasya tūryasya	tat-yaTA-api nAma SAriputra kowi-Sata-sahasra-aMgikasya divyasya tUryasya
   cāryaiḥ(2) saṃpravāditasya valgur manojñaḥ śabdo niścarati evam eva	cAryEH(2) saMpravAditasya valguH manojQaH SabdaH niScarati evam eva
   śāriputra tāsāṃ ca tālapaṃktīnāṃ teṣāṃ ca kiṃkiṇījālānāṃ	SAriputra tAsAm ca tAlapaMktInAm tezAm ca kiMkiNI-jAlAnAm
   vāteritānāṃ valgur manojñaḥ śabdo niścarati / tatra teṣāṃ manuṣyāṇāṃ	vAta-IritAnAm valguH manojQaH SabdaH niScarati / tatra tezAm manuzyANAm
   taṃ śabdaṃ śrutvā buddhānusmṛtiḥ kāye saṃtiṣṭhati dharmānusmṛtiḥ kāye	tam Sabdam SrutvA budDa-anusmRtiH kAye saMtizWati Darma-anusmRtiH kAye
   saṃtiṣṭhati saṃghānusmṛtiḥ kāye saṃtiṣṭhati / evaṃrūpaiḥ śāriputra	saMtizWati saMGa-anusmRtiH kAye saMtizWati / evaMrUpEH SAriputra
   buddhakṣetraguṇavyūhaiḥ samalaṃkṛtaṃ tadbuddhakṣetraṃ //7//	budDa-kzetra-guNa-vyUhEH samalaMkRtam tat-budDa-kzetram //7//
   tat kiṃ manyase śāriputra kena kāraṇena sa tathāgato 'mitāyur nāmocyate /	tat kim manyase SAriputra kena kAraNena sa taTAgataH amita-AyuH nAma-ucyate /
   tasya khalu punaḥ śāriputra tathāgatasya teṣāṃ ca manuṣyāṇām(3)	tasya Kalu punar SAriputra taTAgatasya tezAm ca manuzyANAm-(3)
   aparimitam āyuḥpramāṇaṃ / tena kāraṇena sa tathāgato 'mitāyur nāmocyate /	aparimitam AyuH-pramANam / tena kAraNena sa taTAgataH amita-AyuH nAma-ucyate /
   tasya ca śāriputra tathāgatasya daśa kalpā anuttarāṃ	tasya ca SAriputra taTAgatasya daSa kalpAH anuttarAm
   samyaksaṃbodhim abhisaṃbuddhasya //8//	samyaksaMboDim aBisaMbudDasya //8//
   tat kiṃ manyase śāriputra kena kāraṇena sa tathāgato 'mitābho	tat kim manyase SAriputra kena kAraNena sa taTAgataH amitA-Bo
   nāmocyate / tasya khalu punaḥ śāriputra tathāgatasyābhāpratihatā	nAma-ucyate / tasya Kalu punar SAriputra taTAgatasya-aBA-pratihatA
   sarvabuddhakṣetreṣu / tena kāraṇena sa tathāgato 'mitābho nāmocyate //	sarva-budDa-kzetrezu / tena kAraNena sa taTAgataH amita-ABaH nAma-ucyate //
   P--O.96:J.202	P--O.96:J.202
   tasya ca śāriputra tathāgatasyāprameyaḥ śrāvakasaṃgho yeṣāṃ na sukaraṃ	tasya ca SAriputra taTAgatasya-aprameyaH SrAvaka-saMGaH yezAm na sukaram
   pramāṇam ākhyātuṃ śuddhānām arhatāṃ / evaṃrūpaiḥ śāriputra	pramANam AKyAtum SudDAnAm arhatAm / evaMrUpEH SAriputra
   buddhakṣetraguṇavyūhaiḥ	budDa-kzetra-guNa-vyUhEH
   samalaṃkṛtaṃ tadbuddhakṣetraṃ //9//	samalaMkRtam tat-budDa-kzetram //9//
   punar aparaṃ śāriputra ye 'mitāyuṣas tathāgatasya buddhakṣetre sattvā	punar aparam SAriputra ye amita-AyuzaH taTAgatasya budDa-kzetre sattvA
   upapannāḥ śuddhā bodhisattvā avinivartanīyā ekajātipratibaddhās	upapannAH SudDA boDisattvAH avinivartanIyAH eka-jAti-pratibadDA-aH-
   teṣāṃ śāriputra bodhisattvānāṃ na sukaraṃ pramāṇam ākhyātum	tezAm SAriputra boDisattvAnAm na sukaram pramANam AKyAtum
   anyatrāprameyāsaṃkhyeyā	anyatra-aprameya-asaMKyeyA
   iti saṃkhyāṃ gacchaṃti // tatra khalu punaḥ śāriputra	iti saMKyAm gacCaMti // tatra Kalu punar SAriputra
   buddhakṣetre sattvaiḥ praṇidhānaṃ kartavyaṃ / tat kasmād dhetoḥ / yatra hi	budDa-kzetre sattvEH praNiDAnam kartavyam / tat kasmAt DetoH / yatra hi
   nāma	nAma
   tathārūpaiḥ satpuruṣaiḥ saha samavadhānaṃ bhavati / nāvaramātrakeṇa	taTArUpEH sat-puruzEH saha samavaDAnam Bavati / nAvara-mAtrakeNa
   śāriputra kuśalamūlenāmitāyuṣas tathāgatasya buddhakṣetre sattvā	SAriputra kuSala-mUlena-amita-AyuzaH taTAgatasya budDa-kzetre sattvA
   upapadyaṃte /	upapadyaMte /
   yaḥ kaścic chāriputra kulaputro vā kuladuhitā vā tasya	yaH kaScid SAriputra kula-putraH vA kula-duhitA vA tasya
   bhagavato 'mitāyuṣas tathāgatasya nāmadheyaṃ śroṣyati śrutvā ca	BagavataH amita-AyuzaH taTAgatasya nAmaDeyam Srozyati SrutvA ca
   manasikariṣyati	manasikarizyati
   ekarātraṃ vā dvirātraṃ vā trirātraṃ vā catūrātraṃ vā	eka-rAtram vA dvi-rAtram vA tri-rAtram vA catUrAtram vA
   paṃcarātraṃ vā ṣaḍrātraṃ vā saptarātraṃ vāvikṣiptacitto manasikariṣyati	paMcarAtram vA zaz-rAtram vA sapta-rAtram vA-avikzipta-cittaH manasikarizyati
   yadā sa kulaputro vā kuladuhitā vā kālaṃ kariṣyati tasya kālaṃ	yadA sa kula-putraH vA kula-duhitA vA kAlam karizyati tasya kAlam
   kurvataḥ so 'mitāyus tathāgataḥ śrāvakasaṃghaparivṛto	kurvataH saH amita-AyuH taTAgataH SrAvaka-saMGa-parivRtaH-
   bodhisattvagaṇapuraskṛtaḥ	boDisattva-gaNa-puraskRtaH
   purataḥ sthāsyati so 'viparyastacittaḥ kālaṃ kariṣyati ca(4) /	puratas sTAsyati saH aviparyasta-cittaH kAlam karizyati ca(4) /
   sa kālaṃ krtvā tasyaivāmitāyuṣas tathāgatasya buddhakṣetre sukhāvatyāṃ	sa kAlam krtvA tasya-eva-amita-AyuzaH taTAgatasya budDa-kzetre suKAvatyAm
   lokadhātāv upapatsyate / tasmāt tarhi śāriputra idam arthavaśam	lokaDAtO upapatsyate / tasmAt tarhi SAriputraH idam arTa-vaSam
   saṃpaśyamāna	saMpaSyamAna
   evaṃ vadāmi satkṛtya kulaputreṇa vā kuladuhitrā vā tatra buddhakṣetre	evam vadAmi satkRtya kula-putreNa vA kula-duhitrA vA tatra budDa-kzetre
   cittapraṇidhānaṃ kartavyaṃ //10//	citta-praNiDAnam kartavyam //10//
   tadyathāpi nāma śāriputra aham etarhi tāṃ parikīrtayāmi evam eva	tat-yaTA-api nAma SAriputra aham etarhi tAm parikIrtayAmi evam eva
   P--O.97:J.204	P--O.97:J.204
   śāriputra pūrvasyāṃ diśy akṣobhyo nāma tathāgato merudhvajo nāma	SAriputra pUrvasyAm diSi akzoByaH nAma taTAgataH meruDvajaH nAma
   tathāgato mahāmerur nāma tathāgato meruprabhāso nāma tathāgato	taTAgataH mahAmeruH nAma taTAgataH merupraBAsaH nAma taTAgataH-
   maṃjudhvajo nāma tathāgata evaṃpramukhāḥ śāriputra pūrvasyāṃ diśi	maMjuDvajaH nAma taTAgataH evaMpramuKAH SAriputra pUrvasyAm diSi
   gaṃgānadīvālukopamā buddhā bhagavaṃtaḥ svakasvakāni buddhakṣetrāṇi	gaMgA-nadI-vAlukA-upamA budDAH BagavaMtaH sva-ka-svakAni budDa-kzetrANi
   jihveṃdriyeṇa saṃcchādayitvā nirveṭhanaṃ kurvaṃti / pratīyatha yūyam idam	jihveMdriyeNa saMcCAdayitvA nirveWanam kurvaMti / pratIyaTa yUyam idam
   aciṃtyaguṇa-	aciMtya-guNa-
   parikīrtanaṃ sarvabuddhaparigrahaṃ nāma dharmaparyāyaṃ //11//	parikIrtanam sarva-budDa-parigraham nAma Darma-paryAyam //11//
   evaṃ dakṣiṇasyāṃ diśi caṃdrasūryapradīpo nāma tathāgato yaśaḥprabho	evam dakziNasyAm diSi caMdra-sUryapradIpaH nAma taTAgataH yaSaH-praBo
   nāma tathāgato mahārciskaṃdho nāma tathāgato merupradīpo nāma	nAma taTAgataH mahA-arciskaMDaH nAma taTAgataH meru-pradIpaH nAma
   tathāgato 'naṃtavīryo nāma tathāgata evaṃpramukhāḥ śāriputra dakṣiṇasyāṃ	taTAgataH anaMta-vIryaH nAma taTAgataH evaMpramuKAH SAriputra dakziNasyAm
   diśi gaṃgānadīvālukopamā buddhā bhagavaṃtaḥ svakasvakāni	diSi gaMgA-nadI-vAlukA-upamA budDAH BagavaMtaH sva-ka-svakAni
