   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati-sAhasrikA PrajQApAramitA
   (PvSPL 1a)	(PvSPL 1a)
   namas sarvajñāya // evaṃ mayā śrutam ekasmin samaye bhagavān rājagṛhe	namaH sarvajQAya // evam mayA Srutam ekasmin samaye BagavAn rAjagRhe
   viharati sma gṛdhrakūṭe parvate mahatā bhikṣusaṃghena sārdhaṃ pañcamātrair	viharati sma gRDrakUwe parvate mahatA Bikzu-saMGena sArDam paQca-mAtrEH-
   bhikṣusahasrais sarvair arhadbhiḥ kṣīṇāsravair niṣkleśair vaśībhūtaiḥ	Bikzu-sahasrEH sarvEH arhadBiH kzINa-AsravEH nizkleSEH vaSIBUtEH
   suvimuktacittaiḥ suvimuktaprajñair ājāneyair mahānāgaiḥ kṛtakṛtyaiḥ	su-vimukta-cittEH su-vimukta-prajQEH AjAneyEH mahA-nAgEH kRtakRtyEH
   kṛtakaraṇīyair apahṛtabhārair anuprāptasvakārthaiḥ	kRta-karaNIyEH apahRta-BArEH anuprApta-svaka-arTEH
   parikṣīṇabhavasaṃyojanais samyagājñāsuvimuktacittais	parikzINa-Bava-saMyojanEH samyak-AjQA-su-vimukta-cittEH-
   sarvacetovaśiparamapāramiprāptaiḥ pañcamātrair bhikṣuṇīśatair upāsakair	sarva-cetaH-vaSi-parama-pArami-prAptEH paQca-mAtrEH BikzuNI-SatEH upAsakEH-
   upāsikābhiś ca sārdhaṃ sarvair dṛṣṭadharmair anekaiś ca	upAsikABiH ca sArDam sarvEH dRzwa-DarmEH anekEH ca
   bodhisatvakoṭīnayutaśatasahasraiḥ sārdhaṃ sarvair dhāraṇīpratilabdhaiḥ	boDisatva-kowIn-ayuta-Sata-sahasrEH sArDam sarvEH DAraNI-pratilabDEH
   śūnyatāvihāribhir animittagocaraiḥ praṇidhānākalpitaiḥ	SUnyatA-vihAriBiH animitta-gocarEH praNiDAna-akalpitEH
   kṣāntisamatāpratilabdhair asaṅgadhāraṇīpratilabdhair acyutābhijñair	kzAnti-samatA-pratilabDEH asaFga-DAraNI-pratilabDEH acyuta-aBijQEH-
   ādeyavacanair akuhakair alapakair apagatajñātṛlābhacittaiḥ	Adeya-vacanEH akuhakEH alapakEH apagata-jQAtR-lABa-cittEH
   nirāmiṣadharmadeśakair gambhīradharmakṣāntipāraṅgatair vaiśāradyaprāptair	nirAmiza-Darma-deSakEH gamBIra-Darma-kzAnti-pAraFgatEH vESAradya-prAptEH-
   mārakarmasamatikrāntaiḥ karmāvaraṇapratiprasrabdhair	mAra-karma-samatikrAntEH karma-AvaraNa-pratiprasrabDEH-
   dharmapravicayavibhaktinirdeśakuśalair	Darma-pravicaya-viBakti-nirdeSa-kuSalEH-
   asaṃkhyeyakalpapraṇidhānasusamārabdhaiḥ smitamukhaiḥ pūrvālāpibhiḥ	asaMKyeya-kalpa-praNiDAna-su-samArabDEH smita-muKEH pUrva-AlApiBiH
   apagatabhrūkuṭīmukhair gāthābhigītālapanakuśalair apagatalīnacittair	apagata-BrU-kuwI-muKEH gATA-aBigIta-Alapana-kuSalEH apagata-lIna-cittEH-
   anācchedyapratibhānair anantaparṣadabhibhaṃvanavaiśāradyasamanvāgatair	anAcCedya-pratiBAnEH ananta-parzad-aBiBaMvana-vESAradya-samanvAgatEH-
   anantakalpakoṭīniḥsaraṇakuśalair	ananta-kalpa-kowI-niHsaraNa-kuSalEH-
   māyāmarīcidakacandrasvapnapratiśrutkāpratibhāsapratibimbanirmāṇopamadharmādhimuktais	mAyA-marIci-daka-candra-svapna-pratiSrutka-apratiBAsa-pratibimba-nirmANa-upama-Darma-aDimuktEH-
   satvagaticaritasūkṣmanānādhimuktyavatārakuśalair apratihatacittair	satva-gati-carita-sUkzma-nAnA-aDimukti-avatAra-kuSalEH apratihata-cittEH-
   adhimātrakṣāntisamanvāgatair yathātmyāvataraṇakuśalais	aDimAtra-kzAnti-samanvAgatEH yaTA-AtmyA-avataraNa-kuSalEH-
   sarvabuddhakṣetrānantavyūhapraṇidhānaprasthānaparigṛhītair	sarva-budDa-kzetra-ananta-vyUha-praNiDAna-prasTAna-parigRhItEH-
   asaṃkhyeyalokadhātubuddhānusmṛtisamādhisatatasamitamabhimukhībhūtair	asaMKyeya-loka-DAtu-budDa-anusmRti-samADi-satata-samitam-aBimuKIBUtEH-
