   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   akanyeti tu yaḥ kanyāṃ Mn_8.225a	akanyA iti tu yaH kanyAm M= _8.225a
   akanyeti tu yaḥ kanyāṃ Nar_12.34a	akanyA iti tu yaH kanyAm Nar_12.34a
   akartā nityayajñānāṃ YSS_2.9a	akartA nitya yajQAnAm YSH _2.9a
   akalpā pariṣadyatra Ang_2,6.2a	akalpA parizadyatra Ank _2,6.2a
   akasmāt kāraṇaṃ vinā K_843d	akasmAt kAraNam vinA K_843d
   akāmakṛtapāpasya Par_8.1c	akAma kRta pApasya Par_8.1c
   akāmatas tu yo bhuṅkte Par_11.25c	akAmatas tu yaH BuFkte Par_11.25c
   akāmatas tu rājanyaṃ Mn_11.127[126M]a	akAmatas tu rAjanyam M= _11.127[126M]a
   akāmataḥ kāmacāre Yj_2.162c	akAmatas kAmacAre Yt _2.162c
   akāmataḥ kṛtaṃ pāpaṃ Mn_11.46[45M]a	akAmatas kRtam pApam M= _11.46[45M]a
   akāmataḥ kṛte pāpe Mn_11.45[44M]a	akAmatas kRte pApe M= _11.45[44M]a
   akāmam ananujñātam K_525a	akAmam ananujQAtam K_525a
   akāmasya kriyā kā cid Mn_2.4a	akAmasya kriyA kA cit M= _2.4a
   akāmaḥ svayam arjitam Mn_9.209d	akAmaH svayam arjitam M= _9.209d
   akāmād uddhṛtaṃ bhuvi K_811b	akAmAt udDRtam Buvi K_811b
   akāraṇe ca vikroṣṭā Yj_2.234c	akAraNe ca vikrozwA Yt _2.234c
   akāraṇe parityaktā Mn_3.157[147M]a	akAraNe parityaktAH M= _3.157[147M]a
   akāraś cāsya nāmno 'nte Mn_2.125c	akAraH ca asya nAmnaH ante M= _2.125c
   akāraṃ cāpy ukāraṃ ca Mn_2.76a	akAram ca api ukAram ca M= _2.76a
   akāryakaraṇaṃ kṛtam K_482b	akArya karaNam kRtam K_482b
   akāryakaraṇeṣveṣu Ang_1.171a	akArya karaNezu ezu Ank _1.171a
   akāryakāriṇāṃ dānaṃ Yj_3.32a	akArya kAriNAm dAnam Yt _3.32a
   akāryam anyat kuryād vā Mn_11.96[95M]c	akAryam anyat kuryAt vA M= _11.96[95M]c
   akālabhuktirāśauce Ang_1.47a	akAla BuktiH ASOce Ank _1.47a
   akāle kāla eva vā Mn_7.164[165M]b	akAle kAlaH eva vA M= _7.164[165M]b
   akāle krayavikrayī Mn_8.400b	akAle kraya vikrayI M= _8.400b
   akāle 'pi bṛhaspatiḥ K_152d	akAle api bRhaspatiH K_152d
   akāle prāṇasaṃkṣayaḥ Yj_3.165d	akAle prANa saMkzayaH Yt _3.165d
   akāle vāhayen naraḥ K_789b	akAle vAhayet naraH K_789b
   akiṃcanairdurbalairvā Ang_1.633a	akiMcanEH durbalEH vA Ank _1.633a
   akurvatas tu tad dhāni K_541c	akurvataH tu tat DAni K_541c
   akurvan daṇḍam arhati K_657d	akurvan daNxam arhati K_657d
   akurvan vihitaṃ karma Mn_11.44[43M]a	akurvan vihitam karma M= _11.44[43M]a
   akurvaṃs tat tathā daṇḍyas K_673c	akurvan tat taTA daNxyaH K_673c
   akūṭaṃ kūṭakaṃ brūte Yj_2.241a	akUwam kUwakam brUte Yt _2.241a
   akūṭair āyudhair yānti Yj_1.324c	akUwEH AyuDEH yAnti Yt _1.324c
   akṛtaṃ ca kṛtāt kṣetrād Mn_10.114a	akRtam ca kRtAt kzetrAt M= _10.114a
   akṛtaṃ tad iti prāhuḥ Nar_1.35c	akRtam tat iti prAhuH Nar_1.35c
   akṛtaṃ paricakṣate Nar_1.25b	akRtam paricakzate Nar_1.25b
   akṛtaḥ ṣaḍvidhaś cāpi Nar_1.131a	akRtaH zaxviDaH ca api Nar_1.131a
   akṛtaḥ sa tu vijñeyo Mn_8.199c	akRtaH sa tu vijQeyaH M= _8.199c
   akṛtānnaṃ tu śalyakaḥ Mn_12.65d	akRta annam tu SalyakaH M= _12.65d
   akṛtān manur abravīt Mn_8.168d	akRtAn manuH abravIt M= _8.168d
   akṛtā vā kṛtā vāpi Mn_9.136a	akRtA vA kRtA vA api M= _9.136a
   akṛte tarpaṇe bhūyaḥ Ang_1.881a	akRte tarpaNe BUyas Ank _1.881a
   akṛte pratyavāyo na Ang_1.843a	akRte pratyavAyaH naH Ank _1.843a
   akṛtvā kulasaṃtatim Mn_5.159[157M]d	akRtvA kula saMtatim M= _5.159[157M]d
   akṛtvā tu samīpe tu Ang_1.957a	akRtvA tu samIpe tu Ank _1.957a
   akṛtvā nityakarmāṇi Ang_1.260a	akRtvA nitya karmANi Ank _1.260a
   akṛtvā pitṛtarpaṇam Par_12.13d	akRtvA pitR tarpaNam Par_12.13d
   akṛtvā pretasaṃskāraṃ Ang_1.142a	akRtvA preta saMskAram Ank _1.142a
   akṛtvā bhaikṣacaraṇam Mn_2.187a	akRtvA BEkza caraNam M= _2.187a
   akṛtvā vapanaṃ tasya Par_9.54a	akRtvA vapanam tasya Par_9.54a
   akṛtvā vapanaṃ teṣāṃ YS99v_56c	akRtvA vapanam tezAm YS99u _56c
   akṛtvā vaiśvadevaṃ tu Par_1.56a	akRtvA vESvadevam tu Par_1.56a
   akṛtvaiva tadā śrāddhaṃ Ang_1.67a	akRtvA eva tadA SrAdDam Ank _1.67a
   akṛtvaiva nivṛttiṃ yaḥ Ang_2,8.9a	akRtvA eva nivRttim yaH Ank _2,8.9a
   akḷptaścettu yo bhavet Ang_1.636b	ak?ptaH ced tu yaH Bavet Ank _1.636b
   akḷptā iti sūribhiḥ Ang_1.656b	ak?ptAH iti sUriBiH Ank _1.656b
   akḷptānyeva kevalam Ang_1.657b	ak?ptAni eva kevalam Ank _1.657b
   akḷpto 'nyena cedbhavet Ang_1.635d	ak?ptaH anyena ced Bavet Ank _1.635d
   akramoḍhāsutaś caiva K_862a	akrama UXA sutaH ca eva K_862a
   akramoḍhāsutas tv ṛkthī K_863a	akrama UXA sutaH tu RkTI K_863a
   akravyādas tu vatsikām Yj_3.272d	akravyAdaH tu vatsikAm Yt _3.272d
   akravyādān vatsatarīm Mn_11.137[136M]c	akravyAdAn vatsatarIm M= _11.137[136M]c
