   Tattvasamāsasūtravṛttiḥ /	Tattva-samAsa-sUtra-vRttiH /
        pañcaviṃśatitattveṣu janmanā jñānamāptavān /	paQcaviMSati-tattvezu janmanA jQAnam-AptavAn /
        ādisṛṣṭau namastasmai kapilāya maharṣaye // 1 //     	Adi-sRzwO namaH-tasmE kapilAya mahA-Rzaye // 1 //
   athātastattvasamāsākhyasāṅkhyasūtrāṇi vyākhyāsyāmaḥ |	aTa-atas-tattva-samAsa-AKya-sAFKya-sUtrANi vyAKyAsyAmaH |
   iha kaścidbrāhmaṇastrividhena duḥkhenābhibhūtaḥ sāṅkhyācāryaṃ	iha kaScid-brAhmaNaH-triviDena duHKena-aBiBUtaH sAFKya-AcAryam
   kapilamaharṣiṃ śaraṇamupāgataḥ | svakulanāmagotrasvādhyāyaṃ nivedyāha |	kapila-mahA-Rzim SaraNam-upAgataH | sva-kula-nAma-gotra-svADyAyam nivedya-Aha |
   bhagavan kimiha paraṃ kiṃ yāthātathyaṃ kiṃ kṛtvā kṛtakṛtyaḥ syāmiti |	Bagavan kim-iha param kim yATAtaTyam kim kRtvA kRtakRtyaH syAm-iti |
   kapila uvāca kathayiṣyāmi |	kapilaH uvAca kaTayizyAmi |
   aṣṭau prakṛtayaḥ || Tats_1 ||	azwO prakRtayaH || Tats_1 ||
   ṣoḍaśa vikārāḥ || Tats_2 ||	zoxaSa vikArAH || Tats_2 ||
   puruṣaḥ || Tats_3 ||	puruzaH || Tats_3 ||
   traiguṇyam || Tats_4 ||	trEguNyam || Tats_4 ||
   sañcaraḥ || Tats_5 ||	saQcaraH || Tats_5 ||
   pratisañcaraḥ || Tats_6 ||	pratisaQcaraH || Tats_6 ||
   adhyātmam adhibhūtam adhidaivataṃ ca || Tats_7 ||	aDyAtmam aDiBUtam aDidEvatam ca || Tats_7 ||
   pañcābhibuddhayaḥ || Tats_8 ||	paQca-aBibudDayaH || Tats_8 ||
   pañcakarmayonayaḥ || Tats_9 ||	paQcakarma-yonayaH || Tats_9 ||
   pañcavāyavaḥ || Tats_10 ||	paQca-vAyavaH || Tats_10 ||
   pañcakarmātmānaḥ || Tats_11 ||	paQcakarma-AtmAnaH || Tats_11 ||
   pañcaparvā 'vidyā || Tats_12 ||	paQca-parvA avidyAH || Tats_12 ||
   aṣṭāviṃśatidhā 'śaktiḥ || Tats_13 ||	azwAviMSatiDA aSaktiH || Tats_13 ||
