   ||śrīḥ||	||SrIH||
   krama dīpikā	krama dIpikA
   śrīmad bhagavat śrī kṛṣṇārādhana nirūpaṇa pravaṇa āgama nibandhaḥ	SrI mat  Bagavat  SrI  kRzNa ArADana  nirUpaNa  pravaNaH Agama  nibanDaH
   vidyā vinoda śrī govinda bhaṭṭācārya kṛta vivaraṇa sahitā	vidyA vinoda  SrI  govinda  Bawwa AcArya kRta  vivaraNa  sahitA
   prathamaḥ paṭalaḥ	praTamaH pawalaH
   veṇu vāda vinoda lālasaṃ	veNu vAda vinoda   lAlasam
   divya gandha parilipta vakṣasam |	divya ganDa  parilipta  vakzasam |
   vallavī hṛdaya vitta hāriṇaṃ	vallavI  hRdaya  vitta  hAriNam
   bhāvaye kam api gopa nandanam ||	BAvaye kam api gopa nandanam ||
   viśiṣṭa śiṣṭācārānumita śruti bodhita kartavyatāka prāripsita pratibandhaka durita nivṛtty asādhāraṇa kāraṇam	viSizwa   Sizwa AcAra anumita  Sruti  boDita  kartavya tAka prAripsita pratibanDaka durita  nivRtti  asADAraNa  kAraNam
   iṣṭa devatā'nusmaraṇa pūrvakaṃ maṅgalam āśīr vyājena kṛtaṃ	izwa devatA anusmaraNa  pUrvakam maFgalam ASIr  vyAjena kRtam
   śiṣya śikṣārtham ādau nibadhnāti kalāttamāyety ādinā |	Sizya  SikzA arTam AdO nibaDnAti kalA AttamAya iti AdinA |
   kalātta māyā lavakātta mūrtiḥ	kalAt ta  mAyA a lavakAt ta  mUrtiH
   kala kvaṇad veṇu nināda ramyaḥ |	kala  kvaNad  veNu  ninAda  ramyaH |
   śrito hṛdi vyākulayaṃs trilokīṃ	SritaH hRdi vyAkulayan trilokIm
   śriye 'stu gopī jana vallabho vaḥ // Krd_1.1 //	Sriye astu gopI jana vallaBaH vaH // KrD _1.1 //
   gopī jana vallabho yuṣmākaṃ śriye sampade 'stu bhūyād iti yojanā |	gopI  jana  vallaBaH yuzmAkam Sriye sampade astu BUyAt iti yojanA |
   gopījanasya gopāṅganā janasya vallabhaḥ svāmī | tathā ca	gopI janasya gopa aFganA a  janasya vallaBaH svAmI | taTA ca
   gopī janasyaivāvijñāta vinaya prakarasyāpi vallabhaḥ kiṃ punaḥ	gopI janasya eva avijQAta  vinaya  prakarasya api vallaBaH kim punar 
   sādhakasyāśeṣa pūjā vidhāna kovidasyeti bhāvaḥ | yad vā gopī prakṛtir jano	sADakasya aSeza  pUjA  viDAna  kovidasya iti BAvaH | yat vA gopI prakRtiH janaH 
   mahad ādir anayor vallabhaḥ preraka ity arthaḥ |	mahat  AdiH anayoH vallaBaH prerakaH iti arTaH |
   kīdṛśaḥ kalāyāṃ jñāna svarūpe svasmin āttāyāḥ prāptāyā adhyastāyā māyāyā	kIdRSaH kalAyAm jQAna  svarUpe svasmin AttAyAH prAptAyAH aDyastAyAH mAyAyAH 
   lavakena leśena vikṣepātma svabhāvena āttā prāptā mūrtir yena sa tathoktaḥ	lavakena leSena vikzepa Atma  svaBAvena AttA prAptA mUrtiH yena sa taTA uktaH
   | etena tasya śarīra sambandhe 'pi na svarūpānusandhāna pracyutir	| etena tasya SarIra  sambanDe api na svarUpa anusanDAna  pracyutiH 
   āvaraṇa śakter aprāmāṇyād iti bhāvaḥ |	AvaraNa  SakteH aprAmANyAt iti BAvaH |
   atha vā kalā bandhane, tathā ca bandhanātmaka saṃsāra pravartanārthaṃ	aTa vA kalA banDane, taTA ca banDana Atmaka  saMsAra  pravartana arTam
   svīkṛta māyā leśātmaka jala tattvātmanāṅgīkṛta mūrtir iti | toyena jīvān	svIkRta  mAyA a leSa Atmaka  jala  tattva AtmanA aFgIkRta mUrtiH iti | toyena jIvAn
   visasarja bhūmyām iti |	visasarja BUmyAm iti |
   athavā, saṃmohana mantra rūpakaṃ kāma bījaṃ sakala gopāla mantrāṇāṃ bījam	aTavA, saMmohana  mantra  rUpakam kAma bIjam sakala  gopAla mantrANAm bIjam
   udāharati kaleti | kaś ca laś ca kalau tābhyām attau gṛhītau sambaddhau	udAharati kalA iti | kaH ca laH ca kalO tAByAm attO gRhItO sambadDO
   māyā lavakau caturtha svarānusvārau tābhyām āttā svīkṛtā bīja rūpā mūrtir	mAyA a lavakO caturTa svara anusvArO tAByAm AttA svIkRtA bIja  rUpA mUrtiH 
   yena saḥ tathoktaḥ kala ity atrākāra uccāraṇārthaḥ |	yena saH taTA uktaH kalaH iti atra AkAraH uccAraNa arTaH |
   punaḥ kīdṛśaḥ | kalam avyaktaṃ madhuraṃ yathā syāt tathā kvaṇan	punar kIdRSaH | kalam avyaktam maDuram yaTA syAt taTA kvaNan
   śabdāyamānaḥ veṇur vaṃśaḥ kala kvaṇaṃś cāsau veṇuś ceti kala kvaṇad veṇuḥ	SabdAyamAnaH veNuH vaMSaH kala  kvaNan ca asO veNuH ca iti kala  kvaNad veNuH
   | tasya ninādena ramyaḥ sarva mukha prada ity arthaḥ |	| tasya ninAdena ramyaH sarva muKa  pradaH iti arTaH |
   punaḥ kīdṛśaḥ | hṛdi śritaḥ hṛt paṅkaje sthitaḥ hṛdi dhyeya ity arthaḥ |	punar kIdRSaH | hRdi SritaH hRt  paFkaje sTitaH hRdi DyeyaH iti arTaH |
   yad vā sarva prāṇināṃ hṛdaye 'ntaryāmi rūpeṇa sthita ity arthaḥ |	yat vA sarva  prANinAm hRdaye antaryAmi  rUpeNa sTitaH iti arTaH |
   kiṃ kurvan | trayāṇāṃ lokānāṃ samāhāras trilokī | trailokyaṃ vyākulayan	kim kurvan | trayANAm lokAnAm samAhAraH trilokI | trElokyam vyAkulayan
   kartavyeṣu vicāra śūnyaṃ kurvan māyayā mohayann ity arthaḥ | tad uktaṃ	kartavyezu vicAra  SUnyam kurvan mAyayA mohayan iti arTaH | tat uktam
   gītāyāṃ  	gItAyAm  
   īśvaraḥ sarva bhūteṣu hṛd deśe 'rjuna tiṣṭhati |	ISvaraH sarva BUtezu hRd  deSe arjuna tizWati |
   bhrāmayan sarva bhūtāni yantrārūḍhāni māyayā || iti |	BrAmayan sarva BUtAni yantra ArUXAni mAyayA || iti |
   atra laghu dīpikā kāraḥ kalātta māyety ādinā gopī jana vallabha ity anena	atra laGu dIpikA kAraH kalAt ta  mAyA iti  AdinA gopI jana  vallaBaH iti anena
   ca bīja sahito 'tra daśākṣaraḥ sūcitaḥ | kala kvaṇad ity ādinā dhyānaṃ	ca bIja  sahitaH atra daSa akzaraH sUcitaH | kala  kvaNat iti AdinA DyAnam
   sūcitaṃ | trilokīṃ vyākulayann ity anena ca vaśyādi prayogāḥ sūcitāḥ ity	sUcitam | trilokIm vyAkulayan iti anena ca vaSya Adi prayogAH sUcitAH iti 
   āha || KrdC_1.1 ||	Aha || KrdC_1.1 ||
   guru namaskāra pūrvakaṃ kartavyaṃ pratijānīte  	guru namaskAra  pUrvakam kartavyam pratijAnIte  
   guru caraṇa saroruha dvayotthān	guru caraNa  saroruha  dvaya utTAn
   mahita rajaḥ kaṇakān praṇamya mūrdhnā |	mahita rajaH  kaNakAn praNamya mUrDnA |
   gaditam iha vivicya nāradādyair	gaditam iha vivicya nArada AdyEH 
   yajana vidhiṃ kathayāmi śārṅga pāṇeḥ // Krd_1.2 //	yajana  viDim kaTayAmi SArFga pANeH // KrD _1.2 //
   iha granthe śārṅga pāṇeḥ śrī kṛṣṇasya yajana vidhiṃ	iha granTe SArFga pANeH SrI  kRzNasya yajana  viDim
   pūjāhomādikaraṇa prakāraṃ vivicya vivecanaṃ kṛtvā kathayāmi āsamāpter	pUjA homa Adi karaNa  prakAram vivicya vivecanam kRtvA kaTayAmi AsamApteH 
   vartamānatvāt | tathā ca, prācīna granthebhyaḥ sva granthasyopādeyatā	vartamAna tvAt | taTA ca, prAcIna granTeByaH sva  granTasya upAdeya tA
   darśitā | kīdṛśam ? nārada gautama prabhṛtibhir gaditam | etena svokteḥ	darSitA | kIdRSam ? nArada gOtama  praBRtiBiH gaditam | etena sva ukteH
   svātantryaṃ nirākṛtam iti bhāvaḥ | kiṃ kṛtvā ? mūrdhnā mastakena mahitāḥ	svAtantryam nirAkRtam iti BAvaH | kim kRtvA ? mUrDnA mastakena mahitAH
   pūjitā ye rajaḥ kaṇakā dhūli leśās tān praṇamya kīdṛśān guru caraṇa dvayam	pUjitAH ye rajaH  kaNakAH DUli  leSAH tAn praNamya kIdRSAn guru caraNa  dvayam
   eva padma dvayaṃ tad utthān tad udbhavān | etena	eva padma  dvayam tat  utTAn tad  udBavAn | etena
   guru bhart bhatty atiśayaḥ sūcitaḥ | tathā guru dhyānaṃ śirasi kartavyam	guru Bart Batti  atiSayaH sUcitaH | taTA guru DyAnam Sirasi kartavyam
   ity api sūcitam || KrdC_1.2 ||	iti api sUcitam || Krdu _1.2 ||
   mantrāntarebhyo gopāla mantrasyātiśāyitaṃ vaktuṃ bhūmikāṃ racayati 	mantra antareByaH gopAla mantrasya atiSAyitam vaktum BUmikAm racayati 
   kṣiti sura nṛpa viṭ turīyajānāṃ	kziti sura  nRpa  viw turIyajAnAm
   muni vanavāsi gṛhastha varṇināṃ ca |	muni vana vAsi gRhasTa varNinAm ca |
   japa huta yajaādibhir manūnāṃ	japa  huta yajaa AdiBiH manUnAm
   phalati hi kaścana kasyacit kathañcit // Krd_1.3 //	Palati hi kaScana kasyacid kaTaQcid // KrD _1.3 //
   hi yataḥ manūnāṃ gopāla mantra vyatiriktānāṃ madhye kaścana	hi yatas manUnAm gopAla  mantra  vyatiriktAnAm maDye kaScana
   mantrorāśyādinā śodhitaḥ kṣiti sura prabhṛtīnāṃ varṇānāṃ madhye	mantra urASya AdinA SoDitaH kziti sura  praBRtInAm varNAnAm maDye
   muni vanavāsi prabhṛtīnām āśramāṇāṃ cakārāt strīṇāṃ madhye kasyacit	muni vana vAsi  praBRtInAm ASramANAm cakArAt strINAm maDye kasyacid 
   kathaṃcij janasya bhāgya vaśāj japa homādibhir ādi śabdena tarpaṇādeḥ	kaTaMcid janasya BAgya  vaSAt japa  homa AdiBiH Adi  Sabdena tarpaNa AdeH
   parigrahaḥ | phalati phalaṃ dadātīti yojanā | hi śabdo 'trāvadhāraṇa iti	parigrahaH | Palati Palam dadAti iti yojanA | hi SabdaH atra avaDAraNaH iti
