   bhogapuṇyarakṣā saptamaḥ paricchedaḥ	Boga-puNya-rakzA saptamaH paricCedaH
   evaṃ tāvad ātmabhāvarakṣā veditavyā |	evam tAvat Atma-BAva-rakzA veditavyA |
   bhogarakṣā tu vaktavyā |	Boga-rakzA tu vaktavyA |
   tatra sukṛtârambhiṇā bhāvyaṃ mātrajñena ca sarvatêti śikṣāpadād asya	tatra sukRtâramBiNA BAvyam mAtrajQena ca sarva-têti SikzA-padAt asya
   bhogarakṣā na duṣkarā ||	Boga-rakzA na duzkarAH ||
   ugraparipṛcchāyāṃ hi śikṣāpadam uktaṃ |	ugra-paripRcCAyAm hi SikzA-padam uktam |
   susamīkṣitakarmakāritā sukṛtakarmakāritā ca |	su-samIkzita-karma-kAritA sukRta-karma-kAri-tA ca |
   tena bhogānāṃ durnyāsā pretyavekṣā |	tena BogAnAm durnyAsA preti-avekzA |
   avajñāpratiṣedhaḥ siddho bhavati |	avajQA-apratizeDaH sidDaH Bavati |
   śamathaprastāvena ca mātrajñatā yuktijñatā côktā ||	SamaTa-prastAvena ca mAtra-jQa-tA yukti-jQa-tA côktAH ||
   tenêdaṃ siddhaṃ bhavati |	tenêdam sidDam Bavati |
   yad idaṃ |	yat idam |
   alpâdhamabhogenâpi kāryasiddhau satyāṃ svayam anyair vā	alpâ-Dama-Bogenâpi kArya-sidDO satyAm svayam anyEH vA
   bahūttamabhoganāśanôpekṣā na kāryêti ||	bahu-uttama-Boga-nASan-ôpekzA na kAryêti ||
   atâivôgraparipṛcchāyām uktaṃ |	atâiu-ôgra-paripRcCAyAm uktam |
   putrabhāryādāsīdāsakarmakarapauruṣeyāṇāṃ samyakparibhogenêti |	putra-BAryA-dAsI-dAsa-karmakara-pOruzeyANAm samyak-pariBogenêti |
   tathā svaparabodhipakṣaśrutâdyantarāyakarau tyāgâtyāgau na kāryau |	taTA sva-para-boDi-pakza-SrutâdyantarAya-karO tyAgâ-tyAgO na kAryO |
   adhikasatvârthaśaktes tulyaśakter vā	aDika-satvârTa-SakteH tulya-SakteH vA
   bodhisatvasyâdhikatulyakuśalântarāyakarau tyāgâtyāgau na kāryāv iti	boDisatvasi-âDika-tulya-kuSalântarAya-karO tyAgâ-tyAgO na kAryO iti
   siddhaṃ bhavatîti ||	sidDam Bavatîti ||
   idaṃ ca saṃdhāya bodhisatvaprātimokṣe 'bhihitaṃ |	idam ca saMDAya boDisatva-prAtimokze aBihitam |
   yas tu khalu punaḥ śāriputrâbhiniṣkrāntagṛhâvāso bodhisatvo bodhyaṅgair	yaH tu Kalu punar SAriputrâ-BinizkrAnta-gRhâvAsaH boDisatvaH boDi-aFgEH-
   abhiyuktas tena kathaṃ dānaṃ dātavyaṃ |	aBiyuktaH tena kaTam dAnam dAtavyam |
   kataraṃ dānaṃ dātavyaṃ |	kataram dAnam dAtavyam |
   kiyadrūpaṃ dānaṃ dātavyaṃ ||	kiyat-rUpam dAnam dAtavyam ||
   pe ||	pe ||
   dharmadāyakena bhavitavyaṃ dharmadānapatinā |	Darma-dAyakena Bavitavyam Darma-dAna-patinA |
   yaś ca śāriputra gṛhī bodhisatvo gaṅgānadīvālikāsamāni buddhakṣetrāṇi	yaH ca SAriputra gRhI boDisatvaH gaFgA-nadI-vAlikA-samAni budDa-kzetrANi
   saptaratnapratipūrṇāni kṛtvā tathāgatebhyo 'rhadbhyaḥ samyaksaṃbuddhebhyo	sapta-ratna-pratipUrNAni kRtvA taTAgateByaH arhadByaH samyaksaMbudDeByaH-
   dānaṃ dadyād |	dAnam dadyAt |
   yaś ca śāriputra pravrajyāparyāpanno bodhisatvâikāṃ catuṣpadikāṃ-	yaH ca SAriputra pravrajyA-paryApannaH boDisatvâikAm catuzpadikAM-
   [ Cambridge MS f71b ---> ]	[ Cambridge M f71B ---> ]
   gāthāṃ prakāśayed ayam eva tato bahutaraṃ puṇyaṃ prasavati |	gATAm prakASayet ayam eva tatas bahutaram puNyam prasavati |
   na śāriputra tathāgatena pravrajitasyâmiṣadānam anujñātaṃ ||	na SAriputra taTAgatena pravrajitasyâmiza-dAnam anujQAtam ||
   pe ||	pe ||
   yasya khalu punaḥ śāriputra pātrâgataḥ pātraparyāpanno lābho bhaved	yasya Kalu punar SAriputra pAtrâ-gataH pAtra-paryApannaH lABaH Bavet-
   dhārmiko dharmalabdhaḥ |	DArmikaH Darma-labDaH |
   tena sādhāraṇabhojinā bhavitavyaṃ sārddhaṃ sabrahmacāribhiḥ |	tena sADAraNa-BojinA Bavitavyam sArdDam sa-brahmacAriBiH |
   sacet punaḥ kaścid evâgatya pātraṃ vā cīvaraṃ vā yāceta |	saced punar kaScid evâgatya pAtram vA cIvaram vA yAceta |
   tasyâtiriktaṃ bhaved buddhânujñātāt tricīvarād |	tasyâtiriktam Bavet budDânujQAtAt tri-cIvarAt |
   yathā parityaktaṃ dātavyaṃ |	yaTA parityaktam dAtavyam |
   sacet punas tasyônaṃ cīvaraṃ bhaved yan niśritya brahmaca-	saced punar tasyônam cIvaram Bavet yat niSritya brahma-ca-
   [ Bendall ed p145 ---> ]	[ Bet-dalt ed p145 ---> ]
   ryavāsaḥ |	ryavAsaH |
   tan na parityaktavyaṃ |	tat na parityaktavyam |
   tat kasya hetoḥ |	tat kasya hetoH |
   avisarjanīyaṃ tricīvaram uktaṃ tathāgatena |	avisarjanIyam tri-cIvaram uktam taTAgatena |
   sacet punaḥ śāriputra bodhisatvaḥ tricīvaraṃ parityajya yācanakaguruko	saced punar SAriputra boDisatvaH tri-cIvaram parityajya yAcanaka-guru-kaH-
   bhaven na tenâlpêcchatâsevitā bhavet |	Bavet na tet-âlpê=-Catâ-sevitA Bavet |
