   Udīcya Śyāmilaka: Pāḍatāḍitaka	UdIcya ŚyAmilaka: PAxa-tAxitaka
   [p.65] 0 śrīmahākaviśyāmilakaviracitaṃ pādatāḍitakam.	[p.65] 0 SrI-mahAka-viSyAmilaka-viracitam pAda-tAxita-kam.
   (nāndyante, tataḥ praviśati sūtradhāraḥ)	(nAndyante, tatas praviSati sUtraDAraH)
   (sūtra#)	(sUtra-#)
   l (a) dehatyāgena śambhor nayanahutavahe mānito yena kopaḥ	l (a) deha-tyAgena SamBoH nayana-hutavahe mAnitaH yena kopaH
   (b) sendrā yasyānuśiṣṭiṃ srajam iva vibudhā dhārayanty uttamāṅgaiḥ	(b) sa-indrAH yasya-anuSizwim srajam iva vibuDAH DArayanti uttamAFgEH
   (c) pāyāt kāmaḥ sa yuṣmān pravitatavanitālocanāpāṅgaśārṅgo	(c) pAyAt kAmaH sa yuzmAn pravitata-vanitA-locana-apAFga-SArFgaH-
   (d) bāṇā yasyendriyārthā munijanamanasāṃ sādakā bhedakāś ca	(d) bANAH yasya-indriya-arTAH muni-jana-manasAm sAdakAH BedakAH ca
   api ca	api ca
   2 (a) sabhrūkṣepaṃ sahāsaṃ stananihitakarām īkṣamāṇena devīṃ	2 (a) sa-BrU-kzepam sa-hAsam stana-nihita-karAm IkzamANena devIm
   (b) saṃtrāsākṣiptavāgbhiḥ saha gaṇapatibhir nandinā vanditena	(b) saMtrAsa-Akzipta-vAgBiH saha gaNapatiBiH nandinA vanditena
   (c) pāyād vaḥ puṣpaketur vṛṣapatikakudāpāśrayanyastadoṣṇā	(c) pAyAt vaH puzpaketuH vRzapatika-kuda-apASraya-n-yasta-dA-uzNA
   (d) yasya kruddhena bāhyaṃ karaṇam apahṛtaṃ śambhunā na prabhāvaḥ	(d) yasya krudDena bAhyam karaNam apahRtam SamBunA na praBAvaH
   evam āryamiśrān śirasā praṇipatya vijñāpayāmi yad vayam āryaśyāmilakasya	evam Arya-miSrAn SirasA praNipatya vijQApayAmi yat vayam Arya-SyAmilakasya
   kṛtiṃ pādatāḍitakaṃ nāma bhāṇaṃ prayoktuṃ	kRtim pAdatAxitakam nAma BANam prayoktum
   [p.66] vyavasitāḥ tat tasya kaver matipariśramam avadhānadānenānugrahītum	[p.66] vyavasitAH tat tasya kaveH mati-pariSramam avaDAna-dAnena-anugrahItum
   icchāmaḥ kutaḥ	icCAmaH kutas-
