   (Tvbh_38)	(TvB_38)
   namo buddhāya ||	namaH budDAya ||
   pudgaladharmanairātmyayor apratipannavipratipannānām	pudgala Darma nErAtmyayoH apratipanna vipratipannAnAm
   aviparītapudgaladharmanairātmyapratipādanārthaṃ	aviparIta pudgala Darma nErAtmya pratipAdana arTam
   triṃśikāvijñaptiprakaraṇārambhaḥ |	triMSikA vijQapti prakaraNa AramBaH |
   pudgaladharmanairātmyapratipādanaṃ punaḥ kleśajñeyāvaraṇaprahāṇārtham |	pudgala Darma nErAtmya pratipAdanam punar kleSa jQeya AvaraNa prahANa arTam |
   tathā hy ātmadṛṣṭiprabhavā rāgādayaḥ kleśāḥ pudgalanairātmyāvabodhaś ca	taTA hi Atma dRzwi praBavAH rAga AdayaH kleSAH pudgala nErAtmya avaboDaH ca
   satkāyadṛṣṭeḥ pratipakṣatvāt tatprahāṇāya pravartamānaḥ sarvakleśān	satkAya dRzweH pratipakza tvAt tad prahANAya pravartamAnaH sarva kleSAn
   prajahāti | dharmanairātmyajñānād api jñeyāvaraṇapratipakṣatvāt	prajahAti | Darma nErAtmya jQAnAt api jQeya AvaraNa pratipakza tvAt 
   jñeyāvaraṇaṃ prahīyate | kleśajñeyāvaraṇaprahāṇam api	jQeya AvaraNam prahIyate | kleSa jQeya AvaraNa prahANam api
   mokṣasarvajñatvādhigamārtham | kleśā hi mokṣaprāpter āvaraṇam iti atas	mokza sarvajQa tva aDigama arTam | kleSAH hi mokza prApteH AvaraNam iti atas 
   teṣu prahīṇeṣu mokṣo 'dhigamyate | jñeyāvaraṇam api sarvasmin jñeye	tezu prahINezu mokzaH aDigamyate | jQeya AvaraNam api sarvasmin jQeye
   jñānapravṛttipratibandhabhūtam akliṣṭam ajñānam | tasmin prahīṇe sarvākāre	jQAna pravRtti pratibanDa BUtam aklizwam ajQAnam | tasmin prahINe sarva AkAre
   jñeye 'saktam apratihatañ ca jñānaṃ pravartata ity ataḥ sarvajñatvam	jQeye asaktam apratihatan ca jQAnam pravartate iti atas sarvajQa tvam
   adhigamyate |	aDigamyate |
   atha vā dharmapudgalābhiniviṣṭāś cittamātraṃ yathābhūtaṃ na jānantīty ato	aTa vA Darma pudgala aBinivizwAH cittamAtram yaTABUtam na jAnanti iti atas 
   dharmapudgalanairātmyapradarśanena saphale vijñaptimātre 'nupūrveṇa	Darma pudgala nErAtmya pradarSanena saPale vijQaptimAtre anupUrveNa
   praveśārthaṃ prakaraṇārambhaḥ |	praveSa arTam prakaraNa AramBaH |
   atha vā vijñānavad vijñeyam api dravyata eveti kecin manyante | vijñeyavad	aTa vA vijQAna vat vijQeyam api dravyataH eva iti kecid manyante | vijQeya vat 
   vijñānam api saṃvṛtita eva na paramārthata ity asya dviprakārasyāpy	vijQAnam api saMvRtitaH eva na paramArTataH iti asya dvi prakArasya api 
   ekāntavādasya pratiṣedhārthaḥ prakaraṇārambhaḥ ||	ekAnta vAdasya pratizeDa arTaH prakaraNa AramBaH ||
   (Tvbh_40)	(TvB_40)
   ātmadharmopacāro hi vividho yaḥ pravartate | 1ab	Atma Darma upacAraH hi viviDaH yaH pravartate | 1ab
   lokaśāstrayor iti vākyaśeṣaḥ |	loka SAstrayoH iti vAkya SezaH |
   vijñānapariṇāme 'sau | 1c	vijQAna pariNAme asO | 1c
   ātmadharmopacāra iti saṃbadhyate | ātmā dharmāś copacaryanta ity	Atma Darma upacAraH iti saMbaDyate | AtmA DarmAH ca upacaryante iti 
   ātmadharmopacāraḥ | sa punar ātmaprajñaptir dharmaprajñaptiś ca | vividha	Atma Darma upacAraH | sa punar Atma prajQaptiH Darma prajQaptiH ca | viviDa
   ity anekaprakāraḥ | ātmā jīvo jantur manujo māṇava ity evamādika	iti aneka prakAraH | AtmA jIvaH jantuH manujaH mANavaH iti evamAdika
   ātmopacāraḥ skandhā dhātava āyatanāni rūpaṃ vedanā saṃjñā saṃskārā	Atma upacAraH skanDAH DAtavaH AyatanAni rUpam vedanA saMjQA saMskArA
   vijñānam ity evamādiko dharmopacāraḥ |	vijQAnam iti evamAdikaH Darma upacAraH |
   ayaṃ dviprakāro 'py upacāro vijñānapariṇāma eva na mukhye ātmani dharmeṣu	ayam dvi prakAraH api upacAraH vijQAna pariNAmaH eva na muKye Atmani Darmezu
   ceti | kuta etat | dharmāṇām ātmanaś ca vijñānapariṇāmād bahir abhāvāt |	ca iti | kutas etat | DarmANAm AtmanaH ca vijQAna pariNAmAt bahis aBAvAt |
   ko 'yaṃ pariṇāmo nāma | anyathātvam | kāraṇakṣaṇanirodhasamakālaḥ	kaH ayam pariNAmaH nAma | anyaTAtvam | kAraNa kzaNa niroDa sama kAlaH
   kāraṇakṣaṇavilakṣaṇaḥ kāryasyātmalābhaḥ pariṇāmaḥ |	kAraNa kzaNa vilakzaNaH kAryasya Atma lABaH pariNAmaH |
   tatrātmādivikalpavāsanāparipoṣād rūpādivikalpavāsanāparipoṣāc	tatra Atma Adi vikalpa vAsanA paripozAt rUpa Adi vikalpa vAsanA paripozAt 
   cālayavijñānād ātmādinirbhāso vikalpo rūpādinirbhāsaś cotpadyate |	cAlaya vijQAnAt Atma Adi nirBAsaH vikalpaH rUpa Adi nirBAsaH ca utpadyate |
   (Tvbh_42) tam ātmādinirbhāsaṃ rūpādinirbhāsañ ca tasmād vikalpād	(TvB_42) tam Atma Adi nirBAsam rUpa Adi nirBAsan ca tasmAt vikalpAt 
   bahirbhūtam ivopādāyātmādyupacāro rūpādidharmopacāraś cānādikālikaḥ	bahis BUtam iva upAdAya AtmA Adi upacAraH rUpa Adi Darma upacAraH ca anAdikAlikaH
   pravartate vināpi bāhyenātmanā dharmaiś ca | tad yathā taimirikasya	pravartate vinA api bAhyena AtmanA DarmEH ca | tat yaTA tEmirikasya
   keśoṇḍukādyupacāra iti | yac ca yatra nāsti tat tatropacaryate | tad yathā	keSoNxukA Adi upacAraH iti | yat ca yatra na asti tat tatra upacaryate | tat yaTA
   bāhīke gauḥ |	bAhIke gOH |
   evaṃ vijñānasvarūpe bahiś cātmadharmābhāvāt parikalpita evātmā dharmāś ca	evam vijQAna svarUpe bahis ca Atma Darma aBAvAt parikalpitaH eva AtmA DarmAH ca
   na tu paramārthataḥ santīti vijñānavad vijñeyam api dravyata evety ayam	na tu paramArTataH santi iti vijQAna vat vijQeyam api dravyataH eva iti ayam
   ekāntavādo nābhyupeyaḥ |	ekAnta vAdaH na aByupeyaH |
   upacārasya ca nirādhārasyāsaṃbhavād avaśyaṃ vijñānapariṇāmo vastuto 'stīty	upacArasya ca nirADArasya asaMBavAt avaSyam vijQAna pariNAmaH vastutas asti iti 
   upagantavyo yatrātmadharmopacāraḥ pravartate | ataś cāyam abhyupagamo na	upagantavyaH yatra Atma Darma upacAraH pravartate | atas ca ayam aByupagamaH na
   yuktikṣamo vijñānam api vijñeyavat saṃvṛtita eva na paramārthata iti |	yukti kzamaH vijQAnam api vijQeya vat saMvRtitaH eva na paramArTataH iti |
   saṃvṛtito 'py abhāvaprasaṅgān na hi saṃvṛtir nirupādānā yujyate |	saMvRtitaH api aBAva prasaFgAt na hi saMvRtiH nirupAdAnA yujyate |
   tasmād ayam ekāntavādo dviprakāro 'pi niryuktikatvāt tyājya ity	tasmAt ayam ekAnta vAdaH dvi prakAraH api niryuktika tvAt tyAjyaH iti 
   ācāryavacanam | evañ ca sarvaṃ vijñeyaṃ parikalpitasvabhāvatvād vastuto na	AcArya vacanam | evan ca sarvam vijQeyam parikalpita svaBAva tvAt vastutas na
   vidyate vijñānaṃ punaḥ pratītyasamutpannatvād dravyato 'stīty abhyupeyam |	vidyate vijQAnam punar pratItyasamutpanna tvAt dravyataH asti iti aByupeyam |
   pratītyasamutpannatvaṃ punar vijñānasya pariṇāmaśabdena jñāpitam |	pratItyasamutpanna tvam punar vijQAnasya pariNAma Sabdena jQApitam |
   katham etad gamyate vinā bāhyenārthena vijñānam evārthākāram utpadyata iti	kaTam etat gamyate vinA bAhyena arTena vijQAnam eva arTa AkAram utpadyate iti
   | bāhyo hy arthaḥ svābhāsavijñānajanakatvena vijñānasyālambanapratyaya	| bAhyaH hi arTaH sva ABAsa vijQAna janaka tvena vijQAnasya Alambana pratyaya
   iṣyate na kāraṇatvamātreṇa samanantarādipratyayād viśeṣāprasaṅgāt |	izyate na kAraNa tva mAtreNa samanantara Adi pratyayAt viSeza aprasaFgAt |
   (Tvbh_44)	(TvB_44)
   sañcitālambanāś ca pañcavijñānakāyās tadākāratvāt | na ca sañcitam	saQcita AlambanAH ca paQca vijQAna kAyAH tad AkAra tvAt | na ca saQcitam
   avayavasaṃhatimātrād anyad vidyate | tadavayavān apohya	avayava saMhati mAtrAt anyat vidyate | tad avayavAn apohya
   sañcitākāravijñānābhāvāt | tasmād vinaiva bāhyenārthena vijñānaṃ	saQcita AkAra vijQAna aBAvAt | tasmAt vinA eva bAhyena arTena vijQAnam
   sañcitākāram utpadyate |	saQcita AkAram utpadyate |
   na ca paramāṇava eva saṃcitās tasyālambanaṃ paramāṇūnām atadākāratvāt | na	na ca paramANavaH eva saMcitAH tasya Alambanam paramANUnAm atadAkAra tvAt | na
   hy asañcitāvasthātaḥ sañcitāvasthāyāṃ paramāṇūnāṃ kaścid ātmātiśayaḥ |	hi asaQcita avasTAtaH saQcita avasTAyAm paramANUnAm kaScid Atma atiSayaH |
   tasmād asañcitavat sañcitā api paramāṇavo naivālambanam |	tasmAt asaQcita vat saQcitAH api paramANavaH na eva Alambanam |
   anyas tu manyate | ekaika paramāṇur anyanirapekṣyo 'tīndriyo bahavas tu	anyaH tu manyate | ekEka paramANuH anya nirapekzyaH atIndriyaH bahavaH tu
   parasparāpekṣā indriyagrāhyāḥ | teṣām api sāpekṣanirapekṣāvasthayor	paraspara apekzAH indriya grAhyAH | tezAm api sa apekza nirapekza avasTayoH 
   ātmātiśayābhāvād ekāntenendriyagrāhyatvam atīndriyatvaṃ vā |	Atma atiSaya aBAvAt ekAntena indriya grAhya tvam atIndriya tvam vA |
   yadi ca paramāṇava eva parasparāpekṣā vijñānasya viṣayībhavanti | evaṃ	yadi ca paramANavaH eva paraspara apekzAH vijQAnasya vizayIBavanti | evam
   sati yo 'yaṃ ghaṭakuḍyādyākārabhedo vijñāne sa na syāt praramāṇūnām	sati yaH ayam Gawa kuxya Adi AkAra BedaH vijQAne sa na syAt praramANUnAm
   atadākāratvāt | na cānyanirbhāsasya vijñānasyānyākāro viṣayo yujyate	atad AkAra tvAt | na ca anya nirBAsasya vijQAnasya anya AkAraH vizayaH yujyate
   'tiprasaṅgāt | na ca paramāṇavaḥ stambhādivat paramārthataḥ santy|	ati prasaFgAt | na ca paramANavaH stamBa Adi vat paramArTataH santi |
   arvāṅmadhyaparabhāgasadbhāvāt |	arvAk maDya para BAga sadBAvAt |
   tadanabhyupagame vā pūrvadakṣiṇāparottarādidigbhedo yaḥ sa paramāṇor na	tad anaByupagame vA pUrva dakziNA para uttara Adi diS BedaH yaH sa paramANoH na
   syāt | tataś ca vijñānavat paramāṇor apy amūrtatvam adeśasthatvañ ca	syAt | tatas ca vijQAna vat paramANoH api amUrta tvam adeSa sTa tvan ca
   prasajyate | evaṃ bāhyārthābhāvād vijñānam evārthākāram utpadyate	prasajyate | evam bAhya arTa aBAvAt vijQAnam eva arTa AkAram utpadyate
   svapnavijñānavad ity abhyupeyam | vedanādayo 'pi nātītānāgatās	svapna vijQAna vat iti aByupeyam | vedanA AdayaH api na atIta anAgatAH 
   tadākāravijñānajanakā niruddhājātatvāt | na ca vartamānā vartamānajanakā	tad AkAra vijQAna janakAH nirudDa ajAta tvAt | na ca vartamAnA vartamAna janakA
   utpadyamānāvasthāyām asattvāt | (Tvbh_46) utpannāvasthāyāṃ vijñānasyāpi	utpadyamAna avasTAyAm asattvAt | (TvB_46) utpanna avasTAyAm vijQAnasya api
