   sāṃkhyaparibhāṣā /	sAMKya-pariBAzA /
   śrīgaṇeśāya namaḥ /	SrI-gaNeSAya namaH /
   śrīdakṣiṇāmūrtigurubhyo namaḥ /	SrI-dakziNA-mUrti-guruByaH namaH /
   svānubhavaṃ yathāmati vyākhyāsyāmaḥ /	sva-anuBavam yaTAmati vyAKyAsyAmaH /
   oṃ namo nārāyaṇāya prakṛtyai puruṣāya ca /	om namaH nArAyaNAya prakRtyE puruzAya ca /
   vedāntasāraguhyāya sāṅkhyatattvasvarūpiṇe // 1 //	vedAnta-sAra-guhyAya sAFKya-tattva-svarUpiNe // 1 //
   yogināṃ parahaṃsānāṃ tattvajñānārthadarśanam /	yoginAm para-haMsAnAm tattva-jQAna-arTa-darSanam /
   anyeṣāṃ ca na dātavyaṃ māyayā mohitaṃ jagat // 2 //	anyezAm ca na dAtavyam mAyayA mohitam jagat // 2 //
   śabdaśrotā ca vyājena nirvāṇārthaṃ ca kathyate /	Sabda-SrotA ca vyAjena nirvANa-arTam ca kaTyate /
   yadā kaścinmahābhāgastasya viśrāntikārakam //	yadA kaScid-mahABAgaH-tasya viSrAnti-kArakam //
   vibhaktimatra yo paśyettasya jñānaṃ ca dūrataḥ // 3 //	viBaktim-atra yaH paSyet-tasya jQAnam ca dUratas // 3 //
        atha guruḥ /	aTa guruH /
   guruyuktyā prasādena granthagarbhāvalokanam // 4 //	guru-yuktyA prasAdena granTa-garBa-avalokanam // 4 //
   guruśca dvividhaḥ prokto vārttikāmnāya eva ca /	guruH-ca dviviDaH proktaH vArtti-kAmnAyaH eva ca /
   vārttiko bhaktibhāvena āmnāyo mūlakārikā // 5 //	vArttikaH Bakti-BAvena AmnAyaH mUlakArikAH // 5 //
   kintu -	kintu -
   brāhmaṇastrīśūdramukhopāsyā ye te tu vārttikāḥ /	brAhmaNa-strI-SUdra-muKa-upAsyAH ye te tu vArttikAH /
   saṃnyāsādipāramparyeṇa sa āmnāyaḥ prakīrtitaḥ // 6 //	saMnyAsa-Adi-pAramparyeNa saH AmnAyaH prakIrtitaH // 6 //
   ādau śivastathā viṣṇurbrahmā vasiṣṭha eva ca /	AdO SivaH-taTA vizNuH-brahmA vasizWaH eva ca /
   śaktaḥ pārāśaro vyāsaḥ śuko gauḍastathaiva ca //	SaktaH pArASaraH vyAsaH SukaH gOxaH-taTA-eva ca //
   govindapādapūjyebhyaḥ śaṅkaraḥ śaṅkaro paraḥ /	govinda-pAda-pUjyeByaH SaFkaraH SaFkaraH paraH /
   iyaṃ paramparā proktā gurorāmnāyasiddhidā // 7 //	iyam paramparA proktA guroH-AmnAya-sidDi-dA // 7 //
   gururgāyatryupadeśo guruścodarapoṣakaḥ /	guruH-gAyatrI-upadeSaH guruH-ca-udara-pozakaH /
   sadgururmokṣadātā ca gurostrividhalakṣaṇam // 8 //	sat-guruH-mokza-dAtA ca guroH-triviDa-lakzaNam // 8 //
   mantrādhyayanaṃ ca vyākhyānaṃ karmatantrāni ceṭakāḥ /	mantra-aDyayanam ca vyAKyAnam karma-tantrAni cewakAH /
   vaidikī śilpavidyā ca śrīgurostasya ucyate // 9 //	vEdikI Silpa-vidyA ca SrI-guroH-tasya ucyate // 9 //
   kāryakāraṇatāṃ hitvā samādhiḥ pūrṇabodhakaḥ /	kArya-kAraNa-tAm hitvA samADiH pUrNa-boDakaH /
   tārako mokṣadātā ca sadgurustasya ucyate // 10 //	tArakaH mokza-dAtA ca sat-guruH-tasya ucyate // 10 //
        atha śiṣyaḥ /	aTa SizyaH /
   riktakāmaṃ mano dhṛtvā viśvāsaṃ gurubhaktidam /	rikta-kAmam manaH DRtvA viSvAsam guru-Bakti-dam /
   āśāmokṣaṃ vinā nāsti tacchiṣyamuddharedguruḥ // 11 //	ASA-mokzam vinA na-asti tat-Sizyam-udDaret-guruH // 11 //
   bho bho svāmin kṛpāsindho prārthayiṣyāmi te 'dhunā /	Bo Bo svAmin kRpA-sinDaH prArTayizyAmi te aDunA /
   taptasaṃsāradāvāgnau muktiṃ kuru dayānidhe // 12 //	tapta-saMsAra-dAva-agnO muktim kuru dayAniDe // 12 //
   vidhivadadhītavedavedāṅgatvenāpātato 'rivalavedārthā asmin / tathā ca	viDivat-aDIta-veda-vedAFga-tvena-apAtataH ari-vala-veda-arTAH asmin / taTA ca
   śrutiḥ -	SrutiH -
   samitpāṇiḥ śrotriyaṃ brahmaniṣṭhaṃ gurumupaśritya tamanusarati //	samiD-pANiH Srotriyam brahma-nizWam gurum-upaSritya tam-anusarati //
   taddhi saṃpraṇipātena paripraśnena sevayā //	tat-hi saMpraNipAtena paripraSnena sevayA //
   upadekṣyanti te jñānaṃ jñāninastattvadarśinaḥ // 13 //	upadekzyanti te jQAnam jQAninaH-tattva-darSinaH // 13 //
   'yajjñātvā na punarmohaḥ'; iti gītāsu /	ayat-jQAtvA na punar-mohaH-a; iti gItAsu /
   bhuktimicchasi cettāta viṣayānviṣavattyaja //	Buktim-icCasi ced-tAta vizayAn-viza-vat-tyaja //
   lolupaḥ sādhusaṅgasya atyantaṃ sukhamaśnute // 14 //	lolupaH sADu-saFgasya atyantam suKam-aSnute // 14 //
        iti guruparamparā /	iti guru-paramparA /
        atha sāṃkhyasāmpradāyena jñānamāha / tatra prathamaṃ	aTa sAMKya-sAmpradAyena jQAnam-Aha / tatra praTamam
   sādhanacatuṣṭayasampannasya ihāmutrārthaphalabhogavirāgaḥ / dvitīyaṃ	sADana-catuzwaya-sampannasya iha-amutra-arTa-Pala-Boga-virAgaH / dvitIyam
   śamadamādiṣaṭkam / tṛtīyaṃ nityānityavastuvivekaḥ / caturthaṃ mumukṣatvaṃ	Sama-dama-Adi-zawkam / tRtIyam nitya-anitya-vastu-vivekaH / caturTam mumukza-tvam
   mokṣecchā / kintu iha nāma srakcandanavanitādiviṣayabhogavirāgaḥ / amutra	mokza-icCA / kintu iha nAma sraj-candana-vanitA-Adi-vizaya-Boga-virAgaH / amutra
