   Vārāhagṛhyasūtra, 1	VArAha-gRhya-sUtra, 1
   ataḥ paraṃ pariśiṣṭā maitrāyaṇīyasūtrasya /	atas param pariSizwAH mEtrAyaNIya-sUtrasya /
   gṛhyapuruṣaḥ prāyaścittam	gRhya-puruzaH prAyaScittam
   anugrahikahautṛkaśulvikottareṣṭakavaiṣṇavādhvaryavikacāturhotṛkagonāmikākulapādarahasyapratigrahayamakavṛṣotsargapraśnadraviṇaṣaṭkāraṇapradhānasāṃdehikapravarādhyāyarudravidhānachando'nukramaṇyantarkyakalpapravāsavidhiprātarupasthānabhūtotpattir	anugrahika-hOtRka-SulvikA-uttara-izwaka-vEzNava-aDvarya-vikacA-turhotRka-gonAmikA-Akula-pAda-rahasya-pratigraha-yamaka-vRza-utsarga-praSna-draviNa-zawk
   iti dvāviṃśatiḥ pariśiṣṭasaṃkhyānām // VGrs_1.1	iti dvAviMSatiH pariSizwa-saMKyAnAm // VGrH-_1.1
   gṛhye 'gnau pākayajñān viharet // VGrs_1.2	gRhye agnO pAkayajQAn viharet // VGrH-_1.2
   hrasvatvāt pākayajñaḥ /	hrasva-tvAt pAkayajQaH /
   hrasvaṃ hi pāka ityācakṣate // VGrs_1.3	hrasvam hi pAkaH iti-Acakzate // VGrH-_1.3
   darśapūrṇamāsaprakṛtiḥ pākayajñavidhir aprayājo 'nanuyājo 'sāmidhenīkaḥ //	darSa-pUrNamAsa-prakRtiH pAkayajQa-viDiH aprayAjaH ananuyAjaH asAmiDenIkaH //
   VGrs_1.4	VGrH-_1.4
   svāhākārāntaṃ nigadya homāḥ // VGrs_1.5	svAhAkAra-antam nigadya homAH // VGrH-_1.5
   paratantrotpattir dakṣiṇāgnāv āhitāgniḥ kurvīta śālāgnāv anāhitāgniḥ //	paratantra-utpattiH dakziNa-agnO AhitAgniH kurvIta SAlAgnO anAhitAgniH //
   VGrs_1.6	VGrH-_1.6
   gomayena gocarmamātraṃ caturasraṃ sthaṇḍilam upalipyeṣumātraṃ tasmin	gomayena gocarma-mAtram catur-asram sTaNxilam upalipya-izu-mAtram tasmin
   lakṣaṇaṃ kurvīta satyasadasīti paścārdhād udīcīṃ lekhāṃ likhati /	lakzaNam kurvIta satya-sadasi-iti paSca-arDAt udIcIm leKAm liKati /
   ṛtasadasīti dakṣiṇārdhāt prācīm /	Rtasat-asi-iti dakziNa-arDAt prAcIm /
   gharmasadasīty uttarārdhāt prācīm /	Garma-sadasi-iti uttara-arDAt prAcIm /
   madhye dve tisro vā prācīḥ /	maDye dve tisraH vA prAcIH /
   ūrjasvatīti dakṣiṇām /	UrjasvatI-iti dakziNAm /
   payasvatīty uttarām /	payasvatI-iti uttarAm /
   indrāya tveti madhyād vā /	indrAya tvA-iti maDyAt vA /
   sarvāḥ prādeśamātryo darbheṇāvalikhet // VGrs_1.7	sarvAH prAdeSa-mAtryaH darBeNa-avaliKet // VGrH-_1.7
   adbhiḥ prokṣyāgniṃ sādayati // VGrs_1.8	adBiH prokzya-agnim sAdayati // VGrH-_1.8
   parisamuhya paristīrya paryukṣya tūṣṇīm idhmābarhiḥ saṃnahya grāgagrair	parisamuhya paristIrya paryukzya tUzNIm iDmAbarhiH saMnahya grAc-agrEH-
   dakṣiṇārambhair udaksaṃsthairayugmair dhātubhiḥ stṛṇāti // VGrs_1.9	dakziNa-AramBEH udak-saMsTEH-ayugmEH DAtuBiH stRNAti // VGrH-_1.9
   dakṣiṇato 'gner brahmāṇam upaveśyottarata udapātram // VGrs_1.10	dakziNatas agneH brahmANam upaveSya-uttaratas uda-pAtram // VGrH-_1.10
   barhiṣaḥ pavitre kurute // VGrs_1.11	barhizaH pavitre kurute // VGrH-_1.11
