   akartṛtvam abhoktṛtvaṃ Avg_18.51a	akartR-tvam aBoktR-tvam Avc-_18.51a
   akartṛ spanda-varjitam Avg_18.30b	akartR spanda--varjitam Avc-_18.30b
   akiṃcana-bhavaṃ svāsthyaṃ Avg_13.1a	akiMcana--Bavam svAsTyam Avc-_13.1a
   akiṃcanaḥ kāma-cāro Avg_18.87a	akiMcanaH kAma-cAraH Avc-_18.87a
   akurvann api saṃkṣobhād Avg_18.58a	akurvan api saMkzoBAt Avc-_18.58a
   akṛtrimo 'navacchinne Avg_18.67c	akRtrimaH anavacCinne Avk-_18.67c
   akṣayaṃ gata-santāpam Avg_18.74a	akzayam gata--santApam Avc-_18.74a
   agādha-buddhir akṣubdho Avg_1.17c	agADa--budDiH akzubDaH Avk-_1.17c
   aṅganāṃ bhūpatiṃ priyam Avg_18.54b	aFganAm BUpatim priyam Avc-_18.54b
   acintyaṃ cintyamāno 'pi Avg_12.7a	acintyam cintyamAnaH api Avk-_12.7a
   ajñānād bhāti yatredaṃ Avg_2.15c	ajQAnAt BAti yatra-idam Avc-_2.15c
   ajñānān mayi bhāsate Avg_2.9b	ajQAnAt mayi BAsate Avc-_2.9b
   atad-vādīva kurute Avg_18.26a	atad-vAdI-iva kurute Avc-_18.26a
   atas tyakto bubhukṣubhiḥ Avg_15.3d	atas tyaktaH buBukzuBiH Avc-_15.3d
   ataḥ kasya kathaṃ kutra Avg_15.12c	atas kasya kaTam kutra Avk-_15.12c
   atiśānto nirākāra Avg_7.3c	ati-SAntaH nirAkAraH Avc-_7.3c
   ato mama kathaṃ kutra Avg_7.5c	atas mama kaTam kutra Avc-_7.5c
   ato mama jagat sarvam Avg_2.2c	atas mama jagat sarvam Avk-_2.2c
   atyarthaṃ rocayiṣyati Avg_16.2d	atyarTam rocayizyati Avc-_16.2d
   atha cintāsahas tasmād Avg_12.1c	aTa cintA-asahaH tasmAt Avc-_12.1c
   athavā na ca kiṃcana Avg_2.2d	aTavA na ca kiMcana Avc-_2.2d
   athavā yasya me sarvaṃ Avg_2.14c	aTavA yasya me sarvam Avk-_2.14c
   atha vāyāti saṅkocam Avg_18.32c	aTa vA-AyAti saFkocam Avk-_18.32c
   adṛśyatvena cātmanaḥ Avg_12.2b	adRSya-tvena ca-AtmanaH Avc-_12.2b
   adhunaiva sukhī śānto Avg_1.4c	aDunA-eva suKI SAntaH Avc-_1.4c
   anicchann api dhīro hi Avg_18.37c	anicCan api DIraH hi Avc-_18.37c
   anityaṃ sarvam evedaṃ Avg_9.3a	anityam sarvam eva-idam Avc-_9.3a
   anirvācya-svabhāvasya Avg_18.79c	anirvAcya--svaBAvasya Avc-_18.79c
   anenaivopadeśena Avg_16.3c	anena-eva-upadeSena Avc-_16.3c
   antareṇa na vidyate Avg_18.44b	antareNa na vidyate Avc-_18.44b
   antareṇa sukhī bhavet Avg_18.2d	antareNa suKI Bavet Avc-_18.2d
   antar-galita-sarvāśaḥ Avg_11.2c	antar--galita--sarva-ASaH Avc-_11.2c
   antar-galita-sarvāśaḥ Avg_17.19c	antar--galita--sarva-ASaH Avc-_17.19c
   antar yad anubhūyeta Avg_18.93c	antar yat anuBUyeta Avc-_18.93c
   antar-vikalpa-śūnyasya Avg_14.4a	antar-vikalpa--SUnyasya Avc-_14.4a
   antar-viṣaya-lālasaḥ Avg_18.76d	antar--vizaya--lAlasaH Avc-_18.76d
   antas-tyakta-kaṣāyasya Avg_3.14a	antas-tyakta-kazAyasya Avc-_3.14a
   api sannihite mṛtyau Avg_3.11c	api sannihite mRtyO Avk-_3.11c
   aprayatnāt prayatnād vā Avg_18.34a	aprayatnAt prayatnAt vA Avk-_18.34a
   abaddhā mukta-buddhayaḥ Avg_18.53d	abadDAH mukta-budDayaH Avc-_18.53d
   abhāgyāj jīva-vaṇijo Avg_2.24c	aBAgyAt jIva-vaNijaH Avc-_2.24c
   abhāvād adya he brahmann Avg_12.4c	aBAvAt adya he brahman Avk-_12.4c
   abhukteṣu nirākāṅkṣī Avg_17.4c	aBuktezu nirAkAFkzI Avc-_17.4c
   amūḍhaḥ ko 'pi mūḍhavat Avg_18.32d	amUXaH kaH api mUXa-vat Avk-_18.32d
   amṛtenaiva pūritam Avg_18.81d	amRtena-eva pUritam Avc-_18.81d
   ayam eva hi te bandhaḥ Avg_1.15c	ayam eva hi te banDaH Avk-_1.15c
   ayam eva hi te bandho Avg_1.7c	ayam eva hi te banDaH Avk-_1.7c
   ayam eva hi me bandha Avg_2.22c	ayam eva hi me banDaH Avk-_2.22c
   ayaṃ so 'ham ayam nāhaṃ Avg_15.15a	ayam saH aham ayam na-aham Avc-_15.15a
   ayaṃ so 'ham ayaṃ nāham Avg_18.9a	ayam saH aham ayam na-aham Avc-_18.9a
   araṇyam iva saṃvṛttaṃ Avg_2.21c	araNyam iva saMvRttam Avc-_2.21c
   arjayitvākhilān arthān Avg_18.2a	arjayitvA-aKilAn arTAn Avk-_18.2a
   arthaṃ cānartha-saṅkulam Avg_10.1b	arTam ca-anarTa--saFkulam Avc-_10.1b
   arthānarthau na me sthityā Avg_13.5a	arTa-anarTO na me sTityA Avk-_13.5a
   alakṣya-sphuraṇaḥ śuddhaḥ Avg_18.70c	alakzya--sPuraNaH SudDaH Avk-_18.70c
   alam arthena kāmena Avg_10.7a	alam arTena kAmena Avc-_10.7a
   alaṃ tri-varga-kathayā Avg_19.8a	alam tri-varga--kaTayA Avc-_19.8a
   alaṃ vijñāna-kathayā Avg_19.8c	alam vijQAna--kaTayA Avc-_19.8c
   avadhāryātidurbalaḥ Avg_3.7b	avaDArya-ati-durbalaH Avk-_3.7b
   avidyāpi na kiṃcit sā Avg_10.5c	avidyA-api na kiMcid sA Avc-_10.5c
   avināśinam ātmānam Avg_3.1a	avinASinam AtmAnam Avc-_3.1a
   avihvala-manāḥ sva-stho Avg_17.14c	avihvala-manAH sva-sTaH Avc-_17.14c
   aśnan gṛhṇan vadanvrajan Avg_17.12b	aSnan gRhNan vadan-vrajan Avk-_17.12b
   aśnann aste yathā sukhaṃ Avg_17.8d	aSnan aste yaTA suKam Avc-_17.8d
   aśnann āste yathā-sukham Avg_18.47d	aSnan Aste yaTA--suKam Avc-_18.47d
   aśnan nistarṣa-mānasaḥ Avg_18.65d	aSnan nistarza--mAnasaH Avc-_18.65d
   asaktaṃ sarva-dṛṣṭiṣu Avg_8.3d	asaktam sarva-dRzwizu Avc-_8.3d
   asaktaḥ sarva-bhāveṣu Avg_18.87c	asaktaH sarva--BAvezu Avc-_18.87c
   asaṅgo nispṛhaḥ śānto Avg_1.12c	asaFgaH nispRhaH SAntaH Avc-_1.12c
   asaṅgo 'si nirākāro Avg_1.5c	asaFgaH asi nirAkAraH Avc-_1.5c
   asamādher avikṣepān Avg_18.28a	asamADeH avikzepAn Avk-_18.28a
   asaṃsakta-manā nityaṃ Avg_17.17c	asaMsakta-manAH nityam Avc-_17.17c
   asaṃsārasya tu kvāpi Avg_18.22a	asaMsArasya tu kvApi Avc-_18.22a
   asaṃspṛśya śarīreṇa Avg_2.13c	asaMspRSya SarIreNa Avc-_2.13c
   asāraṃ ninditaṃ heyam Avg_9.3c	asAram ninditam heyam Avc-_9.3c
   aham āse yathā-sukham Avg_13.1d	aham Ase yaTA--suKam Avc-_13.1d
   aham āse yathā-sukham Avg_13.4d	aham Ase yaTA--suKam Avc-_13.4d
   aham āse yathā-sukham Avg_13.5d	aham Ase yaTA--suKam Avc-_13.5d
   aham āse yathā-sukham Avg_13.6d	aham Ase yaTA--suKam Avc-_13.6d
   aham āse yathā-sukham Avg_13.7d	aham Ase yaTA--suKam Avc-_13.7d
   aham eveti niścayī Avg_11.7b	aham eva-iti niScayI Avc-_11.7b
   ahaṃ kartety ahaṃ-māna- Avg_1.8a	aham kartA-iti ahaM-mAna Avc-_1.8a
   ahaṃ vā sarva-bhūteṣu Avg_6.4a	aham vA sarva-BUtezu Avc-_6.4a
   ahaṃ sa śukti-saṅkāśo Avg_6.3a	aham sa Sukti--saFkASaH Avc-_6.3a
   aho ahaṃ namo mahyaṃ Avg_2.12a	aho aham namaH mahyam Avc-_2.12a
   aho ahaṃ namo mahyaṃ Avg_2.13a	aho aham namaH mahyam Avc-_2.13a
   aho ahaṃ namo mahyaṃ Avg_2.14a	aho aham namaH mahyam Avc-_2.14a
   aho ahaṃ namo mahyaṃ, Avg_2.11a	aho aham namaH mahyaM, Avc-_2.11a
