   Mṛtyuvañcanasitatārāsādhana	MRtyu-vaQcana-sita-tArA-sADana
   mṛtyudoṣair aliptaḥ syāt tārāhṛccakrabhāvakaḥ /	mRtyu-dozEH aliptaH syAt tArA-hRt-cakra-BAvakaH /
   lābhī ca sarvasiddhīnāṃ ṣaṇmāsāvadhi tatparaḥ // Mvsts_1 //	lABI ca sarva-sidDInAm zaz-mAsa-avaDi tad-paraH // MvstH-_1 //
   vāgīśvarakṛtādeśān mṛtyuvañcanasaṃgrahāt /	vAc-ISvara-kRta-AdeSAt mRtyu-vaQcana-saMgrahAt /
   uddhṛtā sitatārāyā bhāvanā bhayanāśinī // Mvsts_2 //	udDRtA sita-tArAyAH BAvanA Baya-nASinI // MvstH-_2 //
   turyavargādyasākāratviṣā visphuritāmbare /	turya-vargAt-yasA-AkAra-tvizA visPurita-ambare /
   sitābjendvāsanāṃ dṛṣṭvā puras triśaraṇaṃ paṭhet // Mvsts_3 //	sitA-abja-indu-AsanAm dRzwvA puras tri-SaraNam paWet // MvstH-_3 //
   muhūrtaṃ śūnyatāṃ paśyet prākṛtāropahānaye /	muhUrtam SUnyatAm paSyet prAkRtAra-upahAnaye /
   tataḥ praṇidhisāmarthyād bodhicittākṣaraṃ bhavet // Mvsts_4 //	tatas praNiDi-sAmarTyAt boDi-citta-akzaram Bavet // MvstH-_4 //
   sitāravindamadhyasthacandrabimbāsanopari /	sita-aravinda-maDya-sTa-candra-bimba-Asana-upari /
   ābaddhavajraparyaṅkāṃ varadotpaladhāriṇīm // Mvsts_5 //	AbadDa-vajra-paryaFkAm vara-da-utpala-DAriNIm // MvstH-_5 //
   śaraccandrakarākārāṃ pṛṣṭhacandrasamāśritām /	Sarad-candra-kara-AkArAm pRzWa-candra-samASritAm /
   sarvālaṅkārasaṃpūrṇāṃ ṣoḍaśābdavapuṣmatīm // Mvsts_6 //	sarva-alaFkAra-saMpUrNAm zoxaSa-abda-vapuzmatIm // MvstH-_6 //
   sarvasaṃbuddhatatputramātaraṃ kāmarūpadhām /	sarva-saMbudDa-tad-putra-mAtaram kAmarUpaDAm /
   dhyātvāryatārāṃ hṛdaye tasyāś cakraṃ sitadyuti // Mvsts_7 //	DyAtvA-arya-tArAm hRdaye tasyAH cakram sita-dyuti // MvstH-_7 //
   aṣṭakoṣṭhakam aṣṭābhir akṣaraiḥ paripūritam /	azwa-kozWakam azwABiH akzarEH paripUritam /
   oṃhāvyañjanamadhyasthasādhyanāmādyanābhikam // Mvsts_8 //	oMha-avyaQjana-maDya-sTa-sADya-nAma-Adya-nABikam // MvstH-_8 //
   dhyāyād ekāgracittaḥ san ṣaṇ māsān dṛḍhaniścayaḥ /	DyAyAt ekAgra-cittaH san zaw mAsAn dRXa-niScayaH /
   japed akhinnacittaḥ san mantram enaṃ daśākṣaram // Mvsts_9 //	japet aKinna-cittaH san mantram enam daSa-akzaram // MvstH-_9 //
   oṅkāram ādito dattvā paścāt tāre prayojayet /	oFkAram Aditas dattvA paScAt tAre prayojayet /
   tuttāre syāt ture paścāt svāhāntaḥ sārvakarmikaḥ // Mvsts_10 //	tuttAre syAt ture paScAt svAhA-antaH sArvakarmikaH // MvstH-_10 //
   brahmendraviṣṇucandrārkarudradikpālamanmathaiḥ /	brahma-indra-vizNu-candra-arka-rudra-dikpAla-manmaTEH /
   apy akhaṇḍitaromāgro mṛtyuṃ jayati muktavat // Mvsts_11 //	api aKaNxita-roma-agraH mRtyum jayati mukta-vat // MvstH-_11 //
   valīpalitadaurbhāgyavyādhidāridryasaṃkṣayaḥ /	valI-palita-dOrBAgya-vyADi-dAridrya-saMkzayaH /
   siṃhādyaṣṭamahābhītiduḥkhasaṃdohanāśanam // Mvsts_12 //	siMha-Adi-azwa-mahA-BIti-duHKa-saMdoha-nASanam // MvstH-_12 //
   ayācitāmbarapānaharmyaratnādisaṃgamaḥ /	ayAcita-ambara-pAna-harmi-aratna-Adi-saMgamaH /
   khaḍgāñjanapādalepabhadrakumbhādisiddhayaḥ // Mvsts_13 //	Kaxga-aQjana-pAda-lepa-Badra-kumBa-Adi-sidDayaH // MvstH-_13 //
   kavitā vaktṛtā medhā prajñā caikāntanirmalā /	kavi-tA vaktR-tA meDA prajQA ca-ekAnta-nirmalAH /
   anyā ca vāñchitā siddhiś cakrād asmāt prajāyate // Mvsts_14 //	anyA ca vAQCitA sidDiH cakrAt asmAt prajAyate // MvstH-_14 //
   sādhanaṃ sitatārāyā mṛtyuvyādhivināśanam /	sADanam sita-tArAyAH mRtyu-vyADi-vinASanam /
   uddhṛtya yac chubhaṃ tena jagat tārā svayaṃ bhavet // Mvsts_15 //	udDRtya yat SuBam tena jagat tArA svayam Bavet // MvstH-_15 //
   // mṛtyuvañcanasitatārāsādhanam //	// mRtyu-vaQcana-sita-tArA-sADanam //
