   akramānantacidrūpaḥ Ipk_1,7.1c	akrama-ananta-cit-rUpaH IpS-_1,7.1c
   akhaṇḍāmarśabṛṃhitaḥ Ipk_4.1d	aKaNxa-AmarSa-bRMhitaH Ipk-_4.1d
   acidrūpasya śūnyāder Ipk_3,2.11c	acit-rUpasya SUnya-AdeH IpS-_3,2.11c
   ajaḍātmā niṣedhaṃ vā Ipk_1,1.2c	ajaxa-AtmA nizeDam vA IpS-_1,1.2c
   ata eva yathābhīṣṭa- Ipk_1,6.11a	atas eva yaTA-aBIzwa Ipk-_1,6.11a
   ata eva yad apy uktaṃ Ipk_2,1.1a	atas eva yat api uktam IpS-_2,1.1a
   ata eva vibhaktyarthaḥ Ipk_2,4.16a	atas eva viBakti-arTaH IpS-_2,4.16a
   ata evāṅkure 'pīṣṭo Ipk_2,4.8a	atas eva-aFkure api-izwaH IpS-_2,4.8a
   -(a)ta evotpattimūlajaḥ Ipk_2,4.11d	-(a)te eva-utpatti-mUla-jaH IpS-_2,4.11d
   atītatvāt tathā sthitiḥ Ipk_1,8.3d	atIta-tvAt taTA sTitiH IpS-_1,8.3d
   atrāparatvam bhāvānām Ipk_3,1.5a	atra-apara-tvam BAvAnAm Ipk-_3,1.5a
   atrābhāvo ghaṭātmanaḥ Ipk_1,7.8d	atra-aBAvaH Gawa-AtmanaH IpS-_1,7.8d
   athātadviṣayatve 'pi Ipk_1,3.3a	aTa-Atad-vizaya-tve api Ipk-_1,3.3a
   athānubhavavidhvaṃse Ipk_1,2.3a	aTa-anuBava-viDvaMse IpS-_1,2.3a
   athāpi jaḍam etasya Ipk_1,2.7c	aTa-api jaxam etasya IpS-_1,2.7c
   athārthasya yathā rūpaṃ Ipk_1,2.8a	aTa-arTasya yaTA rUpam Ipk-_1,2.8a
   adṛśyo bhūtalasyānta Ipk_1,7.11c	adRSyaH BU-talasya-ante Ipk-_1,7.11c
   -(a)dhyavasāyādināmabhiḥ Ipk_1,5.18d	-(a)Di-avasAya-Adi-nAmaBiH IpS-_1,5.18d
   -(a)nantatattvaughanirbharaḥ Ipk_4.14b	-(a)nanta-tattva-oGa-nirBaraH IpS-_4.14b
   anātmatvena bhāsanāt Ipk_3,1.5b	anAtma-tvena BAsanAt IpS-_3,1.5b
   -(a)nubhavas tatpadaiva sā Ipk_1,2.4d	-(a)nuBavaH tad-padA-eva sA IpS-_1,2.4d
   anumānam anābhāta- Ipk_1,5.8a	anumAnam anABAta Ipk-_1,5.8a
   anusandhānavarjinām Ipk_2,4.15b	anusanDAna-varjinAm IpS-_2,4.15b
   anusaṃdhānasādhite Ipk_2,3.3d	anusaMDAna-sADite IpS-_2,3.3d
   anta eva sthitiḥ sadā Ipk_1,8.7b	antaH eva sTitiH sadA IpS-_1,8.7b
   -(a)ntarabhinne svalakṣaṇe Ipk_2,3.9b	-(a)ntara-Binne sva-lakzaNe IpS-_2,3.9b
   antaḥsthitavatām eva Ipk_1,5.1c	antar-sTitavatAm eva IpS-_1,5.1c
   andhāndhatamasādiṣu Ipk_1,8.1d	anDa-anDatamasa-Adizu IpS-_1,8.1d
   anyathā kaḥ samanvayaḥ Ipk_1,7.3d	anyaTA kaH samanvayaH Ipk-_1,7.3d
   anye vidyeśvarā yathā Ipk_3,1.6d	anye vidyeSvarAH yaTA IpS-_3,1.6d
   anyonyānvayarūpaikya- Ipk_2,2.4c	anyonya-anvaya-rUpa-Ekya IpS-_2,2.4c
   -(a)nvayālambā digādidhīḥ Ipk_2,2.6d	-(a)nvaya-AlambAH diS-Adi-DIH IpS-_2,2.6d
   aparasparavedinām Ipk_1,3.6b	aparaspara-vedinAm IpS-_1,3.6b
   -(a)parāmarśabhuvaḥ prabhoḥ Ipk_4.7b	-(a)parAmarSa-BuvaH praBoH IpS-_4.7b
   api mukhyāvabhāsataḥ Ipk_2,3.11b	api muKya-avaBAsataH IpS-_2,3.11b
   -(a)pekṣā ca kim itīṣyate Ipk_1,3.4d	-(a)pekzA ca kim iti-izyate IpS-_1,3.4d
   apohanaparāyaṇe Ipk_1,6.8b	apohana-parAyaNe IpS-_1,6.8b
   apravartitapūrvo 'tra Ipk_2,3.17a	apravartita-pUrvaH atra Ipk-_2,3.17a
   arthakriyāpi bāhyatve Ipk_1,8.6c	arTa-kriyA-api bAhya-tve IpS-_1,8.6c
   arthakriyāpi sahajā Ipk_2,3.12a	arTa-kriyA-api sahajAH Ipk-_2,3.12a
   arthajātaṃ prakāśayet Ipk_1,5.7d	arTa-jAtam prakASayet IpS-_1,5.7d
   arthasya naiva tenāsya Ipk_1,5.9c	arTasya na-eva tena-asya IpS-_1,5.9c
   arthānāṃ svasamāpinām Ipk_1,7.3b	arTAnAm sva-samApinAm IpS-_1,7.3b
   arthino 'py anumānataḥ Ipk_2,3.9d	arTinaH api anumAnataH IpS-_2,3.9d
   arthau bhātaḥ pamātari Ipk_1,4.8d	arTO BAtaH pamAtari IpS-_1,4.8d
   avadhyavadhimadbhāvā- Ipk_2,2.6c	avaDya-vaDimadBAvA Ipk-_2,2.6c
   -(a)vabhāsakhacite vibhau Ipk_1,7.14b	-(a)vaBAsa-Kacite viBO IpS-_1,7.14b
   avabhāsasya sadbhāve 'py Ipk_1,8.3c	avaBAsasya sadBAve api IpS-_1,8.3c
   avasātari darśanam Ipk_1,4.7d	avasAtari darSanam IpS-_1,4.7d
   -(a)viyukte jñānakarmaṇī Ipk_3,1.1d	-(a)viyukte jQAna-karmaNI IpS-_3,1.1d
   aviruddhāvabhāsānām Ipk_2,3.7c	avirudDa-avaBAsAnAm IpS-_2,3.7c
   asty eva na vinā tasmād Ipk_1,5.10c	asti eva na vinA tasmAt IpS-_1,5.10c
   asphuṭārūpasaṃskāra- Ipk_3,2.13c	asPuwa-arUpa-saMskAra Ipk-_3,2.13c
   asmin satīdam astīti Ipk_2,4.14a	asmin sati-idam asti-iti Ipk-_2,4.14a
   ahantākartṛtāpade Ipk_3,2.13b	ahanta-akartR-tA-pade IpS-_3,2.13b
