   Śatagāthā	Śata gATA
   kaumārye paṭhyatāṃ vidyā śaitye saṃpālyatāṃ ca gauḥ /	kOmArye paWyatAm vidyA SEtye saMpAlyatAm ca gOH /
   kṣettraṃ ca karṣyatāṃ pītaṃ trayaḥ suphalahetavaḥ // 1 //	kzettram ca karzyatAm pItam trayaH su Pala hetavaH // 1 //
   gate 'pi vayasi grāhyā vidyā sarvātmanā budhaiḥ /	gate api vayasi grAhyA vidyA sarva AtmanA buDEH /
   yadyapi phaladā syānna sulabhā sānyajanmani // 2 //	yadi api Pala dA syAt na sulaBA sa anya janmani // 2 //
   guṇeṣu kriyatāṃ yatnaḥ kimāṭopaiḥ prayojanam /	guNezu kriyatAm yatnaH kim AwopEH prayojanam /
   vikrīyante na ghaṇṭābhirgāvaḥ kṣīravivarjitāḥ // 3 //	vikrIyante na GaNwABiH gAvaH kzIra vivarjitAH // 3 //
   guṇini guṇajño ramate nāguṇaśīlasya guṇini paritoṣaḥ /	guNini guNa jQaH ramate na aguNa SIlasya guNini paritozaH /
   alireti vanātkamalaṃ na dardurasya tannivāso 'pi // 4 //	aliH eti vanAt kamalam na dardurasya tat nivAsaH api // 4 //
   guṇiṣu durlabhā āḍhayā āḍhayeṣu guṇinastathā // 5 //	guNizu durlaBAH AXayA AXayezu guNinaH taTA // 5 //
   aneke santi bhūbhāgā ratnavantastu durlabhāḥ /	aneke santi BU BAgAH ratnavantaH tu durlaBAH /
   durlabhāḥ praṇināṃ santi mātṛpitṛyutastu ca // 6 //	durlaBAH praNinAm santi mAtR pitR yutaH tu ca // 6 //
   guṇāḥ kurvanti dūtatvaṃ dūre 'pi basatāṃ satām /	guNAH kurvanti dUta tvam dUre api basatAm satAm /
   ketakīgandhamāghrātuṃ svayamāyānti ṣaṭpadāḥ // 7 //	ketakI ganDam AGrAtum svayam AyAnti zawpadAH // 7 //
   vidvatvaṃ ca nṛpatvaṃ ca naiva tulyaṃ kadācana /	vidva tvam ca nRpa tvam ca na eva tulyam kadAcana /
   svadeśe pūjyate rājā vidvān sarvatra pūjyate // 8 //	sva deSe pUjyate rAjA vidvAn sarvatra pUjyate // 8 //
   alpastu kālo vividhāśca vidhā ḥ simāyuṣo yā kiyatī? na buddhā /	alpaH tu kAlaH viviDAH ca viDAH H simAyuzaH yA kiyatI? na budDAH /
   haṃsā labhante ca yathā payo 'dbhyas tathaiva tatvaṃ labhatāṃ ca yattat //	haMsAH laBante ca yaTA payaH adByaH taTA eva tatvam laBatAm ca yat tat //
   ekasthānanivāsino 'tisamayāt syuste viyuktāḥ kila	eka sTAna nivAsinaH ati samayAt syuH te viyuktAH kila
   vicchedānna hi cāntaraṃ kimapi tat tyājyaṃ na kiṃ tatsthalam /	vicCedAt na hi ca antaram kim api tat tyAjyam na kim tat sTalam /
   vaivaśyāddhi viyogato manasi jāyante vidhātā ati	vEvaSyAt hi viyogataH manasi jAyante viDAtA ati
   tatsthānaṃ yadi hīyate sahajataḥ syāccātiśāntiḥ sukham // 10 //	tat sTAnam yadi hIyate sahajataH syAt ca ati SAntiH suKam // 10 //
   saha vasatāmapyasatāṃ jalaruhajalavadbhavatyasaṃśleṣaḥ /	saha vasatAm api asatAm jalaruha jala vat Bavati asaMSlezaH /
