   prathamo niḥṣyandaḥ	praTamaH niHzyandaH
   yasyonmeṣanimeṣābhyāṃ jagataḥ pralayodayau |	yasya-unmeza-nimezAByAm jagataH pralaya-udayO |
   taṃ śakticakravibhavaprabhavaṃ śaṅkaraṃ stumaḥ || 1 ||	tam Sakti-cakra-viBava-praBavam SaFkaram stumaH || 1 ||
   yatra sthitam idaṃ sarvaṃ kāryaṃ yasmāc ca nirgataṃ |	yatra sTitam idam sarvam kAryam yasmAt ca nirgatam |
   tasyānāvṛtarūpatvān na nirodho 'sti kutracit || 2 ||	tasya-anAvRta-rUpa-tvAt na niroDaH asti kutracid || 2 ||
   jāgradādi vibhede 'pi tadabhinne prasarpati |	jAgrat-Adi viBede api tad-aBinne prasarpati |
   nivartate nijānnaiva svabhāvād upalabdhṛtaḥ || 3 ||	nivartate nijAt-na-eva svaBAvAt upalabDRtaH || 3 ||
   ahaṃ sukhī ca duḥkhī ca raktaś ca ityadisamvidaḥ |	aham suKI ca duHKI ca raktaH ca iti-adi-samvidaH |
   sukhādyavasthānusyūte vartante 'nyatra tāḥ sphuṭam || 4 ||	suKa-Adi-avasTA-anusyUte vartante anyatra tAH sPuwam || 4 ||
   na duḥkhaṃ na sukhaṃ yatra na grāhyam grāhakaṃ na ca |	na duHKam na suKam yatra na grAhyam grAhakam na ca |
   na cāsti mūḍhabhāvo 'pi tad asti paramārthataḥ || 5 ||	na ca-asti mUXa-BAvaH api tat asti paramArTataH || 5 ||
   yataḥ karaṇavargo 'yaṃ vimūḍho 'mūḍhavat svayam |	yatas karaNa-vargaH ayam vimUXaH amUXa-vat svayam |
   sahāntareṇa cakreṇa pravṛttisthitisaṃhṛtiḥ || 6 ||	saha-antareNa cakreNa pravRtti-sTiti-saMhRtiH || 6 ||
   labhate tatprayatnena parīkṣyaṃ tattvam ādarāt |	laBate tat-prayatnena parIkzyam tattvam AdarAt |
   yataḥ svatantratā tasya sarvatreyam akṛtrimā || 7 ||	yatas svatantra-tA tasya sarvatra-iyam akRtrimAH || 7 ||
   na hīcchānodanasyāyam prerakatvena vartate |	na hi-icCAnodanasya-ayam preraka-tvena vartate |
   api tv ātmabalasparśāt puruṣas tatsamo bhavet || 8 ||	api tu Atma-bala-sparSAt puruzaH tad-samaH Bavet || 8 ||
   nijāśuddhyāsamarthasya kartavyeṣv abhilāṣiṇaḥ |	nija-aSudDyA-samarTasya kartavyezu aBilAziNaH |
   yadā kṣobhaḥ pralīyeta tadā syāt paramam padam || 9 ||	yadA kzoBaH pralIyeta tadA syAt paramam padam || 9 ||
