   Kādambarīsvīkaraṇasūtramañjarī	KAt-ambarI-svIkaraNa-sUtramaQjarI
   ananyajasaptatantau anutarṣasvīkaraṇasyātyāvaśyakatvāt // 1	ananyaja-saptatantO anutarza-svIkaraNasya-ati-AvaSyaka-tvAt // 1
   * idānīm ātmabhuvā kriyamāṇe saptatantau	* idAnIm AtmaBuvA kriyamANe saptatantO
   tatsādhanatvenānirvacanīyasukhodbodhahetutvena vāruṇīprāśanam anudarśayati	tad-sADana-tvena-anirvacanIya-suKa-udboDa-hetu-tvena vAruNI-prASanam anudarSayati
   ananyajasaptatantāv iti || 1.1	ananyaja-saptatantO iti || 1.1
   * anutṛṣyanti anirvacanīyānandaṃ prāpnuvanti anenety anutarṣaṃ kādambaraṃ	* anutRzyanti anirvacanIya-Anandam prApnuvanti anena-iti anutarzam kAdambaram
   tasya svīkaraṇam anuprāśanaṃ tasya prāśanasyātyāvaśyakatvam atīva	tasya svIkaraNam anuprASanam tasya prASanasya-ati-AvaSyaka-tvam atIva
   īpsitatamatvam anirvacanīyānandapradātṛtvena retaḥstambhakatvena hetunā	Ipsitatama-tvam anirvacanIya-Ananda-pradAtR-tvena retaH-stamBaka-tvena hetunA
   karmānuṣṭhānāt pūrvaṃ pracetasaḥ kanyāyāḥ svīkaraṇaṃ kartavyam ity arthaḥ	karma-anuzWAnAt pUrvam pracetasaH kanyAyAH svIkaraNam kartavyam iti arTaH
   * makaradhvaja ātmabhūḥ ity amaraḥ || 1.3	* makaraDvajaH AtmaBUH iti amaraH || 1.3
   * saptatantur makhaḥ kratur ity amaraḥ || 1.4	* sapta-tantuH maKaH kratuH iti amaraH || 1.4
   * nanu anutarṣasvīkaraṇam adṛṣṭaphalodbodhe upakārakam āho svit	* nanu anutarza-svIkaraNam adRzwa-Pala-udboDe upakArakam Aho svid-
   dṛṣṭaphalodbodhe upakārakaṃ veti saṃśayavākyam upanyasya dṛṣṭaphalodbodhe	dRzwa-Pala-udboDe upakArakam vA-iti saMSaya-vAkyam upanyasya dRzwa-Pala-udboDe
   eva sākṣād upakārakaṃ na kiṃcit svargādiphalavat ānuśravikavākyaṃ kalpyam	eva sAkzAt upakArakam na kiMcid svarga-Adi-Pala-vat AnuSravika-vAkyam kalpyam
   upakārakam iti manasi niścitya pūrvasūtrasya hetutvena dvitīyaṃ sūtram	upakArakam iti manasi niScitya pUrva-sUtrasya hetu-tvena dvitIyam sUtram
   anuśāsti || 1.5]	anuSAsti || 1.5]
   ratyānandasyodbodhe anirvacanīyānandasya kāraṇabhūtatvāt // 2	rati-Anandasya-udboDe anirvacanIya-Anandasya kAraNa-BUta-tvAt // 2
   * ratyānandasyeti || 2.1	* rati-Anandasya-iti || 2.1
   * anutarṣasvīkaraṇe kṛte satīti jñeyam || 2.2	* anutarza-svIkaraNe kRte sati-iti jQeyam || 2.2
   * anena vākyena anayoḥ kāryakāraṇasaṃgatiḥ upapāditā bhavati tathā cāyam	* anena vAkyena anayoH kArya-kAraNa-saMgatiH upapAditA Bavati taTA ca-ayam
   arthaḥ anutarṣasvīkaraṇe kṛte sati nidhuvanavyāpāre ratyānando	arTaH anutarza-svIkaraNe kRte sati niDuvana-vyApAre rati-AnandaH-
   'nirvacanīya utpadyate netarathā sāmudrikaṇāmiśritasya	anirvacanIyaH utpadyate na-itaraTA sAmudri-kaNA-miSritasya
   sūpaśākādidravyasyeva nīrasaḥ svāduḥ prādurbhūyate ity arthaḥ || 2.3	sUpa-SAka-Adi-dravyasya-iva nIrasaH svAduH prAdurBUyate iti arTaH || 2.3
   * anyad apy anirvacanīyam upakārāntaraṃ tṛtīyasūtreṇa anuśāsti	* anyat api anirvacanIyam upakAra-antaram tRtIya-sUtreNa anuSAsti
   saṃpradarśayati || 2.4]	saMpradarSayati || 2.4]
   udañjyabhyutthāne pracetasaḥ kanyāyāḥ svīkaraṇasya paramakāraṇatvam // 3	udaQji-aByutTAne pracetasaH kanyAyAH svIkaraNasya parama-kAraNa-tvam // 3
   * udañjyabhyutthāne iti || 3.1	* udaQji-aByutTAne iti || 3.1
   * pāśinaḥ ātmajāyayā saha atiprītyupacayena tādātmyabhāvaṃ gamite sati	* pASinaH Atma-jAyayA saha ati-prIti-upacayena tAdAtmya-BAvam gamite sati
   nimittakāraṇasyātyupakārakatayā taddvārā svakīyānandasyānirvacanīyāhlāde	nimitta-kAraNasya-ati-upakAraka-tayA tad-dvArA svakIya-Anandasya-anirvacanIya-AhlAde
   prayojakībhūtaṃ bhavatīty arthaḥ || 3.2	prayojakIBUtam Bavati-iti arTaH || 3.2
   * anena vākyenātyāvaśyakatayā tādṛgvyāpārasya purastāt tādṛṅnirveśanaṃ	* anena vAkyena-ati-AvaSyaka-tayA tAdRS-vyApArasya purastAt tAdRS-nirveSanam
   sampādya tatpurastāt saptatantoḥ karmādhikāre 'dhikāritā itarathā	sampAdya tad-purastAt sapta-tantoH karma-aDikAre aDikAri-tA itaraTA
   nimittakāraṇe utsāhaśaktibhraṃśāt sākalyena narmavyāpāradhvaṃso bhavatīty	nimitta-kAraNe utsAha-Sakti-BraMSAt sAkalyena narma-vyApAra-DvaMsaH Bavati-iti-
   arthaḥ || 3.3	arTaH || 3.3
   * etasya sūtrasya rāddhāntasūtraṃ darśayati || 3.4]	* etasya sUtrasya rAdDAnta-sUtram darSayati || 3.4]
   prayojyaprādhānyakartṛtvābhāve ratitantraṃ vidhātum aśakyatvāt // 4	prayojya-prADAnya-kartR-tva-aBAve rati-tantram viDAtum aSakya-tvAt // 4
   * prayojyaprādhānye iti || 4.1	* prayojya-prADAnye iti || 4.1
   * prayojyasyodañjeḥ prādhānyakartṛtvam abhyutthāne sati sampadyate	* prayojyasya-udaQjeH prADAnya-kartR-tvam aByutTAne sati sampadyate
   tadabhāve abhyutthānābhāve nimittāpāye naimittikasyāpy apāya iti nyāyena	tad-aBAve aByutTAna-aBAve nimitta-apAye nEmittikasya-api apAyaH iti nyAyena
   ratitantraṃ lupyate kutaḥ || 4.2	rati-tantram lupyate kutas || 4.2
   * nimittakāraṇasyābhāvāt yathā turīvemādisattve paṭakāryasyotpattir	* nimitta-kAraNasya-aBAvAt yaTA turI-vema-Adi-sattve pawa-kAryasya-utpattiH-
   netarathā tathā abhyutthānasattve tantravidhānasyotpattiḥ || 4.3	na-itaraTA taTA aByutTAna-sattve tantra-viDAnasya-utpattiH || 4.3
   * anena vākyenātyāvaśyakatvenānutarṣasvīkaraṇaṃ sampādya tatpurastāt	* anena vAkyena-ati-AvaSyaka-tvena-anutarza-svIkaraNam sampAdya tat-purastAt-
   nidhuvanavyāpāre pravṛttir vidheyā iti bhāvaḥ || 4.4	niDuvana-vyApAre pravRttiH viDeyAH iti BAvaH || 4.4
   * idānīṃ sūtracatuṣṭayasya sākalyena kṛtsnaṃ tātparyārthaṃ saṃgṛhya	* idAnIm sUtra-catuzwayasya sAkalyena kRtsnam tAtparya-arTam saMgRhya
   avyabhicaritaṃ sarvasūtrāṇāṃ rāddhāntavākyaṃ saṃpradarśayati || 4.5]	avyaBicaritam sarva-sUtrANAm rAdDAnta-vAkyam saMpradarSayati || 4.5]
   prayojye narmavyāpāravistāre abhyutthānaviśiṣṭodañjyabhāve	prayojye narma-vyApAra-vistAre aByutTAna-viSizwa-udaQji-aBAve
   sarvāṅgīṇavyāpāropalakṣitaṃ ratitantraṃ kartum adhikārābhāvāt // 5	sarva-aFgINa-vyApAra-upalakzitam rati-tantram kartum aDikAra-aBAvAt // 5
   * prayojye narmavyāpāravistāre iti || 5.1	* prayojye narma-vyApAra-vistAre iti || 5.1
   * pūrvasmin sūtre vāhyatantre yat kiṃcid avacchedenādhikārikatvaṃ	* pUrvasmin sUtre vAhya-tantre yat kiMcid avacCedena-ADikArika-tvam
   nirūpitam asmin sūtre tu prayojakasya sākalyena	nirUpitam asmin sUtre tu prayojakasya sAkalyena
   narmapravṛttinimittasyābhāve jāyamāne sati prayojyavyāpāre 'pi	narma-pravRtti-nimittasya-aBAve jAyamAne sati prayojya-vyApAre api
   atyantābhāvasya vidhānaṃ nirvyavasāyenaiva prāptaṃ bhavati kiṃcid	atyanta-aBAvasya viDAnam nirvyavasAyena-eva prAptam Bavati kiMcid-
   viśeṣavidhānaṃ yatra nopalabhyata iti bhāvaḥ || 5.2	viSeza-viDAnam yatra na-upalaByate iti BAvaH || 5.2
   * tasmād anutarṣasvīkaraṇād anantaram eva narmakarmādhikāre ādhikārikatvam	* tasmAt anutarza-svIkaraNAt anantaram eva narma-karma-aDikAre ADikArika-tvam
   iti pañcasūtrāṇām eka eva tātparyārthaḥ || 5.3	iti paQca-sUtrANAm ekaH eva tAtparya-arTaH || 5.3
   * māghakirātaraghuvaṃśeṣu siddhāntitasya vākyasyaivāyam anuvādaḥ na tv	* mAGa-kirAta-raGu-vaMSezu sidDAntitasya vAkyasya-eva-ayam anuvAdaH na tu-
   apūrvavidhānaṃ svamanīṣayā upakalpya proktam iti śaṅkanīyam || 5.4	apUrva-viDAnam sva-manIzayA upakalpya proktam iti SaFkanIyam || 5.4
   * kiṃ ca dvitīyāvasthām atikrāntasya diṣṭyātmajāyayā saha	* kim ca dvitIya-avasTAm atikrAntasya dizwyA-AtmajAyayA saha
   asaṃstutapremaprāduṣkaraṇe saṃyuktasya janasya	asaMstuta-prema-prAduzkaraNe saMyuktasya janasya
   saprakārakarasotpattyanubhave tādṛṅmanīṣāyā abhāvāt sīdhusaṃgrahaṇaṃ	sa-prakAraka-rasa-utpatti-anuBave tAdRS-manIzAyAH aBAvAt sIDu-saMgrahaNam
   paramakāraṇatvena nābhimatam taditarāvasthāyāṃ tu andhasaḥ śamalasya	parama-kAraNa-tvena nABimatam tad-itara-avasTAyAm tu anDasaH Samalasya
   anirvacanīyānandaprakāśane svīkaraṇatvena saṃgrahaṇam	anirvacanIya-Ananda-prakASane svIkaraNa-tvena saMgrahaNam
   atyāvaśyakatvenābhimatam eva īdṛksaṃvidā yāthārthyajñānaṃ parikalpya	ati-AvaSyaka-tvena-aBimatam eva IdRS-saMvidA yATArTya-jQAnam parikalpya
   tādṛkkarmādhikāre anutarṣasvīkaraṇam atyāvaśyakatamam iti	tAdRS-karma-aDikAre anutarza-svIkaraNam atyAvaSya-katamam iti
   narmavyāpārakartṇām āptavākyavat yathārthopadeśam anuśāsti || 5.5]	narma-vyApAra-kartNAm Apta-vAkya-vat yaTArTa-upadeSam anuSAsti || 5.5]
   ratitantravilāse anirvacanīyarasotpattau sīdhusaṃgrahaṇasya	rati-tantra-vilAse anirvacanIya-rasa-utpattO sIDu-saMgrahaNasya
   paramakāraṇatvam // 6	parama-kAraNa-tvam // 6
   * ratitantravilāse iti || 6.1	* rati-tantra-vilAse iti || 6.1
   * ratitantravilāse narmavyāpāravilāse anirvacanīyarasotpattau	* rati-tantra-vilAse narma-vyApAra-vilAse anirvacanIya-rasa-utpattO
   ṣaḍvidharasād atirikto yo rasaḥ amṛtāndhasām upabhogayogya iti yāvat	zaxviDa-rasAt atiriktaH yaH rasaH amRtAnDasAm upaBoga-yogyaH iti yAvat-
   kādambararasasya anuprāśanasya paramakāraṇatvam tādṛgrase sampīte sati	kAdambara-rasasya anuprASanasya parama-kAraNa-tvam tAdRS-rase sampIte sati
   nidhuvanavyāpāravistāre rasabhāvanāviśeṣacaturāṇām	niDuvana-vyApAra-vistAre rasa-BAvanA-viSeza-caturANAm
   anirvacanīyasukhodbodhaṃ janayatīty arthaḥ || 6.2	anirvacanIya-suKa-udboDam janayati-iti arTaH || 6.2
   * kiṃ cānyad apy anirvacanīyaṃ rasaviśeṣāntaraṃ sīdhuprāśanenānudarśayati	* kim ca-anyat api anirvacanIyam rasa-viSeza-antaram sIDu-prASanena-anudarSayati
   lalitavibhramabandhavilāse puṣkarādhipater ātmajāyāḥ naisargikasvabhāvaḥ	lalita-viBrama-banDa-vilAse puzkara-aDipateH AtmajAyAH nEsargika-svaBAvaH
   * lalitavibhramabandheti || 7.1	* lalita-viBrama-banDa-iti || 7.1
   * puṣkaraṃ sarvatomukham ity amaraḥ || 7.2	* puzkaram sarvatomuKam iti amaraH || 7.2
   * puṣkarādhipateḥ ātmajāyāḥ lalitavibhramabandhaprāduṣkaraṇaṃ naisargikaḥ	* puzkara-aDipateH AtmajAyAH lalita-viBrama-banDa-prAduzkaraNam nEsargikaH
   svabhāva iti sūtrārthaḥ || 7.3	svaBAvaH iti sUtra-arTaH || 7.3
   * atra puṣkarādhipatiśabdena pratīcyāḥ kāṣṭhāyāḥ adhipatir lakṣyate tasya	* atra puzkara-aDipati-Sabdena pratIcyAH kAzWAyAH aDipatiH lakzyate tasya
   ātmajāyāḥ vāruṇyā anuprāśane kriyamāṇe lalitavibhramabandhānāṃ	AtmajAyAH vAruNyAH anuprASane kriyamANe lalita-viBrama-banDAnAm
   prakaṭīkaraṇe prayojikā bhavati netarathā	prakawIkaraNe prayojikA Bavati na-itaraTA
   kṛtsnavāṅmayasyādhidaivikarūpatvāt nirvyavasāyenaiva	kRtsna-vAc-mayasya-aDidEvika-rUpa-tvAt nirvyavasAyena-eva
   antaḥkaraṇasyāhlādakāḥ rucikaraprabandhāḥ atalapradeśāt kamalaniḥsaraṇam	antaHkaraNasya-AhlAdakAH ruci-kara-prabanDAH atala-pradeSAt kamala-niHsaraNam
   iva prāśanakartur mukhapadmanīḍāt prādurbhūyanta ity arthaḥ || 7.4	iva prASana-kartuH muKa-padmanIxAt prAdurBUyante iti arTaH || 7.4
   * idam eva rasaviśeṣāntaraṃ saṃnipatyopakārakanyāyena paramāpūrvasādhane	* idam eva rasa-viSeza-antaram saMnipatya-upakAraka-nyAyena parama-apUrva-sADane
   prayojakībhūtaṃ kāraṇaṃ nirbandhavarṇānāṃ śravaṇamātreṇa taddvārā	prayojakIBUtam kAraNam nirbanDa-varNAnAm SravaNa-mAtreNa tad-dvArA
   manasijodbodhe anirvacanīyasādhanatvena paramakāraṇatvam ayam eva tasyāḥ	manasija-udboDe anirvacanIya-sADana-tvena parama-kAraNa-tvam ayam eva tasyAH
   naisargikasvabhāva iti || 7.5	nEsargika-svaBAvaH iti || 7.5
   * anyad apy upakārāntaram uttarasūtreṇa saṃpradarśayati || 7.6]	* anyat api upakAra-antaram uttara-sUtreNa saMpradarSayati || 7.6]
   upaśyāmayā saha madhuvāra udañjidhārṣṭye prayojakaḥ // 8	upaSyAmayA saha maDuvAraH udaQji-DArzwye prayojakaH // 8
   * upaśyāmayeti || 8.1	* upaSyAmayA-iti || 8.1
   * śyāmāvasthāyā upa samīpe vartate sā upaśyāmā tayā	* SyAmA-avasTAyAH upa samIpe vartate sA upaSyAmA tayA
   caturdaśapañcadaśahāyanātmikayā yoṣayā saha madhuvārā madhupānāvṛttiḥ	caturdaSa-paQcadaSa-hAyana-AtmikayA yozayA saha maDuvArA maDu-pAna-AvRttiH
   udañjidhārṣṭye atyantadṛḍhataratve prayojako bhavati anena vākyena	udaQji-DArzwye atyanta-dRXatara-tve prayojakaH Bavati anena vAkyena
   parisaṃkhyāvidheḥ svarūpaṃ prakāśitaṃ bhavati || 8.2	parisaMKyA-viDeH svarUpam prakASitam Bavati || 8.2
   * tathā cāyam arthaḥ atikrāntāvasthayā saha madhuvāre jāyamāne	* taTA ca-ayam arTaH atikrAnta-avasTayA saha maDuvAre jAyamAne
   udañjidhārṣṭyaṃ naivotpadyate tayā saha tādṛgvyavasāyaḥ vaiyarthyatāṃ	udaQji-DArzwyam na-eva-utpadyate tayA saha tAdRS-vyavasAyaH vEyarTyatAm
