   pāpaśodhanaṃ aṣṭamaḥ paricchedaḥ |	pApa-SoDanam azwamaH paricCedaH |
   uktā trayāṇām apy ātmabhāvâdīnāṃ rakṣā |	uktA trayANAm api Atma-BAvâdInAm rakzA |
   śuddhir adhunā vaktavyā |	SudDiH aDunA vaktavyA |
   kim artham |	kim arTam |
   śodhitasyâtmabhāvasya bhogaḥ pathyo bhaviṣyati |	SoDitasyâtma-BAvasya BogaH paTyaH Bavizyati |
   samyaksiddhasya bhaktasya niṣkaṇasyêva dehinām ||	samyak-sidDasya Baktasya nizkaNasi-êva dehinAm ||
   yathôktam āryatathāgataguhyasūtre |	yaTôktam Arya-taTAgata-guhya-sUtre |
   yāni ca tāni mahānagareṣu mahāśmaśānāni bhavanty	yAni ca tAni mahA-nagarezu mahA-SmaSAnAni Bavanti-
   anekaprāṇiśatasahasrâkīrṇāni |	aneka-prANi-Sata-sahasrâkIrNAni |
   tatrâpi sa bodhisatvo mahāsatvo*mahāntam ātmabhāvaṃ mṛtaṃ kā-	tatrâpi sa boDisatvaH mahAsatvaH-*-mahAntam Atma-BAvam mRtam kA-
   [ Bendall ed p159 ---> ]	[ Bet-dalt ed p159 ---> ]
   lagatam upadarśayati |	lagatam upadarSayati |
   tatra te tiryagyonigatāḥ satvā yāvad arthaṃ māṃsaṃ*paribhujyâyuḥparyante	tatra te tiryagyoni-gatAH satvAH yAvat arTam mAMsaM*pariBujyâ-yuH-paryante
   mṛtāḥ kālagatāḥ sugatau svargaloke deveṣûpapadyante |	mRtAH kAlagatAH sugatO svarga-loke devezûpapadyante |
   sa câiva teṣāṃ hetur bhavati yāvat pari-	sa câiva tezAm hetuH Bavati yAvat pari-
   [ Cambridge MS f78a ---> ]	[ Cambridge M f78aH ---> ]
   nirvāṇāya |	nirvANAya |
   yad idaṃ |	yat idam |
   tasyâiva bodhisatvasya pūrvapraṇidhānapariśuddhyā |	tasyâiva boDisatvasya pUrva-praNiDAna-pariSudDyA |
   yena dīrgharātram evaṃ praṇidhānaṃ kṛtaṃ |	yena dIrGarAtram evam praNiDAnam kRtam |
   ye me mṛtasya kālagatasya māṃsaṃ paribhuñjīran |	ye me mRtasya kAlagatasya mAMsam pariBuQjIran |
   sâiva teṣāṃ hetur bhavet svargôtpattaye yāvat parinirvāṇāya tasya	sâiva tezAm hetuH Bavet svargôt-pattaye yAvat parinirvANAya tasya
   śīlavataḥ |	SIlavataH |
   ṛdhyati cetanā |	RDyati cetanA |
   ṛdhyati prārthanā |	RDyati prArTanA |
   ṛdhyati praṇidhānam iti ||	RDyati praNiDAnam iti ||
   punar atrâivôktaṃ |	punar atrâivôktam |
   sa dharmakāyaprabhāvito darśanenâpi satvānām arthaṃ karoti |	sa Darma-kAya-praBAvitaH darSanenâpi satvAnAm arTam karoti |
   śravaṇenâpi sparśanenâpi satvānām arthaṃ karoti |	SravaNenâpi sparSanenâpi satvAnAm arTam karoti |
   tad yathâpi nāma śāntamate jīvakena vaidyarājena sarvabhaiṣajyāni	tat yaTâpi nAma SAnta-mate jIvakena vEdya-rAjena sarva-BEzajyAni
   samudānīya bhaiṣajyatarusaṃhātam ayaṃ dārikārūpaṃ kṛtaṃ prāsādikaṃ	samudAnIya BEzajya-taru-saMhAtam ayam dArikA-rUpam kRtam prAsAdikam
   darśanīyaṃ sukṛtaṃ suniṣṭhitaṃ suparikarmakṛtaṃ |	darSanIyam sukRtam su-nizWitam su-parikarma-kRtam |
   sâgacchati gacchati tiṣṭhati niṣīdati śayyāṃ ca kalpayati |	sâgacCati gacCati tizWati nizIdati SayyAm ca kalpayati |
   tatra ye āgacchanty āturā mahâtmāno rājāno vā rājamātrā vā	tatra ye AgacCanti AturAH mahâtmAnaH rAjAnaH vA rAjamAtrA vA
   śreṣṭhigṛhapatyamātyakoṭṭarājāno vā |	SrezWi-gRhapatyamAtya-kowwa-rAjAnaH vA |
   tān sa jīvako vaidyarājas tayā bhaiṣajyadārikayā sārddhaṃ saṃyojayati |	tAn sa jIvakaH vEdya-rAjaH tayA BEzajya-dArikayA sArdDam saMyojayati |
   teṣāṃ samanantarasaṃyogam āpannānāṃ sarvavyādhayaḥ prasrabhyante 'rāgāś ca	tezAm samanantara-saMyogam ApannAnAm sarva-vyADayaH prasraByante arAgAH ca
   bhavanti sukhino nirvikārāḥ |	Bavanti suKinaH nirvikArAH |
   paśya śāntamate jīvakasya vaidyarājasya laukikavyādhicikitsājñānaṃ yady	paSya SAnta-mate jIvakasya vEdya-rAjasya lOkika-vyADi-cikitsA-jQAnam yadi-
   anyeṣāṃ vaidyānāṃ saṃvidyate |	anyezAm vEdyAnAm saMvidyate |
   evam eva śāntamate tasya dharmakāyaprabhāvitasya bodhisatvasya yāvantaḥ	evam eva SAnta-mate tasya Darma-kAya-praBAvitasya boDisatvasya yAvantaH
   satvāḥ strīpuruṣadārakadārikā rāgadoṣamohasaṃtaptāḥ kāyaṃ spṛśanti |	satvAH strI-puruza-dAraka-dArikAH rAga-doza-moha-saMtaptAH kAyam spRSanti |
   teṣāṃ saṃspṛṣṭamātrāṇāṃ sarvakleśāḥ prasrabhyante vigatasaṃtāpaṃ ca kāyaṃ	tezAm saMspRzwa-mAtrANAm sarva-kleSAH prasraByante vigata-saMtApam ca kAyam
   saṃjānanti ||	saMjAnanti ||
   yad idaṃ tasyâiva bodhisatvasya pūrvapraṇidhānasupariśuddhatvāt |	yat idam tasyâiva boDisatvasya pUrva-praNiDAna-su-pariSudDa-tvAt |
   etadartham ātmabhāvaḥ śodhyaḥ ||	etad-arTam Atma-BAvaH SoDyaH ||
   kiṃ câśodhane doṣam āha |tṛṇachannaṃ yathā śasyaṃ rogaiḥ sīdati nâidhate |	kim câSoDane dozam Aha |tRNa-Cannam yaTA Sasyam rogEH sIdati nâiDate |
   buddhâṅkuras tathā vṛddhiṃ kleśachanno na gacchati ||	budDâFkuraH taTA vRdDim kleSa-CannaH na gacCati ||
   [ Bendall ed p160 ---> ]	[ Bet-dalt ed p160 ---> ]
   pratipakṣanirāsena vṛddhyarthaṃ cêty abhiprāyaḥ ||	pratipakza-nirAsena vRdDi-arTam cêti aBiprAyaH ||
   ātmabhāvasya kā śuddhiḥ |	Atma-BAvasya kA SudDiH |
   pāpakleśaviśodhanaṃ |	pApa-kleSa-viSoDanam |
   saṃbuddhôktyarthasāreṇa |	saMbudDôkti-arTa-sAreNa |
   yatnâbhāve tv apāyagaḥ ||	yatnâBAve tu apAya-gaH ||
   tatra pāpaśodhanaṃ caturdharmakasūtre deśitaṃ |	tatra pApa-SoDanam caturDarmaka-sUtre deSitam |
   caturbhir maitreya dharmaiḥ samanvāgato bodhisatvo mahāsatvaḥ kṛtôpacitaṃ	caturBiH mEtreya DarmEH samanvAgataH boDisatvaH mahAsatvaH kRtô-pacitam
   pāpam abhibhavati |	pApam aBiBavati |
   katamaiś caturbhiḥ |	katamEH caturBiH |
   yad uta |	yat uta |
   vidūṣaṇâsamudācāreṇa pratipakṣasamudācāreṇa |	vidUzaNâ-samudAcAreNa pratipakza-samudAcAreNa |
   pratyāpattibalena |	pratyApatti-balena |
   āśrayabalena ca ||	ASraya-balena ca ||
   tatra vi-	tatra vi-
   [ Cambridge MS f78b ---> ]	[ Cambridge M f78B ---> ]
   dūṣaṇâsamudācāro 'kuśalaṃ karmâdhyacārati tatra tatrâiva ca	dUzaNâ-samudAcAraH akuSalam karmâDyacArati tatra tatrâiva ca
   vipratisārabahulī bhavati ||	vipratisAra-bahulI Bavati ||
   tatra pratipakṣasamudācāraḥ kṛtvâpy akuśalaṃ karma kuśale karmaṇy	tatra pratipakza-samudAcAraH kRtvâpi akuSalam karma kuSale karmaNi-
   atyarthâbhiyogaṃ gataḥ ||	atyarTâBiyogam gataH ||
   pratyāpattibalaṃ saṃvarasamādānād akaraṇasaṃvaralābhaḥ ||	pratyApatti-balam saMvara-samAdAnAt akaraNa-saMvara-lABaH ||
   tatrâśrayabalaṃ buddhadharmasaṃghaśaraṇa gamanam anutsṛṣṭabodhicittatā ca	tatrâSraya-balam budDa-Darma-saMGa-SaraNa gamanam anutsRzwa-boDi-citta-tA ca
   subalavatsaṃniśrayeṇa na śakyate pāpenâbhibhavituṃ |	subalavat-saMniSrayeNa na Sakyate pApenâBiBavitum |
   ebhir maitreya caturbhir dharmaiḥ samanvāgato bodhisatvo mahāsatvaḥ	eBiH mEtreya caturBiH DarmEH samanvAgataH boDisatvaH mahAsatvaH
   kṛtôpacitaṃ pāpam abhibhavatîti ||	kRtô-pacitam pApam aBiBavatîti ||
   tatra kathaṃ vidūṣaṇâsamudācāro bhāvayitavyaḥ |	tatra kaTam vidUzaNâ-samudAcAraH BAvayitavyaH |
   yathā suvarṇaprabhāsôttamasūtre 'bhihitaṃ ||	yaTA suvarNa-praBA-sôttama-sUtre aBihitam ||
   samanvāharantu māṃ buddhāḥ kṛpākāruṇyacetasaḥ |	samanvAharantu mAm budDAH kRpA-kAruNya-cetasaH |
   ye ca daśadiśi loke tiṣṭhanti dvipadôttamāḥ ||	ye ca daSa-diSi loke tizWanti dvipadôttamAH ||
   [ Bendall ed p161 ---> ]	[ Bet-dalt ed p161 ---> ]
   yac ca me pāpakaṃ karma kṛtaṃ pūrvaṃ sudāruṇaṃ |	yat ca me pApakam karma kRtam pUrvam su-dAruNam |
   tat sarvaṃ deśayiṣyāmi sthito daśabalâgrataḥ ||	tat sarvam deSayizyAmi sTitaH daSa-balâgrataH ||
   mātāpit-rn ajānatā buddhānām aprajānatā |	mAtA-pit-r ajAnatA budDAnAm aprajAnatA |
   kuśalaṃ câprajānatā yat tu pāpaṃ kṛtaṃ mayā ||	kuSalam câ-prajAnatA yat tu pApam kRtam mayA ||
   aiśvaryamadamattena kulabhogamadena ca |	ESvarya-mada-mattena kula-Boga-madena ca |
   tāruṇyamadamattena yat tu pāpaṃ kṛtaṃ mayā ||	tAruNya-mada-mattena yat tu pApam kRtam mayA ||
   duścintitaṃ duruktaṃ ca duṣkṛtenâpi karmaṇā |	duScintitam duruktam ca duzkRtenâpi karmaNA |
   anādīnavadarśinā yat tu pāpaṃ kṛtaṃ mayā ||	anAdInava-darSinA yat tu pApam kRtam mayA ||
   bālabuddhipracāreṇâjñānâvṛtacetasā |	bAla-budDi-pracAreNâ-jQAnâvRta-cetasA |
   pāpamitravaśāc câiva kleśavyākulacetasā ||	pApa-mitra-vaSAt câiva kleSa-vyAkula-cetasA ||
   krīḍārativaśāc câiva śokarogavaśena vā |	krIxA-arati-vaSAt câiva Soka-roga-vaSena vA |
   atṛptadhanadoṣeṇa yat tu pāpaṃ kṛtaṃ mayā ||	atRpta-Dana-dozeNa yat tu pApam kRtam mayA ||
   anāryajanasaṃsargair īrṣyāmātsaryahetunā |	anArya-jana-saMsargEH IrzyA-mAtsarya-hetunA |
   śāṭhyadāridryadoṣeṇa yat tu pāpaṃ kṛtaṃ mayā ||	SAWya-dAridrya-dozeNa yat tu pApam kRtam mayA ||
   vyasanâgamakāle 'smin kāmānāṃ bhayahetunā |	vyasanâ-gama-kAle asmin kAmAnAm Baya-hetunA |
   anaiśvaryagatenâpi yat tu pāpaṃ kṛtaṃ mayā ||	anESvarya-gatenâpi yat tu pApam kRtam mayA ||
   calacittavaśenâiva kāmakrodhavaśena vā |	cala-citta-vaSenâiva kAma-kroDa-vaSena vA |
   kṣutpipāsârditenâpi yat tu pāpaṃ kṛtaṃ mayā ||	kzuD-pipAsârditenâpi yat tu pApam kRtam mayA ||
   [ Bendall ed p162 ---> ]	[ Bet-dalt ed p162 ---> ]
   pānârthaṃ bhojanârthaṃ ca vastrârthaṃ strīṣu hetunā |	pAnârTam BojanârTam ca vastrârTam strIzu hetunA |
   vicitraiḥ kleśasaṃtāpair yat tu pāpaṃ kṛtaṃ mayā ||	vicitrEH kleSa-saMtApEH yat tu pApam kRtam mayA ||
   kāyavāṅmanasāṃ pāpaṃ tridhā duścaritaṃ cittaṃ |	kAya-vAc-manasAm pApam triDA duScaritam cittam |
   yat kṛtam īdṛśai rūpais tat sarvaṃ deśayāmy aham ||	yat kRtam IdRSEH rUpEH tat sarvam deSayAmi aham ||
   yat tu buddheṣu dharmeṣu śrāvakeṣu tathâiva ca |	yat tu budDezu Darmezu SrAvakezu taTâiva ca |
   agauravaṃ kṛtaṃ syād dhi tat sarvaṃ deśayāmy aham ||	agOravam kRtam syAt Di tat sarvam deSayAmi aham ||
   yat tu pratyekabuddheṣu bodhisatveṣu vā punaḥ |agauravaṃ kṛtaṃ syād dhi	yat tu pratyekabudDezu boDisatvezu vA punar |a-gOravam kRtam syAt Di
   tat srvaṃ deśayāmy aham ||	tat srvam deSayAmi aham ||
   saddharma-	sadDarma-
   [ Cambridge MS f79a ---> ]	[ Cambridge M f79aH ---> ]
   bhāṇakeṣv evânyeṣu guṇavatsu vā |	BANakezu evânyezu guNavatsu vA |
   agauravaṃ kṛtaṃ syād dhi tat sarvaṃ deśayāmy aham ||	agOravam kRtam syAt Di tat sarvam deSayAmi aham ||
   saddharmaḥ pratikṣiptaḥ syād ajñānaṃ tena me sadā |	sadDarmaH pratikziptaH syAt ajQAnam tena me sadA |
