   caturtha ucchvāsaḥ	caturTaH ucCvAsaH
   yogaṃsvapne 'pi necchanti kurvate nakaragraham /	yogaMsvapne api na-icCanti kurvate nakara-graham /
   mahānto nāmamātreṇa bhavanti patayo bhuvaḥ // 4.1 //	mahAntaH nAma-mAtreNa Bavanti patayaH BuvaH // 4.1 //
   sakalamahībhṛtkampakṛdutpadyata eva eva nṛpavaṃśe /	sakala-mahIBRt-kampa-kRt-utpadyate eva eva nRpa-vaMSe /
   vipule 'pi pṛthupratimo danta iva gaṇādhipasya mukhe // 4.2 //	vipule api pRTu-pratimaH dantaH iva gaNADipasya muKe // 4.2 //
   atha tasmātpuṣpabhūterdvijavarasvecchāgṛhītakoṣo nābipajha iva	aTa tasmAt-puzpa-BUteH-dvija-vara-sva-icCA-gRhIta-kozaH na-abipaJaH iva
   puṇḍarīkekṣaṇāt, lakṣmīpuraḥsaro ratnasaṃcaya iva ratnākarāt,	puNxarIkekzaNAt, lakzmI-puraHsaraH ratna-saMcayaH iva ratna-AkarAt,
   gurubudhakavikalābhṛttejasvibhūnandanaprāyo grahagaṇa ivodayasthānāt,	guru-buDaka-vikalA-BRt-tejasvi-BUnandana-prAyaH graha-gaNaH iva-udaya-sTAnAt,
   mahābhāravāhanayogyaḥ sāgara iva sagaraprabhāvāt, durjayabalasanātho	mahABAra-vAhana-yogyaH sAgaraH iva sagara-praBAvAt, durjaya-bala-sanATaH-
   harivaṃśa iva sūrānnirjagāma rājavaṃśaḥ /	hari-vaMSaH iva sUrAt-nirjagAma rAja-vaMSaH /
   yasmādavinaṣṭadharmadhavalāḥ prajāsargā iva kṛtamukhāt,	yasmAt-avinazwa-Darma-DavalAH prajA-sargAH iva kRta-muKAt,
   pratāpākrāntabhuvanāḥ kiraṇā iva tejonidheḥ, vigrahavyāptadiṅmukhā giraya	pratApa-AkrAnta-BuvanAH kiraNAH iva tejaH-niDeH, vigraha-vyApta-diFmuKAH giraya
   iva bhūbhṛtpravarāt, dharaṇidhāraṇakṣamā diggajā iva brahnakarāt, udadhīn	iva BUBRt-pravarAt, DaraNi-DAraNa-kzamAH diggajAH iva brahna-karAt, udaDIn
   pātumudyatā jaladharā iva ghanāgamāt, icchāphaladāyinaḥ kalpatarava iva	pAtum-udyatAH jalaDarAH iva GanAgamAt, icCA-Pala-dAyinaH kalpataravaH iva
   nandanāt, sarvabhūtāśrayā viśvarūpaprakārā iva śrīdharādajāyanta rājānaḥ /	nandanAt, sarva-BUta-ASrayAH viSva-rUpa-prakArAH iva SrIDarAt-ajAyanta rAjAnaH /
   teṣu caivamutpadyamāneṣu krameṇodapādi hūṇahariṇakesarī sindhurājajvaro	tezu ca-evam-utpadyamAnezu krameNa-udapAdi hUNa-hariNa-kesarI sinDurAja-jvaraH-
   gūrjaraprajāgaro gāndhārādipagandhadvipakūṭapākalo lāṭapāṭavapāṭaccaro	gUrjara-prajAgaraH gAnDAra-Adi-paganDa-dvipa-kUwa-pAkalaH lAwa-pAwava-pAwaccaraH-
   mālavalakṣmīlatāparaśuḥ pratāpaśīla iti prathitāparanāmā	mAlava-lakzmI-latA-aparaSuH pratApa-SIlaH iti praTitA-apara-nAmA
   prabhākaravardhano nāma rājādhirājaḥ /	praBAkaravarDanaH nAma rAja-aDirAjaH /
   yo rājyāṅgasaṅgīnyabhiṣicyamāna eva malānīva mumoca dhanāni /	yaH rAjya-aFga-saFgIni-aBizicyamAnaH eva malAni-iva mumoca DanAni /
   yaḥ parakīyenāpi kātaravallabhena raṇamukhe tṛṇeneva dhṛtenālajjata	yaH parakIyena-api kAtara-vallaBena raNa-muKe tRNena-iva DRtena-alajjata
   jīvitena /	jIvitena /
   yaḥ karadhṛtadhautāsipratibimbitenātmanāpyadūyata samitiṣu sahāyena	yaH kara-DRta-DOta-asi-pratibimbitena-AtmanA-api-adUyata samitizu sahAyena
   ripūṇāṃ puraḥ pradhaneṣu dhanuṣāpi namatā yo mānī mānasenākhidyata /	ripUNAm puras praDanezu DanuzA-api namatA yaH mAnI mAnasena-aKidyata /
   yaścāntargatāparimitaripuśastraśalyaśaṅkukīlatāmiva niścalāmuvāha	yaH-ca-antargatA-parimita-ripuSastra-Salya-SaFkukIlatAm-iva niScalAm-uvAha
   rājalakṣmīm /	rAja-lakzmIm /
   yaśca sarvāsu dikṣu	yaH-ca sarvAsu dikzu
   samīkṛtataṭāvaṭaviṭapāṭavītarutṛṇagulmavalmīkagirigahanairdaṇḍayātrāpathaiḥ	samIkRta-tawa-avawa-viwa-pAwavI-taru-tRNa-gulma-valmIka-giri-gahanEH-daNxa-yAtrA-paTEH
   pṛthubhirbhṛtyopayogāya vyabhajateva vasudhāṃ bahudhā /	pRTuBiH-BRtya-upayogAya vyaBajata-iva vasuDAm bahuDA /
   yaṃ cālabdhayuddhadohadamātmoyo 'pi sakalaripusamutsārakaḥ parakīya iva	yam ca-alabDa-yudDa-dohadam-AtmoyaH api sakala-ripu-samutsArakaH parakIyaH iva
   tatāpa pratāpaḥ /	tatApa pratApaH /
   yasya ca vahnimayo hṛdayeṣu, jalamayo locanapuṭeṣu, mārutamayo	yasya ca vahni-mayaH hRdayezu, jala-mayaH locana-puwezu, mArutam-ayaH-
   niḥśvasiteṣu, kṣamāmayo 'ṅgeṣu, ākāśamayaḥ śūnyatāyāṃ, pañcamahābhūtamayo	niHSvasita-izu, kzamA-mayaH aFgezu, AkASa-mayaH SUnyatAyAM, paQca-mahABUtam-ayaH-
   mūrta ivādṛśyata nihatapratisāmantāntaḥpureṣu pratāpaḥ /	mUrtaH iva-adRSyata nihata-pratisAmanta-antaHpurezu pratApaH /
   yasya cāsanneṣu bhṛtyaratneṣu pratibimbateva tulyarūpā sa ptalakṣyata	yasya ca-Asannezu BRtya-ratnezu pratibimba-tA-iva tulya-rUpA sa ptalakzyata
