   // namo mañjuśriye kumārabhūtāya //	// namaH maQju Sriye kumAra BUtAya //
   ācāryavasubandhupraṇītaḥ	AcArya vasu banDu praNItaH
   Trisvabhāvanirdeśaḥ (Tsn)	Tri svaBAva nirdeSaH (Tsn)
   kalpitaḥ paratantraśca pariniṣpanna eva ca /	kalpitaH paratantraH ca parinizpannaH eva ca /
   trayaḥ svabhāvā dhīrāṇāṃ gambhīrajñeyamiṣyate // Tsn_1 //	trayaH svaBAvAH DIrANAm gamBIra jQeyam izyate // Tsn_1 //
   yat khyāti paratantro 'sau yathā khyāti sa kalpitaḥ /	yat KyAti paratantraH asO yaTA KyAti sa kalpitaH /
   pratyayādhīnavṛttitvāt kalpanāmātrabhāvataḥ // Tsn_2 //	pratyaya aDIna vRtti tvAt kalpanA mAtra BAvataH // Ts= _2 //
   tasya khyāturyathākhyānaṃ yā sadāvidyamānatā /	tasya KyAtuH yaTA AKyAnam yA sadA avidyamAna tA /
   jñeyaḥ sa pariniṣpannasvabhāvo 'nanyathātvataḥ // Tsn_3 //	jQeyaH sa parinizpanna svaBAvaH ananyaTAtvataH // Tsn_3 //
   tatra kiṃ khyātyasatkalpaḥ kathaṃ khyāti dvayātmanā /	tatra kim KyAti asat kalpaH kaTam KyAti dvaya AtmanA /
   tasya kā nāstitā tena yā tatrādvayadharmatā // Tsn_4 //	tasya kA na astitA tena yA tatra advaya DarmatA // Ts= _4 //
   asatkalpo 'tra kaścittaṃ yatastena hi kalpyate /	asat kalpaH atra kaScid tam yatas tena hi kalpyate /
   yathā ca kalpayatyartha tathātyantaṃ na vidyate // Tsn_5 //	yaTA ca kalpayati arTa taTA atyantam na vidyate // Tsn_5 //
   taddhetuphalabhāvena cittaṃ dvividhamiṣyate /	tad hetu Pala BAvena cittam dviviDam izyate /
   yadālayākhyaṃ vijñānaṃ pravṛttyākhyaṃ ca saptadhā // Tsn_6 //	yadAlaya AKyam vijQAnam pravRtti AKyam ca saptaDA // Tsn_6 //
   saṃkleśavāsanābījaiścitatvāccittamucyate /	saMkleSa vAsanA bIjEH cita tvAt cittam ucyate /
   cittamādyaṃ dvitīyaṃ tu citrākārapravṛttitaḥ // Tsn_7 //	cittam Adyam dvitIyam tu citra AkAra pravRttitaH // Ts= _7 //
   samāsato 'bhūtakalpaḥ sa caiṣa trividho mataḥ /	samAsatas aBUta kalpaH sa ca eza triviDaH mataH /
   vaipākikastathā naimittiko 'nyaḥ prātibhāsikaḥ // Tsn_8 //	vEpAkikaH taTA nEmittikaH anyaH prAtiBAsikaH // Tsn_8 //
   prathamo mūlavijñānaṃ tadvipākātmakaṃ yataḥ /	praTamaH mUla vijQAnam tad vipAka Atmakam yatas /
   anyaḥ pravṛttivijñānaṃ dṛśyadṛgvittivṛttitaḥ // Tsn_9 //	anyaH pravRtti vijQAnam dRSya dRS vitti vRttitaH // Tsn_9 //
   sadasattvād dvayaikatvāt saṃkleśavyavadānayoḥ /	sat asat tvAt dvaya eka tvAt saMkleSa vyavadAnayoH /
   lakṣaṇābhedataśceṣṭā svabhāvānāṃ gaṃbhīratā // Tsn_10 //	lakzaNa aBedataH cezwA svaBAvAnAm gaMBIra tA // Tsn_10 //
   sattvena gṛhyate yasmādatyantābhāva eva ca /	sattvena gRhyate yasmAt atyanta aBAvaH eva ca /
   svabhāvaḥ kalpitastena sadasallakṣaṇo mataḥ // Tsn_11 //	svaBAvaH kalpitaH tena sat asat lakzaNaH mataH // Tsn_11 //
   vidyate bhrāntibhāvena yathākhyānaṃ na vidyate /	vidyate BrAnti BAvena yaTA AKyAnam na vidyate /
   paratantro yatastena sadasallakṣaṇo mataḥ // Tsn_12 //	paratantraH yatas tena sat asat lakzaNaH mataH // Tsn_12 //
   advayatvena yaccāsti dvayasyābhāva eva ca /	advayatvena yat ca asti dvayasya aBAvaH eva ca /
   svabhāvastena niṣpannaḥ sadasallakṣaṇo mataḥ // Tsn_13 //	svaBAvaH tena nizpannaH sadasat lakzaNaH mataH // Tsn_13 //
   dvaividhyāt kalpitārthasya tadasattvaikabhāvataḥ /	dvEviDyAt kalpita arTasya tat asattva eka BAvataH /
   svabhāvaḥ kalpito bālairdvayaikatvātmako mataḥ // Tsn_14 //	svaBAvaH kalpitaH bAlEH dvaya eka tva AtmakaH mataH // Tsn_14 //
   prakhyānād dvayabhāvena bhrāntimātraikabhāvataḥ /	praKyAnAt dvaya BAvena BrAnti mAtra eka BAvataH /
   svabhāvaḥ paratantrākhyo dvayaikatvātmako mataḥ // Tsn_15 //	svaBAvaH paratantra AKyaH dvaya eka tva AtmakaH mataH // Tsn_15 //
   dvayābhāvasvabhāvatvādadvayaikasvabhāvataḥ /	dvaya aBAva svaBAva tvAt advaya eka svaBAvataH /
   svabhāvaḥ pariniṣpanno dvayaikatvātmako mataḥ // Tsn_16 //	svaBAvaH parinizpannaH dvaya eka tva AtmakaH mataH // Tsn_16 //
   kalpitaḥ paratantraśca jñeyaṃ saṃkleśalakṣaṇam /	kalpitaH paratantraH ca jQeyam saMkleSa lakzaNam /
   pariniṣpanna iṣṭastu vyavadānasya lakṣaṇam // Tsn_17 //	parinizpannaH izwaH tu vyavadAnasya lakzaNam // Tsn_17 //
   asaddvayasvabhāvatvāt tadabhāvasvabhāvataḥ /	asat dvaya svaBAva tvAt tad aBAva svaBAvataH /
   svabhāvāt kalpitājjñeyo niṣpanno 'bhinnalakṣaṇaḥ // Tsn_18 //	svaBAvAt kalpitAt jQeyaH nizpannaH aBinna lakzaNaH // Tsn_18 //
   advayatvasvabhāvatvād dvayābhāvasvabhāvataḥ /	advayatva svaBAva tvAt dvaya aBAva svaBAvataH /
   niṣpannāt kalpitaścaiva vijñeyo 'bhinnalakṣaṇaḥ // Tsn_19 //	nizpannAt kalpitaH ca eva vijQeyaH aBinna lakzaNaH // Tsn_19 //
   yathākhyānamasadbhāvāt tathāsattvasvabhāvataḥ /	yaTA AKyAnam asadBAvAt taTA sattva svaBAvataH /
   svabhāvāt paratantrākhyānniṣpanno 'bhinnalakṣaṇaḥ // Tsn_20 //	svaBAvAt paratantra AKyAn nizpannaH aBinna lakzaNaH // Tsn_20 //
