   Gorakṣa-śatakam	Gora-kza-Satakam
   oṃ parama-gurave gorakṣanāthāya namaḥ	om parama--gurave gorakza-nATAya namaH
   oṃ gorakṣa-śatakaṃ vakṣye bhava-pāśa-vimuktaye /	om gorakza-Satakam vakzye Bava--pASa--vimuktaye /
   ātma-bodha-karaṃ puṃsāṃ viveka-dvāra-kuñcikām // GorS(1)_1 //	Atma-boDa--karam puMsAm viveka--dvAra--kuQcikAm // GorS(1)_1 //
   etad vimukti-sopānam etat kālasya vañcanam /	etat vimukti--sopAnam etat kAlasya vaQcanam /
   yad vyāvṛttaṃ mano mohād āsaktaṃ paramātmani // GorS(1)_2 //	yat vyAvRttam manaH mohAt Asaktam paramAtmani // GorS(1)_2 //
   dvija-sevita-śākhasya śruti-kalpa-taroḥ phalam /	dvija--sevita--SAKasya Sruti-kalpa--taroH Palam /
   śamanaṃ bhava-tāpasya yogaṃ bhajati sajjanaḥ // GorS(1)_3 //	Samanam Bava-tApasya yogam Bajati sat-janaH // GorS(1)_3 //
   āsanaṃ prāṇa-saṃyāmaḥ pratyāhāro'tha dhāraṇā /	Asanam prANa-saMyAmaH pratyAhAraH-aTa DAraNA /
   dhyānaṃ samādhir etāni yogāṅgāni bhavanti ṣaṭ // GorS(1)_4 //	DyAnam samADiH etAni yoga-aFgAni Bavanti zaw // GorS(1)_4 //
   āsanāni tu tāvanti yāvatyo jīva-jātayaḥ /	AsanAni tu tAvanti yAvatyaH jIva--jAtayaH /
   eteṣām akhilān bhedān vijānāti maheśvaraḥ // GorS(1)_5 //	etezAm aKilAn BedAn vijAnAti maheSvaraH // GorS(1)_5 //
   caturāśīti-lakṣāṇāṃ ekam ekam udāhṛtam /	catura-aSIti-lakzANAm ekam ekam udAhRtam /
   tataḥ śivena pīṭhānāṃ ṣoḍeśānaṃ śataṃ kṛtam // GorS(1)_6 //	tatas Sivena pIWAnAm zoxeSAnam Satam kRtam // GorS(1)_6 //
   āsanebhyaḥ samastebhyo dvayam eva viśiṣyate /	AsaneByaH samasteByaH dvayam eva viSizyate /
   ekaṃ siddhāsanaṃ proktaṃ dvitīyaṃ kamalāsanam // GorS(1)_7 //	ekam sidDAsanam proktam dvitIyam kamalAsanam // GorS(1)_7 //
   yoni-sthānakam aṅghri-mūla-ghaṭitaṃ kṛtvā dṛḍhaṃ vinyasen meḍhre pādam	yoni-sTAnakam aFGri--mUla--Gawitam kRtvA dRXam vinyaset meXre pAdam
   athaikam eva niyataṃ kṛtvā samaṃ vigraham /	aTa-ekam eva niyatam kRtvA samam vigraham /
   sthāṇuḥ saṃyamitendriyo'cala-dṛśā paśyan bhruvor antaram etan	sTANuH saMyamita-indriyaH-acala-dRSA paSyan BruvoH antaram etat-
   mokṣa-kavāṭa-bheda-janakaṃ siddhāsanaṃ procyate // GorS(1)_8 //	mokza--kavAwa-Beda--janakam sidDAsanam procyate // GorS(1)_8 //
   vāmorūpari dakṣiṇaṃ hi caraṇaṃ saṃsthāpya vāmaṃ tathā dakṣorūpari	vAma-Uru-upari dakziNam hi caraNam saMsTApya vAmam taTA dakza-Uru-upari
   paścimena vidhinā dhṛtvā karābhyāṃ dṛḍham /	paScimena viDinA DRtvA karAByAm dRXam /
   aṅguṣṭhau hṛdaye nidhāya cibukaṃ nāsāgram ālokayed etad-vyādhi-vikāra-hāri	aFguzWO hRdaye niDAya cibukam nAsA-agram Alokayet etat--vyADi--vikAra--hAri
   yamināṃ padmāsanaṃ procyate // GorS(1)_9 //	yaminAm padmAsanam procyate // GorS(1)_9 //
   ādhāraḥ prathamaṃ cakraṃ svādhiṣṭhānaṃ dvitīyakam /	ADAraH praTamam cakram svADizWAnam dvitIyakam /
   yoni-sthānaṃ dvayor madhye kāma-rūpaṃ nigadyate // GorS(1)_10 //	yoni-sTAnam dvayoH maDye kAma-rUpam nigadyate // GorS(1)_10 //
   ādhārākhye guda-sthāne paṅkajaṃ yac caturdalam /	ADAra-AKye guda--sTAne paFkajam yat catur-dalam /
   tan-madhye procyate yoniḥ kāmākhyā siddha-vanditā // GorS(1)_11 //	tan--maDye procyate yoniH kAma-AKyA sidDa-vanditAH // GorS(1)_11 //
   yoni-madhye mahāliṅgaṃ paścimābhimukhaṃ sthitam /	yoni--maDye mahA-liFgam paScima-aBimuKam sTitam /
   mastake maṇivad bhinnaṃ yo jānāti sa yogavit // GorS(1)_12 //	mastake maNi-vat Binnam yaH jAnAti sa yoga-vid // GorS(1)_12 //
   tapta-cāmīkarābhāsaṃ taḍil-lekheva visphurat /	tapta--cAmIkara-ABAsam taxil--leKA-iva visPurat /
   caturasraṃ puraṃ vahner adho-meḍhram evābhidhīyate // GorS(1)_13 //	catur-asram puram vahneH aDo-meXram eva-aBiDIyate // GorS(1)_13 //
   sva-śabdena bhavet prāṇaḥ svādhiṣṭhānaṃ tad-āśrayaḥ /	sva--Sabdena Bavet prANaH svADizWAnam tat--ASrayaH /
   svādhiṣṭhānākhyayā tasmān meḍhram evābhidhīyate // GorS(1)_14 //	svADizWAna-AKyayA tasmAt meXram eva-aBiDIyate // GorS(1)_14 //
   tantunā maṇivat proto yatra kandaḥ suṣumṇayā /	tantunA maNi-vat protaH yatra kandaH suzumNayA /
   tan-nābhi-maṇḍalaṃ cakraṃ procyate maṇi-pūrakam // GorS(1)_15 //	tan--nABi--maNxalam cakram procyate maNi-pUrakam // GorS(1)_15 //
   ūrdhvaṃ meḍhrād adho nābheḥ kanda-yoniḥ sva-gāṇḍavat /	UrDvam meXrAt aDas nABeH kanda-yoniH sva-gANxa-vat /
   tatra nāḍyaḥ samutpannāḥ sahasrāṇi dvisaptatiḥ // GorS(1)_16 //	tatra nAxyaH samutpannAH sahasrANi dvisaptatiH // GorS(1)_16 //
   teṣu nāḍi-sahasreṣu dvisaptatir udāhṛtāḥ /	tezu nAxi--sahasrezu dvisaptatiH udAhRtAH /
   prādhānyāt prāṇa-vāhinyo bhūyas tatra daśa smṛtāḥ // GorS(1)_17 //	prADAnyAt prANa--vAhinyaH BUyas tatra daSa smRtAH // GorS(1)_17 //
   iḍā ca piṅgalā caiva suṣumṇā ca tṛtīyakā /	ixA ca piFgalA ca-eva suzumNA ca tRtIyakAH /
   gāndhārī hasti-jihvā ca pūṣā caiva yaśasvinī // GorS(1)_18 //	gAnDArI hasti-jihvA ca pUzA ca-eva yaSasvinI // GorS(1)_18 //
   alambuṣā kuhūś caiva śaṅkhinī daśamī smṛtā /	alambuzA kuhUH ca-eva SaFKinI daSamI smRtA /
   etan nāḍi-mayaṃ cakraṃ jñātavyaṃ yogibhiḥ sadā // GorS(1)_19 //	etat nAxi-mayam cakram jQAtavyam yogiBiH sadA // GorS(1)_19 //
   iḍā vāme sthitā bhāge piṅgalā dakṣiṇe tathā /	ixA vAme sTitA BAge piFgalAH dakziNe taTA /
   suṣumṇā madhya-deśe tu gāndhārī vāma-cakṣuṣi // GorS(1)_20 //	suzumNA maDya-deSe tu gAnDArI vAma-cakzuzi // GorS(1)_20 //
   dakṣiṇe hasti-jihvā ca pūṣā karṇe ca dakṣiṇe /	dakziNe hasti-jihvA ca pUzA karNe ca dakziNe /
   yaśasvinī vāma-karṇe cāsane vāpy alambuṣā // GorS(1)_21 //	yaSasvinI vAma-karNe ca-Asane vA-api alambuzA // GorS(1)_21 //
   kūhuś ca liṅga-deśe tu mūla-sthāne ca śaṅkhinī /	kUhuH ca liFga-deSe tu mUla-sTAne ca SaFKinI /
   evaṃ dvāram upāśritya tiṣṭhanti daśa nāḍikāḥ // GorS(1)_22 //	evam dvAram upASritya tizWanti daSa nAxikAH // GorS(1)_22 //
   satataṃ prāṇa-vāhinyaḥ soma-sūryāgni-devatāḥ /	satatam prANa-vAhinyaH soma--sUrya-agni-devatAH /
   iḍā-piṅgalā-suṣumṇā ca tisro nāḍya udāhṛtāḥ // GorS(1)_23 //	ixA-piFgalA-suzumNA ca tisraH nAxyaH udAhRtAH // GorS(1)_23 //
   prāṇāpānau samānaś ca hy udāno vyāna eva ca /	prANa-apAnO samAnaH ca hi udAnaH vyAnaH eva ca /
   nāgaḥ kūrmaś ca kṛkaro devadatto dhanañjayaḥ // GorS(1)_24 //	nAgaH kUrmaH ca kRkaraH devadattaH DanaQjayaH // GorS(1)_24 //
   nāgādyāḥ pañca vikhyātāḥ prāṇādyāḥ pañca vāyavaḥ /	nAga-AdyAH paQca viKyAtAH prANa-AdyAH paQca vAyavaH /
   ete nāḍi-sahasreṣu vartante jīva-rūpiṇaḥ // GorS(1)_25 //	ete nAxi--sahasrezu vartante jIva--rUpiNaH // GorS(1)_25 //
   prāṇāpāna-vaśo jīvo hy adhaś cordhvaṃ ca dhāvati /	prANa-apAna-vaSaH jIvaH hi aDas ca-UrDvam ca DAvati /
   vāma-dakṣiṇa-mārgeṇa cañcalatvān na dṛśyate // GorS(1)_26 //	vAma-dakziNa--mArgeNa caQcala-tvAt na dRSyate // GorS(1)_26 //
   ākṣipto bhuvi daṇḍena yathoccalati kandukaḥ /	AkziptaH Buvi daNxena yaTA-uccalati kandukaH /
   prāṇāpāna-samākṣiptas tathā jīvo'nukṛṣyate // GorS(1)_27 //	prANa-apAna--samAkziptaH taTA jIvaH-anukRzyate // GorS(1)_27 //
   rajju-baddho yathā śyeno gato'py ākṛṣyate(?) /	rajju--badDaH yaTA SyenaH gataH-api AkRzyate(?) /
   guṇa-baddhas tathā jīvaḥ prāṇāpānena kṛṣyate // GorS(1)_28 //	guNa--badDaH taTA jIvaH prANa-apAnena kRzyate // GorS(1)_28 //
   apānaḥ karṣati prāṇaḥ prāṇo'pānaṃ ca karṣati /	apAnaH karzati prANaH prANaH-apAnam ca karzati /
   ūrdhvādhaḥ saṃsthitāv etau yo jānāti sa yogavit // GorS(1)_29 //	UrDva-aDas saMsTitO etO yaH jAnAti sa yoga-vid // GorS(1)_29 //
   kandordhve kuṇḍalī-śaktir aṣṭadhā kuṇḍalī-kṛtā /	kanda-UrDve kuNxalI--SaktiH azwaDA kuNxalI-kRtA /
   brahma-dvāra-mukhaṃ nityaṃ mukhenāvṛtya tiṣṭhati // GorS(1)_30 //	brahma-dvAra--muKam nityam muKena-AvRtya tizWati // GorS(1)_30 //
   prabuddhā vahni-yogena manasā mārutā hatā /	prabudDA vahni--yogena manasA mArutA hatA /
   prajīva-guṇam ādāya vrajaty ūrdhvaṃ suṣumṇayā // GorS(1)_31 //	prajIva-guNam AdAya vrajati UrDvam suzumNayA // GorS(1)_31 //
   mahāmudrāṃ namo-mudrām uḍḍiyānaṃ jalandharam /	mahAmudrAm namaH--mudrAm uxxiyAnam jalanDaram /
   mūla-bandhaṃ ca yo vetti sa yogī siddhi-bhājanam // GorS(1)_32 //	mUla-banDam ca yaH vetti sa yogI sidDi-BAjanam // GorS(1)_32 //
   vakṣo-nyasta-hanur nipīḍya suciraṃ yoniṃ ca vāmāṅghriṇā hastābhyām	vakzo-nyasta-hanuH nipIxya su-ciram yonim ca vAma-aFGriNA hastAByAm
   avadhāritaṃ prasaritaṃ pādaṃ tathā dakṣiṇam /	avaDAritam prasaritam pAdam taTA dakziNam /
   āpūrya śvasanena kukṣi-yugalaṃ baddhvā śanai recayed eṣā pātaka-nāśinī	ApUrya Svasanena kukzi--yugalam badDvA SanEs recayet ezA pAtaka-nASinI
   sumahatī mudrā nṝṇāṃ procyate // GorS(1)_33 //	su-mahatI mudrA nLNAm procyate // GorS(1)_33 //
   kapāla-kuhare jihvā praviṣṭā viparītagā /	kapAla-kuhare jihvA pravizwA viparIta-gAH /
   bhruvor antargatā dṛṣṭir mudrā bhavati khecarī // GorS(1)_34 //	BruvoH antargatA dRzwiH mudrA Bavati KecarI // GorS(1)_34 //
   ūrdhvaṃ meḍhrād adho nābher uḍḍiyānaṃ pracakṣate /	UrDvam meXrAt aDas nABeH uxxiyAnam pracakzate /
   uḍḍiyāna-jayo bandho mṛtyu-mātaṅga-kesarī // GorS(1)_35 //	uxxiyAna-jayaH banDaH mRtyu--mAtaFga-kesarI // GorS(1)_35 //
   jālandhare kṛte bandhe kaṇṭha-saṅkoca-lakṣaṇe /	jAlanDare kRte banDe kaNWa--saFkoca--lakzaNe /
   na pīyūṣaṃ pataty agnau na ca vāyuḥ prakupyati // GorS(1)_36 //	na pIyUzam patati agnO na ca vAyuH prakupyati // GorS(1)_36 //
   pārṣṇi-bhāgena sampīḍya yonim ākuñcayed gudam /	pArzNi-BAgena sampIxya yonim AkuQcayet gudam /
   apānam ūrdhvam ākṛṣya mūla-bandho nigadyate // GorS(1)_37 //	apAnam UrDvam AkRzya mUla-banDaH nigadyate // GorS(1)_37 //
   yataḥ kāla-bhayāt brahmā prāṇāyāma-parāyaṇaḥ /	yatas kAla-BayAt brahmA prANAyAma--parAyaNaH /
   yogino munayaś caiva tataḥ prāṇaṃ nibandhayet // GorS(1)_38 //	yoginaH munayaH ca-eva tatas prANam nibanDayet // GorS(1)_38 //
   cale vāte calaṃ sarvaṃ niścale niścalaṃ bhavet /	cale vAte calam sarvam niScale niScalam Bavet /
   yogī sthāṇutvam āpnoti tato vāyuṃ nibandhayet // GorS(1)_39 //	yogI sTANu-tvam Apnoti tatas vAyum nibanDayet // GorS(1)_39 //
   ṣaṭ-triṃśad-aṅgulaṃ haṃsaḥ prayāṇaṃ kurute bahiḥ /	zaw-triMSat--aFgulam haMsaH prayANam kurute bahis /
