   sāṃkhyasūtravivaraṇam |	sAMKya-sUtra-vivaraNam |
   śrīkapilāya namaḥ |	SrI-kapilAya namaH |
   prakṛtiṃ puruṣaṃ natvā sāṃkhyasūtre vidhīyate /	prakRtim puruzam natvA sAMKya-sUtre viDIyate /
   saṃkṣepato vivaraṇamavivekāpanuttaye //	saMkzepataH vivaraNam-aviveka-apanuttaye //
   iha khalu bhagavān kapilo munirāsuraye 'nukampayā	iha Kalu BagavAn kapilaH muniH-Asuraye anukampayA
   pañcaviṃśatitattvānyupadiśya sūtrayāmāsa |	paQcaviMSati-tattvAni-upadiSya sUtrayAmAsa |
   [aṣṭau prakṛtayaḥ || Tats_1 ||]	[azwO prakRtayaH || Tats_1 ||]
   aṣṭau prakṛtaya ityādi / kāḥ punastā ityucyante / pradhānaṃ	azwO prakRtayaH ityAdi / kAH punar-tAH iti-ucyante / praDAnam
   mahānahaṃkārastanmātrāṇi ca / pradhānaṃ prakṛtiravyaktamavyākṛtaṃ	mahAn-ahaMkAraH-tanmAtrANi ca / praDAnam prakRtiH-avyaktam-avyAkRtam
   cetyanarthāntaram / mahān mahattatvaṃ buddhiradhyavasāyalakṣaṇam /	ca-iti-anarTa-antaram / mahAn mahat-tatvam budDiH-aDyavasAya-lakzaNam /
   ahaṃkāro 'bhimānalakṣaṇo vaikṛtikastaijaso bhūtādiśceti trividhaḥ /	ahaMkAraH aBimAna-lakzaNaH vEkRtikaH-tEjasaH BUtAdiH-ca-iti triviDaH /
   tanmātrāṇi tu pañca śabdatanmātramākāśahetuḥ / sparśatanmātraṃ vāyuyoniḥ /	tanmAtrANi tu paQca Sabda-tanmAtram-AkASa-hetuH / sparSa-tanmAtram vAyu-yoniH /
   rūpatanmātraṃ tejoyoniḥ / rasatanmātramapprakṛtiḥ / gandhatanmātraṃ	rUpa-tanmAtram tejaH-yoniH / rasa-tanmAtram-apprakRtiH / ganDa-tanmAtram
   pṛthivīhetuḥ / iti pañcatanmātrāṇi ityaṣṭau prakṛtayaḥ /	pRTivI-hetuH / iti paQca-tanmAtrANi iti-azwO prakRtayaH /
   [ṣoḍaśa vikārāḥ || Tats_2 ||]	[zoxaSa vikArAH || Tats_2 ||]
   ke punarvikārāḥ kati |	ke punar-vikArAH kati |
   ṣoḍaśavikārāḥ |	zoxaSa-vikArAH |
   ekādaśendriyāṇi pañca mahābhūtāni ca |	ekAdaSa-indriyANi paQca mahABUtAni ca |
   tatra śrotratvakcakṣūrasanaghrāṇākhyāni buddhīndriyāṇi	tatra Srotra-tvac-cakzU-rasana-GrANa-AKyAni budDIndriyANi
   śabdasparśarūparasagandhālocanavṛttīni |	Sabda-sparSa-rUpa-rasa-ganDa-Alocana-vRttIni |
   vākpāṇipādapāyūpasthāni karmendriyāṇi vacanādānaviharaṇotsargānandavṛttīni	vAc-pANi-pAda-pAyu-upasTAni karmendriyANi vacana-AdAna-viharaNa-utsarga-Ananda-vRttIni
   jñānakriyāśaktidvayātmakaṃ saṅkalpavikalpalakṣaṇaṃ mana ityekādaśendriyāṇi	jQAna-kriyA-Sakti-dvaya-Atmakam saFkalpa-vikalpa-lakzaNam manaH iti-ekAdaSa-indriyANi
   bhūtāni cākāśavāyutejaḥsalilapṛthivīlakṣaṇāni pañceti ṣoḍaśavikārāḥ ||	BUtAni ca-AkASa-vAyu-tejaH-salila-pRTivI-lakzaNAni paQca-iti zoxaSa-vikArAH ||
   [puruṣaḥ || Tats_3 ||]	[puruzaH || Tats_3 ||]
   atha kaḥ puruṣaḥ ityucyate |	aTa kaH puruzaH iti-ucyate |
   puruṣo 'nekastriguṇarahito vivekī aviṣayo 'sādhāraṇo 'prasavadharmā	puruzaH anekaH-triguNa-rahitaH vivekI avizayaH asADAraNaH aprasava-DarmA
   cetanaḥ sākṣī kevalo madhyastho draṣṭā 'kartā ca ||	cetanaH sAkzI kevalaH maDya-sTaH drazwA akartA ca ||
   atha ke punastrayo guṇā ityucyante |	aTa ke punar-trayaH guNAH iti-ucyante |
   [traiguṇyam || Tats_4 ||]	[trEguNyam || Tats_4 ||]
   traiguṇyaṃ sattvaṃ rajastama iti |	trEguNyam sattvam rajaH-tamaH iti |
   traya eva guṇāstraiguṇyam |	trayaH eva guNAH-trEguNyam |
   sattvaṃ nāma	sattvam nAma
   pāṭavamārdavalāghavaprasannatābhisaṅgaprītituṣṭyanīhāsantoṣādilakṣaṇamanantabhedaṃ	pAwava-mArdava-lAGava-prasanna-tA-aBisaFga-prIti-tuzwi-anIha-Asantoza-Adi-lakzaNam-ananta-Bedam
   samāsataḥ sukhāvaham |	samAsatas suKa-Avaham |
   rajo nāma śokatāpakhedastambhodgamodvegaroṣamānādilakṣaṇamanantabhedaṃ	rajaH nAma Soka-tApa-Keda-stamBa-udgama-udvega-roza-mAna-Adi-lakzaNam-ananta-Bedam
   samāsato duḥkhāvaham |	samAsatas duHKa-Avaham |
   tamo	tamaH-
   nāmācchādanāvaraṇabībhatsadainyagauravālasyanidrāpramādādilakṣaṇamanantabhedaṃ	nAma-AcCAdana-AvaraNa-bIBatsa-dEnya-gOrava-Alasya-nidrA-pramAda-Adi-lakzaNam-ananta-Bedam
   samāsato mohātmakaṃ etat traiguṇyaṃ vyākhyātam ||	samAsatas moha-Atmakam etat trEguNyam vyAKyAtam ||
   sattvaṃ prakāśakaṃ vindyādrajo vindyāt pravartakam /	sattvam prakASakam vindyAt-rajaH vindyAt pravartakam /
   vināśakaṃ tamo vindyāt traiguṇyaṃ nāma sañjñitam //	vinASakam tamaH vindyAt trEguNyam nAma saQjQitam //
   [saṃcaraḥ || Tats_5 ||]	[saMcaraH || Tats_5 ||]
   [pratisaṃcaraḥ || Tats_6 ||]	[pratisaMcaraH || Tats_6 ||]
   atrāha kaḥ sañcaraḥ pratisañcaraśceti |	atra-Aha kaH saQcaraH pratisaQcaraH-ca-iti |
   ucyate |	ucyate |
   utpattiḥ sañcaraḥ |	utpattiH saQcaraH |
   pralayaḥ pratisañcaraḥ |	pralayaH pratisaQcaraH |
   tatrotpattirnāmāvyaktāt samupadiṣṭāt sarvajagataḥ pareṇa	tatra-utpattiH-nAma-avyaktAt samupadizwAt sarva-jagataH pareNa
   rūpeṇādhiṣṭhānātmakāt mahān mahato 'haṃkāraḥ |	rUpeNa-aDizWAna-AtmakAt mahAn mahataH ahaMkAraH |
   sa ca trividhaḥ |	sa ca triviDaH |
   vaikṛtiko bhūtādistaijasaśceti |	vEkRtikaH BUtAdiH-tEjasaH-ca-iti |
   tatra vaikṛtādindriyāṇyutpadyante bhūtādestanmātrāṇi taijasādubhayam	tatra vEkRtAt-indriyANi-utpadyante BUtAdeH-tanmAtrANi tEjasAt-uBayam
   indriyāṇi tanmātrāṇi ceti |	indriyANi tanmAtrANi ca-iti |
   tanmātrebhyo bhūtāni |	tanmAtreByaH BUtAni |
   ayaṃ sañcaraḥ |	ayam saQcaraH |
   pratisañcaro nāma bhūtāni tanmātreṣu līyante |	pratisaQcaraH nAma BUtAni tanmAtrezu lIyante |
   tanmātrāṇīndriyāṇi cāhaṃkāre |	tanmAtrANi-indriyANi ca-ahaMkAre |
   ahaṃkāro buddhau |	ahaMkAraH budDO |
   buddhiravyakte |	budDiH-avyakte |
   tato 'vyaktaṃ tu kvacinna līyate kasmāt anutpannatvāt |	tatas avyaktam tu kvacid-na lIyate kasmAt anutpanna-tvAt |
   ityevaṃ pratisañcaraḥ |	iti-evam pratisaQcaraH |
   evametau sañcarapratisañcarau vyākhyātau ||	evam-etO saQcara-pratisaQcarO vyAKyAtO ||
   [adhyātmam || Tats_7 ||]	[aDyAtmam || Tats_7 ||]
   [adhibhūtam || Tats_8 ||]	[aDi-BUtam || Tats_8 ||]
   [adhidaivam || Tats_9 ||]	[aDidEvam || Tats_9 ||]
   atrāha kiṃvidhamadhyātmamadhibhūtamadhidaivataṃ ca |	atra-Aha kiMviDam-aDyAtmam-aDiBUtam-aDidEvatam ca |
   atrocyate |	atra-ucyate |
   buddhiradhyātmam |	budDiH-aDyAtmam |
   bodhayitavyamadhibhūtam |	boDayitavyam-aDiBUtam |
   brahmā tatrādidaivatam |	brahmA tatra-AdidEvatam |
   ahaṃkāro 'dhyātmam |	ahaMkAraH aDyAtmam |
   abhimantavyamadhibhūtam |	aBimantavyam-aDiBUtam |
   rudrastatrādhidaivatam |	rudraH-tatra-aDidEvatam |
   manodhyātmaṃ saṃkalpamadhibhūtam |	manoDya-Atmam saMkalpam-aDiBUtam |
   candrastatrādidaivatam |	candraH-tatra-AdidEvatam |
   śrotramadhyātmam |	Srotram-aDyAtmam |
   sparśayitavyamadhibhūtam |	sparSayitavyam-aDi-BUtam |
   vāyustatrādhidaivatam |	vAyuH-tatra-aDidEvatam |
   cakṣuradhyātmam |	cakzuH-aDyAtmam |
   darśayitavyamadhibhūtam |	darSayitavyam-aDiBUtam |
   sūryastatrādidaivatam |	sUryaH-tatra-AdidEvatam |
   jihvādhyātmam |	jihvA-aDyAtmam |
   rasayitavyamadhibhūtam |	rasayitavyam-aDiBUtam |
   varuṇastatrādhidaivatam |	varuNaH-tatra-aDidEvatam |
   nāsādhyātmam |	na-asADya-Atmam |
   ghrātavyamadhibhūtam |	GrAtavyam-aDiBUtam |
   pṛthivī tatrādhidaivatam |	pRTivI tatra-aDidEvatam |
   vāgadhyātmam |	vAc-aDyAtmam |
   vaktavyamadhibhūtam |	vaktavyam-aDiBUtam |
   agnistatrādhidaivatam |	agniH-tatra-aDidEvatam |
   pāṇiradhyātmam |	pANiH-aDyAtmam |
   ādātavyamadhibhūtam |	AdAtavyam-aDiBUtam |
   indrastatrādhidaivatam |	indraH-tatra-aDidEvatam |
   pādāvadhyātmam |	pAdO=-aDyAtmam |
   gantavyamadhibhūtam |	gantavyam-aDiBUtam |
   viṣṇustatrādhidaivatam |	vizNuH-tatra-aDidEvatam |
   pāyuradhyātmam |	pAyuH-aDyAtmam |
   utsraṣṭāvyamadhibhūtam |	utsrazwAvyam-aDiBUtam |
   mitrastatrādhidaivatam |	mitraH-tatra-aDidEvatam |
   upasthamadhyātmam |	upasTam-aDyAtmam |
   ānandayitavyamadhibhūtam |	Anandayitavyam-aDiBUtam |
   prajāpatistatrādhidaivatam |	prajApatiH-tatra-aDidEvatam |
   evameva trayodaśakaraṇasyādhyātmamadhibhūtamadhidaivaṃ ca vyākhyātam |	evam-eva trayodaSa-karaNasya-aDyAtmam-aDiBUtam-aDidEvam ca vyAKyAtam |
   kāni catvārītyata āha ceti |	kAni catvAri-iti-atas Aha ca-iti |
   trīṇi guṇarūpāṇi caturthamadhidaivatamityarthaḥ ||	trINi guNa-rUpANi caturTam-aDidEvatam-iti-arTaH ||
   catvāri yo vedayate yathāvad guṇasvarūpāṇyadhidaivataṃ ca /	catvAri yaH vedayate yaTAvat guNa-svarUpANi-aDidEvatam ca /
   vimuktapāpmā gatadoṣasaṅgo guṇāṃstu bhuṅkte na guṇaiḥ sa bhujyate //	vimukta-pApmA gata-doza-saFgaH guNAn=-tu BuFkte na guNEH sa Bujyate //
   [pañcābhibuddhayaḥ || Tats_10 ||]	[paQca-aBibudDayaH || Tats_10 ||]
   atha kāstā abhibuddhaya ityucyante |	aTa kAH-tAH aBibudDayaH iti-ucyante |
   pañcābhibuddhayaḥ |	paQca-aBibudDayaH |
   buddhirabhimāna icchā kartavyaṃ tatkriyā ceti |	budDiH-aBimAnaH icCA kartavyam tad-kriyA ca-iti |
   abhimukhī buddhirabhibuddhiḥ |	aBimuKI budDiH-aBibudDiH |
   idaṃ karaṇīyametyetadadhyavasāyo buddhiḥ kriyātmaparāmarśasvarūpapratyayaḥ	idam karaNIyam-eti-etat-aDyavasAyaH budDiH kriyA-Atma-parAmarSa-svarUpa-pratyayaH
   abhimukho māno 'haṃ karomītyahaṃkāro 'bhimānaḥ |	aBimuKaH mAnaH aham karomi-iti-ahaMkAraH aBimAnaH |
   buddhikriyā icchā vāñchā |	budDi-kriyA icCA vAQCA |
   kartavyaṃ saṃkalpo manaso vṛttiḥ |	kartavyam saMkalpaH manasaH vRttiH |
   kriyā etadvastusvarūpamiti kartavyālocanaṃ yadbuddhīndriyāṇāṃ sā kriyā |	kriyA etat-vastu-svarUpam-iti kartavyA-Alocanam yat-budDIndriyANAm sA kriyA |
   itthametat kartavyamiti yatpravṛttiḥ karmendriyāṇāṃ sā kriyeti |	itTam-etat kartavyam-iti yat-pravRttiH karmendriyANAm sA kriyA-iti |
   evametāha pañcābhibuddhayo vyākhyātāḥ ||	evam-eta-Aha paQca-aBibudDayaH vyAKyAtAH ||
   [pañca karmayonayaḥ || Tats_11 ||]	[paQca karma-yonayaH || Tats_11 ||]
   atha kāḥ pañcakarmayonayaḥ ucyante |	aTa kAH paQcakarma-yonayaH ucyante |
   dhṛtiḥ śraddhā sukhā avividiṣā vividiṣā ceti pañca karmayonayaḥ |	DRtiH SradDA suKA avividizA vividizA ca-iti paQca karma-yonayaH |
   vāci karmaṇi kāye ca pratītiryābhirajyate /	vAci karmaNi kAye ca pratItiH-yABiH-ajyate /
   tanniṣṭhastatpratiṣṭhaśca dhṛteretaddhi lakṣaṇam //	tad-nizWaH-tad-pratizWaH-ca DRteH-etat-hi lakzaNam //
   anasūyā brahmacaryaṃ yajanaṃ yājanaṃ tapaḥ /	anasUyA brahmacaryam yajanam yAjanam tapaH /
   pratigraho 'trahomaśca śraddhāyā lakṣaṇaṃ smṛtam //	pratigrahaH atra-homaH-ca SradDAyAH lakzaNam smRtam //
   sukhārthī yastu seveta vidyākarmatapāṃsi ca /	suKa-arTI yaH-tu seveta vidyA-karma-tapAMsi ca /
   prāyaścittaparo nityaṃ sukheyaṃ parikīrtitā //	prAyaScitta-paraH nityam suKeyam parikIrtitAH //
   viṣadhūmamūrchitavadavividiṣā |	viza-DUma-mUrCita-vat-avividizA |
   vividiṣā dhyāyināṃ prajñāyoniḥ |	vividizA DyAyinAm prajQA-yoniH |
   ekatvaṃ ca pṛthaktvaṃ ca nityaṃ cedamacetanam /	eka-tvam ca pRTaktvam ca nityam ca-idam-acetanam /
   sūkṣmaṃ satkāryamakṣobhyaṃ jñeyā vividiṣā hi sā //	sUkzmam satkAryam-akzoByam jQeyA vividizA hi sA //
   kāryakāraṇakṣamakarā vividiṣā prākṛtikā vṛttiḥ |	kArya-kAraNa-kzamakarA vividizA prAkRtikA vRttiH |
   dhṛtiḥ śraddhā sukhā avividiṣā catasro bandhāya vividiṣaikā mokṣāya iti	DRtiH SradDA suKA avividizA catasraH banDAya vividizA-ekA mokzAya iti
   pañca karmayonayo vyākhyātāḥ ||	paQca karma-yonayaH vyAKyAtAH ||
   [pañca vāyavaḥ || Tats_12 ||]	[paQca vAyavaH || Tats_12 ||]
   atrāha ke te pañcavāyavaḥ |	atra-Aha ke te paQca-vAyavaH |
   ucyante |	ucyante |
   prāṇo 'pānaḥ samānaśca udāno vyāna eva ca /	prANaH apAnaH samAnaH-ca udAnaH vyAnaH eva ca /
   ityete vāyavaḥ pañca śarīreṣu śarīriṇām //	iti-ete vAyavaH paQca SarIrezu SarIriNAm //
   tatra prāṇo nāma vāyuryo 'yaṃ mukhanāsikādhiṣṭhānaprāṇanāt krameṇānanāt	tatra prANaH nAma vAyuH-yaH ayam muKa-nAsikA-aDizWAna-prANanAt krameNa-AnanAt-
   prāṇa ityabhidhīyate |	prANaH iti-aBiDIyate |
   apāno nāma vāyurnābheradhiṣṭhātā apanayanādadhogamanāccāpāna	apAnaH nAma vAyuH-nABeH-aDizWAtA apanayanAt-aDas-gamanAt-ca-apAna
   ityabhidhīyate |	iti-aBiDIyate |
   samāno nāma vāyurhṛdadhiṣṭhātā samanāt samagamanācca samāna ityabhidhīyate	samAnaH nAma vAyuH-hRd-aDizWAtA samanAt sama-gamanAt-ca samAnaH iti-aBiDIyate
   udāno nāma vāyuḥ kaṇṭhādhiṣṭhātā ūrdhvaṃ gamanācca udāna ityabhidhīyate |	udAnaH nAma vAyuH kaNWa-aDizWAtA UrDvam gamanAt-ca udAnaH iti-aBiDIyate |
   vyāno nāma vāyuḥ sandhyadhiṣṭhātā prāṇādijṛmbhaṇācca vyāna ityabhidhīyate	vyAnaH nAma vAyuH sanDI-aDizWAtA prANa-Adi-jRmBaNAt-ca vyAnaH iti-aBiDIyate
   iti pañcavāyavo vyākhyātāḥ ||	iti paQca-vAyavaH vyAKyAtAH ||
   [pañca karmātmānaḥ || Tats_13 ||]	[paQca karma-AtmAnaH || Tats_13 ||]
   āha ke te pañcakarmātmānaḥ ucyante |	Aha ke te paQcakarma-AtmAnaH ucyante |
   vaikārikastaijaso bhūtādiśca sānumāno niranumānaśceti |	vEkArikaH-tEjasaH BUtAdiH-ca sa-anumAnaH niranumAnaH-ca-iti |
   tatra vaikārikaḥ śubhakarmakartā |	tatra vEkArikaH SuBa-karma-kartA |
   taijaso 'śubhakarmakartā |	tEjasaH aSuBa-karma-kartA |
   bhūtādirmūḍhakarmakartā |	BUtAdiH-mUXa-karma-kartA |
   sānumānaḥ śubhamūḍhakarmakartā |	sAnumAnaH SuBa-mUXa-karma-kartA |
   niranumāno 'śubhamūḍhakarmakartā |	niranumAnaH aSuBa-mUXa-karma-kartA |
   ityete pañcakarmakartāro vyākhyātāḥ ||	iti-ete paQcakarma-kartAraH vyAKyAtAH ||
   [pañcaparvāvidyā || Tats_14 ||]	[paQca-parva-avidyA || Tats_14 ||]
   āha kā sā pañcaparvāvidyeti |	Aha kA sA paQca-parvA-avidyA-iti |
   ucyate |	ucyate |
   tamo moho mahāmohastāmisro 'ndhatāmisraśceti |	tamaH mohaH mahAmohaH-tAmisraH anDatAmisraH-ca-iti |
   tatra tamomohāvubhāvetāvaṣṭātmākau |	tatra tamaH-mohO=-uBO=-etO=-azwa-AtmAkO |
   mahāmoho daśātmakaḥ |	mahAmohaH daSa-AtmakaH |
   tāmisrāndhatāmisrau cāṣṭādaśātmākau |	tAmisra-anDatAmisrO ca-azwAdaSa-AtmAkO |
   tatra tamo nāmāṣṭāsu prakṛtiṣvavyaktabuddhyahaṃkārapañcatanmātrasañjñitāsu	tatra tamaH nAma-azwAsu prakRtizu-avyakta-budDi-ahaMkAra-paQca-tanmAtra-saQjQitAsu
   anātmasvātmajñānābhimānastama ityabhidhīyate |	anAtmasva-Atma-jQAna-aBimAnaH-tamaH iti-aBiDIyate |
   moho nāmāṇimādyaṣṭāguṇaiśvaryaprāptaye yobhimāna utpadyate sa moha	mohaH nAma-aNima-Adi-azwa-aguNa-ESvarya-prAptaye yoBimAnaH utpadyate sa moha
   ityabhidhīyate |	iti-aBiDIyate |
   mahāmoho nāma dṛṣṭānuśravikeṣu viṣayeṣu daśasu nivṛtteṣu mukto 'hamiti	mahAmohaH nAma dRzwa-AnuSravikezu vizayezu daSasu nivRttezu muktaH aham-iti
   manyate sa mahāmoha ityabhidhīyate |	manyate sa mahAmohaH iti-aBiDIyate |
