   // bhūmikā //	// BUmikA //
   // śrīmate bhagavadrāmānujāya namaḥ //	// SrImate Bagavat-rAma-anujAya namaH //
   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   śrīmadveṅkaṭanāthadeśikamaṇiprajñāsarittaraṅgaparamparāpariṇāmabhūtaṃ	SrImat-veFkawa-nATa-deSika-maNi-prajQA-sarit-taraFga-paramparA-pariNAma-BUtam
   nyāyapariśuddhyabhidhānaṃ prabandharatnamidaṃ jayati jīvitamiva	nyAya-pariSudDi-aBiDAnam prabanDa-ratnam-idam jayati jIvitam-iva
   nyāyavistarasya vidyāsthānasya śrībhagavadrāmānujamunivarakṣuṇṇavartmano	nyAya-vistarasya vidyA-sTAnasya SrI-Bagavat-rAma-anuja-muni-vara-kzuNNa-vartmanaH-
   brahmamīmāṃsāśāstrasya ca /	brahmamI-mAMsA-SAstrasya ca /
   anupajīvya cedaṃ vidyāsthānaṃ ko vibhavaḥ sapanditumapi śeṣasya	anupajIvya ca-idam vidyA-sTAnam kaH viBavaH sa-panditum-api Sezasya
   vidyāsthānajātasya ? /	vidyA-sTAna-jAtasya ? /
   sarvameva hi loke śrutaṃ saṃśayaviparyayābhyāmāhitapāriplavaṃ	sarvam-eva hi loke Srutam saMSaya-viparyayAByAm-Ahita-pAriplavam
   vātyāspṛṣṭamiva tṛṇaśakalaṃ na kathañcidapi pratitiṣṭhati /	vAtyAspRzwam-iva tRNa-Sakalam na kaTaQcid-api pratitizWati /
   pramāṇaparīkṣayā tu yathāvadupapāditayā dṛṣadeva vyapoḍhavikṣobhaṃ	pramANa-parIkzayA tu yaTAvat-upapAditayA dRzadA-iva vyapoXa-vikzoBam
   niṣkampamavatiṣṭhate /	nizkampam-avatizWate /
   pramāṇaparīkṣaiva ca prathamāvatārapadavī nyāyavistarasya /	pramANa-parIkzA-eva ca praTama-avatAra-padavI nyAya-vistarasya /
   padavākyapramāṇabhedena hi tredhā vibhajanti śāstraṃ śāstravidaḥ /	pada-vAkya-pramANa-Bedena hi treDAH viBajanti SAstram SAstra-vidaH /
   tatra tadaṃ nāma ---śabdānuśāsanaṃ pāṇinyādipraṇītam /	tatra tat-am nAma ----Sabda-anuSAsanam pANini-Adi-praNItam /
   vākyaṃ ca---vicārapūrvakaśrautavākyārthanirṇayarūpaṃ	vAkyam ca----vicAra-pUrvaka-SrOta-vAkya-arTa-nirNaya-rUpam
   karmabrahmātmakaviṣayavibhāgavibhaktamubhayaṃ mīmāsāśāstram /	karma-brahma-Atmaka-vizaya-viBAga-viBaktam-uBayam mImAsA-SAstram /
   pramāṇaṃ tu---kvacidapyartheṣvanavagāḍhāvaṣṭambhāṃ	pramANam tu----kvacid-api-arTezu-anavagAXa-avazwamBAm
   svātmanyapyanupajātavisrambhāṃ ḍolāyamānāṃ buddhiṃ kareṇumiva	sva-Atmani-api-anupajAta-visramBAm xolAyamAnAm budDim kareNum-iva
   tarkaśṛṅkhalābhirālānayanmananavyapadeśaṃ śāstram ; yasya saṃjñāntaraṃ	tarka-SRFKalABiH-AlAnayat-manana-vyapadeSam SAstram ; yasya saMjQA-antaram
   nyāyavistaraḥ tarkaśāstram ityādi //	nyAya-vistaraH tarka-SAstram ityAdi //
