   bhīṣmaparva	BIzma-parva
   nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	nArAyaNam namaskRtya naram ca-eva narottamam /
   devīṃ sarasvatīṃ vyāsaṃ tato jayamudīrayet // Bhmj_6.1 //	devIm sarasvatIm vyAsam tatas jayam-udIrayet // Bhmd-_6.1 //
   āsūryakiraṇākrāntājjagato janagocarāt /	AsUrya-kiraNa-AkrAntAt-jagataH jana-gocarAt /
   puṇyadhāmni kurukṣetre samāyāteṣu rājasu // Bhmj_6.2 //	puNya-DAmni kurukzetre samAyAtezu rAjasu // Bhmd-_6.2 //
   ekībhūteṣu sainyeṣu kurupāṇḍavasaṃgare /	ekIBUtezu sEnyezu kuru-pANxava-saMgare /
   vṛddhabālāvaśeṣāsu dikṣu yātāsu śūnyatām // Bhmj_6.3 //	vRdDa-bAla-avaSezAsu dikzu yAtAsu SUnyatAm // Bhmd-_6.3 //
   dāruṇeṣu nimitteṣu prādurbhūteṣu sarvataḥ /	dAruNezu nimittezu prAdurBUtezu sarvatas /
   mitho dṛṣṭipathaṃ yāte patākābhirbaladvaye // Bhmj_6.4 //	miTas dRzwi-paTam yAte patAkABiH-bala-dvaye // Bhmd-_6.4 //
   sotsāhaṃ dadhmatuḥ śaṅkhaṃ hṛṣīkeśadhanaṃjayau /	sa-utsAham daDmatuH SaFKam hRzIkeSa-DanaMjayO /
   yayorgambhīraghoṣeṇa bhuvanāni cakampire // Bhmj_6.5 //	yayoH-gamBIra-GozeNa BuvanAni cakampire // Bhmd-_6.5 //
   viṣamastho na hantavyo na ca senāvinirgataḥ /	vizama-sTaH na hantavyaH na ca senA-vinirgataH /
   na nivṛtte raṇe ceti maryādāṃ cakrire nṛpāḥ // Bhmj_6.6 //	na nivRtte raNe ca-iti maryAdAm cakrire nRpAH // Bhmd-_6.6 //
   atrāntare samabhyetya pārāśaryo munīśvaraḥ /	atra-antare samaByetya pArASaryaH muni-ISvaraH /
   viṣaṇṇaṃ mandiragataṃ dhṛtarāṣṭramabhāṣata // Bhmj_6.7 //	vizaNNam mandira-gatam DRtarAzwram-aBAzata // Bhmd-_6.7 //
   vīrāṇāṃ bhūmipālānāmaśeṣe 'sminsamāgame /	vIrANAm BUmipAlAnAm-aSeze asmin-samAgame /
   kṣattrasya saṃkṣayo rājanviṣamaḥ samupasthitaḥ // Bhmj_6.8 //	kzattrasya saMkzayaH rAjan-vizamaH samupasTitaH // Bhmd-_6.8 //
   divyaṃ gṛhāma nayanaṃ svayaṃ yuddhaṃ vilokaya /	divyam gRhAma nayanam svayam yudDam vilokaya /
   ityukte muninā rājā jagādākulitāśayaḥ // Bhmj_6.9 //	iti-ukte muninA rAjA jagAda-Akulita-ASayaH // Bhmd-_6.9 //
   bhagavānbandhunidhanaṃ nāhaṃ draṣṭuṃ samutsahe /	BagavAn-banDu-niDanam na-aham drazwum samutsahe /
   bhāvyasyāvaśyabhāvitvānna ca vārayituṃ kṣamaḥ // Bhmj_6.10 //	BAvyasya-avaSya-BAvi-tvAt-na ca vArayitum kzamaH // Bhmd-_6.10 //
   ityuktavati bhūpāle saṃjayaṃ varado muniḥ /	iti-uktavati BUpAle saMjayam vara-daH muniH /
   vidhāya divyanayanaṃ punaḥ kṣitipamabhyadhāt // Bhmj_6.11 //	viDAya divya-nayanam punar kzitipam-aByaDAt // Bhmd-_6.11 //
   ayaṃ te nikhilaṃ yuddhaṃ kathayiṣyati saṃjayaḥ /	ayam te niKilam yudDam kaTayizyati saMjayaH /
   nāsya kiṃcidavijñātaṃ divyadṛṣṭerbhaviṣyati // Bhmj_6.12 //	na-asya kiMcid-avijQAtam divya-dRzweH-Bavizyati // Bhmd-_6.12 //
   kṛtānto jṛmbhate rājñāṃ dhṛtarāṣṭra tavānayāt /	kRtAntaH jRmBate rAjQAm DRtarAzwra tava-anayAt /
   dṛśyante durnimittāni kṣayakarṇejapāni yat // Bhmj_6.13 //	dRSyante durnimittAni kzaya-karNejapAni yat // Bhmd-_6.13 //
   saureṇa pīḍitā gāḍhaṃ rohiṇī jvalitā diśaḥ /	sOreNa pIxitA gAXam rohiNI jvalitAH diSaH /
   viparītā prasūtiśca kabandhenāvṛto raviḥ // Bhmj_6.14 //	viparItA prasUtiH-ca kabanDena-AvRtaH raviH // Bhmd-_6.14 //
   kravyādairāvṛtaṃ vyoma meghā varṣanti śoṇitam /	kravyAdEH-AvRtam vyoma meGAH varzanti SoNitam /
   kimanyadrājamahiṣī hā mahī na bhaviṣyati // Bhmj_6.15 //	kim-anyat-rAja-mahizI hA mahI na Bavizyati // Bhmd-_6.15 //
