   //mahāprasthānikaṃ parva//	//-mahAprasTAnikam parva//
   nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	nArAyaNam namaskRtya naram ca-eva narottamam /
   devīṃ sarasvatīṃ vyāsaṃ tato jayamudīrayet // Bhmj_17.1 //	devIm sarasvatIm vyAsam tatas jayam-udIrayet // Bhmd-_17.1 //
   atha vṛṣṇikṣayaṃ śrutvā dharmasūnurdhanaṃjayāt /	aTa vRzNi-kzayam SrutvA Darma-sUnuH-DanaMjayAt /
   namaḥ kālāya baline niḥśvasannityabhāṣata // Bhmj_17.2 //	namaH kAlAya baline niHSvasan=-iti-aBAzata // Bhmd-_17.2 //
   sarvatyāgakṛto yogo viveśa bhrātṛbhiḥ saha /	sarva-tyAga-kRtaH yogaH viveSa BrAtRBiH saha /
   rājyaṃ dauryodhanaṃ dattvā guṇāhārya yuyutsave // Bhmj_17.3 //	rAjyam dOryoDanam dattvA guNa-AhArya yuyutsave // Bhmd-_17.3 //
   nije parikṣitaṃ rājye sthāpayitvābhimanyujam /	nije parikzitam rAjye sTApayitvA-aBimanyu-jam /
   tatpālane samādiśya subhadraṃ satyaśāsanaḥ // Bhmj_17.4 //	tad-pAlane samAdiSya suBadram satya-SAsanaH // Bhmd-_17.4 //
   prakṛtibhyo vinikṣipya taṃ dvijebhyaśca dharmavit /	prakRtiByaH vinikzipya tam dvijeByaH-ca Darma-vid /
   śrāddhaṃ vidhāya bandhubhyaḥ puṇyāmiṣṭiṃ ca naiṣṭhikīm // Bhmj_17.5 //	SrAdDam viDAya banDuByaH puNyAm-izwim ca nEzWikIm // Bhmd-_17.5 //
   agnīnutsṛjya salile paurānāśvāsya duḥkhitān /	agnIn-utsRjya salile pOrAn-ASvAsya duHKitAn /
   devīmāmantrya vasudhāṃ sānujo draupadīsakhaḥ /	devIm-Amantrya vasuDAm sa-anujaH drOpadI-saKaH /
   pratasthe sarvasaṃnyāsī yogayukto yudhiṣṭhiraḥ // Bhmj_17.6 //	pratasTe sarva-saMnyAsI yoga-yuktaH yuDizWiraH // Bhmd-_17.6 //
   tataḥ sametya bhagavānsvayameva hutāśanaḥ /	tatas sametya BagavAn-svayam-eva hutASanaH /
   pārthājjagrāha gāṇḍīvaṃ tau cākṣayyau maheṣudhī // Bhmj_17.7 //	pArTAt-jagrAha gANxIvam tO ca-akzayyO mahA-izuDI // Bhmd-_17.7 //
   śvā tānanuyayāveko vāryamāṇo 'pi yatnataḥ /	SvA tAn-anuyayO=-ekaH vAryamANaH api yatnatas /
   atha te śanakaiḥ prāpurdiśaṃ dakṣiṇapaścimām // Bhmj_17.8 //	aTa te SanakEs prApuH-diSam dakziNa-paScimAm // Bhmd-_17.8 //
   dṛṣṭvā tatra samudreṇa bhṛtāṃ dvāravatīṃ jalaiḥ /	dRzwvA tatra samudreNa BRtAm dvAravatIm jalEH /
   āśāmudīcīṃ prayayurbhuvaḥ kṛtvā pradakṣiṇam // Bhmj_17.9 //	ASAm-udIcIm prayayuH-BuvaH kRtvA pradakziNam // Bhmd-_17.9 //
   himācalamatikramya prāptāste vālukārṇavam /	himAcalam-atikramya prAptAH-te vAlukA-arNavam /
   dadṛśurmerumuttuṅgaśṛṅgāliṅgitanandanam // Bhmj_17.10 //	dadRSuH-merum-uttuFga-SRFga-AliFgita-nandanam // Bhmd-_17.10 //
   niragāre nirālambe tasminnadhvani dustare /	niragAre nirAlambe tasmin=-aDvani dustare /
