   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   śrīgaṇeśāya namaḥ /	SrI gaNeSAya namaH /
   tatrādime dvitīyāṃśe pretakāṇḍo dharmakāṇḍanāmārabhyate /	tatra Adime dvitIya aMSe pretakANxaH Darma kANxanAm AraByate /
   oṃ namo bhagavate vāsudevāya /	om namaH Bagavate vAsudevAya /
   nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	nArAyaNam namaskRtya naram ca eva narottamam /
   devīṃ sarasvatīṃ caiva tato jayamudīrayet // GarP_2,1.Mang //	devIm sarasvatIm ca eva tatas jayam udIrayet // GarP_2,1.Manj //
   dharmandṛḍhabaddhamūlo vedaskandhaḥ purāṇaśākhāḍhyaḥ /	Darman dRXa badDa mUlaH veda skanDaH purANa SAKA AXyaH /
   kratukusumo mokṣaphalo madhusūdanapādapo jayati // GarP_2,1.1 //	kratu kusumaH mokza PalaH maDusUdana pAdapaH jayati // GarP_2,1.1 //
   naimiṣe 'nimiṣakṣetre śaunakādyā munīśvarāḥ /	nEmize animiza kzetre SOnaka AdyAH muni ISvarAH /
   karmaṇāmantare sūtaṃ svāsīnamidamabruvan // GarP_2,1.2 //	karmaNAm antare sUtam su AsInam idam abruvan // GarP_2,1.2 //
   sūta jānāsi sakalaṃ vastu vyāsaprasādataḥ /	sUta jAnAsi sakalam vastu vyAsa prasAdataH /
   tena naḥ sandihānānāṃ sandehaṃ chettumarhasi // GarP_2,1.3 //	tena naH sandihAnAnAm sandeham Cettum arhasi // GarP_2,1.3 //
   yathā tṛṇajalauketi nyāyamā śritya kañcana /	yaTA tRNa jalOkA iti nyAyamA Sritya kaQcana /
   dehino 'nyatanuprāptiṃ kecittvevaṃ vadanti hi // GarP_2,1.4 //	dehinaH anya tanu prAptim kecid tu evam vadanti hi // GarP_2,1.4 //
   kecitpunaryātanānāṃ yāmīnāmupabhogataḥ /	kecid punar yAtanAnAm yAmInAm upaBogataH /
   paścāddehāntaraprāptiṃ vadanti kimu tatrasat // GarP_2,1.5 //	paScAt deha antara prAptim vadanti kimu tatrasat // GarP_2,1.5 //
   sūta uvāca /	sUtaH uvAca /
   sādhu pṛṣṭaṃ mahābhāgāḥ śṛṇudhvaṃ bhavatāṃ punaḥ /	sADu pRzwam mahABAgAH SRNuDvam BavatAm punar /
   sandeho nopapadyeta lokārthaṃ kila pṛcchatām // GarP_2,1.6 //	sandehaH na upapadyeta loka arTam kila pRcCatAm // GarP_2,1.6 //
   tadahaṃ kṛṣṇagaruḍasaṃvādadvārakaṃ dvijāḥ /	tat aham kRzNa garuxa saMvAda dvArakam dvijAH /
   apākariṣye sandehaṃ bhavatāṃ bhāvitātmanām // GarP_2,1.7 //	apAkarizye sandeham BavatAm BAvitAtmanAm // GarP_2,1.7 //
   namaḥ kṛṣṇāya munaye ya enaṃ samupāśritāḥ /	namaH kRzNAya munaye yaH enam samupASritAH /
   añjastaranti saṃsārasāgaraṃ kunadīmiva // GarP_2,1.8 //	aQjastaranti saMsAra sAgaram kunadIm iva // GarP_2,1.8 //
   ekadā vainateyasya lokānāṃ lokanaspṛhā /	ekadA vEnateyasya lokAnAm lokana spRhA /
   babhūva so 'tha babhrāma teṣu nāma harergṛṇan // GarP_2,1.9 //	baBUva saH aTa baBrAma tezu nAma hareH gRNan // GarP_2,1.9 //
   sa pātālaṃ bhuvaṃ svargaṃ bhrāntvālabdhaśamāśayaḥ /	sa pAtAlam Buvam svargam BrAntvA alabDa Sama ASayaH /
   lokaduḥ khenātiduḥ khī punarvaikuṇṭhamāgamat // GarP_2,1.10 //	lokaduH Kena atiduH KI punar vEkuNWam Agamat // GarP_2,1.10 //
   na rajo na tamaścaiva sattvaṃ tābhyāṃ ca miśritam /	na rajaH na tamaH ca eva sattvam tAByAm ca miSritam /
   yatra pravartate naiva sattvameva pravartate // GarP_2,1.11 //	yatra pravartate na eva sattvam eva pravartate // GarP_2,1.11 //
   na yatra māyā nāśaśca na cai rāgādayo malāḥ /	na yatra mAyA nASaH ca na cE rAga AdayaH malAH /
   śyāmāvadātāḥ surucaḥ śatapatravilocanāḥ // GarP_2,1.12 //	SyAma avadAtAH su rucaH Satapatra vilocanAH // GarP_2,1.12 //
   surāsurārcitā yatra gaṇā viṣṇoḥ supeśasaḥ /	sura asura arcitAH yatra gaNAH vizNoH supeSasaH /
   piśaṅgavastrābhāraṇā maṇiyuṅniṣkabhūṣitāḥ // GarP_2,1.13 //	piSaFga vastra ABAraNAH maNi yuj nizka BUzitAH // GarP_2,1.13 //
   caturbhujāḥ kuṇḍalino maulino mālinastathā /	catur BujAH kuNxalinaH mOlinaH mAlinaH taTA /
   bhrājiṣṇubhirvimānānāṃ paṅkibhirye mahātmanām // GarP_2,1.14 //	BrAjizNuBiH vimAnAnAm paFkiBiH ye mahAtmanAm // GarP_2,1.14 //
   dyotante dyotamānānāṃ pramadānāṃ ca paṅktibhiḥ /	dyotante dyotamAnAnAm pramadAnAm ca paFktiBiH /
   śrīryatra nānāvibhavairhareḥ pādau mudārcati // GarP_2,1.15 //	SrIH yatra nAnA viBavEH hareH pAdO mudA arcati // GarP_2,1.15 //
   hariṃ gāyati dolāsthaṃ gīyamānālibhiḥ svayam /	harim gAyati dolA sTam gIyamAna AliBiH svayam /
   dadarśa śrīhariṃ tatra śrīpatiṃ sātvatāṃ patim // GarP_2,1.16 //	dadarSa SrI harim tatra SrIpatim sAtvatAm patim // GarP_2,1.16 //
   jagatpatiṃ yajñapatiṃ pārṣadaiḥ pariṣevitam /	jagatpatim yajQapatim pArzadEH parizevitam /
   sunandanandaprabalārhaṇamukhyairnirantaram // GarP_2,1.17 //	sunanda nanda prabala arhaNa muKyEH nirantaram // GarP_2,1.17 //
   bhṛtyaprasādasumukhamāyatāruṇalocanam /	BRtya prasAda su muKam Ayata aruNa locanam /
   kirīṭinaṃ kuṇḍalinaṃ śriyā vakṣasi lakṣitam // GarP_2,1.18 //	kirIwinam kuNxalinam SriyA vakzasi lakzitam // GarP_2,1.18 //
   pītāṃśukaṃ caturbāhuṃ prasannahasitānanam /	pIta aMSukam catur bAhum prasanna hasita Ananam /
   abhyarhaṇāsanāsīnaṃ tābhiḥ śaktibhirāvṛtam // GarP_2,1.19 //	aByarhaNa Asana AsInam tABiH SaktiBiH AvRtam // GarP_2,1.19 //
   pradhānapuruṣābhyāṃ ca mahatā cāhamā tathā /	praDAna puruzAByAm ca mahatA ca ahamA taTA /
   ekādaśondriyaiścaiva pañcabhūtaistathaiva ca // GarP_2,1.20 //	ekAdaSA undriyEH ca eva paQcaBUtEH taTA eva ca // GarP_2,1.20 //
   svarūperamamāṇaṃ tamīśvaraṃ vinatāsutaḥ /	sva rUpa IramamANam tam ISvaram vinatA sutaH /
   taddarśanāhlādayutasvānto hṛṣyattanūruhaḥ // GarP_2,1.21 //	tad darSana AhlAda yuta sva antaH hRzyat tanUruhaH // GarP_2,1.21 //
   locanābhyāmaśru muñcanpremamagno nanāma ha /	locanAByAm aSru muQcan prema magnaH nanAma ha /
   namāgataṃ nataṃ svīya vāhanaṃ viṣṇurabravīt /	nama Agatam natam svIya vAhanam vizNuH abravIt /
   bhūmiḥ kā laṅghitā pakṣiṃstvayeyantamanehasam // GarP_2,1.22 //	BUmiH kA laFGitA pakzin= tvayeyanta manehasam // GarP_2,1.22 //
   garuḍa uvāca /	garuxaH uvAca /
   tava prasādādvaikuṇṭha trailokyaṃ sacarācaram // GarP_2,1.23 //	tava prasAdAt vEkuNWa trElokyam sa carAcaram // GarP_2,1.23 //
   mayā vilokitaṃ sarvaṃ jagatsthāvarajaṅgamam /	mayA vilokitam sarvam jagat sTAvara jaFgamam /
   bhūrlokātsatyaparyantaṃ puraṃ yāmyaṃ vinā prabho // GarP_2,1.24 //	BUrlokAt satya paryantam puram yAmyam vinA praBo // GarP_2,1.24 //
   bhūrlokaḥ sarvalokānāṃ pracuraḥ sarvajantuṣu /	BUrlokaH sarva lokAnAm pracuraH sarva jantuzu /
   mānuṣyaṃ sarvabhūtānāṃ bhuktimuktyālayaṃ śubham // GarP_2,1.25 //	mAnuzyam sarva BUtAnAm Bukti mukti Alayam SuBam // GarP_2,1.25 //
   ataḥ sukṛtināṃ loko na bhūto na bhaviṣyati // GarP_2,1.26 //	atas sukRtinAm lokaH na BUtaH na Bavizyati // GarP_2,1.26 //
   gāyanti devāḥ kila gītakāni dhanyāstu ye bhāratabhūmibhāge /	gAyanti devAH kila gItakAni DanyAH tu ye BArata BUmi BAge /
   svargāpavargasya phalārjanāya bhavanti bhūyaḥ puruṣāḥ suratvāt //	svarga apavargasya Pala arjanAya Bavanti BUyas puruzAH sura tvAt //
   GarP_2,1.27 //	GarP_2,1.27 //
   pretaḥ kaukṣipyate kasmātpañcaratnaṃ mukhe katham /	pretaH kOkzipyate kasmAt paQcaratnam muKe kaTam /
   adhastāccālitā darbhāḥ pādau yāmyāṃ vyavasthitau // GarP_2,1.28 //	aDastAt cAlitAH darBAH pAdO yAmyAm vyavasTitO // GarP_2,1.28 //
   kimarthaṃ putrapautrāśca tasya tiṣṭhanti cāgrataḥ /	kimarTam putra pOtrAH ca tasya tizWanti ca agratas /
   kimarthaṃ dīyate dānaṃ godānamapi keśava // GarP_2,1.29 //	kimarTam dIyate dAnam go dAnam api keSava // GarP_2,1.29 //
   bandhumitrāṇyamitrāśca kṣamāpayanti tatkatham /	banDu mitrANi amitrAH ca kzamApayanti tat kaTam /
   tilālohaṃ hiraṇyaṃ ca karpāsaṃ lavaṇaṃ tathā // GarP_2,1.30 //	tila Aloham hiraNyam ca karpAsam lavaNam taTA // GarP_2,1.30 //
   saptadhānyaṃ kṣitirgāvo dīyante kenahetunā /	saptaDAnyam kzitiH gAvaH dIyante kena hetunA /
   kathaṃ hi mriyate janturmṛto vai kutra gacchati // GarP_2,1.31 //	kaTam hi mriyate jantuH mRtaH vE kutra gacCati // GarP_2,1.31 //
   ativāhaśarīraṃ ca kathaṃ hi śrayate tadā /	ativAha SarIram ca kaTam hi Srayate tadA /
   śavaṃ skandhe vahetputro agnidātā ca pautrakaḥ // GarP_2,1.32 //	Savam skanDe vahet putraH agnidAtA ca pOtrakaH // GarP_2,1.32 //
   ājyenābhyañjanaṃ kasmātkuta ekāhutikriyā /	Ajyena aByaQjanam kasmAt kuta eka Ahuti kriyA /
