   Sandhi markers:	SanDi markeH-s:
   (. =short vowel, - =long vowel)	(. =shA-Urt vowel,  =long vowel)
   in word-sandhi:	id word-sanDi:
   1: . . e.g.: veda+anta = vedā1nta	1: . . e.g.: veda+anta  vedA1nta
   in sentence-sandhi:	id sentet-ce--sanDi:
   7: . . e.g.: ca+api = cā7pi	7: . . e.g.: ca+api  ca-a7pi
   / daśa-kumāra-caritam - tṛtīyo1cchvāsaḥ /	/ daSa-kumAra--caritam  tRtIyaH-1cCvAsaH /
   eṣo 'smi paryaṭann ekadā gato videheṣu |	ezaH asmi paryawan ekadA gataH videhezu |
   mithilām a-praviśyai7va bahiḥ kva=cin maṭhi kāyā	miTilAm a-praviSya-e7va bahis kva=cid maWi kAyA
   viśramitum etya kayā api vṛddha-tāpasyā	viSramitum etya kayA api vRdDa-tApasyA
   datta-pādyaḥ kṣaṇam alinda-bhūmāv avāsthiṣi |	datta-pAdyaH kzaNam alinda--BUmO avAsTizi |
   tasyās tu mad-darśanād eva kim apy ābaddha-dhāram	tasyAH tu mad---darSanAt eva kim api AbadDa--DAram
   aśru prāvartata |	aSru prAvartata |
   ' kim etad amba kathaya kāraṇam ' iti pṛṣṭā	a kim etat amba kaTaya kAraNam a iti pRzwA
   sa-karuṇam ācaṣṭa - 'jaivātṛka nanu śrūyate patir	sa-karuNam Acazwa  ajEvAtRka nanu SrUyate patiH-
   asyā mithilāyāḥ prahāra-varmā nāmā8sīt |	asyAH miTilAyAH prahAra-varmA nAmA8sIt |
   tasya khalu magadha-rājo rāja-hamsaḥ paraṃ mitram	tasya Kalu magaDa-rAjaH rAja--hamsaH param mitram
   āsīt |	AsIt |
   tayoś ca vallabhe bala-śambalayor iva	tayoH ca vallaBe bala--SambalayoH iva
   vasumatī-priyamvade sakhyam a-pratimam adhattām |	vasumatI--priyam-vade saKyam a-pratimam aDattAm |
   atha prathama-garbhā1bhinanditāṃ tāṃ ca	aTa praTama-garBa-a1BinanditAm tAm ca
   priya-sakhīṃ didṛkṣuḥ priyamvadā vasumatīṃ saha	priya--saKIm didRkzuH priyamvadA vasumatIm saha
   bhartrā puṣpa-puram agamat |	BartrA puzpa-puram agamat |
   tasminn eva ca samaye mālavena magadha-rājasya mahaj	tasmin eva ca samaye mAlavena magaDa-rAjasya maha-j
   janyam ajani |	janyam ajani |
   tatra leśato 'pi dur-lakṣāṃ gatim agaman	tatra leSataH api dur-lakzAm gatim agaman
   magadha-rājaḥ |	magaDa-rAjaH |
   maithile1ndras tu mālave1ndra-prayatna-prāṇitaḥ	mETile1ndraH tu mAlave1ndra--prayatna--prANitaH
   sva-viṣayaṃ prati nivṛtto jyeṣṭhasya	sva--vizayam prati nivRttaH jyezWasya
   samhāra-varmaṇaḥ sutair vikaṭa-varma-prabhṛtibhir	samhAra--varmaNaH sutEH vikawa-varma--praBRtiBiH-
   vyāptaṃ rājyam ākarṇya svasrīyāt suhma-pater	vyAptam rAjyam AkarNya svasrIyAt suhma--pateH-
   daṇḍā1vayavam āditsur aṭavī-patham avagāhya	daNxa-a1vayavam AditsuH awavI--paTam avagAhya
   lubdhaka-lupta-sarva-svo 'bhūt |	lubDaka-lupta--sarva-svaH aBUt |
   tat-sutena ca kanīyasā hasta-vartinā sahai7kākinī	tat-sutena ca kanIyasA hasta--vartinA sa-hE7kAkinI
   vana-cara-śara-varṣa-bhaya-palāyitā vanam agāhiṣi |	vana-cara--Sara--varza--Baya--palAyitA vanam agAhizi |
   tatra ca me śārdūla-nakhā1valīḍha-nipatitāyāḥ	tatra ca me SArdUla-naKa-a1valI-Xa--nipatitAyAH
   pāṇi-bhraṣṭaḥ sa bālakaḥ kasya api	pANi-BrazwaH sa bAlakaH kasya api
   kapilā-śavasya kroḍam abhyalīyata |	kapilA-Savasya kroxam aByalIyata |
   tac-chavā3karṣiṇaś ca vyāghrasya asūn iṣur	tac--CavA3karziNaH ca vyAGrasya asUn izuH-
