   darpadalanam	darpa-dalanam
   prathamo vicāraḥ	praTamaH vicAraH
   praśāntāśeṣavighnāya darpasarpāpasarpaṇāt /	praSAnta-aSeza-viGnAya darpa-sarpa-apasarpaNAt /
   satyāmṛtanidhānāya svaprakāśavikāsine // KDarp_1.1 //	satya-amRta-niDAnAya sva-prakASa-vikAsine // KDarp_1.1 //
   saṃsāravyatirekāya hṛtotsekāya cetasaḥ /	saMsAra-vyatirekAya hRta-utsekAya cetasaH /
   praśamāmṛtasekāya vivekāya namo namaḥ // KDarp_1.2 //	praSama-amRta-sekAya vivekAya namaH namaH // KDarp_1.2 //
   (yugmam)	(yugmam)
   kṣemendraḥ suhṛdāṃ prītyā darpadoṣacikitsakaḥ /	kzemendraH suhRdAm prItyA darpa-doza-cikitsakaH /
   svāsthyāya kurute yatnaṃ madhuraiḥ sūktibheṣajaiḥ // KDarp_1.3 //	svAsTyAya kurute yatnam maDurEH sUkti-BezajEH // KDarp_1.3 //
   kulaṃ vittaṃ śrutaṃ rūpaṃ śauryaṃ dānaṃ tapastathā /	kulam vittam Srutam rUpam SOryam dAnam tapaH-taTA /
   prādhānyena manuṣyāṇāṃ saptaite madahetavaḥ // KDarp_1.4 //	prADAnyena manuzyANAm saptA-ete mada-hetavaH // KDarp_1.4 //
   ahaṃkārābhibhūtānāṃ bhūtānāmiva dehinām /	ahaMkAra-aBiBUtAnAm BUtAnAm-iva dehinAm /
   hitāya darpadalanaṃ kriyate mohaśāntaye // KDarp_1.5 //	hitAya darpa-dalanam kriyate moha-SAntaye // KDarp_1.5 //
   kulaṃ kulaṃ kalayatāṃ mohānmithyābhimāninām /	kulam kulam kalayatAm mohAt-miTyA-aBimAninAm /
   lagnaḥ ko 'yaṃ na jānīmaḥ stabdhagrīvāgrahagrahaḥ // KDarp_1.6 //	lagnaH kaH ayam na jAnImaH stabDa-grIvA-graha-grahaH // KDarp_1.6 //
   kulasya kamalasyeva mūlamanviṣyate yadi /	kulasya kamalasya-iva mUlam-anvizyate yadi /
   doṣapaṅkaprastāntas tadāvaśyaṃ prakāśate // KDarp_1.7 //	doza-paFka-prasta-antaH tadA-avaSyam prakASate // KDarp_1.7 //
   yathā jātyaturaṃgasya na śakyajjātya(?)mucyate /	yaTA jAtya-turaMgasya na Sakyat-jAtya(?)mucyate /
   tathā guṇavataḥ sūnur nirguṇastatkulodbhavaḥ // KDarp_1.8 //	taTA guNavataH sUnuH nirguNaH-tad-kula-udBavaH // KDarp_1.8 //
   ekaścetpūrvapuruṣaḥ kule yajvā bahuśrutaḥ /	ekaH-ced-pUrva-puruzaH kule yajvA bahu-SrutaH /
   aparaḥ pāpakṛnmūrkhaḥ kulaṃ kasyānurvartatām // KDarp_1.9 //	aparaH pApa-kRt-mUrKaH kulam kasya-anurvartatAm // KDarp_1.9 //
   loke kulaṃ kulaṃ tāvad yāvatpūrvasamanvayaḥ /	loke kulam kulam tAvat yAvat-pUrva-samanvayaH /
   guṇaprabhāve vicchinne samāptaṃ sakalaṃ kulam // KDarp_1.10 //	guNa-praBAve vicCinne samAptam sakalam kulam // KDarp_1.10 //
   kulābhimānaḥ kasteṣāṃ jaghanyasthānajanmanām /	kula-aBimAnaH kaH-tezAm jaGanya-sTAna-janmanAm /
   kulakūlaṃkaṣā yeṣāṃ jananyo nimnagāḥ striyaḥ // KDarp_1.11 //	kula-kUlaMkazAH yezAm jananyaH nimnagAH striyaH // KDarp_1.11 //
   kulīnasya kulīnasya navadāridryalajjayā /	kulInasya kulInasya nava-dAridrya-lajjayA /
   kiṃ kulenākulīnāgre yāñcādainyapralāpinaḥ // KDarp_1.12 //	kim kulena-akulIna-agre yAQcA-dEnya-pralApinaH // KDarp_1.12 //
   guṇavatkulajāto 'pi nirguṇaḥ kena pūjyate /	guNavat-kula-jAtaH api nirguNaH kena pUjyate /
