   (Vaidya 95)	(VEdyaH 95)
   Kauśikaprajñāpāramitāsūtram |	KOSika-prajQApAramitA-sUtram |
   namo sarvabuddhabodhisattvebhyaḥ ||	namaH sarva-budDa-boDisattveByaH ||
   evaṃ mayā śrutam | ekasmin samaye bhagavān rājagṛhe viharati sma	evam mayA Srutam | ekasmin samaye BagavAn rAjagRhe viharati sma
   gṛdhrakūṭe parvate mahatā bhikṣusaṃghena sārdhamanekaiśca	gRDrakUwe parvate mahatA Bikzu-saMGena sArDam-anekEH-ca
   bodhisattvaśatasahasraiḥ sarvaiḥ kumārabhūtaiḥ | tatra khalu bhagavān	boDisattva-Sata-sahasrEH sarvEH kumAra-BUtEH | tatra Kalu BagavAn
   śakraṃ devānāmindramāmantrayate sma ||	Sakram devAnAm-indram-Amantrayate sma ||
   ayaṃ kauśika prajñāpāramitāyāḥ arthaḥ - prajñāpāramitā na dvayena	ayam kOSika prajQApAramitAyAH arTaH  prajQApAramitA na dvayena
   draṣṭavyā na advayena | na nimittato na animittataḥ | na āyūhato na	drazwavyAH na advayena | na nimittataH na animittatas | naH AyUhataH na
   nirāyūhataḥ | notkṣepato na prakṣepataḥ | na saṃkleśato na asaṃkleśataḥ |	nirAyUhataH | na-utkzepataH na prakzepataH | na saMkleSataH na asaMkleSataH |
   na vyavadānato na avyavadānataḥ | notsargato na anutsargataḥ | na sthānato	na vyavadAnataH na avyavadAnataH | na-utsargataH na anutsargataH | na sTAnataH-
   na asthānataḥ | na yogato na ayogataḥ | na saṃbandhato na asaṃbandhataḥ |	na asTAnataH | na yogataH na ayogataH | na saMbanDataH na asaMbanDataH |
   na pratyayato na apratyayataḥ | na dharmato na adharmataḥ | na tathata(yā)	na pratyayataH na apratyayataH | na DarmataH na aDarmataH | na taTata(yA)
   na atathata(yā) na bhūtakoṭyā na abhūtakoṭyā(vedi)tavyā ||	na ataTata(yA) na BUtakowyA na aBUtakowyA(vedi)tavyAH ||
   evamevāyaṃ sa kauśika prajñāpāramitāyāḥ arthaḥ | tadyathā	evam-eva-ayam sa kOSika prajQApAramitAyAH arTaH | tat-yaTA
   sarvadharmasamatvāt prajñāpāramitā samā | sarvadharmaviviktatvāt	sarva-Darma-sama-tvAt prajQApAramitA samAH | sarva-Darma-vivikta-tvAt
   prajñāpāramitā viviktā | sarvadharmācalatvāt prajñāpāramitā acalā |	prajQApAramitA viviktA | sarva-Darma-acala-tvAt prajQApAramitA acalAH |
   sarvadharmāmanyatvāt prajñāpāramitā amanyatā | sarvadharmābhīrutvāt	sarva-DarmAm-anya-tvAt prajQApAramitA amanyatA | sarva-Darma-aBIru-tvAt
   prajñāpāramitā abhīru | sarvadharmācchambhitatayā prajñāpāramitā acchambhī	prajQApAramitA aBIru | sarva-DarmAt-SamBita-tayA prajQApAramitA acCamBI
   | sarvadharmaikarasatvāt prajñāpāramitā ekarasā | sarvadharmānutpādatvāt	| sarva-Darma-eka-rasa-tvAt prajQApAramitA ekarasAH | sarva-Darma-anutpAda-tvAt
   prajñāpāramitā anutpādā | sarvadharmānirodhatvāt prajñāpāramitā anirodhā |	prajQApAramitA anutpAdAH | sarva-Darma-aniroDa-tvAt prajQApAramitA aniroDAH |
   gaganakalpatvāt sarvadharmāṇāṃ prajñāpāramitā gaganakalpā |	gagana-kalpa-tvAt sarva-DarmANAm prajQApAramitA gagana-kalpAH |
   rūpāparyantatvāt prajñāpāramitā aparyantā | evaṃ	rUpa-aparyanta-tvAt prajQApAramitA aparyantA | evam
   vedanāsaṃjñāsaṃskāravijñānāparyantatvāt prajñāpāramitā aparyantā |	vedanA-saMjQA-saMskAra-vijQAna-aparyanta-tvAt prajQApAramitA aparyantA |
   pṛthivīdhātvaparyantatvāt prajñāpāramitā aparyantā | evamabdhātu -	pRTivI-DAtu-aparyanta-tvAt prajQApAramitA aparyantA | evam-ap-DAtu -
   tejodhātu - vāyudhātu - ākāśadhātu - vijñānadhātvaparyantatvāt	tejaH-DAtu  vAyuDAtu  AkASa-DAtu  vijQAna-DAtu-aparyanta-tvAt
   prajñāpāramitā aparyantā | sumervaparyantatvāt prajñāpāramitā aparyantā |	prajQApAramitA aparyantA | sumerva-paryanta-tvAt prajQApAramitA aparyantA |
   samudrāparyantatvāt prajñāpāramitā aparyantā | vajrasamatvāt	samudra-aparyanta-tvAt prajQApAramitA aparyantA | vajra-sama-tvAt-
   prajñāpāramitā samā | sarvadharmābhedatvāt prajñāpāramitā abhedā |	prajQApAramitA samA | sarva-Darma-aBeda-tvAt prajQApAramitA aBedAH |
   sarvadharma(svabhāvā)nupalabdhitvāt prajñāpāramitā anupalabdhiḥ |	sarva-Darma(-svaBAva-a)nupalabDi-tvAt prajQApAramitA anupalabDiH |
   sarvadharmavibhāva(nā) - samatvāt prajñāpāramitā(a)vibhāva(nā) - samā |	sarva-Darma-viBAva(nA)  sama-tvAt prajQApAramitA-(a)viBAva(nA)  samAH |
   sarvadharmaniśceṣṭatvāt prajñāpāramitā niśceṣṭā | sarvadharmācintyatvāt	sarva-Darma-niScezwa-tvAt prajQApAramitA niScezwA | sarva-Darma-acintya-tvAt
   prajñāpāramitā acintyeti ||	prajQApAramitA acintya-iti ||
   evaṃ dānapāramitā - śīlapāramitā - kṣāntipāramitā - vīryapāramitā -	evam dAna-pAramitA  SIla-pAramitA  kzAnti-pAramitA  vIrya-pAramitA -
   dhyānapāramitā - prajñāpāramitātrimaṇḍalapariśuddhyaparyantatvāt	DyAna-pAramitA  prajQApAramitA-tri-maNxala-pariSudDi-aparyanta-tvAt
   prajñāpāramitā aparyantā iti ||	prajQApAramitA aparyantAH iti ||
   prajñāpāramitā ucyate yaduta aṣṭādaśaśūnyatā | tadyathā - ādhyātmaśūnyatā	prajQApAramitA ucyate yat-uta azwAdaSa-SUnyatA | tat-yaTA  ADyAtma-SUnyatA
   bahirdhāśūnyatā ādhyātmābahirdhāśūnyatā śūnyatāśūnyatā mahāśūnyatā	bahirDA-SUnyatA ADyAtma-abahirDA-SUnyatA SUnyatA-SUnyatA mahA-SUnyatA
   paramā(rtha)śūnyatā saṃskṛtaśūnyatā asaṃskṛtaśūnyatā atyantaśūnyatā	parama-a(rTa)-SUnyatA saMskRta-SUnyatA asaMskRta-SUnyatA atyanta-SUnyatA
   anādyagraśūnyatā (ana)pakāraśūnyatā prakṛtiśūnyatā svalakṣaṇaśūnyatā	anAdi-agra-SUnyatA (ana)pakAra-SUnyatA prakRti-SUnyatA sva-lakzaNa-SUnyatA
   sarvadharmaśūnyatā anupalambhaśūnyatā abhāvaśūnyatā svabhāvaśūnyatā	sarva-Darma-SUnyatA anupalamBa-SUnyatA aBAva-SUnyatA svaBAva-SUnyatA
   abhāvasvabhāvaśūnyatā iti | ayamucyate saṃkṣiptena prajñāpāramiteti ||	aBAva-svaBAva-SUnyatA iti | ayam-ucyate saMkziptena prajQApAramitA-iti ||
   (Kauś, Vaidya 96) tārakā timiraṃ dīpo māyāvaśyāya buddhudam |	(KOS, VEdya 96) tArakA timiram dIpaH mAyA-vaSyAya budDudam |
   supinaṃ vidyudabhraṃ ca evaṃ draṣṭavya saṃskṛtamiti ||	supinam vidyut-aBram ca evam drazwavya saMskRtam-iti ||
   anirodhamanutpādamanucchedamaśāśvatam |	aniroDam-anutpAdam-anucCedam-aSASvatam |
   anekārthamanānārthamanāgamamanirgamam ||	aneka-arTa-manAna-arTam-anAgamam-anirgamam ||
   yaḥ pratītyasamutpādaṃ prapañcopaśamaṃ śivam |	yaH pratItyasamutpAdam prapaQca-upaSamam Sivam |
   deśayāmāsa saṃbuddhastaṃ vande vadatāṃ varam ||	deSayAmAsa saMbudDaH-tam vande vadatAm varam ||
   namo daśasu dikṣu sarveṣāmatītānāgatapratyutpannānāṃ trayāṇāṃ ratnānām |	namaH daSasu dikzu sarvezAm-atIta-anAgata-pratyutpannAnAm trayANAm ratnAnAm |
   namo bhagavatyai prajñāpāramitāyai sarvatathāgatasunibhāyai	namaH BagavatyE prajQApAramitAyE sarva-taTAgata-su-niBAyE
   sarvatathāgatānujñātavijñātāyai |(oṃ) prajñe mahāprajñe prajñāvabhāse	sarva-taTAgata-anujQAta-vijQAtAyE |(oM) prajQe mahA-prajQe prajQA-avaBAse
   prajñālokakāri ajñānavidhamane siddhe susiddhe siddhyamane(bha)gavate	prajQA-loka-kAri ajQAna-viDamane sidDe su-sidDe sidDi-amane(Ba)gavate
   sarvāṅgasundari(bha)ktivatsale prasārahaste samāśvāsakare sidhya sidhya,	sarva-aFga-sundari(-Ba)kti-vatsale prasAra-haste samASvAsa-kare siDya siDya,
   budhya budhya, kampa kampa, cala cala, rāva rāva, āgaccha bhagavate mā	buDya buDya, kampa kampa, cala cala, rAva rAva, AgacCa Bagavate mA
   vilamba svāhā ||	vilamba svAhA ||
   namo dharmodgatasya bodhisattvasya mahāsattvasya mahākāruṇakasya ||	namaH Darma-udgatasya boDisattvasya mahAsattvasya mahA-kAruNakasya ||
   namo prajñāpāramitāyai | tadyathā - munidharme saṃgrahadharme	namaH prajQApAramitAyE | tat-yaTA  muni-Darme saMgraha-Darme
   anugrahadharme vimokṣadharme sattvānugrahadharme vaiśramaṇadharme	anugraha-Darme vimokza-Darme sattva-anugraha-Darme vESramaNa-Darme
   samantanuparivartanadharme guṇigrahasaṃgrahadharme sarvatrānugatadharme	samantanu-parivartana-Darme guNi-graha-saMgraha-Darme sarvatra-anugata-Darme
   sarvakālaparipūrṇadharme svāhā ||	sarva-kAla-paripUrNa-Darme svAhA ||
   namo prajñāpāramitāyai | tadyathā - akhane nikhane mukhana	namaH prajQApAramitAyE | tat-yaTA  aKane niKane muKana
   nekhane(avaravandane) paṭane paṭane paṭare svāhā ||	neKane(a-vara-vandane) pawane pawane paware svAhA ||
   namo prajñāpāramitāyai | tadyathā - gaṅgā gaṅgā na tīrāvabhāsa gaṅgā svāhā	namaH prajQApAramitAyE | tat-yaTA  gaFgA gaFgA na tIra-avaBAsa gaFgA svAhA
   namo prajñāpāramitāyai | tadyathā śrīye śrīye muni śrīye śrīyase svāhā ||	namaH prajQApAramitAyE | tat-yaTA SrIye SrIye muni SrIye SrIyase svAhA ||
   namo prajñāpāramitāyai | tadyathā - oṃ vajrabale svāhā ||	namaH prajQApAramitAyE | tat-yaTA  om vajra-bale svAhA ||
   namo prajñāpāramitāyai | tadyathā - oṃ hrī śrī dhī śruti smṛti mati gati	namaH prajQApAramitAyE | tat-yaTA  om hrI SrI DI Sruti smRti mati gati
   vijaye svāhā ||	vijaye svAhA ||
   namo prajñāpāramitāyai | tadyathā - bambari bambari mahābambari būru būru	namaH prajQApAramitAyE | tat-yaTA  bambari bambari mahA-bambari bUru bUru
   mahābūru svāhā ||	mahA-bUru svAhA ||
   namaḥ prajñāpāramitāyai | tadyathā - hūte hūte hūvitāśane sarva -	namaH prajQApAramitAyE | tat-yaTA  hUte hUte hUvita-aSane sarve -
   karmāvaraṇane svāhā	karma-AvaraNane svAhA
   || namaḥ prajñāpāramitāyai | tadyathā - oṃ orolik svāhā ||	|| namaH prajQApAramitAyE | tat-yaTA  om oroliS svAhA ||
   namo prajñāpāramitāyai | tadyathā - oṃ sarvavit svāhā ||	namaH prajQApAramitAyE | tat-yaTA  om sarva-vid svAhA ||
   namaḥ prajñāpāramitāyai | tadyathā - gate gate pāragate pārasaṃgate bodhi	namaH prajQApAramitAyE | tat-yaTA  gate gate pAra-gate pAra-saMgate boDi
   svāhā ||	svAhA ||
   idamavocadbhagavān | āttamanā āyuṣmān sāriputraḥ śakro devānāmindraste ca	idam-avocat-BagavAn | Atta-manAH AyuzmAn sAriputraH SakraH devAnAm-indraH-te ca
   bodhisattvā mahāsattvāḥ sā ca sarvāvatī parṣad	boDisattvAH mahAsattvAH sA ca sarvAvatI parzad
   sadevagandharvamānuṣāsuraśca loko bhagavato bhāṣitamabhyanandan ||	sa-deva-ganDarva-mAnuza-AsuraH-ca lokaH BagavataH BAzitam-aByanandan ||
   kauśikanāma prajñāpāramitā samāptā ||	kOSika-nAma prajQApAramitA samAptAH ||
