   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   yaṃ hi vairāgyasaṃpannāstattvamarthavivekinaḥ /	yam hi vErAgya saMpannAH tattvam arTa vivekinaH /
   labhante sādhanairdāntāstaṃ sītānāyakaṃ bhaje //1//	laBante sADanEH dAntAH tam sItA nAyakam Baje //1//
   START BsRp_3,1.1.1ḥ	START BsRp _3,1.1.1H
   tadantarapratipattau raṃhati saṃpariṣvaktaḥ praśnanirūpaṇābhyām |	tad antara pratipattO raMhati saMparizvaktaH praSna nirUpaNAByAm |
   BBs_3,1.1 |	BBH _3,1.1 |
   tadantarapratipattau raṃhati saṃpariṣvaktaḥ praśnanirūpaṇābhyām /	tad antara pratipattO raMhati saMparizvaktaH praSna nirUpaNAByAm /
   vṛttamanūdya tṛtīyādhyāyārthamāha dvitīya ityādinā /	vRttam anUdya tRtIya aDyAya arTam Aha dvitIyaH ityAdinA /
   aviruddhe vedāntārthe tajjñānasādhanacintāvasara	avirudDe vedAnta arTe tad jQAna sADana cintA avasara
   ityanayorhetuhetumadbhāvaḥ /	iti anayoH hetu hetumat BAvaH /
   liṅgopādhisiddhau tadupahitajīvasaṃsāracinteti pādayorapi tadbhāvasaṅgatiḥ	liFga upADi sidDO tad upahita jIva saMsAra cintA iti pAdayoH api tad BAva saFgatiH
   atra prathamapāde vairāgyam /	atra praTama pAde vErAgyam /
   dvitīye svapnādyavasthoktyā tvaṃpadārtho brahmatattvaṃ cocye /	dvitIye svapna Adi avasTA uktyA tvaMpadArTaH brahma tattvam cocye /
   tṛtīye vākyārthastadarthamupāsanāśca vicāryante /	tRtIye vAkya arTaH tad arTam upAsanAH ca vicAryante /
   caturthapādārthamāha samyagdarśanāditi /	caturTa pAda arTa mAha  samyak darSanAt iti /
   darśanopāyāḥ saṃnyāsādayaḥ /	darSana upAyAH saMnyAsa AdayaH /
   muktirūpaphalasya svargavattāratamyaniyamābhāvaḥ ekarūpatvamiti yāvat /	mukti rUpa Palasya svarga vat tAratamya niyama aBAvaH eka rUpa tvam iti yAvat /
   prasaṅgāgataṃ dehātmadūṣaṇam /	prasaFga Agatam deha Atma dUzaNam /
   pañcasu dyuparjanyapṛthivīpuruṣayoṣitsvagnitvadhyānaṃ pañcāgnividyā /	paQcasu dyuparjanya pRTivI puruza yozit su agni tva DyAnam paQca agni vidyA /
   yasmāt karmaṇā gatyāgatirūpo 'narthastasmāt karmaphale jugupsāṃ ghṛṇāṃ	yasmAt karmaNA gati Agati rUpaH anarTaH tasmAt karma Pale jugupsAm GRNAm
   viraktiṃ kurvīteti pañcāgnividyopasaṃhāre śravaṇādvairāgyārthaṃ	viraktim kurvIta iti paQca agni vidyA upasaMhAre SravaNAt vErAgya arTam
   pradarśyate ityanvayaḥ /	pradarSyate iti anvayaH /
   śāstrādisūtre nityānityavivekakṛtaṃ vairāgyamuktam, iha taddārḍhyāya	SAstra Adi sUtre nitya anitya viveka kRtam vErAgyam uktam, iha tat dArXyAya
   gatyāgatikleśabhāvanākṛtaṃ taducyata ityapaunaruktyam /	gati Agati kleSa BAvanA kRtam tat ucyate iti apOnaruktyam /
   adhikaraṇaviṣayamāha jīva iti /	aDikaraNa vizayam Aha jIvaH iti /
   avidyā prasiddha /	avidyA prasidDaH /
   vidyeti pāṭhe upāsanā grāhyā /	vidyA iti pAWe upAsanAH grAhyA /
   karma dharmādharmākhyaṃ, pūrvaprajñā janmāntarasaṃskāraḥ /	karma Darma aDarma AKyan, pUrva prajQAH janma antara saMskAraH /
   atha maraṇakāle prāṇā hṛdaye jīvenaikībhavantītyarthaḥ /	aTa maraNa kAle prANAH hRdaye jIvena ekIBavanti iti arTaH /
   rūpaṃ śarīraṃ, pañcīkṛtabhūtabhāgāḥ uttaradehapariṇāmino bhūtasūkṣmāḥ /	rUpam SarIraM, paQcIkRta BUta BAgAH uttara deha pariNAminaH BUta sUkzmAH /
   vedāntārthajñānasādhanavicāratvāt sarvādhikaraṇānāṃ,	vedAnta arTa jQAna sADana vicAra tvAt sarva aDikaraNAnAM,
   śrutiśāstrādhyāyasaṅgatayaḥ vairāgyaphalakatvādetatpādasaṅgatiḥ /	Sruti SAstra aDyAya saFgatayaH vErAgya Palaka tvAt etat pAda saFgatiH /
   pūrvādhikaraṇe vyavahārārthaṃ pañcīkaraṇamuktaṃ sa vyavahāro 'tra	pUrva aDikaraNe vyavahAra arTam paQcIkaraNam uktam sa vyavahAraH atra
   nirūpyata iti phalaphalibhāvo 'vāntarasaṅgatiḥ /	nirUpyate iti Pala Pali BAvaH avAntara saFgatiH /
   atra pūrvapakṣe nirāśrayaprāṇagatyabhāvāt, na vairāgyaṃ, siddhānte	atra pUrva pakze nirASraya prANa gati aBAvAt, na vErAgyaM, sidDAnte
   bhūtāśrayaprāṇagatervairāgyamiti phalabhedaḥ /	BUta ASraya prANa gateH vErAgyam iti Pala BedaH /
   tejomātrāścakṣurādayaḥ, paśyati jighratīti vākyaśeṣāt /	tejaH mAtrAH cakzuH AdayaH, paSyati jiGrati iti vAkya SezAt /
   āpaḥ pañcasvagniṣu hutāḥ pañcamyāmāhutau hutāyāṃ yathā puruṣaśabdavācyāḥ	ApaH paQcasu agnizu hutAH paQcamyAm AhutO hutAyAm yaTA puruza Sabda vAcyAH
   puruṣātmanā pariṇamante tathā kiṃ tvaṃ vettheti śvetaketuṃ prati rājñaḥ	puruza AtmanA pariNamante taTA kim tvam vetTa iti Svetaketum prati rAjQaH
   pravāhaṇasya praśnaḥ, tasya cottarājñāne tatpitaraṃ prati rājovāca 'asau	pravAhaNasya praSnaH, tasya ca uttara ajQAne tad pitaram prati rAjA uvAca aasO
   vāva loke gautamāgnistatra śraddhākhyā āpaḥ āhutiḥ parjanyāgnau somarūpā	vAva loke gOtama agniH tatra SradDA AKyA ApaH AhutiH parjanya agnO soma rUpA
   iha khlvagnihotre śraddhayā hutā dadhyādirūpā āpo yajamānasaṃlagnāḥ	iha Klu agnihotre SradDayA hutAH daDi Adi rUpAH ApaH yajamAna saMlagnAH
   svargaṃ lokaṃ prapya somākhyadivyadehātmanā sthitāḥ karmānte drutāḥ	svargam lokam prapya soma AKya divya deha AtmanA sTitAH karma ante drutAH
   parjanye hūyante tato vṛṣṭirūpāḥ pṛthivyā annarūpāḥ puruṣe retorūpāḥ	parjanye hUyante tatas vRzwi rUpAH pRTivyAH anna rUpAH puruze retaH rUpAH
   yoṣiti hutāḥ āpaḥ puruṣaśabdavācyāḥ pumātmakā bhavanti'iti nirūpaṇaṃ kṛtam	yoziti hutAH ApaH puruza Sabda vAcyAH puma AtmakA Bavanti aiti nirUpaNam kRtam
   nanvetaddehaṃ tyaktvādbhiḥ saha gatasya paścāddehāntaraprāptirityayuktam /	nanu etat deham tyaktvA adBiH saha gatasya paScAt deha antara prAptiH iti ayuktam /
   yathā tṛṇajalāyukā tṛṇāntaraṃ gṛhītvā pūrvatṛṇaṃ tyajati tathā jīvo	yaTA tRNajalAyukA tRNa antaram gRhItvA pUrva tRNam tyajati taTA jIvaH 
   dehāntaraṃ gṛhītvā pūrvadehaṃ tyajatīti śrutivirodhāditi	deha antaram gRhItvA pUrva deham tyajati iti Sruti viroDAt iti
   śaṅkate nanvanyeti /	SaFkate nanu anyA iti /
   ihaiva karmāyattabhāvidehaṃ devo 'hamityādibhāvanayā gṛhītvā pūrvadehaṃ	iha eva karma Ayatta BAvi deham devaH aham ityAdi BAvanayA gRhItvA pUrva deham
   tyajatīti śrutyarthaḥ, ato na virodha iti samādhatte tatrāpīti /	tyajati iti Sruti arTaH, atas na viroDaH iti samADatte  tatra api iti /
   bhāvanāyā dīrghībhāvo bhāvidehaviṣayatvam /	BAvanAyAH dIrGIBAvaH BAvi deha vizaya tvam /
   ghaṭākāśavadupahito jīvaḥ sūkṣmopādhigatyā lokāntaraṃ gacchatīti	Gawa AkASa vat upahitaH jIvaH sUkzma upADi gatyA loka antaram gacCati iti
   pañcāgniśrutyuktaḥ prakārastadvirodhādanyāḥ kalpanāḥ sarvā anādartavyā	paQca agni Sruti uktaH prakAraH tad viroDAt anyAH kalpanAH sarvAH anAdartavyA
   ityanvayaḥ /	iti anvayaH /
   sāṅkhyakalpanāmāha vyāpināmiti /	sAFKya kalpanA mA aha  vyApinAm iti /
   sugatakalpanāmāha kevalalasyeti /	sugata kalpanA mAha  kevalalasya iti /
   nirvikalpakajñānasantānarūpasyātmano dehāntare	nirvikalpaka jQAna santAna rUpasya AtmanaH deha antare
   śabdādisavikalpakajñānākhyavṛttilābho bhavatītyarthaḥ /	Sabda Adi sa vikalpaka jQAna AKya vRtti lABaH Bavati iti arTaH /
   kāṇādakalpanāmāha mana iti /	kANAda kalpanAmA ha manaH iti /
   dehāntaraṃ prati manomātraṃ gacchati, indriyāṇi tu nūtanānyevārabhyante /	deha antaram prati manaH mAtram gacCati, indriyANi tu nUtanAni eva AraByante /
   digambarakalpanāmāha jīva iti //1//	digambara kalpanAmA aha  jIvaH iti //1//
   END BsRp_3,1.1.1	END BsRp _3,1.1.1
