   sāṅkhyakārikā gauḍapādabhāṣya	sAFKya-kArikAH gOxa-pAda-BAzya
        kapilāya namastasmai yenāvidyodadhau jagati magne /	kapilAya namaH-tasmE yena-avidyodaDO jagati magne /
        kāruṇyātsāṅkhyamayī nauriva vihitā prataraṇāya //	kAruNyAt-sAFKya-mayI nOH-iva vihitA prataraNAya //
        alpagranthaṃ spaṣṭaṃ pramāṇasiddhāntahetubhiryuktam /	alpa-granTam spazwam pramANa-sidDAnta-hetuBiH-yuktam /
        śāstraṃ śiṣyahitāya samāsato 'haṃ pravakṣyāmi //	SAstram Sizya-hitAya samAsatas aham pravakzyAmi //
   duḥkhatrayābhighātājjijñāsā tadabhighātake hetau /	duHKa-traya-aBiGAtAt-jijQAsA tad-aBiGAtake hetO /
   dṛṣṭe sāpārthā cennaikāntātyantato 'bhāvāt // ISk_1 //	dRzwe sA-apArTA ced-na-ekAnta-atyantataH aBAvAt // ISc-_1 //
   duḥkhatrayeti / asyā āryyāyā upodghātaḥ kriyate / iha bhagavānbrahmasutaḥ	duHKa-traya-iti / asyAH AryyAyAH upodGAtaH kriyate / iha BagavAn-brahma-sutaH
   kapilo nāma / tadyathā -	kapilaH nAma / tat-yaTA -
        sanakaśca sanandaśca tṛtīyaśca sanātanaḥ /	sanakaH-ca sanandaH-ca tRtIyaH-ca sanAtanaH /
        āsuriḥ kapilaścaiva voḍhuḥ pañcaśikhastathā /	AsuriH kapilaH-ca-eva voXuH paQcaSiKaH-taTA /
        ityete brahmaṇaḥ putrāḥ sapta proktā maharṣayaḥ //	iti-ete brahmaNaH putrAH sapta proktAH mahA-RzayaH //
   kapilasya sahotpannā dharmmo jñānaṃ vairāgyamaiśvaryyañceti / evaṃ sa	kapilasya saha-utpannAH DarmmaH jQAnam vErAgyam-ESvaryyaQca-iti / evam sa
   utpannaḥ sannandhatamasi majjajjagadālokya saṃsārapāramparyyeṇa satkāruṇyo	utpannaH san=-anDatamasi majjat-jagat-Alokya saMsAra-pAramparyyeNa satkAruNyaH-
   jijñāsamānāya āsurisagotrāya brahmaṇāyedaṃ pañcaviṃśatitattvānāṃ	jijQAsamAnAya Asuri-sagotrAya brahmaNAya-idam paQcaviMSati-tattvAnAm
   jñānamuktavān / yasya jñānādduḥkhakṣayo bhavati /	jQAnam-uktavAn / yasya jQAnAt-duHKa-kzayaH Bavati /
        pañcaviṃśatitatvajño yatra tatrāśrame vaset /	paQcaviMSatita-tva-jQaH yatra tatra-ASrame vaset /
        jaṭī muṇḍī śikhī vāpi mucyate nātra saṃśayaḥ //	jawI muNxI SiKI vA-api mucyate na-atra saMSayaH //
   tadidamāhuḥ / duḥkhatrayābhighātājjijñāseti / tatra duḥkhatrayaṃ-	tat-idam-AhuH / duHKa-traya-aBiGAtAt-jijQAsA-iti / tatra duHKa-trayaM-
   ādhyātmikaṃ ādhibhautikaṃ ādhidaivikaṃ ceti / tatrādhyātmikaṃ dvividhaṃ -	ADyAtmikam ADiBOtikam ADidEvikam ca-iti / tatra-ADyAtmikam dviviDam -
   śārīraṃ mānasaṃ ceti / śārīraṃ vātapittaśleṣmaviparyyayakṛtaṃ	SArIram mAnasam ca-iti / SArIram vAta-pitta-Slezma-viparyyaya-kRtam
