   brahmasūtraśāṅkarabhāṣyam	brahmasUtra SAFkara BAzyam
   bhāṣyaratnaprabhāvyākhyā śrīrāmānandayatipraṇītā /	BAzya ratna praBAvi AKyA SrI rAma Ananda yati praNItAH /
   yamiha kāruṇikaṃ śaraṇaṃ gato 'pyarisahodara āpa mahatpadam /	yam iha kAruNikam SaraNam gataH api ari sahodaraH Apa mahat padam /
   tamahamāśu hariṃ paramāśraye janakajāṅkamanantasukhākṛtim //1//	tam aham ASu harim parama ASraye janaka ja aFkam ananta suKa AkRtim //1//
   śrīgauryā sakalārthadaṃ nijapadāmbhojena muktipradaṃ prauḍhaṃ vighnavanaṃ	SrI gOryA sakala arTa dam nija pada amBojena mukti pradam prOXam viGna vanam
   harantamanaghaṃ śrīḍhuṇḍhituṇḍāsinā /	harantam anaGam SrIXuNXi tuNxA asinA /
   vande carmakapālikopakapaṇairvairāgyasaukhyātparaṃ nāstīti	vande carmakapAli kA upaka paNEH vErAgya sOKyAt param na asti iti
   pradiśantamantavidhuraṃ śrīkāśikeśaṃ śivam //2 //	pradiSantam anta viDuram SrIkASi keSam Sivam //2 //
   yatkṛpālavamātreṇa mūko bhavati paṇḍitaḥ /	yad kRpA lava mAtreNa mUkaH Bavati paNxitaH /
   vedaśāstraśarīrāṃ tāṃ vāṇīṃ vīṇākarāṃ bhaje // 3 //	veda SAstra SarIrAm tAm vANIm vINA karAm Baje // 3 //
   kāmākṣīdattadugdhapracurasuranutaprājyabhojyādhipūjyaśrīgaurīnāyakābhitprakaṭanaśivarāmāryalabdhātmabodhaiḥ	kAmAkzI datta dugDa pracura suranuta prAjya Bojya aDipUjya SrI gOrI nAyaka aBid prakawana Siva rAma Arya labDa Atma boDEH
   śrīmadgopālagīrbhiḥ	SrImat gopAla gIrBiH
   prakaṭitaparamādvaitabhāsāsmitāsyaśrīmadgovindavāṇīcaraṇakamalago nivṛto	prakawita parama advEta BAsA smitA Asya SrImat govinda vANI caraNa kamala gaH nivRtaH 
   'haṃ yathāliḥ //4//	aham yaTA aliH //4//
   śrīśaṅkaraṃ bhāṣyakṛtaṃ praṇamya vyāsaṃ hariṃ sūtrakṛtaṃ ca vacmi /	SrI SaFkaram BAzya kRtam praNamya vyAsam harim sUtra kRtam ca vacmi /
   śrībhāṣyatīrthe parahaṃsatuṣṭyai vāgjālabandhacchidamabhyupāyam //5//	SrI BAzya tIrTe para haMsa tuzwyE vAc jAla banDa= Cidam aByupAyam //5//
   vistṛtagranthavīkṣāyāmalasaṃ yasya mānasam /	vistRta granTavIkzAyAm alasam yasya mAnasam /
   vyākhyā tadarthamārabdhā bhāṣyaratnaprabhābhidhā //6 //	vyAKyA tad arTam ArabDA BAzya ratna praBA aBiDA //6 //
   śrīmacchārīrakaṃ bhāṣyaṃ prāpya vāk śuddhimāpnuyāt /	SrImat SArIrakam BAzyam prApya vAc SudDim ApnuyAt /
   iti śramo me saphalo gaṅgāṃ rathyodakaṃ yathā //7 //	iti SramaH me saPalaH gaFgAm raTyA udakam yaTA //7 //
   yadajñānasamudbhūtamindrajālamidaṃ jagat /	yat ajQAna samudBUtam indrajAlam idam jagat /
   satyajñānasukhānantaṃ tadahaṃ brahma nirbhayam //8//	satya jQAna suKa anantam tat aham brahma nirBayam //8//
   START BsRp_1,1.1.1	START BsRp _1,1.1.1
   athāto brahmajijñāsā | BBs_1,1.1 |	aTa atas brahma jijQAsA | BBH _1,1.1 |
   iha khalu 'svādhyāyo 'dhyetavyaḥ'iti	iha Kalu asvADyAyaH aDyetavyaH aiti
   nityādhyayanavidhinādhītasāṅgasvādhyāye 'tadvijijñāsasva','so 'nveṣṭavyaḥ	nitya aDyayana viDinA aDIta sAFga svADyAye atad vijijQAsasva a, asaH anvezwavyaH
   sa vijijñāsitavyaḥ', 'ātmā vā are draṣṭavyaḥ	sa vijijQAsitavyaH a, aAtmA vE are drazwavyaH
   śrotavyaḥ'itiśravaṇavidhirupalabhyate /	SrotavyaH aiti SravaNa viDiH upalaByate /
   tasyārthaḥ  amṛtatvakāmenādvaitātmavicāra eva vedāntavākyaiḥ kartavya iti	tasya arTaH  amRta tva kAmena advEta Atma vicAraH eva vedAnta vAkyEH kartavyaH iti
   tena kāmyena niyamavidhinārthādbhinnātmaśāstrapravartiḥ, vaidikānāṃ	tena kAmyena niyama viDinA arTAt Binna Atma SAstra pravartiH, vEdikAnAm
   purāṇādiprādhānyaṃ vā nirasyata iti vastugatiḥ /	purANa Adi prADAnyam vA nirasyate iti vastu gatiH /
   tatra kaścidiha janmani janmāntare vānuṣṭitayajñādibhirnitāntavimalasvānto	tatra kaScid iha janmani janma antare vA anuzwita yajQa AdiBiH nita anta vimala sva antaH 
   'sya śravaṇavidheḥ ko viṣayaḥ, kiṃ phalaṃ, ko 'dhikārī, kaḥ saṃbandha iti	asya SravaNa viDeH kaH vizayaH, kim PalaM, kaH aDikArI, kaH saMbanDaH iti
   jijñāsate /	jijQAsate /
   taṃ jijñāsumupalabhamāno bhagavānbādarāyaṇastadanubandhacatuṣṭayaṃ	tam jijQAsum upalaBamAnaH BagavAn bAdarAyaNaH tad anubanDa catuzwayam
