   Abhidharmakośabhāṣyam	ABiDarma-koSa-BAzyam
   prathamaṃ kośasthānam	praTamam koSa-sTAnam
   om namo buddhāya	om namaH budDAya
   yaḥ sarvathāsarvahatāndhakāraḥ saṃsārapaṅkājjagadujjahāra /	yaH sarvaTA-sarva-hata-anDakAraH saMsAra-paFkAt-jagat-ujjahAraH /
   tasmai namaskṛtya yathārthaśāstre śāstraṃ pravakṣyāmyabhidharmakośam //	tasmE namaskRtya yaTArTaSAstre SAstram pravakzyAmi-aBiDarma-koSam //
   VAkK_1.1 //	VAkK_1.1 //
   prajñāmalā sānucarābhidharmaḥ tatprāptaye yāpi ca yacca śāstram /	prajQA-amalA sa-anucara-aBiDarmaH tad-prAptaye yA-api ca yat-ca SAstram /
   tasyārthato 'smin samanupraveśāt sa cā śrayo 'syetyabhidharmakośam //	tasya-arTataH asmin samanupraveSAt sa cA SrayaH asya-iti-aBiDarma-koSam //
   VAkK_1.2 //	VAkK_1.2 //
   dharmāṇāṃ pravicayamantareṇa nāsti kleśānāṃ yata upaśāntaye 'bhyupāyaḥ /	DarmANAm pravicayam-antareNa na-asti kleSAnAm yatas upaSAntaye aByupAyaH /
   kleśaiśca bhramati bhavārṇave 'tra lokastaddhetorata uditaḥ kilaiṣa śāstrā	kleSEH-ca Bramati Bava-arNave atra lokaH-tad-hetoH-atas uditaH kila-eza SAstrA
   // VAkK_1.3 //	// VAkK_1.3 //
   sāsravānāsravā dharmāḥ saṃskṛtā mārgavarjitāḥ /	sa-Asrava-anAsravAH DarmAH saMskRtAH mArga-varjitAH /
   sāsravāḥ āsravāsteṣu yasmātsamanuśerate // VAkK_1.4 //	sa-AsravAH AsravAH-tezu yasmAt-samanuSerate // VAkK_1.4 //
   anāsravā mārgasatyaṃ trividhaṃ cāpyasaṃskṛtam /	anAsravAH mArga-satyam triviDam ca-api-asaMskRtam /
   ākāśaṃ dvau nirodhau ca tatrākāśamanāvṛtiḥ // VAkK_1.5 //	AkASam dvO niroDO ca tatra-AkASam-anAvRtiH // VAkK_1.5 //
   pratisaṃkhyānirodho yo visaṃyogaḥ pṛthak pṛthak /	pratisaMKyA-niroDaH yaH visaMyogaH pRTak pRTak /
   utpādātyantavighno 'nyo nirodho 'pratisaṃkhyayā // VAkK_1.6 //	utpAda-atyanta-viGnaH anyaH niroDaH apratisaMKyayA // VAkK_1.6 //
   te punaḥ saṃskṛtā dharmā rūpādiskandhapañcakam /	te punar saMskRtAH DarmAH rUpa-Adi-skanDa-paQcakam /
   sa evādhvā kathāvastu saniḥsārāḥ savastukāḥ // VAkK_1.7 //	saH eva-aDvA kaTA-vastu sa-niHsArAH sa-vastukAH // VAkK_1.7 //
   ye sāsravā upādānaskandhāste saraṇā api /	ye sa-AsravAH upAdAna-skanDAH-te saraNAH api /
   duḥkhaṃ samudayo loko dṛṣṭisthānaṃ bhavaśca te // VAkK_1.8 //	duHKam samudayaH lokaH dRzwi-sTAnam BavaH-ca te // VAkK_1.8 //
   rūpaṃ pañcendriyāṇyarthāḥ pañcāvijñaptireva ca /	rUpam paQca-indriyANi-arTAH paQca-avijQaptiH-eva ca /
   tadvijñānāśrayā rūpaprasādāścakṣurādayaḥ // VAkK_1.9 //	tad-vijQAna-ASrayAH rUpa-prasAdAH-cakzuH-AdayaH // VAkK_1.9 //
   rūpaṃ dvidhā viṃśatidhā śabdastvaṣṭavidhaḥ rasaḥ /	rUpam dviDA viMSatiDA SabdaH-tu-azwaviDaH rasaH /
   ṣoḍhā caturvidho gandhaḥ spṛśyamekādaśātmakam // VAkK_1.10 //	zoXA caturviDaH ganDaH spRSyam-ekAdaSa-Atmakam // VAkK_1.10 //
   vikṣiptācittakasyāpi yo 'nubandhaḥ śubhāśubhaḥ /	vikzipta-acittakasya-api yaH anubanDaH SuBa-aSuBaH /
   mahābhūtānyupādāya sa hyavijñaptirucyate // VAkK_1.11 //	mahABUtAni-upAdAya sa hi-avijQaptiH-ucyate // VAkK_1.11 //
   bhūtāni pṛthividhāturaptejovāyudhātavaḥ /	BUtAni pRTivi-DAtuH-ap-tejaH-vAyu-DAtavaH /
   dhṛtyādikarmasaṃsiddhā kharasnehoṣṇateraṇāḥ // VAkK_1.12 //	DRti-Adi-karma-saMsidDA Kara-sneha-uzNa-tA-IraNAH // VAkK_1.12 //
   pṛthivī varṇasaṃsthānamucyate lokasaṃjñayā /	pRTivI varNa-saMsTAnam-ucyate loka-saMjQayA /
   āpastejaśca vāyustu dhātureva tathāpi ca // VAkK_1.13 //	ApaH-tejaH-ca vAyuH-tu DAtuH-eva taTA-api ca // VAkK_1.13 //
   indriyārthāsta eveṣṭā daśāyatanadhātavaḥ /	indriya-arTAH-te eva-izwAH daSa-Ayatana-DAtavaH /
   vedanānubhavaḥ saṃjñā nimittodgrahaṇātmikā // VAkK_1.14 //	vedanA-anuBavaH saMjQA nimitta-udgrahaNa-AtmikA // VAkK_1.14 //
   caturbhyo 'nye tu saṃskāraskandhaḥ ete punastrayaḥ /	caturByaH anye tu saMskAra-skanDaH ete punar-trayaH /
   dharmāyatanadhātvākhyāḥ sahāvijñaptyasaṃskṛtai // VAkK_1.15 //	Darma-Ayatana-DAtu-AKyAH saha-avijQapti-asaMskRtEH // VAkK_1.15 //
   vijñānaṃ prativijñaptiḥ mana āyatanaṃ ca tat /	vijQAnam prativijQaptiH manaH Ayatanam ca tat /
   dhātavaḥ sapta ca matāḥ ṣaḍ vijñānānyatho mahaḥ // VAkK_1.16 //	DAtavaH sapta ca matAH zaw vijQAnAni-aTo mahaH // VAkK_1.16 //
   ṣaṇṇāmanantarātītaṃ vijñānaṃ yaddhi tanmanaḥ /	zaNNAm-anantara-atItam vijQAnam yat-hi tat-manaH /
   ṣaṣṭhāśrayaprasiddhayarthaṃ dhatavo 'ṣṭādaśa smṛtāḥ // VAkK_1.17 //	zazWa-ASraya-prasidDayarTam DatavaH azwAdaSa smRtAH // VAkK_1.17 //
   sarvasaṃgraha ekena skandhenāyatanena ca /	sarva-saMgrahaH ekena skanDena-Ayatanena ca /
   dhātunā ca svabhāvena parabhāvaviyogataḥ // VAkK_1.18 //	DAtunA ca svaBAvena para-BAva-viyogataH // VAkK_1.18 //
   jātigocaravijñānasāmānyādekadhātutā /	jAti-gocara-vijQAna-sAmAnyAt-eka-DAtu-tA /
   dvitve 'pi cakṣurādīnāṃ śobhārtha tu dvayodbhavaḥ // VAkK_1.19 //	dvi-tve api cakzuH-AdInAm SoBA-arTa tu dvaya-udBavaH // VAkK_1.19 //
   rāśyāyadvāragotrārthāḥ skandhāyatanadhātavaḥ /	rASi-Aya-dvAra-gotra-arTAH skanDa-Ayatana-DAtavaH /
   mohendriyarūcitraidhāttistraḥ skandhādideśanāḥ // VAkK_1.20 //	moha-indriya-rUci-trEDAt-tistraH skanDa-Adi-deSanAH // VAkK_1.20 //
   vivādamūlasaṃsārahetutvāt kramakāraṇāt /	vivAda-mUla-saMsAra-hetu-tvAt krama-kAraNAt /
   caittebhyo vedanāsaṃjñe pṛthakskandhau niveśitau // VAkK_1.21 //	cEtteByaH vedanA-saMjQe pRTak-skanDO niveSitO // VAkK_1.21 //
   skandheṣva saṃskṛtaṃ noktamarthāyogāt kramaḥ punaḥ /	skanDezva saMskRtam na-uktam-arTa-ayogAt kramaH punar /
   yathaudārikasaṃklesabhājanādyarthadhātutaḥ // VAkK_1.22 //	yaTA-OdArika-saMklesa-BAjana-Adi-arTa-DAtutaH // VAkK_1.22 //
   prāk pañca vārttamānārthyāt bhautikārthyāccatuṣṭayam /	prAk paQca vArttamAna-arTyAt BOtika-arTyAt-catuzwayam /
   dūrāśutaravṛttyānyat yathāsthānaṃ kramo 'thavā // VAkK_1.23 //	dUra-aSutara-vRttyA-anyat yaTAsTAnam kramaH aTavA // VAkK_1.23 //
   viśeṣaṇārthaṃ prādhānyabdahudharmāgrasaṃgrahāt /	viSezaNa-arTam prADAni-abda-hu-Darma-agra-saMgrahAt /
   ekamāyatanaṃ rūpamekaṃ dharmākhyamucyate // VAkK_1.24 //	ekam-Ayatanam rUpam-ekam Darma-AKyam-ucyate // VAkK_1.24 //
   dharmaskandhasahasrāṇi yānyaśītiṃ jagau muniḥ /	Darma-skanDa-sahasrANi yAni-aSItim jagO muniH /
   tāni vāṅnāma vetyeṣāṃ rūpasaṃskārasaṃgrahaḥ // VAkK_1.25 //	tAni vAc-nAma vA-iti-ezAm rUpa-saMskAra-saMgrahaH // VAkK_1.25 //
   śāstrapramāṇā ityeke skandhādīnāṃ kathaikaśaḥ /	SAstra-pramANAH iti-eke skanDa-AdInAm kaTA-ekaSas /
