   akartṛbhāvādbhoktuśca MrgT_1,2.15c	akartR-BAvAt-BoktuH-ca MrgT_1,2.15c
   akāmātkāmataḥ kuryāt MrgT_3.106c	akAmAt-kAmataH kuryAt MrgT_3.106c
   akiñciccintakasyāsya MrgT_4.62a	akiQcit-cintakasya-asya MrgT_4.62a
   akṛtvā śivabhaktānāṃ MrgT_3.24a	akRtvA Siva-BaktAnAm MrgT_3.24a
   aṅgī yogo 'ṣṭamaḥ svayam MrgT_4.3d	aFgI yogaH azwamaH svayam MrgT_4.3d
   aṅgulaṃ tattrisaṃguṇaiḥ MrgT_1,13.7b	aFgulam tat-tri-saMguNEH MrgT_1,13.7b
   acidapyupajāyate MrgT_1,9.8b	acit-api-upajAyate MrgT_1,9.8b
   ajāto 'dhipatiḥ proktas MrgT_3.112c	ajAtaH aDipatiH proktaH MrgT_3.112c
   aṇavaḥ patayo 'thavā MrgT_1,5.2d	aNavaH patayaH aTavA MrgT_1,5.2d
   atītānubhavasmṛteḥ MrgT_1,2.25b	atIta-anuBava-smRteH MrgT_1,2.25b
   ato yadyatsamīhitam MrgT_4.33b	atas yat-yat-samIhitam MrgT_4.33b
   atyutpāvanamuttamam MrgT_4.64b	ati-utpAvanam-uttamam MrgT_4.64b
   atra vaḥ kiṃ niyāmakam MrgT_1,9.16b	atra vaH kim niyAmakam MrgT_1,9.16b
   atha cetsadasadbhāvaḥ MrgT_1,2.19c	aTa ced-sat-asat-BAvaH MrgT_1,2.19c
   atha tānbhāvitānmatvā MrgT_1,1.3a	aTa tAn-BAvitAn-matvA MrgT_1,1.3a
   atha teṣāṃ bharadvājo MrgT_1,1.21a	aTa tezAm BaradvAjaH MrgT_1,1.21a
   atha dehādisāpekṣaṃ MrgT_1,10.17a	aTa deha-Adi-sApekzam MrgT_1,10.17a
   atha pramāṇaṃ tatrātmā MrgT_1,2.13a	aTa pramANam tatra-AtmA MrgT_1,2.13a
   atha viśvanimittasya MrgT_1,6.1a	aTa viSva-nimittasya MrgT_1,6.1a
   atha vyaktāntarādbuddher MrgT_1,11.20a	aTa vyakta-antarAt-budDeH MrgT_1,11.20a
   athaśabdādyalaṃkṛtam MrgT_3.50b	aTaSabda-Adi-alaMkRtam MrgT_3.50b
   atha śeṣārthasiddhyarthaṃ MrgT_1,12.1a	aTa Seza-arTa-sidDi-arTam MrgT_1,12.1a
   atha sarvajñavākyena MrgT_1,9.1a	aTa sarvajQa-vAkyena MrgT_1,9.1a
   atha siddhyādivargāṇāṃ MrgT_1,11.1a	aTa sidDi-Adi-vargANAm MrgT_1,11.1a
   athāto deśikādīnāṃ MrgT_3.1a	aTa-atas deSikA-AdInAm MrgT_3.1a
   athātmavatāṃ matvā [vā] MrgT_4.1a	aTa-AtmavatAm matvA [vA] MrgT_4.1a
   athānādimalāpetaḥ MrgT_1,2.1a	aTa-anAdi-mala-apetaH MrgT_1,2.1a
   athānyaviṣayaṃ vākyam MrgT_1,1.13a	aTa-anya-vizayam vAkyam MrgT_1,1.13a
