   (Hbṭ 1)	(Hbj 1)
   śrīmadarcaṭaviracitā	SrImat arcawa viracitA
   || hetubinduṭīkā ||	|| hetu binduwIkAH ||
   || namaḥ sarvajñāya ||	|| namaH sarvajQAya ||
   [jinamanaskāreṇa maṅgalam |]	[jina manaskAreNa maFgalam |]
   yaḥ sañjātamahākṛpo vyasaninaṃ trātuṃ samagraṃ janam,	yaH san jAta mahA kRpaH vyasaninam trAtum samagram janam,
   puṇyajñānamayaṃ pracitya vipulaṃ hetuṃ vidhūtaśramaḥ |	puNya jQAna mayam pracitya vipulam hetum viDUta SramaH |
   kṛtsnajñeyavisarpi[nirmalataraprajñoda]yādriṃ śrito	kRtsna jQeya visarpi[ nirmalatara prajQA uda]ya adrim SritaH 
   loke hārddatamopaho jinaravirmūrdhnā namasyāmi tam || 1 ||	loke hArddatama upahaH jina ravirmUrDnA namasyAmi tam || 1 ||
   [dharmakīrtivacasāṃ sarasatamatvakhyāpanam |]	[Darma kIrti vacasAm sarasatama tva KyApanam |]
   varaṃ hi dhārmakīrteṣu carviteṣvapi carvaṇam |	varam hi DArma kIrtezu carvitezu api carvaNam |
   niṣpīḍitāpi mṛdvī[kā nanu svādaṃ jahā]ti kim? || 2 ||	nizpIxitA api mRdvI[kAH nanu svAdam jahA]ti kim? || 2 ||
   [svalāghavaṃ prakhyāpya granthavivaraṇapratijñā |]	[sva lAGavam praKyApya granTa vivaraNa pratijQA |]
   nyāyamārgatulārūḍhaṃ jagadekatra yanmatiḥ |	nyAya mArga tulA ArUXam jagat ekatra yat matiH |
   jayet tasya kva gambhīrā giro 'haṃ jaḍadhīḥ kva ca? || 3 ||	jayet tasya kva gamBIrAH giraH aham jaxa DIH kva ca? || 3 ||
   tathāpi mandamatayaḥ santi matto ['pi kecana |	taTA api manda matayaH santi mattaH [ api kecana |
   teṣāṃ kṛte] mayāpyeṣa hetubindurvibhajyate || 4 ||	tezAm kRte] mayA api eza hetu binduH viBajyate || 4 ||
   [ādivākyasya prayojanaprakaṭanam |]	[a Adi vAkyasya prayojana prakawanam |]
   "parokṣe"  tyādinā prakaraṇārambhe prayojanamāha |	"parokze" tyAdinA prakaraNa AramBe prayojanam Aha |
   tacca śrotṛjanapravṛttyartham iti kecit |	tat ca SrotR jana pravRtti arTam iti kecid |
   taduktam[m 	tat uktam [m 
   "sarvasyaiva hi śā]strasya karmaṇo vāpi kasyacit |	"sarvasya eva hi SA]strasya karmaNaH vA api kasyacid |
   yāvat prayojanaṃ noktaṃ tāvat tat kena gṛhyatām ||"	yAvat prayojanam na uktam tAvat tat kena gRhyatAm ||"
   iti | tadayuktam | yato 'sya prakaraṇasyedaṃ prayojanamiti [pradarśane	iti | tat ayuktam | yatas asya prakaraNasya idam prayojanam iti [pradarSane
   prayo]janaviśeṣaṃ prati upāyatāṃ prakaraṇasya niścityānupāye	prayo]jana viSezam prati upAyatAm prakaraNasya niScitya anupAye
   pravṛttyasambhavāt (Hbṭ 2) prekṣāvatāṃ tadarthitayā pra[karaṇaśravaṇādau	pravRtti asamBavAt (Hbj 2) prekzAvatAm tad arTi tayA pra[karaNa SravaNa AdO
   pravṛttiḥ] syāditi tadabhidhānasyārthavattā varṇyate | na caitad yuktam |	pravRttiH] syAt iti tad aBiDAnasya arTavat tA varNyate | na ca etat yuktam |
   yataḥ prekṣāvatāṃ pravṛttiḥ prayojanārthināṃ tadupāye tadbhāvaniścayāt |	yatas prekzAvatAm pravRttiH prayojana arTinAm tad upAye tad BAva niScayAt |
   yathā kṛṣīva[lādīnāṃ sasyā]dyupāye	yaTA kRzIva[la AdInAm sasyA]di upAye
   bījādāvabījādivivekenāvadhṛtabījādibhāvānām | anyathā	bIja AdAvabIja Adi vivekena avaDRta bIja Adi BAvAnAm | anyaTA
   hyaniścitopāyānāmupeyārthināṃ pravṛttau prekṣāvattaiva hīyeta | upeye tu	hi aniScita upAyAnAm upeya arTinAm pravRttO prekzAvat tA eva hIyeta | upeye tu
   [pramā]ṇavyāpārāsambhavādaniścaye 'pi vivecitopāyāḥ	[pramA]Na vyApAra asamBavAt a niScaye api vivecitA upAyAH
   pratibandhavaikalyayorasambhave ‘yogyametadvivakṣitaṃ kāryaṃ	pratibanDa vEkalyayoH asamBave ‘yogyam etat vivakzitam kAryam
   niṣpādayitum'; iti saṃ[bhāvanayā pravṛttau] prekṣāvattāto na hīyeran |	nizpAdayitum a; iti saM[BA= anayA pravRttO] prekzAvat tAtaH na hIyeran |
   niścayaśca pramāṇādeva | na ca prayojanavākyasya prāmāṇyamasti, śābdānāṃ	niScayaH ca pramANAt eva | na ca prayojana vAkyasya prAmANyam asti, SAbdAnAm
   bahirarthe pratibandhābhāvāt | vivakṣāyāṃ [tasya prāmāṇye 'pi yathā]	bahis arTe pratibanDa aBAvAt | vivakzAyAm [tasya prAmANye api yaTA]
   vastupravṛttiniyamābhāvāt na tataḥ prakaraṇasya prayojanavise(śe)ṣaṃ prati	vastu pravRtti niyama aBAvAt na tatas prakaraNasya prayojana vise(Se)zam prati
   upāyatāniścayaḥ samasti | na hi ye yathā yamarthaṃ vivakṣanti te tathaiva	upAya tA niScayaH samasti | na hi ye yaTA yam arTam vivakzanti te taTA eva
   tamanu[tiṣṭhanti	tam anu[tizWanti
   vi]saṃvādanābhiprāyāṇāmanyathābhidhāyānyathāpravṛttidarśanālloke	vi]saMvAda nABi prAyANAm anyaTA aBiDAyAnyaTA pravRtti darSanAt loke
   sarvatrānāśvāsāt |	sarva tra anASvAsAt |
   prayojanaviśeṣopanyāsāt prakaraṇasya tadupāyatā[viṣaye saṃśayaḥ ja]nyate	prayojana viSeza upanyAsAt prakaraNasya tad upAya tA[ vizaye saMSayaH ja]nyate
   tatastadbhāvanirdhāraṇāya kṛṣīvalāderiva bījādyavadhṛtaye pravṛttiryukteti	tatas tad BAva nirDAraNAya kRzIvala AdeH iva bIja Adi avaDRtaye pravRttiH yuktA iti
   cet; na, prayojanaviśeṣopāyatāsaṃśayasya tadabhidhā[nāt prāgapi] bhāvāt |	cet; na, prayojana viSeza upAya tA saMSayasya tad aBiDA[nAt prAk api] BAvAt |
   tatsādhakabādhakapramāṇābhāve tasya nyāyaprāptatvāt |	tad sADaka bADaka pramANa aBAve tasya nyAya prApta tvAt |
   anumānādivyutpattyarthānāṃ ca prakaraṇānāṃ darśanāt	anumAna Adi vyutpatti arTAnAm ca prakaraNAnAm darSanAt 
   kimasyānumā[navyutpādanaṃ pra]yojanamanyaddhā, na vā	kim asya anumA[na vyutpAdanam pra]yojanam anyat DA, na vA
   kiñcidapītyevaṃrūpaśca saṃśayaḥ prāk pravartamānaḥ kena nivāryeta | api ca	kiQcid api iti evaMrUpaH ca saMSayaH prAk pravartamAnaH kena nivAryeta | api ca
   kimidaṃ niṣprayojanam, uta prayojana[vat, athāsmadabhima]tena vā	kim idam nizprayojanam, uta prayojana[vat, aTa asmad aBima]tena vA
   prayojanena tadvaditi jijñāsoḥ pravṛttisambhave vyartha eva	prayojanena tadvat iti jijQAsoH pravRtti samBave vyarTaH eva
   prayojanavākyopanyāsaḥ |	prayojana vAkya upanyAsaH |
   tasmād ‘yat prayojanarahitaṃ vākyam, tadartho vā, na tat	tasmAt ‘yat prayojana rahitam vAkyam, tad arTaH vA, na tat 
   prekṣāvatārabhyate kartuṃ pratipādayituṃ vā | tadyathā (Hbṭ 3)	prekzAvatAraByate kartum pratipAdayitum vA | tat yaTA (Hbj 3)
   daśadāḍimādivākyaṃ kākadanta[parīkṣā ca | niṣprayojanaṃ cedaṃ] prakaraṇaṃ	daSa dAxima Adi vAkyam kAkadanta[ parIkzA ca | nizprayojanam ca idaM] prakaraNam
   tadartho vā'; iti vyāpakānupalabdhyā pratyavatiṣṭhamānasya	tad arTaH vA a; iti vyApaka anupalabDyA pratyavatizWamAnasya
   tadasiddhatodbhāvanārthamādau prayojanavākyopanyāsaḥ |	tad asidDa tA udBAvanA arTam AdO prayojana vAkya upanyAsaH |
   [prakaraṇatadabhidheyayoḥ prayojanacintā |]	[prakaraNa tad aBiDeyayoH prayojana cintA |]
   tatra "tadyutpādanārtham" iti vākyena svayamasya prakaraṇasya	tatra "tadI utpAdana arTam" iti vAkyena svayam asya prakaraNasya
   prayojanamāha | yathāsvamabhidheyapratītirhi vākyasya prayojanam |	prayojanam Aha | yaTAsvam aBiDeya pratItiH hi vAkyasya prayojanam |
   taccehāsti padānāmavāntaravākyānāṃ ca parasparasaṃsargāt	tat ca iha asti padAnAm avAntara vAkyAnAm ca paraspara saMsargAt 
   samāsārthapratīteḥ | tathā hi  anumānamatra prakaraṇe vyutpādyata iti tad	samAsa arTa pratIteH | taTA hi anumAnam atra prakaraNe vyutpAdyate iti tat 
   abhidheyam | tasyaiva tacchabdena sambandhāt | yadyapi	aBiDeyam | tasya eva tad Sabdena sambanDAt | yadi api
   parokṣārthapratipattau gu[ṇabhūtamanu]mānaṃ tathāpi	parokza arTa pratipattO gu[Na BUtam anu]mAnam taTA api
   vakturabhiprāyānuvidhāyitayā śabdavṛtteḥ tacchabdena parāmṛśyate | anyathā	vaktuH aBiprAya anuviDAyitayA Sabda vRtteH tad Sabdena parAmRSyate | anyaTA
   pradhānasaṃsparso(rśo)pi kathaṃ syāt? | śabdānāṃ sva[bhāvataḥ]	praDAna saMsparsaH (rSaH )pi kaTam syAt? | SabdAnAm sva[BAvataH]
   sambaddhā(ndhā)yogāt | "pakṣadharma" ityādinā cānumānasyaiva vyutpādanāt |	sambadDa a(nDA) yogAt | "pakza Darma" ityAdinA ca anumAnasya eva vyutpAdanAt |
   tasya vyutpatti [raviparītasvarū]papratītirasya prakaraṇasya prayojanam,	tasya vyutpatti [raviparIta svarU]papratItiH asya prakaraNasya prayojanam,
   tatsādhyatvāt | ata eva cānumānavyutpattiviṣayaṃ prakaraṇa[vyāpāraṃ	tad sADya tvAt | atas eva ca anumAna vyutpatti vizayam prakaraNa[vyApAram
   pratipāda]yituṃ ṇicā nirdiśati  "tadvayutpādanārtham" iti | tataśca	pratipAda]yitum NicA nirdiSati "ta dvayutpAdana arTam" iti | tatas ca
   prakaraṇaprayojanayoḥ sādhyasādhanalakṣaṇaḥ sambandho 'pyukto bhavati |	prakaraNa prayojanayoH sADya sADana lakzaNaH sambanDaH api uktaH Bavati |
   yadyapi śabdavṛttenā[numānavyutpattivi]ṣayasya prakaraṇavyāpārasya	yadi api Sabda vRttena a[numAna vyutpatti vi]zayasya prakaraNa vyApArasya
   prādhānyaṃ tathāpi vastuvṛttena vyutpattereva pradhānatā	prADAnyam taTA api vastu vRttena vyutpatteH eva praDAna tA
   tasyāstatsādhyatvāt | itarasya ca tadupāyatvenāpradhānatvāt |	tasyAH tad sADya tvAt | itarasya ca tad upAya tvena apraDAna tvAt |
   tasmādanumānavyutpatti reva prayojanatayā pratīyate na prakaraṇavyāpāra	tasmAt anumAna vyutpatti reva prayojana tayA pratIyate na prakaraNa vyApAra
   iti |	iti |
   "parokṣārthaprati[patteḥ amumānāśraya]tvāt" ityanena tu	"parokza arTa prati[patteH amumAnASraya]tvAt" iti anena tu
   prakaraṇārthasyānumānalakṣaṇasya prayojanamāha | na hi vākyasya	prakaraNa arTasya anumAna lakzaNasya prayojanam Aha | na hi vAkyasya
   svārthapratītilakṣaṇaṃ phalamastītyetā[vataiva prekṣāvān prava]rtate 'pi	sva arTa pratIti lakzaNam Palam asti iti etA[ vatA eva prekzAvAn prava]rtate api
   tu tadabhidheyārthasya puruṣārthopayogitve sati | taccehāsti yataḥ	tu tad aBiDeya arTasya puruza arTa upayogi tve sati | tat ca iha asti yatas 
   parokṣārthasya yā pratipattiḥ  niścayaḥ  tasyā anumā[naṃ  trirūpaliṅgam]	parokza arTasya yA pratipattiH niScayaH tasyAH anumA[naM trirUpa liFgam]
   kāraṇe kāryopacārāt | ananyopāyasādhyatāṃ darśayituṃ paramatanirāsārtham	kAraNe kArya upacArAt | ananya upAya sADya tAm darSayitum para mata nirAsa arTam
   (Hbṭ 4) āśrayaḥ  kāraṇam, anumānamāśrayo yasyeti sāmānyena vigṛhya |	(Hbj 4) ASrayaH kAraNam, anumAnam ASrayaH yasya iti sAmAnyena vigRhya |
   [tadanu ca] kasyānumānāśrayatvāditi viśeṣāpekṣāyām yadyapi	[tadanu ca] kasya anumAna ASraya tvAt iti viSeza apekzAyAm  ya di api
   parokṣārthapratipattiśabdasambandhe strītvaṃ gamyate tathāpi tat	parokza arTa pratipatti Sabda sambanDe strI tvam gamyate taTA api tat 
   padasaṃskāravelāyāṃ buddhyasaṃnihitatvāt bahiraṅgamiti na	pada saMskAra velAyAm budDi asaMnihita tvAt bahis aFgam iti na
   strīpratyayanimittaṃ yathā bhūtamiyaṃ brāhmaṇī, āvapanamiyamuṣṭriketi |	strI pratyaya nimittam yaTA BUtam iyam brAhmaNI, Avapanam iyam uzwrikA iti |
   [sarvaparokṣapratīterliṅgajatvādevānumānatvasūcanam |]	[sarva parokza pratIteH liFga ja tvA t eva anumAna tva sUcanam |]
   anena ca sarvā parokṣā[rtha]pratipattiḥ pramāṇabhūtā, anyasmāt	anena ca sarvA parokza a[rTa] pratipattiH pramANa BUtA, anyasmAt 
   tatpratipattyayogāt, trirūpaliṅgāśrayaivetyuktaṃ bhavati	tad pratipatti ayogAt, triru upa liFga ASraya eva iti uktam Bavati
   anumānāśrayatvādeveti avadhāraṇāt | [tataśca śabdādī]nāṃ sati prāmāṇye	anumAna ASraya tvAt eva iti avaDAraNAt | [tataH ca Sabda AdI]nAm sati prAmANye
   'numānatā, anyathā teṣāmapi vyutpādyatāprasaṅgo nimittasya samānatvāt |	anumAna tA, anyaTA tezAm api vyutpAdyatA prasaFgaH nimittasya samAna tvAt |
   tathā hi  sarvā parokṣārthapratipattiḥ pra[māṇabhūtā], na svatantrā	taTA hi sarvA parokza arTa pratipattiH pra[mANa BUtA], na svatantrA
   bhavati | tasyāḥ svārthapratibandhābhāvena niyamena tatsaṃvādāyogāt |	Bavati | tasyAH sva arTa pratibanDa aBAvena niyamena tad saMvAda ayogAt |
   avisaṃvādalakṣaṇatvācca pramāṇasya | anyato 'pi [yadi syā]t sarvataḥ	avisaMvAda lakzaNa tvAt ca pramANasya | anyatas api [yadi syA]t sarvatas 
   sarvapratipattiprasaṅgāt dharmyasambandhe 'pi sarvatra pratītiṃ janayet,	sarva pratipatti prasaFgAt Darmya sambanDe api sarvatra pratItim janayet ,
   pratyāsattiviprakarṣābhāvāt | evambhūtaśca trirūpa[liṅgamevārtho	pratyAsatti vipra karza aBAvAt | evamBUtaH ca triru upa[ liFgam eva arTaH 
   bhava]tīti sarvā parokṣārthapratipattistrirūpaliṅgajatvenānumānāt na	Bava]ti iti sarvA parokza arTa pratipattiH trirUpa liFga ja tvena anumAnAt na
   bhidyata iti | eṣa cārthaḥ "pakṣadharmastadaṃśena vyāpto hetuḥ", kasya?,	Bidyate iti | eza ca arTaH "pakza DarmaH tad aMSena vyAptaH hetuH", kasya?,
   parokṣā[rthapratipatte]riti prakṛtena saṃbandhād darśitaḥ, pakṣadharma eva	parokza a[rTa pratipatte]H iti prakRtena saMbanDAt darSitaH, pakza DarmaH eva
   tadaṃśena vyāpta eva ca parokṣārthapratipatterheturityavadhāraṇāt |	tad aMSena vyAptaH eva ca parokza arTa pratipatteH hetuH iti avaDAraNAt |
   [svalakṣaṇasyaiva vastutvaṃ na sāmānyasyeti sthāpanam]	[sva lakzaNasya eva vastu tvam na sAmAnyasya iti sTApanam]
