   The Adhikaraṇavastu	The ADikaraNa-vastu
   (Adhik-v 59) ḥadhikaraṇaśamathavastuniḥ (A 332a) uddānam	(a-aDik-u 59) HaDikaraNa-SamaTa-vastuniH (A 332a) uddAnam
        kalaho vivādo 'dhikaraṇam kiṃmūlaṃ kuśalena ca /	kalahaH vivAdaH aDikaraNam kiMmUlam kuSalena ca /
        syād vivādo anadhhikaraṇam vivādaṃ katibhiḥ śameta //	syAt vivAdaH anaDhikaraNam vivAdam katiBiH Sameta //
        vivādaṃ saṃmukhaṃ śamayec chalākāgrahaṇena ca /	vivAdam saMmuKam Samayet SalAkA-grahaNena ca /
        anavavādaṃ saṃmukhaṃ smṛtyā amūḍhavinayena ca //	anavavAdam saMmuKam smRtyA amUXa-vinayena ca //
        tathaiva tatsvabhāvaiṣīyaṃ tṛṇaprastārakeṇa ca /	taTA-eva tad-svaBAvEzIyam tRNa-prastArakeNa ca /
        samagreṇa va saṃghena kṛtyādhikaraṇaṃ tathā //	samagreNa va saMGena kRtya-aDikaraNam taTA //
        vyupaśamitavyam iti proktaṃ maharṣiṇā //	vyupaSamitavyam iti proktam mahA-RziNA //
   The Buddha at Kapilavastu	The BudDa at Kapilavastu
   King Śuddhodana listens to Buddha's sermons	King ŚudDodana liH-tens taH BudDa-as serma-uns
        buddho bhagavān kapilavastuni viharati nyāgrodhārāme; yadā bhagavatā	budDaH BagavAn kapila-vastuni viharati nyAgroDa-ArAme; yadA BagavatA
   śākyās satyeṣu pratiṣṭhāpitās tasā te trir bhagavantaṃ ḥdarśanāyaḥ	SAkyAH satyezu pratizWApitAH tasA te tris Bagavantam HdarSanAyaH
   upasaṃkramanti; teṣāṃ bhagavān abhīkṣṇaṃ dharmaṃ deśayati; ācaritam rājñaḥ	upasaMkramanti; tezAm BagavAn aBIkzNam Darmam deSayati; Acaritam rAjQaH
   śuddhodanasya śākyagaṇaparivṛtasya trir bhagavantaṃ ḥdarśanāyaḥ	SudDodanasya SAkya-gaNa-parivRtasya tris Bagavantam HdarSanAyaH
   upasaṃkramitum; yāvad apareṇa samayena bhagavān anekaśatāyāḥ parṣadaḥ	upasaMkramitum; yAvat apareNa samayena BagavAn aneka-SatAyAH parzadaH
   purastān niṣaṇṇo dharmaṃ deśayati kṣaudraṃ madhv ivāneḍakam; anekaśatā ca	purastAt nizaNNaH Darmam deSayati kzOdram maDu iva-anexakam; aneka-SatA ca
   parṣad bhagavataḥ sakāśān (Adhik-v 60) madhuramadhuraṃ dharmaṃ śṛṇoti	parzad BagavataH sakASAn (a-aDik-u 60) maDura-maDuram Darmam SRNoti
   āniñjyamānair indriyaiḥ; rājā śuddhodano mahatyā rājaṛddhyā mahatā	AniQjyamAnEH indriyEH; rAjA SudDodanaH mahatyA rAja-RdDyA mahatA
   rājānubhāvena śākyagaṇaparivṛto bhagavatsakāśam upasaṃkrānto	rAja-anuBAvena SAkya-gaNa-parivRtaH Bagavat-sakASam upasaMkrAntaH-
   dharmaśravaṇāya; sa dharmaṃ śrutvā prakrāntaḥ	Darma-SravaNa-aya; sa Darmam SrutvA prakrAntaH
   Buddha's doctrine is addressed also to women.	BudDa-as da-uctrine iH addra-IH-set alsaH taH women.
   Queen Mahāprajāvatī asks king Śuddhodana to permit Śākya women to listen	Queet Maha-aprajAvatI asks king ŚudDodana taH permit ŚAkya womet taH liH-tet-
   to the doctrine	taH Te doctrine
        tato mahānāmā śākyo dharmaṃ śrutvā bhagavato 'ntike prasādajātaḥ	tatas mahAnAmA SAkyaH Darmam SrutvA BagavataH antike prasAda-jAtaH
   svagṛhaṃ gataḥ kathayati: aho buddha aho dharma aho saṃgha saphalo 'smākaṃ	sva-gRham gataH kaTayati: aho budDa aho Darma aho saMGa saPalaH asmAkam
   buddhotpādaḥ iti; mahānāmno 'gramahiṣī kathayati: āryaputra, kim etat? sa	budDa-utpAdaH iti; mahAnAmnaH agra-mahizI kaTayati: Arya-putra, kim etat? sa
   kathayati: adya bhagavatā anekaśatāyāḥ parṣadaḥ purastād īdṛśī dharmo	kaTayati: adya BagavatA aneka-SatAyAH parzadaH purastAt IdRSI DarmaH-
   deśito yaṃ śrutvānekaiḥ prāṇiśatasahasraiḥ mahān viśeṣo 'dhigataḥ iti; sā	deSitaH yam SrutvA-anekEH prANi-Sata-sahasrEH mahAn viSezaH aDigataH iti; sA
   kathatati: āryaputra, yat kathayasi saphalo 'smākaṃ buddhotpāda iti satyam	kaTatati: Arya-putra, yat kaTayasi saPalaH asmAkam budDa-utpAdaH iti satyam
   etat; saphala eva yuṣmākaṃ buddhotpādo nāsmākam; kiṃ kāraṇam? yasmāt	etat; saPalaH eva yuzmAkam budDa-utpAdaH na-asmAkam; kim kAraNam? yasmAt-
   puruṣāṇām arthāya bhagavān buddho loka utpanno na strīṇām; sa kathayati:	puruzANAm arTAya BagavAn budDaH loke utpannaH na strINAm; sa kaTayati:
   bhadre, maivaṃ kathaya; sarvasatvahitānukampī bhagavān; gacchata yūyam	Badre, mA-evam kaTaya; sarva-satva-hita-anukampI BagavAn; gacCata yUyam
   api, bhagavato 'ntikād dharmaṃ śṛṇuta; sā kathayati: devaḥ	api, BagavataH antikAt Darmam SRNuta; sA kaTayati: devaH
   śākyagaṇaparivṛtas trir bhagavantaṃ darśanāyopasaṃkrāmati; vayaṃ jihrema	SAkya-gaNa-parivRtaH tris Bagavantam darSanAya-upasaMkrAmati; vayam jihrema
