   Ālambanaparīkṣā (Āp)	Ālambana parIkzA (Āp)
   ācāryadiṅnāgakṛtā	AcArya diS nAga kRtA
   namaḥ sarvabuddhabodhisattvebhyaḥ	namaH sarva budDa boDisattveByaH
   yadyapīndriyavijñaptergrāhyāṃśaḥ(=aṇavaḥ) kāraṇaṃ bhavet|	yadi api indriya vijQapteH grAhya aMSaH(=aNavaH) kAraNam Bavet |
   atadābhatayā tasyā nākṣavadviṣayaḥ sa tu(aṇavaḥ) // Āp_1 //	atad ABatayA tasyAH na akza vat vizayaH sa tu(aNavaH) // Āp_1 //
   yadābhāsā na tasmāt sā dravyābhāvāt dvicandravat /	yad ABAsA na tasmAt sA dravya aBAvAt dvi candra vat /
   evaṃ bāhyadvayañcaiva na yuktaṃ matigocaraḥ // Āp_2 //	evam bAhya dvayaQca eva na yuktam mati gocaraH // Āp_2 //
   sādhanaṃ sañcitākāramicchanti kila kecana /	sADanam saQcita AkAram icCanti kila kecana /
   aṇvākāro na vijñapterarthaḥ kaṭhinatādivat // Āp_3 //	aNu AkAraH na vijQapteH arTaH kaWina tA Adi vat // Āp_3 //
   bhaveddhaṭaśarāvādestathā sati samā matiḥ /	Bavet hawa SarAva AdeH taTA sati samA matiH /
   ākārabhedādbhedaścet, nāsti tu dravyasatyaṇau // Āp_4 //	AkAra BedAt BedaH cet, na asti tu dravya satyaNO // Āp_4 //
   pramāṇabhedābhāvāt saḥ, adravye 'sti tataḥ sa hi /	pramANa Beda aBAvAt saH, adravye asti tatas sa hi /
   aṇūnāṃ parihāre hi tadābhajñānaviplavāt // Āp_5 //	aNUnAm parihAre hi tad ABajQAna viplavAt // Āp_5 //
   yadantarjñeyarūpaṃ tu vahirvadavabhāsate /	yad antar jQeya rUpam tu vahiH vat avaBAsate /
   so 'rtho vijñānarūpatvāttatpratyayatayāpi ca // Āp_6 //	saH arTaH vijQAna rUpa tvAt tat pratyaya tayA api ca // Āp_6 //
   ekāṃśaḥ pratyayo 'vītāt śaktyarpaṇātkrameṇa[vā] /	eka aMSaH pratyayaH avItAt Sakti arpaNAt krameNa[vA] /
   sahakārivaśādyaddhi śaktirūpaṃ [tat] indriyam // Āp_7 //	sahakAri vaSAt yat hi Sakti rUpam [tat] indriyam // Āp_7 //
   sā cāviruddhā vijñapterevaṃ viṣayarūpakam /	sA ca avirudDAH vijQapteH evam vizaya rUpakam /
   pravartate 'nādikālaṃ śaktiścānyonyahetuke // Āp_8 //	pravartate anAdi kAlam SaktiH ca anyonya hetuke // Āp_8 //
   ityācāryadiṅnāgakṛtā ālambanaparīkṣāprakaraṇakārikā samāptā	iti AcArya diS nAga kRtA Alambana parIkzA prakaraNa kArikA samAptA
