   (PSP_4:1)	(PSu _4:1)
   Pañcaviṃśatisāhasrikā Prajñāpāramitā IV	PaQcaviMSati sAhasrikA PrajQApAramitA IV
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: asatpāramiteyaṃ	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: asat pAramitA iyam
   bhagavan yad uta prajñāpāramitā.	Bagavan yat uta prajQApAramitA.
   bhagavān āha: ākāśāsattāṃ subhūte upādāya.	BagavAn Aha: AkASa asat tAm suBUte upAdAya.
   subhūtir āha: samatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: sama tA pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmānupalabdhisamatām upādāya.	BagavAn Aha: sarva Darma anupalabDi sama tAm upAdAya.
   subhūtir āha: vivekapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: viveka pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: atyantaśūnyatām upādāya.	BagavAn Aha: atyanta SUnyatAm upAdAya.
   subhūtir āha: anavamardanīyapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: anavamardanIya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmānupalabdhitām upādāya.	BagavAn Aha: sarva Darma anupalabDi tAm upAdAya.
   subhūtir āha: apadapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: apada pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: anāmāśarīratām upādāya.	BagavAn Aha: anAma aSarIra tAm upAdAya.
   subhūtir āha: ākāśapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: AkASa pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: āśvāsapraśvāsānupalabdhitām upādāya.	BagavAn Aha: ASvAsa praSvAsa anupalabDi tAm upAdAya.
   subhūtir āha: apravyāhārapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: apravyAhAra pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: vitarkavicārānupalabdhām upādāya.	BagavAn Aha: vitarka vicAra anupalabDAm upAdAya.
   subhūtir āha: anāmapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: anAma pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: vedanāsaṃjñāsaṃskāravijñānānupalabdhitām upādāya.	BagavAn Aha: vedanA saMjQA saMskAra vijQAna anupalabDi tAm upAdAya.
   subhūtir āha: agamanapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: agamana pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāṇām agamanatām upādāya.	BagavAn Aha: sarva DarmANAm agamana tAm upAdAya.
   subhūtir āha: asaṃhāryapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: asaMhArya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāgrāhyatām upādāya.	BagavAn Aha: sarva Darma agrAhya tAm upAdAya.
   subhūtir āha: akṣayapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: akzaya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāṇām atyantakṣayakṣīṇatām upādāya.	BagavAn Aha: sarva DarmANAm atyanta kzaya kzINa tAm upAdAya.
   (PSP_4:2)	(PSu _4:2)
   subhūtir āha: anutpattipāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: anutpatti pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāṇām anutpādānirodhatām upādāya.	BagavAn Aha: sarva DarmANAm anutpAda aniroDa tAm upAdAya.
   subhūtir āha: akārakapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: akAraka pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: kārakānupalabdhitām upādāya.	BagavAn Aha: kAraka anupalabDi tAm upAdAya.
   subhūtir āha: ajānakapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: ajAnaka pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: jānakānupalabdhitām upādāya.	BagavAn Aha: jAnaka anupalabDi tAm upAdAya.
   subhūtir āha: asaṃkrāntipāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: asaMkrAnti pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: cyutyupapattyanupalabdhitām upādāya.	BagavAn Aha: cyuti upapatti anupalabDi tAm upAdAya.
   subhūtir āha: avinayapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: avinaya pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: sarvadharmāṇāṃ prakṛtyavinayatām upādāya.	BagavAn Aha: sarva DarmANAm prakRti avinayatAm upAdAya.
   subhūtir āha: svapnapāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: svapna pAramitA iyam Bagavan yat uta prajQApAramitA.
   bhagavān āha: svapnadarśinānupalabdhitām upādāya.	BagavAn Aha: svapna darSinA anupalabDi tAm upAdAya.
   subhūtir āha: pratiśrutkāpāramiteyaṃ bhagavan yad uta prajñāpāramitā.	suBUtiH Aha: pratiSrutkA pAramitA iyam Bagavan yat uta prajQApAramitA.
