   bodhicittotpādasūtraśāstra	boDi-citta-utpAda-sUtra-SAstra
   prathamo vargaḥ	praTamaH vargaH
   adhyeṣaṇotpādaḥ	aDyezaNa-utpAdaH
   namāmyaparyantatathāatān gatān	namAmi-aparyanta-taTAatAn gatAn
   jinānahaṃ sāmpratikānanāgatān |	jinAn-aham sAmpratikAnana-AgatAn |
   nabhaḥsamākṣobhyadhiyo 'parājitān	naBaH-samAkzoBya-DiyaH aparAjitAn
   janān paritrātumatho mahākṛpān ||1||	janAn paritrAtum-aTo mahA-kRpAn ||1||
   1 | asti mahāvaipulyamanuttaraṃ saddharmamātṛkāpiṭakaṃ bodhisatvai	1 | asti mahA-vEpulyam-anuttaram sat-Darma-mAtRkA-piwakam boDisatvE
   rmahāsattvairabhyastam | tathāhi | (1) adhyepatantyabhisamboddhu	rmahA-sattvEH-aByastam | taTA-hi | (1) aDyepatanti-aBisambA-udDu
   manuttarāṃ bodhim | (2) prerayanti sattvān cittamutpādayituṃ gambhīrodāram	manuttarAm boDim | (2) prerayanti sattvAn cittam-utpAdayitum gamBIra-udAram
   | (3) pratiṣṭhāpayanti praṇidhānaṃ pariniṣpannam | (4) utsṛjantyātmabhāvaṃ	| (3) pratizWApayanti praNiDAnam parinizpannam | (4) utsRjanti-Atma-BAvam
   dhanāni ca nigṛhṇanti lobhaṃ mātsarya ca | (5) ācaranti pacaskandhaśīlam |	DanAni ca nigRhNanti loBam mAtsarya ca | (5) Acaranti paca-skanDa-SIlam |
   vinayanti cāparādhinaḥ | (6) bhāvayanti paramāṃ kṣāntiṃ	vinayanti ca-aparADinaH | (6) BAvayanti paramAm kzAntim
   dveṣāparaṇanigrahāya (7) janayanti voryotsāhaṃ sattvapratiṣṭhāpanāya (8)	dveza-AparaNa-nigrahAya (7) janayanti vA-uryotsAham sattva-pratizWApanAya (8)
   saṃgṛhṇanti dhyānāni sattvacittaparijñānāya | (9) bhāvayanti	saMgRhNanti DyAnAni sattva-citta-parijQAnAya | (9) BAvayanti
   prajñāmavidyānirodhāya | (10) praviśanti tathatādvāramāsaṅgaprahāṇāya |	prajQAm-avidyA-niroDAya | (10) praviSanti taTatA-dvAram-AsaFga-prahANAya |
   (11) pradarśayānti gaṃbhīratamāmalakṣaṇāṃ śūnyatācaryām | (12) anuśaṃsanti	(11) pradarSa-yAnti gaMBIratamAm-alakzaNAm SUnyatA-AcaryAm | (12) anuSaMsanti
   puṇyaṃ buddhabījānucchedāya | ityevamādīnaprameyānupāyān	puNyam budDa-bIja-anucCedAya | iti-evamAdIn-aprameyAn-upAyAn
   bodhidharmasahāyabhūtāni viśuddhimukhāni sarvebhyo 'nuttarakuśalakāmebhyo	boDi-Darma-sahAya-BUtAni viSudDi-muKAni sarveByaH anuttara-kuSala-kAmeByaH-
   vibhajya darśayāmi sambodhayitumanuttarāṃ samyaksambodhim ||	viBajya darSayAmi samboDayitum-anuttarAm samyaksamboDim ||
   2 | buddhaputrā buddhamāṣitamudgṛhṇādbhiḥ sattvānāmarthāya dharma	2 | budDa-putrAH budDa-mAzitam-udgRhNAdBiH sattvAnAm-arTAya Darma
   deśyadbhi rbuddhaputraiḥ prathamaṃ tāvadanuśaṃsayitavyā buddhaguṇā	deSyadBi rbudDa-putrEH praTamam tAvat-anuSaMsayitavyA budDa-guNA
   yāñcchrutvā sattvāścittamutpādayeyurgaveṣayituṃ buddhaprajñām |	yAQt-SrutvA sattvAH-cittam-utpAdayeyuH-ga-vezayitum budDa-prajQAm |
   cittotpādahetorbuddhabījamanucchinnaṃ bhavati | yadi	citta-utpAda-hetoH-budDa-bIjam-anucCinnam Bavati | yadi
