   akāmaḥ svayam arjitam Vi_18.43d	akAmaH svayam arjitam Vi_18.43d
   akāraṃ cāpy ukāraṃ ca Vi_55.10a	akAram ca-api ukAram ca Vi_55.10a
   akṛtvā bhaikṣacaraṇam Vi_28.52a	akRtvA BEkza-caraNam Vi_28.52a
   akledyo 'śoṣya eva ca Vi_20.52b	akledyaH aSozyaH eva ca Vi_20.52b
   akṣayaṃ parikīrtitam Vi_49.10b	akzayam parikIrtitam Vi_49.10b
   akṣaraṃ tv akṣaraṃ jñeyaṃ Vi_55.18c	akzaram tu akzaram jQeyam Vi_55.18c
   agnijihvo darbharomā Vi_1.3c	agnijihvaH darBa-romA Vi_1.3c
   agnituṇḍair bhakṣyamāṇā Vi_43.34c	agni-tuNxEH BakzyamANAH Vi_43.34c
   agninā dahyamānāś ca Vi_43.35a	agninA dahyamAnAH ca Vi_43.35a
   agnivrataṃ vāmadevyaṃ bṛhac ca Vi_56.27b	agni-vratam vAmadevyam bRhat ca Vi_56.27b
   agrato vikiran bhuvi Vi_81.22d	agratas vikiran Buvi Vi_81.22d
   aghaṃ sa kevalaṃ bhuṅkte Vi_67.43a	aGam sa kevalam BuFkte Vi_67.43a
   acaraṃ caram eva ca Vi_97.18b	acaram caram eva ca Vi_97.18b
   acalo 'yaṃ sanātanaḥ Vi_20.52d	acalaH ayam sanAtanaH Vi_20.52d
   acchedyo 'yam adāhyo 'yam Vi_20.52a	acCedyaH ayam adAhyaH ayam Vi_20.52a
   ajāśvaṃ mukhato medhyaṃ Vi_23.40a	aja-aSvam muKatas meDyam Vi_23.40a
   ajihmasyāśaṭhasya ca Vi_81.24b	ajihmasya-aSaWasya ca Vi_81.24b
   ata ūrdhvaṃ trayo 'py ete Vi_27.27a	atas UrDvam trayaH api ete Vi_27.27a
   atas tv abhyeti tān eva Vi_20.32c	atas tu aByeti tAn eva Vi_20.32c
   atikṛcchraṃ nipātane Vi_54.30b	atikRcCram nipAtane Vi_54.30b
   atikramaṃ vratasyāhur Vi_28.48c	atikramam vratasya-AhuH Vi_28.48c
   atithibhyo 'gra evaitān Vi_67.39c	atiTiByaH agre eva-etAn Vi_67.39c
   atithir brāhmaṇaḥ smṛtaḥ Vi_67.34b	atiTiH brAhmaNaH smRtaH Vi_67.34b
