   oṃ atha pañcamo 'dhyāyaḥ	om aTa paQcamaH aDyAyaH
   atha pañcamādhyāyasya prathamaṃ brāhmaṇam	aTa paQcama-aDyAyasya praTamam brAhmaNam
   START BrhUp 5,1.1	START BrhUp 5,1.1
   pūrṇam adaḥ pūrṇam idaṃ pūrṇāt pūrṇam udacyate |	pUrNam adaH pUrNam idam pUrNAt pUrNam udacyate |
   pūrṇasya pūrṇam ādāya pūrṇam evāvaśiṣyate |	pUrNasya pUrNam AdAya pUrNam eva-avaSizyate |
   khaṃ brahma |	Kam brahma |
   khaṃ purāṇam |	Kam purANam |
   vāyuraṃ kham |	vAyuram Kam |
   iti ha smāha kauravyāyaṇīputraḥ |	iti ha sma-Aha kOravyAyaNI-putraH |
   vedo 'yaṃ brāhmaṇā viduḥ |	vedaH ayam brAhmaNAH viduH |
   vedainena yad veditavyam || BrhUp_5,1.1 ||	veda-enena yat veditavyam || BrhUp_5,1.1 ||
   BrhUpBh_5,1.1 pūrṇamadaḥ pūrṇaṃ na kutaścid vyāvṛttaṃ vyāpītyetat /	Brhu-upBh_5,1.1 pUrNamadaH pUrNam na kutaScid vyAvRttam vyApi-iti-etat /
   niṣṭhā ca kartari draṣṭavyā /	nizWA ca kartari drazwavyA /
   ada iti parokṣābhidhāyi sarvanāma, tatparaṃ brahmetyarthaḥ /	adaH iti parokza-aBiDAyi sarva-nAma, tat-param brahma-iti-arTaH /
   tat sampūrṇamākāśavad vyāpi nirantaraṃ nirupādhikaṃ ca tadevedaṃ	tat sampUrNam-AkASa-vat vyApi nirantaram nirupADikam ca tat-eva-idam
   sopādhikaṃ nāmarūpasthaṃvyavahārāpannaṃ pūrṇaṃ svena rūpeṇa paramātmanā	sopADikam nAma-rUpa-sTaMvyavahAra-Apannam pUrNam svena rUpeNa paramAtmanA
   vyāpyeva nopādhiparicchinnena viśeṣātmanā /	vyApya-iva na-upADi-paricCinnena viSeza-AtmanA /
   tadidaṃ viśeṣāpannaṃ kāryātmakaṃ brahma pūrṇāt kāraṇātmana udacyata	tat-idam viSeza-Apannam kArya-Atmakam brahma pUrNAt kAraNa-AtmanaH udacyata
   udricyata udgacchatītyetat /	udricyate udgacCati-iti-etat /
   yadyapi kāryātmanodricyate tathāpi yat svarūpaṃ pūrṇatvaṃ paramātmabhāvaṃ	yadi-api kArya-AtmanA-udricyate taTA-api yat sva-rUpam pUrNa-tvam paramAtma-BAvam
   tanna jāhāti pūrṇamevodricyate /	tat-na jAhAti pUrNam-eva-udricyate /
   pūrṇasya kāryātmano brahmaṇaḥ pūrṇa pūrṇatvamādāya gṛhītvā	pUrNasya kArya-AtmanaH brahmaNaH pUrNa pUrNa-tvam-AdAya gRhItvA
   ātmasvarūpaikarasatvamāpadya, vidyayā avidyākṛtaṃ	Atma-sva-rUpa-eka-rasa-tvam-Apadya, vidyayA avidyA-kRtam
   bhūtamātropādhisaṃsargajamanyatvāvabhāsaṃ tiraskṛtya	BUtamAtra-upADi-saMsarga-jamanyatva-avaBAsam tiraskRtya
   pūrṇamevānantaramavāhyaṃ prajñānaghanaikarasasvabhāvaṃ kevalaṃ	pUrNam-eva-anantaram-avAhyam prajQAna-Gana-eka-rasa-svaBAvam kevalam
   brahmāvaśiṣyate /	brahmA-avaSizyate /
   yaduktaṃ brahma vā idamagra	yat-uktam brahma vE idam-agra
   āsīttadātmānamevāvettasmāttatsarvamabhavadityeṣo 'sya mantrasyārthaḥ /	AsIt-tad-AtmAnam-eva-avet-tasmAt-tat-sarvam-aBavat-iti-ezaH asya mantrasya-arTaH /
   tatra brahmetyasyārthaḥ pūrṇamada iti /	tatra brahma-iti-asya-arTaH pUrNa-madaH iti /
   idaṃ pūrṇamiti brahma vā idamagra āsīdityasyārthaḥ /	idam pUrNam-iti brahma vE idam-agre AsIt-iti-asya-arTaH /
   tathā ca śrutyantaram-"yadeveha tadamutrayadamutra tadanviha"iti /	taTA ca Sruti-antaram--"yat-eva-iha tat-amutrayat-amutra tat-anu-iha"-iti /
   ato 'daḥśabdavācyaṃ pūrṇaṃ brahma tadevedaṃ pūrṇaṃ kāryasthaṃ	atas adaH-Sabda-vAcyam pUrNam brahma tat-eva-idam pUrNam kArya-sTam
   nāmarūpopādhisaṃyuktamavidyayodriktam /	nAma-rUpa-upADi-saMyuktam-avidyayA-udriktam /
   tasmādeva paramārthasvarūpādanyadiva pratyavabhāsamānam /	tasmAt-eva parama-arTa-svarUpAt-anyat-iva pratyavaBAsamAnam /
   tadyadātmānameva paraṃ pūrṇaṃ brahma viditvāhamadaḥ pūrṇaṃ brahmāsmītyevaṃ	tat-yadAtmAnam-eva param pUrNam brahma viditvA-ahamadaH pUrNam brahma-asmi-iti-evam
   pūrṇamādāya tiraskṛtyāpūrṇasvarūpatāmavidyākṛtāṃ	pUrNam-AdAya tiraskRtya-ApUrNa-svarUpa-tAm-avidyA-kRtAm
   nāmarūpopādhisaṃparkajāmetayā brahmavidyayā pūrṇameva kevalamavaśiṣyate /	nAma-rUpa-upADi-saMparka-jAm-etayA brahma-vidyayA pUrNam-eva kevalam-avaSizyate /
   tathā coktam"tasmāttatsarvamabhavat"iti /	taTA ca-uktam-"tasmAt-tat-sarvam-aBavat"iti /
   yaḥ sarvopaniṣadartho brahma sa eṣo 'nena mantreṇānūdyata	yaH sarva-upanizad-arTaH brahma saH ezaH anena mantreNa-anUdyata
   uttarasambandhārtham /	uttara-sambanDa-arTam /
   brahmavidyāsādhanatvena hi vakṣyamāṇāni sādhanānyoṅkāradamadānadayākhyāni	brahma-vidyA-sADana-tvena hi vakzyamANAni sADanAni-a-uFkAra-dama-dAna-dayA-AKyAni
   vidhitsitāni khilaprakaraṇasambandhātsarvopāsanāṅgabhūtāni ca /	viDitsitAni Kila-prakaraNa-sambanDAt-sarva-upAsana-aFga-BUtAni ca /
   atraike varṇayanti-pūrṇātkāraṇātpūrṇaṃ kāryamudricyate /	atra-eke varNa-yanti--pUrNAt-kAraNAt-pUrNam kAryam-udricyate /
