   pañcakramaḥ	paQcakramaH
   vajrajāpakramaḥ prathamaḥ	vajra-jApa-kramaH praTamaH
   oṃ namo buddhāya	om namaH budDAya
   sarvabuddhātmakaṃ nāthaṃ natvā śrīmanmahāsukham |	sarva-budDa-Atmakam nATam natvA SrImat-mahA-suKam |
   vajrajāpakramaṃ vakṣye yogatantrānusārataḥ || Pk_1.1 ||	vajra-jApa-kramam vakzye yoga-tantra-anusArataH || Pk_1.1 ||
   utpattikramasaṃsthānāṃ niṣpannakramakāṅkṣiṇām |	utpatti-krama-saMsTAnAm nizpanna-krama-kAFkziNAm |
   upāyaścaiṣa saṃbuddhaiḥ sopānamiva nirmitaḥ || Pk_1.2 ||	upAyaH-ca-eza saMbudDEH sopAnam-iva nirmitaH || Pk_1.2 ||
   prāṇabhūtaśca sattvānāṃ vāyvākhyaḥ sarvakarmakṛt |	prANa-BUtaH-ca sattvAnAm vAyu-AKyaH sarva-karma-kRt |
   vijñānavāhanaścaiṣa pañcātmā daśadhā punaḥ || Pk_1.3 ||	vijQAna-vAhanaH-ca-eza paQca-AtmA daSaDA punar || Pk_1.3 ||
   vāyutattvānupūrveṇa mantratattvaṃ samāviśet |	vAyu-tattva-AnupUrveNa mantra-tattvam samAviSet |
   mantranidhyaptimāgamya vajrajāpaḥ suśikṣyate || Pk_1.4 ||	mantra-niDyaptim-Agamya vajra-jApaH su-Sikzyate || Pk_1.4 ||
   vajrajāpasthito mantrī cittanidhyaptimāpnuyāt |	vajra-jApasTitaH mantrI citta-niDi-aptim-ApnuyAt |
   mayopamasamādhistho bhūtakoṭyāṃ samāviśet || Pk_1.5 ||	mayA-upama-samADi-sTaH BUtakowyAm samAviSet || Pk_1.5 ||
   bhūtakoṭeḥ samuttiṣṭhannadvayajñānamāpnuyāt |	BUtakoweH samuttizWan=-advaya-jQAnam-ApnuyAt |
   yuganadvasamādhistho na kiñcicchakṣate punaḥ || Pk_1.6 ||	yuganadvasamADi-sTaH na kiQcid-Sakzate punar || Pk_1.6 ||
   ayaṃ niṣpannayogākhyo mahāvajradharaśca saḥ |	ayam nizpanna-yoga-AKyaH mahA-vajra-DaraH-ca saH |
   sarvākāravaropetaḥ sarvajño jāyate tataḥ || Pk_1.7 ||	sarva-AkAra-vara-upetaH sarvajQaH jAyate tatas || Pk_1.7 ||
   anāgatamatītaṃ ca vartamānaṃ bhavatrayam |	anAgatam-atItam ca vartamAnam Bava-trayam |
   tatkṣaṇāt nikhilaṃ paśyet prabhāsvaraviśuddhitaḥ || Pk_1.8 ||	tad-kzaNAt niKilam paSyet praBAsvara-viSudDitaH || Pk_1.8 ||
   etattattvaṃ sthitaṃ tantre śrīsamāje sumudritam |	etat-tattvam sTitam tantre SrI-samAje su-mudritam |
   vyākhyātantrānusāreṇa boddhavyaṃ guruvaktrataḥ || Pk_1.9 ||	vyAKyAtantra-anusAreNa bodDavyam guru-vaktrataH || Pk_1.9 ||
   tatra prathamataraṃ vāyutattvoddeśapadaṃ mūlasūtrādevāvatāryate-	tatra praTamataram vAyu-tattva-uddeSa-padam mUlasUtrAt-eva-avatAryate-
   nāsāgre sarṣapaṃ cintet sarṣape sacarācaram |	nAsA-agre sarzapam cintet sarzape sacarAcaram |
   bhāvayejjñānapadaṃ ramyaṃ rahasyaṃ jñānakalpitam || Pk_1.10 ||	BAvayet-jQAna-padam ramyam rahasyam jQAna-kalpitam || Pk_1.10 ||
   pañcavarṇaṃ mahāratnaṃ sarṣapasthūlamātrakam |	paQca-varNam mahAratnam sarzapa-sTUla-mAtrakam |
   nāsikāgre prayatnena bhāvayed yogataḥ sadā || Pk_1.11 ||	nAsikA-agre prayatnena BAvayet yogataH sadA || Pk_1.11 ||
   iti sandhābhāṣeyamasya vajrapadasya nirdeśamāha caturdevīvyākhyātantre-	iti sanDA-BAzeyam-asya vajra-padasya nirdeSam-Aha catur-devI-vyAKyAtantre-
   tad devi sampravakṣyāmi sārāt sārataraṃ param |	tat devi sampravakzyAmi sArAt sArataram param |
   rahasyaṃ sarvabuddhānāṃ yat tat sarvātmani sthitam || Pk_1.12 ||	rahasyam sarva-budDAnAm yat tat sarva-Atmani sTitam || Pk_1.12 ||
   paścajñānamayaṃ tattvaṃ sarṣapasthūlamātrakam |	paSca-jQAna-mayam tattvam sarzapa-sTUla-mAtrakam |
   tasya madhye sthito devo hyavyakto vyaktarūpavān || iti | Pk_1.13 ||	tasya maDye sTitaH devaH hi-avyaktaH vyakta-rUpavAn || iti | Pk_1.13 ||
   samājottare 'pyamumarthaṃ dyotayannāhaḥ |	samAja-uttare api-amum-arTam dyotayat-nAhaH |
   pañcajñānamayaṃ śvāsaṃ pañcabhūtasvabhāvakam |	paQca-jQAna-mayam SvAsam paQcaBUta-svaBAvakam |
   niścārya padmanāsāgre piṇḍarūpeṇa kalpayet || Pk_1.14 ||	niScArya padma-nAsA-agre piNxa-rUpeNa kalpayet || Pk_1.14 ||
   pañcavarṇaṃ mahāratnaṃ prāṇāyāmamiti smṛtam |	paQca-varNam mahAratnam prANAyAmam-iti smRtam |
   svamantraṃ hṛdaye dhyātvā cittaṃ bindugataṃ nyaset || Pk_1.15 |	sva-mantram hRdaye DyAtvA cittam bindu-gatam nyaset || Pk_1.15 |
   ityasyāpi pratinirdeśamāha vajramālānāmni vyākhyātantre-	iti-asya-api pratinirdeSam-Aha vajra-mAlA-nAmni vyAKyAtantre-
   nāsāgre sarṣapaṃ nāma prāṇāyāmasya kalpanā |	nAsA-agre sarzapam nAma prANAyAmasya kalpanA |
   prāṇāyāmasthitāḥ pañca raśmayo buddhabhāvataḥ || Pk_1.16 ||	prANAyAma-sTitAH paQca raSmayaH budDa-BAvataH || Pk_1.16 ||
   ūrdhvaṃ ghrāṇād viniṣkrānto vāmadakṣiṇadvandvataḥ |	UrDvam GrANAt vinizkrAntaH vAma-dakziNa-dvandvataH |
   stabdhaśceti caturdhāsmād velā ādhyātmikā smṛtā || Pk_1.17 ||	stabDaH-ca-iti caturDA-asmAt velA ADyAtmikA smRtA || Pk_1.17 ||
   kaṇṭhahṛnnābhiguhyābje gatyāgatī vinirdiśet |	kaNWa-hRd-nABi-guhya-abje gati-AgatI vinirdiSet |
   vihared ardhayāmikāṃ velāṃ paripāṭyā yathākramam || Pk_1.18 ||	viharet arDa-yAmikAm velAm paripAwyAH yaTAkramam || Pk_1.18 ||
