   (Css 238)	(CsH 238)
   Niraupamyastava	NiH-OpamyaH-tava
   ... kaṃ bhūtabhautikasadṛśaṃ sarvarūpacitrāṅgaṃsamuditaṃ kāyaṃ	... kam BUta-BOtika-sadRSam sarva-rUpa-citra-aFgaMsam-uditam kAyam
   pratilabhate // sa sarvabuddhakṣetraparṣanṃaṇḍalānugataḥ kāyo	pratilaBate // sa sarva-budDa-kzetra-parzad-MaNxala-anugataH kAyaH-
   dharmasvabhāvagatiṃgatatvān manomaya ity ucyate /	Darma-svaBAva-gatiMgata-tvAt manaH-mayaH iti ucyate /
   yadā cittaṃ manaś cāpi vijñānaṃ na pravartate /	yadA cittam manaH ca-api vijQAnam na pravartate /
   tadā manomayaṃ kāyaṃ labhate buddhabhūmiṃ ca //	tadA manaH-mayam kAyam laBate budDa-BUmim ca //
   iti vacanāt / niraupamyo bhagavāṃs / tathā sa sarvaśaś	iti vacanAt / nirOpamyaH BagavAn / taTA sa sarva-Sas-
   cittamanovijñānavikalpasaṃjñāpagato 'navagṛhīta ākāśasamo	citta-manaH-vijQAna-vikalpa-saMjQA-apagataH anavagRhItaH AkASa-samaH-
   'bhyavakāśaprakṛtito 'vatīrṇaś cānutpattikadharmakṣāntiprāpta ity ucyate /	aByavakASa-prakRtitaH avatIrNaH ca-anutpattika-Darma-kzAnti-prAptaH iti ucyate /
   tatra bhavanto jinaputrāḥ evaṃ kṣāntisamanvāgato bodhisattvaḥ	tatra BavantaH jinaputrAH evam kzAnti-samanvAgataH boDisattvaH
   sahapratilambhād acalāyā bodhisattvabhūmer gaṃbhīraṃ bodhisattvavihāram	saha-pratilamBAt acalAyAH boDisattva-BUmeH gaMBIram boDisattva-vihAram
   anuprāpto bhavati durājñānam asaṃbhinnaṃ sarvanimittāpagatam ityādivacanān	anuprAptaH Bavati durAjQAnam asaMBinnam sarva-nimitta-apagatam ityAdi-vacanAn
   niḥsvabhavārthavedī / sa evaṃ kṣāntipratilabdho bodhisattvo yatra	niHsvaBava-arTa-vedI / saH evam kzAnti-pratilabDaH boDisattvaH yatra
   yatropasaṃkrāmati kṣatriyabrāhmaṇavaiśyaśūdradevabrahmapariṣadaṃ	yatra-upasaMkrAmati kzatriya-brAhmaNa-vESya-SUdra-deva-brahma-parizadam
