   akramaḥ kṛṣṇa pūjyante JCand_2.27c	akramaH kRzNa pUjyante JCand-_2.27c
   akramātiśayoktiś ced JCand_5.41a	akramA-atiSaya-uktiH ced JCand-_5.41a
   akṣamo vācyasannibhaḥ JCand_2.30b	akzamaH vAcya-sanniBaH JCand-_2.30b
   agūḍhaṃ kalayed arthā- JCand_8.3a	agUXam kalayet arTA JCand-_8.3a
   agrāmyatvāt pṛthaṅmatā JCand_4.9b	agrAmya-tvAt pRTak-matA JCand-_4.9b
   agre māno gataḥ paścād JCand_5.42c	agre mAnaH gataH paScAt JCand-_5.42c
   aṅgabhaṅgollasallīlā JCand_6.27a	aFga-BaFga-ullasat-lIlA JCand-_6.27a
   aṅgamanyad rasādikam JCand_8.4b	aFgam-anyat rasa-Adikam JCand-_8.4b
   aṅgayaṣṭidhanurvallīty- JCand_5.21c	aFga-yazwi-DanuH-vallI-ity JCand-_5.21c
   aṅgīkaroti yaḥ kāvyaṃ JCand_1.8a	aFgIkaroti yaH kAvyam JCand-_1.8a
   ajarāmaratā kasya JCand_5.63c	ajarA-amara-tA kasya JCand-_5.63c
   atathyam āropayituṃ JCand_5.24a	ataTyam Aropayitum JCand-_5.24a
   atyantaṃ vā tiraskṛtam JCand_7.3d	atyantam vA tiraskRtam JCand-_7.3d
   atyantātiśayoktis tat- JCand_5.42a	atyanta-atiSaya-uktiH tat JCand-_5.42a
   atyuktir adbhutātathya- JCand_5.115a	atyuktiH adButa-ataTya JCand-_5.115a
   atra śleṣodayān naiva JCand_2.44c	atra Sleza-udayAt na-eva JCand-_2.44c
   atra hāsyarasoddeśe JCand_2.42c	atra hAsya-rasa-uddeSe JCand-_2.42c
   athavāsti priyāmukham JCand_5.71d	aTavA-asti priyA-muKam JCand-_5.71d
   adbhuto vismayasthāyī JCand_6.12a	adButaH vismaya-sTAyI JCand-_6.12a
   adya mādyatu rāvaṇaḥ JCand_8.10b	adya mAdyatu rAvaNaH JCand-_8.10b
   adhikaṃ bodhyam ādhārād JCand_5.82a	aDikam boDyam ADArAt JCand-_5.82a
