   Mahāyānasūtrālaṃkāraḥ	MahAyAna sUtra alaMkAraH
   om	om
   namaḥ sarvabuddhabodhisatvebhyaḥ	namaH sarva budDa boDisatveByaH
   prathamo 'dhikāraḥ	praTamaH aDikAraH
   arthajño 'rthavibhāvanāṃ prakurute vācā padaiścāmalair duḥkhasyottaraṇāya	arTa jQaH arTa viBAvanAm prakurute vAcA padEH ca amalEH duHKasya uttaraNAya
   duḥkhitajane kāruṇyatastanmayaḥ /	duHKita jane kAruNyataH tad mayaH /
   dharmasyottamayānadeśitavidheḥ satveṣu tadgāmiṣu śliṣṭāmarthagatiṃ	Darmasya uttama yAna deSita viDeH satvezu tad gAmizu SlizwAm arTa gatim
   niruttaragataṃ pañcātmikāṃ darśayan // MSA_1.1 //	niruttara gatam paQca AtmikAm darSayan // MSAH _1.1 //
   ghaṭitamiva suvarṇaṃ vārijaṃ vā vibuddhaṃ sukṛtamiva subhojyaṃ bhujyamānaṃ	Gawitam iva suvarNam vArijam vA vibudDam sukRtam iva su Bojyam BujyamAnam
   kṣudhārtaiḥ /	kzuDA ArtEH /
   vidita iva sulekho ratnapeṭeva muktā vivṛta iha sa dharmaḥ prītimagryāṃ	viditaH iva su leKaH ratna pewA iva muktAH vivRtaH iha sa DarmaH prItim agryAm
   dadhāti // MSA_1.2 //	daDAti // MSAH _1.2 //
   yathā bimbaṃ bhūṣāprakṛtiguṇavaddarpaṇagataṃ viśiṣṭaṃ prāmodyaṃ janayati	yaTA bimbam BUzA prakRti guNavat darpaNa gatam viSizwam prAmodyam janayati
   nṛṇāṃ darśanavaśāt /	nRNAm darSana vaSAt /
   tathā dharmaḥ sūktaprakṛtiguṇayukto 'pi satataṃ vibhaktārthastuṣṭiṃ	taTA DarmaH sUkta prakRti guNa yuktaH api satatam viBakta arTaH tuzwim
   janayati viśiṣṭāmiha satām // MSA_1.3 //	janayati viSizwAm iha satAm // MSAH _1.3 //
   āghrāyamāṇakaṭukaṃ svādurasaṃ yathauṣadhaṃ tadvat /	AGrAyamANa kawukam svAdu rasam yaTA OzaDam tadvat /
   dharma[rmo] dvayavyavasthā[stho] vyañjanato 'rtho na ca[rthataśca] jñeyaḥ	Darma[rmo] dvaya vyavasTA[ sTo] vyaQjanataH arTaH na ca[rTataH ca] jQeyaH
   // MSA_1.4 //	// MSAH _1.4 //
   rājeva durārādho dharmo 'yaṃ vipulagāḍhagambhīraḥ /	rAjA iva durArADaH DarmaH ayam vipula gAXa gamBIraH /
   ārādhitaśca tadvadvaraguṇadhanadāyako bhavati // MSA_1.5 //	ArADitaH ca tadvat vara guNa Dana dAyakaH Bavati // MSAH _1.5 //
   ratnaṃ jātyamanarthaṃ[rghaṃ]yathā 'parīkṣakajanaṃ na toṣayati /	ratnam jAtyam anarTaM[rGaM]yaTA aparIkzaka janam na tozayati /
   dharmastathāyamabudhaṃ viparyayātteṣayati tadvat // MSA_1.6 //	DarmaH taTA ayam abuDam viparyayAt tezayati tadvat // MSAH _1.6 //
   ādāvavyākaraṇātsamapravṛtteragocarātsiddheḥ /	AdO= avyAkaraNAt sama pravRtteH agocarAt sidDeH /
   bhāvābhāve 'bhāvātpratipakṣatvādrutānyatvāt // MSA_1.7 //	BAva aBAve aBAvAt pratipakza tvAt ruta anya tvAt // MSAH _1.7 //
   pratyakṣacakṣuṣo buddhāḥ śāsanasya ca rakṣakāḥ /	pratyakza cakzuzaH budDAH SAsanasya ca rakzakAH /
   adhmamanyanāvṛtajñānā upekṣāto na yujyate // MSA_1.8 //	aDma manyana AvRta jQAnAH upekzAtaH na yujyate // MSAH _1.8 //
   vaikalyato virodhādanupāyatvāttthāpyanupadeśāt /	vEkalyataH viroDAt anupAya tvAt tTA api anupadeSAt /
   na śrāvakayānamidaṃ bhavati mahāyānadharmākhyam // MSA_1.9 //	na SrAvaka yAnam idam Bavati mahAyAna Darma AKyam // MSAH _1.9 //
   āśayasyopadeśasya prayogasya virodhataḥ /	ASayasya upadeSasya prayogasya viroDataH /
   upastambhasya kālasya yat hīnaṃ hīnameva tat // MSA_1.10 //	upastamBasya kAlasya yat hInam hInam eva tat // MSAH _1.10 //
   svake 'vatārātsvasyaiva vinaye darśanādapi /	svake avatArAt svasya eva vinaye darSanAt api /
   audāryādapi gāmbhīryādaviruddhaiva dharmatā // MSA_1.11 //	OdAryAt api gAmBIryAt avirudDA eva DarmatA // MSAH _1.11 //
   niśrito 'niyato 'vyāpī sāṃvṛtaḥ khedavānapi /	niSritaH aniyataH avyApI sAMvRtaH KedavAn api /
   bālāśrayo matastarkastasyāto viṣayo na tat // MSA_1.12 //	bAla ASrayaH mataH tarkaH tasya atas vizayaH na tat // MSAH _1.12 //
   audāryādapi gāmbhīryātparipāko 'vikalpanā /	OdAryAt api gAmBIryAt paripAkaH avikalpanA /
   deśanā'to dvayasyāsmin sa copāyo niruttare // MSA_1.13 //	deSanA atas dvayasya asmin sa ca upAyaH niruttare // MSAH _1.13 //
   tadasthānatrāso bhavati jagatāṃ dāhakaraṇo	tad asTAna trAsaH Bavati jagatAm dAha karaNaH 
   mahā'puṇyaskandhaprasavakaraṇāddīrdhasamayam /	mahA apuNya skanDa prasava karaNAt dIrDa samayam /
   agotro 'sanmitro 'kṛtamatirapūrvā'citaśubhasrasatyasmin dharme patati	agotraH asat mitraH akRta matiH apUrvA acita SuBa srasati asmin Darme patati
   mahato 'rthādgata iha // MSA_1.14 //	mahataH arTAt gataH iha // MSAH _1.14 //
   tadanyānyā[nyasyā?]bhāvātparamagahanatvādanugamāt vicitrasyākhyānād	tad anyAnyA[nyasya a?]BAvAt parama gahana tvAt anugamAt vicitrasya AKyAnAt 
   dhruvakathanayogādbahumukhāt /	Druva kaTana yogAt bahu muKAt /
   yathākhyānaṃ nārthādbhagavati ca bhāvātigahanāt na dharme 'smiṃsrāso	yaTA AKyAnam na arTAt Bagavati ca BAva ati gahanAt na Darme asminsrAsaH 
   bhavati viduṣāṃ yonivicayāt // MSA_1.15 //	Bavati viduzAm yoni vicayAt // MSAH _1.15 //
   śrutaṃ niśrityādau prabhavati manaskāra iha yo	Srutam niSriti AdO praBavati manaskAraH iha yaH 
   manaskārājñānaṃ prabhavati ca tatvārthaviṣayam /	manaskAra ajQAnam praBavati ca tatvA arTa vizayam /
   tato dharmaprāptiḥ prabhavati ca tasminmatirato	tatas Darma prAptiH praBavati ca tasmin matiH atas 
   yadā pratyātmaṃ sā kathamasati tasminvyavasitiḥ // MSA_1.16 //	yadA pratyAtmam sA kaTam asati tasmin vyavasitiH // MSAH _1.16 //
   ahaṃ na boddhā na gabhīraboddhā buddhau gabhīraṃ kimatarkagamyam /	aham na bodDA na gaBIra bodDA budDO gaBIram kim atarka gamyam /
   kasmād gabhīrārthavidāṃ na mokṣa ityetaduttrāsapadaṃ na yuktam // MSA_1.17	kasmAt gaBIra arTa vidAm na mokzaH iti etat uttrAsa padam na yuktam // MSAH _1.17
   hīnādhimuktaḥ sunihīnadhātor hī naiḥ sahāyaiḥ parivāritasya /	hIna aDimuktaH su nihIna DAtoH hI nEH sahAyEH parivAritasya /
   audāryagāmbhīryasudeśite 'smin dharme 'dhimuktiryadi nāsti siddham //	OdArya gAmBIrya su deSite asmin Darme aDimuktiH yadi na asti sidDam //
   MSA_1.18 //	MSAH _1.18 //
   śrutānusāreṇa hi buddhimattaṃ labdhvā'śrute yaḥ prakarotyavajñām /	Sruta anusAreNa hi budDi mat tam labDvA aSrute yaH prakaroti avajQAm /
   śrute vicitre sati cāprameye śiṣṭe kuto niścayameti mūḍhaḥ // MSA_1.19 //	Srute vicitre sati ca aprameye Sizwe kutas niScayam eti mUXaH // MSAH _1.19 //
   yathārute 'rthe parikalpyamāne svapratyayo hānimupaiti buddheḥ /	yaTArute arTe parikalpyamAne sva pratyayaH hAnim upEti budDeH /
   svākhyātatāṃ ca kṣipati kṣatiṃ ca prāpnoti dharme	su AKyAta tAm ca kzipati kzatim ca prApnoti Darme
   pratighāvatīva[pratighātameva] // MSA_1.20 //	pratiGO= atIva[ pratiGAtam eva] // MSAH _1.20 //
   manaḥ pradoṣaḥ prakṛtipraduṣṭo ['yathārute cāpi] hyayuktarūpaḥ /	manaH pradozaH prakRti praduzwaH [ ayaTArute ca api] hi ayukta rUpaH /
   prāgeva saṃdehagatasya dharme tasmādupekṣaiva varaṃ hyadoṣā // MSA_1.21 //	prAk eva saMdeha gatasya Darme tasmAt upekzA eva varam hi adozAH // MSAH _1.21 //
   mahāyānasūtrālaṃkāre mahāyānasiddhyadhikāraḥ prathamaḥ	mahAyAna sUtra alaMkAre mahAyAna sidDi aDikAraH praTamaH
   dvitīyo 'dhikāraḥ	dvitIyaH aDikAraH
   śaraṇagamanaviśeṣasaṃgrahaślokaḥ /	SaraNa gamana viSeza saMgraha SlokaH /
   ratnāni yo hi śaraṇapragato 'tra yāne jñeyaḥ sa eva paramaḥ śaraṇa[ṇaṃ]	ratnAni yaH hi SaraNa pragataH atra yAne jQeyaH saH eva paramaH SaraNa[NaM]
   gatānām /	gatAnAm /
   sarvatragābhyupagamādhigamābhibhūtibhedaiścaturvidhamayārthaviśeṣaṇena //	sarvatraga aByupagama aDigama aBiBUti BedEH caturviDa maya arTa viSezaNena //
   MSA_2.1 //	MSAH _2.1 //
   yasmādādau duṣkara eṣa vyavasāyo duḥsādho 'sau naikasahasrairapi kalpaiḥ /	yasmAt AdO duzkaraH eza vyavasAyaH duHsADaH asO na eka sahasrEH api kalpEH /
   siddho yasmātsattvahitādhānamahārthas tasmādagre yāna ihāgraśaraṇārthaḥ //	sidDaH yasmAt sattva hita ADAna mahA arTaH tasmAt agre yAnaH iha agra SaraNa arTaH //
   MSA_2.2 //	MSAH _2.2 //
