   Sitātapatrā	Sita-AtapatrA
   (Sitā 147)	(SitA 147)
   om namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	om namaH SrI-sarva-budDa-boDisattveByaH /
   evaṃ mayā śrutam ekasmin samaye bhagavān deveṣu trāyastriṃśeṣu viharati	evam mayA Srutam ekasmin samaye BagavAn devezu trAyastriMSezu viharati
   sma / sudharmāyāṃ devasabhāyāṃ mahatā bhikṣusaṃghena mahatā ca	sma / suDarmAyAm deva-saBAyAm mahatA Bikzu-saMGena mahatA ca
   bodhisattvasaṃghena bhikṣuśataiḥ śakreṇa ca devatānāmindreṇa sārdham /	boDisattva-saMGena Bikzu-SatEH SakreNa ca devatAnAm-indreNa sArDam /
   tatra khalu bhagavān prajñapta evāsane niṣadya uṣṇīṣamavalokitaṃ nāma	tatra Kalu BagavAn prajQapte eva-Asane nizadya uzNIzam-avalokitam nAma
   samādhiṃ samāpadyate sma / samanantarasamāpannasya bhagavata	samADim samApadyate sma / samanantara-samApannasya Bagavata
   uṣṇīṣamadhyādimāni mantrapadāni niścaranti sma /	uzNIza-maDya-AdimAni mantra-padAni niScaranti sma /
   namo bhagavate uṣṇīṣāya śuddhe viraje vimale svāhā / namo bhagavate	namaH Bagavate uzNIzAya SudDe viraje vimale svAhA / namaH Bagavate
   apraṇihato uṣṇīṣāya / namo buddhāya / namo dharmāya / namo saṃghāya /	apraNihataH uzNIzAya / namaH budDAya / namaH DarmAya / namaH saMGAya /
   namaḥ saptānāṃ samyaksaṃbuddhakoṭīnāṃ namo maitreyapramukhānāṃ	namaH saptAnAm samyaksaMbudDa-kowInAm namaH mEtreya-pramuKAnAm
   sarvabuddhabodhisattvānāṃ saśrāvakasaṃghānām / namo loke arhatānām / namaḥ	sarva-budDa-boDisattvAnAm sa-SrAvaka-saMGAnAm / namaH loke arhatAnAm / namaH
   strotaāpannānām / namaḥ sakṛdāgāmināma / namo anāgāminām / namo loke	strotaApannAnAm / namaH sakRdAgAmi-nAmaH / namaH anAgAminAm / namaH loke
   samyaggatānām / namaḥ samyakpratipannānām / namo devarṣīṇām / namo	samyak-gatAnAm / namaH samyak-pratipannAnAm / namaH deva-RzINAm / namaH-
   devabrahmaṇe / namo buddhāya / namo bhagavate rudrāya umāpatisahitāya /	deva-brahmaNe / namaH budDAya / namaH Bagavate rudrAya umApati-sahitAya /
   namo varuṇāya / namo bhagavate nārāyaṇāya / mahāpañcamudrā namaḥ	namaH varuNAya / namaH Bagavate nArAyaNAya / mahApaQcamudrA namaH
   namaskṛtāya / namo bhagavate nandikeśvaramahākālāya /	namaskRtAya / namaH Bagavate nandikeSvara-mahAkAlAya /
