   śrīśivamahāpurāṇam	SrI-Siva-mahApurANam
   atha śrīśivamahāpurāṇaṃ vidyeśvarasaṃhitā prārabhyate ||	aTa SrI-Siva-mahApurANam vidyeSvara-saMhitA prAraByate ||
   śrīgaṇeśāya namaḥ ||	SrI-gaNeSAya namaH ||
   śrīgurubhyo namaḥ ||	SrI-guruByaH namaH ||
   śrisarasvatyai namaḥ ||	SrisarasvatyE namaH ||
   atha śivapuraṇe prathamā vidyeśvarasaṃhitāprārabhyate ||	aTa Siva-puraNe praTamA vidyeSvara-saMhitA-prAraByate ||
   ādyantamaṃgalamajātasamānabhāvamāryaṃ tamīśamajarāmaramātmadevam //	Adi-anta-maMgalam-ajAta-samAna-BAvam-Aryam tam-ISam-ajarA-amaram-Atma-devam //
   ŚivP_1,Mang_ab/	ŚivS-_1,Manj-_ab/
   pañcānanaṃ prabalapañcavinodaśīlaṃ saṃbhāvaye manasiśaṃkaramambikeśam //	paQcAnanam prabala-paQcavinoda-SIlam saMBAvaye manasi-SaMkaram-ambi-keSam //
   ŚivP_1,Mang_cd/	Śivj-_1,Manj-_cd/
   Chapter 1	ChapteH 1
   vyāsa uvāca	vyAsaH uvAca
   dharmakṣetre mahākṣetre gaṃgākālindisaṃgame // ŚivP_1,1.1ab/	Darma-kzetre mahA-kzetre gaMgAkA-Alindi-saMgame // ŚivS-_1,1.1ab/
   prayāge parame puṇye brahmalokasya vartmani // ŚivP_1,1.1cd/	prayAge parame puNye brahma-lokasya vartmani // Śivj-_1,1.1cd/
   munayaḥ śaṃsitātmanassatyavrataparāyaṇāḥ // ŚivP_1,1.2ab/	munayaH SaMsita-Atma-na-ssatya-vrata-parAyaNAH // ŚivS-_1,1.2ab/
   mahaujaso mahābhāgā mahāsatraṃ vitenire // ŚivP_1,1.2cd/	mahA-ojasaH mahABAgAH mahAsatram vitenire // Śivj-_1,1.2cd/
   tatra satraṃ samākarṇya vyāsaśiṣyo mahāmuniḥ // ŚivP_1,1.3ab/	tatra satram samAkarNya vyAsa-SizyaH mahA-muniH // ŚivS-_1,1.3ab/
   ājagāma munīndraṣṭuṃ sūtaḥ paurāṇikottamaḥ // ŚivP_1,1.3cd/	AjagAma munIn-drazwum sUtaH pOrANika-uttamaH // Śivj-_1,1.3cd/
   taṃ dṛṣṭvā sūtamāyāṃtaṃ harṣitā munayastadā // ŚivP_1,1.4ab/	tam dRzwvA sUta-m-AyAMtam harzitAH munayaH-tadA // ŚivS-_1,1.4ab/
   cetasā suprasannena pūjāṃ cakruryathāvidhi // ŚivP_1,1.4cd/	cetasA su-prasannena pUjAm cakruH-yaTAviDi // Śivj-_1,1.4cd/
   tato vinayasaṃyuktā procuḥ sāṃjalayaścate // ŚivP_1,1.5ab/	tatas vinaya-saMyuktA procuH sAMjalayaH-cate // ŚivS-_1,1.5ab/
   suprasannā mahātmānaḥ stutiṃ kṛtvāyathāvidhi // ŚivP_1,1.5cd/	su-prasannAH mahAtmAnaH stutim kRtvA-ayaTAviDi // Śivj-_1,1.5cd/
   romaharṣaṇa sarvajña bhavān vai bhāgyagauravāt // ŚivP_1,1.6ab/	romaharzaNa sarvajQa BavAn vE BAgya-gOravAt // ŚivS-_1,1.6ab/
   purāṇavidyāmakhilāṃ vyāsātpratyarthamīyivān // ŚivP_1,1.6cd/	purANa-vidyAm-aKilAm vyAsAt-pratyarTam-IyivAn // Śivj-_1,1.6cd/
   tasmādāścaryabhūtānāṃ kathānāṃ tvaṃ hi bhājanam // ŚivP_1,1.7ab/	tasmAt-AScarya-BUtAnAm kaTAnAm tvam hi BAjanam // ŚivS-_1,1.7ab/
   ratnānāmurusārāṇāṃ ratnākara ivārṇavaḥ // ŚivP_1,1.7cd/	ratnAnAm-uru-sArANAm ratna-AkaraH iva-arNavaH // Śivj-_1,1.7cd/
   yacca bhūtaṃ ca bhavyaṃ ca yaccānyadvastu vartate // ŚivP_1,1.8ab/	yat-ca BUtam ca Bavyam ca yat-ca-anyat-vastu vartate // ŚivS-_1,1.8ab/
   na tvayā 'viditaṃ kiṃcittriṣu lokeṣu vidyate // ŚivP_1,1.8cd/	na tvayA aviditam kiMcid-trizu lokezu vidyate // Śivj-_1,1.8cd/
   tvaṃ maddiṣṭavaśādasya darśanārthamihāgataḥ // ŚivP_1,1.9ab/	tvam mad-dizwa-vaSAt-asya darSana-arTam-iha-AgataH // ŚivS-_1,1.9ab/
   kurvankimapi naḥ śreyo na vṛthā gaṃtumarhasi // ŚivP_1,1.9cd/	kurvan-kim-api naH SreyaH na vRTA gaMtum-arhasi // Śivj-_1,1.9cd/
   tattvaṃ śrutaṃ sma naḥ sarvaṃ pūrvameva śubhāśubham // ŚivP_1,1.10ab/	tattvam Srutam sma naH sarvam pUrvam-eva SuBa-aSuBam // ŚivS-_1,1.10ab/
   na tṛptimadhigacchāmaḥ śravaṇecchā muhurmuhuḥ // ŚivP_1,1.10cd/	na tRptim-aDigacCAmaH SravaNa-icCA muhur-muhur // Śivj-_1,1.10cd/
   idānīmekamevāsti śrotavyaṃ sūta sanmate // ŚivP_1,1.11ab/	idAnIm-ekam-eva-asti Srotavyam sUta sat-mate // ŚivS-_1,1.11ab/
   tadrahasyamapi brūhi yadi te 'nugraho bhavet // ŚivP_1,1.11cd/	tat-rahasyam-api brUhi yadi te anugrahaH Bavet // Śivj-_1,1.11cd/
   prāpte kaliyuge ghore narāḥ puṇyavivarjitāḥ // ŚivP_1,1.12ab/	prApte kali-yuge Gore narAH puNya-vivarjitAH // ŚivS-_1,1.12ab/
   durācāraratāḥ sarve satyavārtāparāṅmukhāḥ // ŚivP_1,1.12cd/	durAcAra-ratAH sarve satya-vArtA-parAFmuKAH // Śivj-_1,1.12cd/
   parāpavādaniratāḥ paradravyābhilāṣiṇaḥ // ŚivP_1,1.13ab/	para-apavAda-niratAH para-dravya-aBilAziNaH // ŚivS-_1,1.13ab/
   parastrīsaktamanasaḥ parahiṃsāparāyaṇāḥ // ŚivP_1,1.13cd/	para-strI-sakta-manasaH para-hiMsA-parAyaNAH // Śivj-_1,1.13cd/
   dehātmadṛṣṭayā mūḍhā nāstikāḥ paśubuddhayaḥ // ŚivP_1,1.14ab/	deha-Atma-dRzwayA mUXAH nAstikAH paSu-budDayaH // ŚivS-_1,1.14ab/
   mātṛpitṛkṛtadveṣāḥ strīdevāḥ kāmakiṃkarāḥ // ŚivP_1,1.14cd/	mAtR-pitR-kRta-dvezAH strI-devAH kAma-kiMkarAH // ŚivS-_1,1.14cd/
   viprā lobhagrahagrastā vedavikrayajīvinaḥ // ŚivP_1,1.15ab/	viprAH loBa-graha-grastAH veda-vikraya-jIvinaH // ŚivS-_1,1.15ab/
   dhanārjanārthamabhyastavidyā madavimohitāḥ // ŚivP_1,1.15cd/	Dana-arjana-arTam-aByasta-vidyA mada-vimohitAH // Śivj-_1,1.15cd/
   tyaktasvajātikarmāṇaḥ prāyhaśaḥparavaṃcakāḥ // ŚivP_1,1.16ab/	tyakta-sva-jAti-karmANaH prAyhaSaH-para-vaMcakAH // ŚivS-_1,1.16ab/
   trikālasaṃdhyayā hīnā brahmabodhavivarjitāḥ // ŚivP_1,1.16cd/	tri-kAla-saMDyayA hInAH brahma-boDa-vivarjitAH // Śivj-_1,1.16cd/
   adayāḥ paṃḍitaṃmanyāssvācāravratalopakāḥ // ŚivP_1,1.17ab/	adayAH paMxitaMmanyAssu-AcAra-vrata-lopakAH // ŚivS-_1,1.17ab/
   kṛṣyudyamaratāḥ krūrasvabhāvā malināśayāḥ // ŚivP_1,1.17cd/	kRzi-udyama-ratAH krUra-svaBAvAH malina-ASayAH // Śivj-_1,1.17cd/
   kṣatriyāśca tathā sarve svadharmatyāgaśīlinaḥ // ŚivP_1,1.18ab/	kzatriyAH-ca taTA sarve svaDarma-tyAga-SIlinaH // ŚivS-_1,1.18ab/
   asatsaṃgāḥ pāparatā vyabhicāraparāyaṇāḥ // ŚivP_1,1.18cd/	asat-saMgAH pApa-ratAH vyaBicAra-parAyaNAH // Śivj-_1,1.18cd/
   aśūrā araṇaprītāḥ palāyanaparāyaṇāḥ // ŚivP_1,1.19ab/	aSUrAH araNa-prItAH palAyana-parAyaNAH // ŚivS-_1,1.19ab/
   kucauravṛttayaḥ śūdrāḥ kāmakiṃkaracetasaḥ // ŚivP_1,1.19cd/	kucOra-vRttayaH SUdrAH kAma-kiMkara-cetasaH // Śivj-_1,1.19cd/
   śastrāstravidyayā hīnā dhenuviprāvanojjhitāḥ // ŚivP_1,1.20ab/	Sastra-astra-vidyayA hInAH Denu-viprAvana-ujJitAH // ŚivS-_1,1.20ab/
   śaraṇyāvanahīnāśca kāminyūtimṛgāssadā // ŚivP_1,1.20cd/	SaraNya-avana-hInAH-ca kAminyUti-mRgAH-sadA // Śivj-_1,1.20cd/
   prajāpālanasaddharmavihīnā bhogatatparāḥ // ŚivP_1,1.21ab/	prajA-pAlana-sat-Darma-vihInAH Boga-tatparAH // ŚivS-_1,1.21ab/
   prajāsaṃhārakā duṣṭā jīvahiṃsākarā mudā // ŚivP_1,1.21cd/	prajA-saMhArakAH duzwAH jIva-hiMsA-karAH mudA // Śivj-_1,1.21cd/
   vaiśyāḥ saṃskārahīnāste svadharmatyāgaśīlinaḥ // ŚivP_1,1.22ab/	vESyAH saMskAra-hInAH-te svaDarma-tyAga-SIlinaH // ŚivS-_1,1.22ab/
   kupathāḥ svārjanaratāstulākarmakuvṛttayaḥ // ŚivP_1,1.22cd/	ku-paTAH sva-arjana-ratAH-tulA-karma-ku-vRttayaH // Śivj-_1,1.22cd/
   gurudevadvijātīnāṃ bhaktihīnāḥ kubuddhayaḥ // ŚivP_1,1.23ab/	guru-deva-dvijAtInAm Bakti-hInAH kubudDayaH // ŚivS-_1,1.23ab/
   abhojitadvijāḥ prāyaḥ kṛpaṇā baddhamuṣṭayaḥ // ŚivP_1,1.23cd/	aBojita-dvijAH prAyas kRpaNAH badDa-muzwayaH // Śivj-_1,1.23cd/
   kāminījārabhāveṣu suratā malināśayāḥ // ŚivP_1,1.24ab/	kAminI-jAra-BAvezu suratAH malina-ASayAH // ŚivS-_1,1.24ab/
   lobhamohavicetaskāḥ pūrtādisuvṛṣojjhitāḥ // ŚivP_1,1.24cd/	loBa-moha-vicetaskAH pUrta-Adi-su-vRza-ujJitAH // Śivj-_1,1.24cd/
   tadvacchūdrāśca ye kecidbrāhmaṇācāratatparāḥ // ŚivP_1,1.25ab/	tadvat-SUdrAH-ca ye kecid-brAhmaNa-AcAra-tatparAH // ŚivS-_1,1.25ab/
   ujjvalākṛtayo mūḍhāḥ svadharmatyāgaśīlinaḥ // ŚivP_1,1.25cd/	ujjvala-AkRtayaH mUXAH svaDarma-tyAga-SIlinaH // Śivj-_1,1.25cd/
   kartārastapasāṃ bhūyo dvijatejopahārakāḥ // ŚivP_1,1.26ab/	kartAraH-tapasAm BUyas dvija-teja-upahArakAH // ŚivS-_1,1.26ab/
   śiśvalpamṛtyukārāśca maṃtroccāraparāyaṇāḥ // ŚivP_1,1.26cd/	SiSu-alpa-mRtyu-kArAH-ca maMtra-uccAra-parAyaNAH // Śivj-_1,1.26cd/
   śīligrāmaśilādīnāṃ pūjakāhomatatparāḥ // ŚivP_1,1.27ab/	SIli-grAma-SilA-AdInAm pUjakA-homa-tatparAH // ŚivS-_1,1.27ab/
   pratikūlavicārāśca kuṭilā dvijadūṣakāḥ // ŚivP_1,1.27cd/	pratikUla-vicArAH-ca kuwilAH dvija-dUzakAH // Śivj-_1,1.27cd/
   dhanavaṃtaḥ kukarmāṇo vidyāvanto vivādinaḥ // ŚivP_1,1.28ab/	DanavaMtaH kukarmANaH vidyAvantaH vivAdinaH // ŚivS-_1,1.28ab/
   ākhyāyopāsanā dharmavaktāro dharmalopakāḥ // ŚivP_1,1.28cd/	AKyAya-upAsanAH Darma-vaktAraH Darma-lopakAH // Śivj-_1,1.28cd/
   subhūpākṛtayo daṃbhāḥ sudātāro mahāmadāḥ // ŚivP_1,1.29ab/	suBUpa-AkRtayaH daMBAH sudAtAraH mahA-madAH // ŚivS-_1,1.29ab/
   viprādīnsevakānmatvā manyamānā nijaṃ prabhum // ŚivP_1,1.29cd/	vipra-AdIn-sevakAn-matvA manyamAnAH nijam praBum // Śivj-_1,1.29cd/
   svadharmarahitā mūḍāḥ saṃkarāḥ krūrabuddhayaḥ // ŚivP_1,1.30ab/	svaDarma-rahitAH mUxAH saMkarAH krUra-budDayaH // ŚivS-_1,1.30ab/
   mahābhimānino nityaṃ caturvarṇavilopakāḥ // ŚivP_1,1.30cd/	mahA-aBimAninaH nityam catur-varNa-vilopakAH // Śivj-_1,1.30cd/
   sukulīnānnijānmatvā caturvarṇairvivartanāḥ // ŚivP_1,1.31ab/	su-kulInAn-nijAn-matvA catur-varNEH-vivartanAH // ŚivS-_1,1.31ab/
   sarvavarṇabhraṣṭakarā mūḍhāssatkarmakāriṇaḥ // ŚivP_1,1.31cd/	sarva-varNa-Brazwa-karAH mUXAH-sat-karma-kAriNaH // Śivj-_1,1.31cd/
   striyaśca prāyaśo bhraṣṭā bhartravajñānakārikāḥ // ŚivP_1,1.32ab/	striyaH-ca prAyaSas BrazwAH BartR-ava-jQAna-kArikAH // ŚivS-_1,1.32ab/
   śvaśuradrohakāriṇyo nirbhayā malināśanāḥ // ŚivP_1,1.32cd/	SvaSura-droha-kAriNyaH nirBayAH malina-aSanAH // Śivj-_1,1.32cd/
   kuhāvabhāvaniratāḥ kuśīlāssmaravihvalāḥ // ŚivP_1,1.33ab/	kuha-ava-BAva-niratAH kuSIlA-ssmara-vihvalAH // ŚivS-_1,1.33ab/
   jārasaṃgaratā nityaṃ svasvāmivimukhāstathā // ŚivP_1,1.33cd/	jAra-saMgaratA nityam sva-svAmi-vimuKAH-taTA // Śivj-_1,1.33cd/
   tanayā mātṛpitrośca bhaktihīnā durāśayāḥ // ŚivP_1,1.34ab/	tanayA mAtR-pitroH-ca Bakti-hInAH durASayAH // ŚivS-_1,1.34ab/
   avidyāpāṭhakā nityaṃ rogagrasitadehakāḥ // ŚivP_1,1.34cd/	avidyA-pAWakAH nityam roga-grasita-dehakAH // Śivj-_1,1.34cd/
   eteṣāṃ naṣṭabuddhīnāṃ svadharmatyāgaśīlinām // ŚivP_1,1.35ab/	etezAm nazwa-budDInAm svaDarma-tyAga-SIlinAm // ŚivS-_1,1.35ab/
   paralokepīha loke kathaṃ sūta gatirbhavet // ŚivP_1,1.35cd/	para-loka-IpI-iha loke kaTam sUta gatiH-Bavet // Śivj-_1,1.35cd/
   iti ciṃtākulaṃ cittaṃ jāyate satataṃ hi naḥ // ŚivP_1,1.36ab/	iti ciMtA-Akulam cittam jAyate satatam hi naH // ŚivS-_1,1.36ab/
   paropakārasadṛśo nāsti dharmo paraḥ khalu // ŚivP_1,1.36cd/	para-upakAra-sadRSaH na-asti DarmaH paraH Kalu // Śivj-_1,1.36cd/
   laghūpāyena yenaiṣāṃ bhavetsadyoghanāśanam // ŚivP_1,1.37ab/	laGu-upAyena yena-ezAm Bavet-sadyoGa-nASanam // ŚivS-_1,1.37ab/
   sarvasiddhāntavittvaṃ hi kṛpayā tadvadādhunā // ŚivP_1,1.37cd/	sarva-sidDAnta-vid-tvam hi kRpayA tadvada-aDunA // Śivj-_1,1.37cd/
   vyāsa uvāca	vyAsaH uvAca
   ityākarṇya vacasteṣāṃ munīnāṃ bhāvitātmanām // ŚivP_1,1.38ab/	iti-AkarNya vacaH-tezAm munInAm BAvitAtmanAm // ŚivS-_1,1.38ab/
   manasā śaṃkaraṃ smṛtvā sūtaḥ provāca tānmunīn // ŚivP_1,1.38cd/	manasA SaMkaram smRtvA sUtaH provAca tAn-munIn // Śivj-_1,1.38cd/
   iti śrīśaive mahāpurāṇe vidyeśvarasaṃhitāyāṃ munipraśnavarṇanonāmaprathamo	iti SrISEve mahApurANe vidyeSvara-saMhitAyAm muni-praSna-varNanonAma-praTamaH-
   'dhyāyaḥ	aDyAyaH
   Chapter 2	ChapteH 2
   sūtauvāca	sUtOvAca
   sādhupṛṣṭaṃ sādhavo vastrailokyahitakārakam // ŚivP_1,2.1ab/	sADu-pRzwam sADavaH vaH-trElokya-hita-kArakam // ŚivS-_1,2.1ab/
   guruṃ smṛtvā bhavatsnehādvakṣye tacchṛṇutādarāt // ŚivP_1,2.1cd/	gurum smRtvA Bavat-snehAt-vakzye tad-SRNutAdarAt // Śivj-_1,2.1cd/
   vedāṃtasārasarvasvaṃ purāṇaṃ śaivamuttamam // ŚivP_1,2.2ab/	veda-aMtasAra-sarvasvam purANam SEvam-uttamam // ŚivS-_1,2.2ab/
   sarvāghaughoddhārakaraṃ paratra paramārthadam // ŚivP_1,2.2cd/	sarva-aGa-oGa-udDAra-karam paratra paramArTa-dam // Śivj-_1,2.2cd/
   kalikalmaṣavidhvaṃsi yasmiñcchivayaśaḥ param // ŚivP_1,2.3ab/	kali-kalmaza-viDvaMsi yasmiQcSiva-yaSaH param // ŚivS-_1,2.3ab/
   vijṛmbhate sadā viprāścaturvargaphalapradam // ŚivP_1,2.3cd/	vijRmBate sadA viprAH-caturvarga-Pala-pradam // Śivj-_1,2.3cd/
   tasyādhyayanamātreṇa purāṇasya dvijottamāḥ // ŚivP_1,2.4ab/	tasya-aDyayana-mAtreNa purANasya dvijottamAH // ŚivS-_1,2.4ab/
   sarvottamasya śaivasya te yāsyaṃti susadgatim // ŚivP_1,2.4cd/	sarva-uttamasya SEvasya te yAsyaMti su-sat-gatim // Śivj-_1,2.4cd/
   tāvadvijṛṃbhate pāpaṃ brahmahatyāpurassaram // ŚivP_1,2.5ab/	tAvat-vijRMBate pApam brahmahatyA-purassaram // ŚivS-_1,2.5ab/
   yāvacchivapurāṇaṃ hi nodeṣyati jagatyaho // ŚivP_1,2.5cd/	yAvat-Siva-purANam hi na-udezyati jagati-aho // Śivj-_1,2.5cd/
   tāvatkalimahotpātāḥ saṃcariṣyaṃti nirbhayāḥ // ŚivP_1,2.6ab/	tAvat-kali-mahA-utpAtAH saMcarizyaMti nirBayAH // ŚivS-_1,2.6ab/
   yāvacchivapurāṇaṃ hi nodeṣyati jagatyaho // ŚivP_1,2.6cd/	yAvat-Siva-purANam hi na-udezyati jagati-aho // Śivj-_1,2.6cd/
   tāvatsarvāṇi śāstrāṇi vivadaṃti parasparam // ŚivP_1,2.7ab/	tAvat-sarvANi SAstrANi vivadaMti parasparam // ŚivS-_1,2.7ab/
   yāvacchivapurāṇaṃ hi nodeṣyati jagatyaho // ŚivP_1,2.7cd/	yAvat-Siva-purANam hi na-udezyati jagati-aho // Śivj-_1,2.7cd/
   tāvatsvarūpaṃ durbodhaṃ śivasya mahatāmapi // ŚivP_1,2.8ab/	tAvat-svarUpam durboDam Sivasya mahatAm-api // ŚivS-_1,2.8ab/
   yāvacchivapurāṇaṃ hi no deṣyati jagatyaho // ŚivP_1,2.8cd/	yAvat-Siva-purANam hi naH dezyati jagati-aho // Śivj-_1,2.8cd/
   tāvadyamabhaṭāḥ krūrāḥ saṃcariṣyaṃti nirbhayāḥ // ŚivP_1,2.9ab/	tAvat-yama-BawAH krUrAH saMcarizyaMti nirBayAH // ŚivS-_1,2.9ab/
   yāvacchivapurāṇaṃ hi nodeṣyati jagatyaho // ŚivP_1,2.9cd/	yAvat-Siva-purANam hi na-udezyati jagati-aho // Śivj-_1,2.9cd/
   tāvatsarvapurāṇāni pragarjaṃti mahītale // ŚivP_1,2.10ab/	tAvat-sarva-purANAni pragarjaMti mahI-tale // ŚivS-_1,2.10ab/
   yāvacchivapurāṇaṃ hi nodeṣyati jagatyaho // ŚivP_1,2.10cd/	yAvat-Siva-purANam hi na-udezyati jagati-aho // Śivj-_1,2.10cd/
   tāvatsarvāṇi tīrthāni vivadaṃti mahītale // ŚivP_1,2.11ab/	tAvat-sarvANi tIrTAni vivadaMti mahI-tale // ŚivS-_1,2.11ab/
   yāvachivapurāṇaṃ hi nodeṣyati jagatyaho // ŚivP_1,2.11cd/	yOvaCiva-purANam hi na-udezyati jagati-aho // Śivj-_1,2.11cd/
