   Āryacaturdharmanirdeśasūtram	Ārya-catur-Darma-nirdeSa-sUtram
   (pāpaśodhanopāyabhūtaṃ catuḥpratipakṣabalanirdeśasūtram)	(pApa-SoDana-upAya-BUtam catur-pratipakza-bala-nirdeSa-sUtram)
   (kha)	(Ka)
   saṃskṛte punaruddhāritam bhāratīyabhāṣāyām - āryacaturdharmanirdeśaṃ nāma	saMskRte punar-udDAritam BAratIya-BAzAyAm  AryacaturDarma-nirdeSam nAma
   mahāyānasutram /	mahAyAna-sutram /
   namaḥ sarvabuddhabodhisattvebhyaḥ evaṃ mayā śrutam - ekasmin samaye	namaH sarva-budDa-boDisattveByaH evam mayA Srutam  ekasmin samaye
   bhagavān buddhaḥ trāyastriṃśadeveṣu sudharmādevasabhāyāṃ sārddhaṃ pañcānāṃ	BagavAn budDaH trAyastriMSat-evezu suDarmAdeva-saBAyAm sArdDam paQcAnAm
   bhikṣuśatānāṃ mahāsaṃghena, saṃbahulaiḥ	Bikzu-SatAnAm mahA-saMGena, saMbahulEH
   maitreyamañjuśryādibodhisattvairmahāsattvairviharatisma / tasmin samaye	mEtreya-maQjuSrI-Adi-boDisattvEH-mahAsattvEH-viharatisma / tasmin samaye
   bhagavān buddhaḥ bodhisattvaṃ mahāsattvaṃ maitreyamuddiśyopadiṣṭavān -	BagavAn budDaH boDisattvam mahAsattvam mEtreyam-uddiSya-upadizwavAn -
   caturbhirmaitreya! dharmaiḥ samanvāgato bodhisattvo mahāsattvaḥ	caturBiH-mEtreya! DarmEH samanvAgataH boDisattvaH mahAsattvaH
   kṛtopacitaṃ pāpamabhibhavati / katamaiścaturbhiḥ? yaduta	kRta-upacitam pApam-aBiBavati / katamEH-caturBiH? yat-uta
   vidūṣaṇāsamudācāreṇa, pratipakṣasamudācāreṇa, pratyāpattibalena,	vidUzaNa-asamudAcAreNa, pratipakza-samudAcAreNa, pratyApatti-balena,
   āśrayabalena ca / tatra vidūṣaṇāsamudācāro 'kuśalaṃ karmādhyācarati,	ASraya-balena ca / tatra vidUzaNa-asamudAcAraH akuSalam karma-aDyAcarati,
   tatraiva tatraiva ca vipratisārabahulo bhavati / tatra	tatra-eva tatra-eva ca vipratisAra-bahulaH Bavati / tatra
   pratipakṣasamudācāraḥ kṛtvā 'pyakuśalaṃ karma kuśale	pratipakza-samudAcAraH kRtvA api-akuSalam karma kuSale
   karmaṇyatyarthābhiyogaṃ gataḥ / pratyāpattibalaṃ	karmaNi-atyarTa-aBiyogam gataH / pratyApatti-balam
   saṃvarasamādānādakaraṇasaṃvaralābhaḥ / tatrāśrayabalaṃ	saMvara-samAdAnAt-akaraNa-saMvara-lABaH / tatra-ASraya-balam
   buddhaḥdharmasaṃghaśaraṇagamanamanutsṛṣṭabodhicittatā ca /	budDaH-Darma-saMGa-SaraNa-gamanam-anutsRzwa-boDi-citta-tA ca /
   subalavatsaṃniśrayeṇa na śakyate pāpenābhibhavitum / ebhirmaitreya	subalavat-saMniSrayeNa na Sakyate pApena-aBiBavitum / eBiH-mEtreya
   !caturbhidharmaiḥ samanvāgato bodhisattvo mahāsattvaḥ kṛpopacittaṃ	!caturBi-DarmEH samanvAgataH boDisattvaH mahAsattvaH kRpA-upacittam
   pāpamabhibhavatīti //	pApam-aBiBavati-iti //
   bodhisattvairmahāsattvaiḥ sūtramidaṃ sadā paṭhanīyaṃ (vācayitavyaṃ)	boDisattvEH-mahAsattvEH sUtram-idam sadA paWanIyam (vAcayitavyaM)
   svādhyāyitavyaṃ cintayitavyaṃ subahulaṃ bhāvayitavyaṃ ca / anena	svADyAyitavyam cintayitavyam su-bahulam BAvayitavyam ca / anena
   duścaritāni phalaṃ nābhinirvartiṣyante / evaṃ bhagavān upadiṣṭavān /	duScaritAni Palam na-aBinirvartizyante / evam BagavAn upadizwavAn /
   bodhisattvena mahāsattvena maitreyeṇa taiśca bhikṣubhiḥ bodhisattvaiḥ	boDisattvena mahAsattvena mEtreyeNa tEH-ca BikzuBiH boDisattvEH
   śatakratvādidevaputraiḥ sarvasampannaparimaṇḍalena ca āptamanasā	Satakratu-a-Adi-deva-putrEH sarva-sampanna-parimaNxalena ca Apta-manasA
   bhagavataḥ pravacanamabhinanditam /	BagavataH pravacanam-aBinanditam /
   // iti āryacaturdharmanirdeśaṃ nāma mahāyānasūtraṃ samāptam //	// iti AryacaturDarmanirdeSam nAma mahAyAna-sUtram samAptam //
   bhāratīyopādhyāyasurendrabodhinā mahālocāvā - vandejñānasenena cānūditaṃ	BAratIya-upADyAya-sura-indra-boDinA mahAlocAvAH  vandejQAnasenena ca-anUditam
   vyavasthāpitaṃ ca /	vyavasTApitam ca /
   // bhavatu sarvamaṅgalam //	// Bavatu sarva-maFgalam //
