   a-u-ma tryakṣaraṃ saṃkhyaṃ JñS_26.11c	a-u-ma tri-akzaram saMKyam JQH-_26.11c
   akāramātraṃ sarvadā JñS_11.6d	akAra-mAtram sarvadA JQH-_11.6d
   akāraś ca ukāraś ca GNP_38a	akAraH ca ukAraH ca GNP_38a
   akāraś ca ukāraś ca JñS_18.11a	akAraH ca ukAraH ca JQH-_18.11a
   akāraś ca pralīyate GNP_51b	akAraH ca pralIyate GNP_51b
   akāraś caiva jāyate JñS_18.7b	akAraH ca-eva jAyate JQH-_18.7b
   akāraś cokāraś caiva JñS_10.6a	akAraH ca-ukAraH ca-eva JQH-_10.6a
   akāraś copajāyate GNP_34b	akAraH ca-upajAyate GNP_34b
   akāraṃ ca daśamātram JñS_11.1a	akAram ca daSa-mAtram JQH-_11.1a
   [a]kāraḥ samudāhṛtaḥ GNP_31b	[a]kAraH samudAhRtaH GNP_31b
   akāraḥ samudāhṛtaḥ JñS_18.4b	akAraH samudAhRtaH JQH-_18.4b
   akārākṣaro mūrtimān JñS_10.10d	akAra-akzaraH mUrtimAn JQH-_10.10d
   akāre vā pralīyate GNP_39b	akAre vA pralIyate GNP_39b
   akārokāralopena GNP_35c	akAra-ukAra-lopena GNP_35c
   akāro jāgradityuktam MJ_70a	akAraH jAgrat-iti-uktam M=-_70a
   akāro dakṣiṇe brahmā JñS_26.12a	akAraH dakziNe brahmA JQH-_26.12a
   akāro me pralīyate JñS_3.1b	akAraH me pralIyate JQH-_3.1b
   akāro hastavāme ca JñS_26.9a	akAraH hasta-vAme ca JQH-_26.9a
   akrodho guruśuśruṣā Vṛh_61a	akroDaH guru-SuSruzA VRh_61a
   akṣayā cāpratihatā JñS_11.18b	akzayA ca-apratihatA JQH-_11.18b
   akṣaraṃ tad idaṃ rūpaṃ JñS_25.17a	akzaram tat idam rUpam JQH-_25.17a
   akṣaraṃ tena ucyate JñS_25.17d	akzaram tena ucyate JQH-_25.17d
   akṣiliṅgasahasrāṇi GNP_14c	akzi-liFga-sahasrANi GNP_14c
   akṣiliṅgasahasrāṇi JñS_16.5c	akzi-liFga-sahasrANi JQH-_16.5c
   akṣiliṅgasahasrāṇi MJ_24c	akzi-liFga-sahasrANi M=-_24c
   akṣobhyaṃ vimalaṃ caiva JñS_25.2a	akzoByam vimalam ca-eva JQH-_25.2a
   agnivarṇṇasamaṃ nābhau MJ_36a	agni-varNNa-samam nABO Mu-_36a
   agniś ca līyate bhānau GNP_30a	agniH ca lIyate BAnO GNP_30a
   agniś ca līyate bhānau JñS_18.3a	agniH ca lIyate BAnO JQH-_18.3a
   agner eva prajananaṃ Vṛh_23c	agneH eva prajananam VRh_23c
   agrāhyaliṅgamudraṃ ca JñS_25.20a	agrAhya-liFga-mudram ca JQH-_25.20a
   aṅguṣṭhamātram adhikaprabhāvam MJ_18b	aFguzWa-mAtram aDika-praBAvam M=-_18b
   aṅguṣṭhamātram āsthāya JñS_16.10a	aFguzWa-mAtram AsTAya JQH-_16.10a
   aṅguṣṭhamātram āsthāya JñS_25.19c	aFguzWa-mAtram AsTAya JQH-_25.19c
   aṅguṣṭhamātram āsthāya MJ_57a	aFguzWa-mAtram AsTAya M=-_57a
   aṅguṣṭhamātro 'yaṃ GNP_19a	aFguzWa-mAtraH ayam GNP_19a
   acalatvāc ca tad dhruvam Vṛh_9d	acala-tvAt ca tat Druvam VRh_9d
   ajarām amarā caiva JñS_11.18a	ajarAm amarA ca-eva JQH-_11.18a
   ajñānaṃ kṣatalakṣaṇam JñS_27.3b	ajQAnam kzata-lakzaNam JQH-_27.3b
   aṇimādiguṇopetaḥ Vṛh_29c	aNima-Adi-guNa-upetaH VRh_29c
   aṇimādiguṇopeto Vṛh_32c	aNima-Adi-guNa-upetaH VRh_32c
   aṇimān triśarīraś ca Vṛh_67c	aNimAn tri-SarIraH ca VRh_67c
   aṇimā laghimā caiva Vṛh_66a	aNimA laGimA ca-eva VRh_66a
   ataḥ parataraṃ nāsti JñS_16.4c	atas parataram na-asti JQH-_16.4c
   ataḥ parataraṃ nāsti MJ_23c	atas parataram na-asti M=-_23c
   ataḥ paratarāṇy āstāni GNP_13c	atas paratarANi AstAni GNP_13c
   ataḥ prayojanān nityaṃ MJ_78a	atas prayojanAt nityam M=-_78a
   atālaṃ nābhisaṃyuktaṃ JñS_24.9a	atAlam nABi-saMyuktam JQH-_24.9a
   atikṛṣṇaṃ ca kṛṣṇāndhaṃ MJ_20c	ati-kRzNam ca kRzNa-anDam M=-_20c
   atikṛṣṇaṃ ca pittakam JñS_25.13d	ati-kRzNam ca pittakam JQH-_25.13d
   atikṛṣṇāntakṛṣṇāntaṃ JñS_16.1c	ati-kRzNa-anta-kRzNa-antam JQH-_16.1c
   atikṛṣṇāntam ... GNP_10c	ati-kRzNa-antam ... GNP_10c
   atyantaśūnyalakṣaṇam JñS_17.4d	atyanta-SUnya-lakzaNam JQH-_17.4d
   atyantaśūnyalakṣaṇam JñS_3.2d	atyanta-SUnya-lakzaNam JQH-_3.2d
   atyantaś ca vibhūḥ śūnyaḥ [?] MJ_68c	atyantaH ca viBUH SUnyaH [?] M=-_68c
   atyantaṃ tāmasaṃ cittaṃ Vṛh_24a	atyantam tAmasam cittam VRh_24a
   atyantaṃ rājasaṃ cittaṃ Vṛh_23a	atyantam rAjasam cittam VRh_23a
   atyantaṃ śūnyalakṣaṇam GNP_52d	atyantam SUnya-lakzaNam GNP_52d
   atyantaṃ sātvikaṃ cittaṃ Vṛh_20a	atyantam sAtvikam cittam VRh_20a
   atyantaḥ paramaḥ śivaḥ MJ_69d	atyantaH paramaH SivaH M=-_69d
   atyātmā niṣkalātmā ca JñS_10.4c	ati-AtmA nizkala-AtmA ca JQH-_10.4c
   atyātmā sūryasannibhaḥ JñS_10.14b	atyAtmA sUrya-sanniBaH JQH-_10.14b
   athātaḥ sampravakṣyāmi Vṛh_36a	aTa-atas sampravakzyAmi VRh_36a
   adhivastugataḥ bhavet Vṛh_70b	aDivastu-gataH Bavet VRh_70b
   adhītya jñānasiddhāntaṃ JñS_27.1a	aDItya jQAna-sidDAntam JQH-_27.1a
   adhītya mānavaloke JñS_27.6c	aDItya mAnava-loke JQH-_27.6c
   anadṛśyam anopamaṃ JñS_8.5c	anadRSyam anopamam JQH-_8.5c
   anantarā yena bahuṃ JñS_21.2c	anantarAH yena bahum JQH-_21.2c
   anādiparameśvara Vṛh_2b	anAdi-parameSvara VRh_2b
   anādiparameśvara Vṛh_5b	anAdi-parameSvara VRh_5b
   anirdeśyam alakṣaṇam Vṛh_8b	anirdeSyam alakzaNam VRh_8b
   anugrahanī codanī JñS_11.23c	anugrahanI codanI JQH-_11.23c
   aneko viditaḥ śarvaḥ JñS_8.2c	anekaH viditaH SarvaH JQH-_8.2c
   anaupamyam anādṛśyaṃ Vṛh_8c	anOpamyam anAdRSyam VRh_8c
   anaupamyam anāmayam Vṛh_7b	anOpamyam anAmayam VRh_7b
   antarātmā paras tathā JñS_13.2b	antarAtmA paraH taTA JQH-_13.2b
   antarātmā pitāmahaḥ MJ_69b	antarAtmA pitAmahaH Mu-_69b
   antarātmā bhaved viṣṇuḥ JñS_10.11a	antarAtmA Bavet vizNuH JQH-_10.11a
   antaś ca paramaṃ tattvaṃ JñS_23.3a	antar ca paramam tattvam JQH-_23.3a
   antaḥkaraṇam ity uktam JñS_11.14c	antaHkaraNam iti uktam JQH-_11.14c
   antyo bhūḥ paramaḥ śivaḥ MJ_68d	antyaH BUH paramaH SivaH M=-_68d
   andhā andhaiḥ samāyuktā Vṛh_4a	anDAH anDEH samAyuktAH VRh_4a
   anyo 'nyena bhramāpyate Vṛh_4d	anyaH anyena Brama-Apyate VRh_4d
   aparāhhne suṣuptaṃ ca MJ_43c	aparAhhne suzuptam ca M=-_43c
   apānaḥ kena saṃsthitaḥ Vṛh_42b	apAnaH kena saMsTitaH VRh_42b
   apāne kṛkāre vā ca JñS_12.10d	apAne kRkAre vA ca JQH-_12.10d
   apramādaś ca pañcaite Vṛh_61c	apramAdaH ca paQca-ete VRh_61c
   aprameyam anantatvād Vṛh_8a	aprameyam ananta-tvAt VRh_8a
   aprameyam anirdeśyam Vṛh_7a	aprameyam anirdeSyam VRh_7a
   apsu devo dvijātīṇām GNP_16a	apsu devaH dvijAtINAm GNP_16a
   apsu devo dvijātīṇām JñS_16.7a	apsu devaH dvijAtINAm JQH-_16.7a
   apsu devo dvijātīnām MJ_26a	apsu devaH dvijAtInAm M=-_26a
   abhyantare māsadivāsayuktam JñS_22.2d	aByantare mAsa-divAsa-yuktam JQH-_22.2d
   amadhyaṃ mordhvam eva ca GNP_32b	amaDyam mA-UrDvam eva ca GNP_32b
   amadhyaṃ mordhvam eva ca JñS_18.5b	amaDyam mA-UrDvam eva ca JQH-_18.5b
   ayaṃ kṛkarabāyuś ca JñS_12.27a	ayam kRkarabAyuH ca JQH-_12.27a
   ayaṃ putro mahādakṣas Vṛh_50a	ayam putraH mahA-dakzaH VRh_50a
   arūpatvāt pracaryate Vṛh_11d	arUpa-tvAt pracaryate VRh_11d
   arcayanti ca ye mohāt GNP_17c	arcayanti ca ye mohAt GNP_17c
   arcayanti ca ye mohāt JñS_16.8c	arcayanti ca ye mohAt JQH-_16.8c
   arccayanti ca ye mūrkkhāḥ MJ_28c	arccayanti ca ye mUrkKAH M=-_28c
   ardhacandrako vinduś ca JñS_10.6c	arDacandrakaH vinduH ca JQH-_10.6c
   alambuṣā kuhūś caiva Vṛh_38a	alambuzA kuhUH ca-eva VRh_38a
   aliṅgaṃ cintayen nityaṃ Vṛh_59c	aliFgam cintayet nityam VRh_59c
   avikāradharmitvaṃ tu JñS_11.5c	avikAra-Darmi-tvam tu JQH-_11.5c
   avijñeyātidurgrāhyaṃ JñS_8.1c	avijQeya-ati-durgrAhyam JQH-_8.1c
   avyaktaṃ puruṣaṃ viduḥ MJ_80b	avyaktam puruzam viduH M=-_80b
   avyayaṃ paripūrṇatvād Vṛh_10a	avyayam paripUrNa-tvAt VRh_10a
   avyayaṃ paripūrṇaṃ ca JñS_8.5a	avyayam paripUrNam ca JQH-_8.5a
   aśaraṇasya sa bhrātā Vṛh_13a	aSaraNasya sa BrAtA VRh_13a
   aṣṭatiṃśati vibhāgāḥ JñS_12.27d	azwatiMSati viBAgAH JQH-_12.27d
   aṣṭaśaktisamupeta JñS_11.14a	azwa-Sakti-samupeta JQH-_11.14a
   asadbhāva vivarjitam Vṛh_48b	asadBAva vivarjitam VRh_48b
   (a)saumyatā nityabandhatā Vṛh_19d	(a)-sOmya-tA nitya-banDa-tA VRh_19d
   astainyam iti pañcaite Vṛh_60c	astEnyam iti paQca-ete VRh_60c
   ahaṅkāras tathā rudraḥ MJ_72c	ahaFkAraH taTA rudraH M=-_72c
   ahaṅkāraḥ śivaḥ proktaḥ JñS_26.13c	ahaFkAraH SivaH proktaH JQH-_26.13c
   ahaṅkāraḥ santālakam JñS_24.8b	ahaFkAraH santAlakam JQH-_24.8b
   ahaṅkārākhyanirgatāḥ Vṛh_36d	ahaFkAra-AKya-nirgatAH VRh_36d
   ahaṅkāro mano buddhiḥ JñS_26.16c	ahaFkAraH manaH budDiH JQH-_26.16c
   ahiṃsā brahmacaryañ ca Vṛh_60a	ahiMsA brahmacaryan ca VRh_60a
   aho māyāvimohitaḥ JñS_27.5d	aho mAyA-vimohitaH JQH-_27.5d
