   [I. dānapāramitā]	[I. dAna pAramitA]
   śikṣā samuccayaḥ |	SikzA  samuccayaH |
   dāna pāramitā nāma prathamaḥ paricchedaḥ ||	dAna pAramitA nAma praTamaH paricCedaH ||
   namaḥ sarva buddha bodhi satvebhyaḥ ||	namaH sarva budDa  boDi  satveByaH ||
   yasya + a śraveṇa naraka ādi mahā prapāta dāha ādi duṣkham anubhūtam abhūd	yasya + a SraveNa naraka  Adi mahA  prapAta  dAha  Adi duzKam anuBUtam aBUt 
   bhavadbhiḥ | tīvraṃ punaḥ punar an antam a śānta cittais tac * chrotum	BavadBiH | tIvram punar punar an antam a SAnta  cittEH tat * Srotum
   ādaram udārataraṃ bhajadhvam ||	Adaram udArataram BajaDvam ||
   śrutvā ... pāpaṃ an uddhata ātmā pūrva arjitaṃ ca vipulaṃ kṣapayaty	SrutvA ... pApam an udData a AtmA pUrva  arjitam ca vipulam kzapayati 
   a śeṣam | a prāpta pūrvam api saukhyam avāpnuvanti hāniṃ sukhāc ca na	a Sezam | a prApta  pUrvam api sOKyam avApnuvanti hAnim suKAt ca na
   kadā cid api prayānti ||	kadA cid api prayAnti ||
   sambodhi satva sukham uttamam a kṣaya ... apy a sama saṃpadam āpnuvanti |	samboDi  satva  suKam uttamam a kzaya ... api a sama  saMpadam Apnuvanti |
   tad dharma ratnam ati dur labham apy a labdhaṃ labdha kṣaṇāḥ śṛṇvata	tat Darma  ratnam ati duH  laBam api a labDam labDa   kzaNAH SRNvata
   sa ādaram ucyamānam ||	sa Adaram ucyamAnam ||
   āyāntu ca tri bhuvana eka hitasya vākyaṃ śrotuṃ prasanna manasaḥ	AyAntu ca tri Buvana  eka hitasya vAkyam Srotum prasanna  manasaH
   sura nāga satvāḥ | gandharva yakṣa garuḍa asura kinnara indrāḥ	sura nAga  satvAH | ganDarva  yakza  garuxa  asura  kinnara  indrAH
   preta ādayaḥ śravaṇa jāta tṛṣaḥ sa harṣāḥ ||	preta AdayaH SravaNa  jAta  tRzaH sa harzAH ||
   su gatān sa sutān sa dharma kāyān praṇipatya + ādarato * akhilāṃś ca	su gatAn sa  sutAn sa Darma kAyAn praNipatya + AdarataH * aKilAn ca
   vandyān | su gata ātma ja samvara avatāraṃ kathayiṣyāmi	vandyAn | su gata  Atma   ja  samvara  avatAram kaTayizyAmi
   samuccita artha vākyaiḥ ||	samuccita  arTa  vAkyEH ||
   na ca kiñ cid a pūrvam atra vācyaṃ na ca saṃgranthana kauśalaṃ mama + asti	na ca kiQ cid a pUrvam atra vAcyam na ca saMgranTana  kOSalam mama + asti
   | ata eva na me para artha yatnaḥ sva mano bhāvayituṃ mama + idam iṣṭam ||	| atas eva na me para  arTa yatnaH sva manaH BAvayitum mama + idam izwam ||
   mama tāvad anena yāti vṛddhiṃ kuśalaṃ bhāvayituṃ prasāda vegaḥ | yadi	mama tAvat anena yAti vRdDim kuSalam BAvayitum prasAda  vegaH | yadi
   mat sama dhātur eva paśyed a paro * apy enam ato * api sa arthako * ayam	mat  sama DAtuH eva paSyet a paraH * api enam atas * api sa arTakaH * ayam
   kṣaṇa sampad iyaṃ su dur labhā pratilabdhā puruṣa artha sādhanī | yadi na	kzaNa  sampad iyam su duH  laBA pratilabDA puruza  arTa  sADanI | yadi na
   + atra vicintyate hitaṃ punar apy eṣa samāgamaḥ kutaḥ ||	+ atra vicintyate hitam punar api eza samAgamaH kutas ||
   yathā + uktam ārya gaṇḍa vyūha sūtre | ārya jaya uṣma āyatana vimokṣe ||	yaTA + uktam Arya gaNxa vyUha sUtre | Arya jaya  uzma Ayatana  vimokze ||
   dur labhā + aṣṭā kṣaṇa nirvṛttir dur labho manuṣya pratilambho dur labhā	dur laBA + azwa a  kzaNa  nirvRttiH dur laBaH manuzya  pratilamBaH dur laBA
   kṣaṇa saṃpat viśuddhir dur labho buddha utpādo | dur labhā +	kzaNa  saMpat  viSudDiH dur laBaH budDa  utpAdaH | dur laBA +
   a vikala indriyatā | dur labho buddha dharma śravo | dur labhaṃ	a vikala indriya tA | dur laBaH budDa  Darma  SravaH | dur laBam
   sat puruṣa samavadhānaṃ | dur labhāni bhūta kalyāṇa mitrāṇi | dur labho	sat  puruza  samavaDAnam | dur laBAni BUta  kalyANa  mitrANi | dur laBaH 
   bhūta naya anuśāsany upasaṃhāraḥ | dur labhaṃ samyag jīvitaṃ | dur labhaḥ	BUta  naya anuSAsanI upasaMhAraH | dur laBam samyak  jIvitam | dur laBaH
   sad dharme tad anukūlaḥ prayatno manuṣyalokae iti ||	sad Darme tad  anukUlaH prayatnaH manuzya lokae iti ||
   tad evaṃ vidhaṃ samāgamam āsādya saṃvṛti parama arthataḥ	tat evaM viDam samAgamam AsAdya saMvRti parama  arTataH
   su vidita saṃsāra duṣkhasya + upaśamana sukha abhilāṣiṇo	su vidita  saMsAra  duzKasya + upaSamana  suKa  aBilAziNaH 
   buddha gotra anubhāvāt tu yasya mahāsatvasya + evaṃ pratyavekṣā +	budDa  gotra  anuBAvAt tu yasya mahAsatvasya + evam pratyavekzA +
   utpadyate ||	utpadyate ||
   yadā mama pareṣāṃ ca bhayaṃ duṣkhaṃ ca na priyaṃ | tadā + ātmanaḥ ko	yadA mama parezAm ca Bayam duzKam ca na priyam | tadA + AtmanaH ko
   viśeṣo yat taṃ rakṣāmi na + itaram | iti tena + ātmanaḥ satva dhātoś ca ||	viSezaH yat tam rakzAmi na + itaram | iti tena + AtmanaH satva DAtoH ca ||
   duṣkha antaṃ karttu kāmena sukha antaṃ gantum icchatā | śraddhā mūlaṃ	duzKa antam karttu  kAmena suKa antam gantum icCatA | SradDA mUlam
   dṛḍhī kṛtya bodhau kāryā matir dṛḍhā ||	dRXI kRtya boDO kAryA matiH dRXAH ||
   uktaṃ hi ratna ulkā dhāraṇyām ||	uktam hi ratna ulka a DAraNyAm ||
   śraddhayamānu jinān jinadharmmān śraddhayate cari buddha sutānām | bodhi	SradDayamAnu jinAn jina DarmmAn SradDayate cari budDa  sutAnAm | boDi
   anuttara śraddhayamāno jāyati cittaṃ mahā puruṣāṇām ||	anuttara SradDayamAnaH jAyati cittam mahA  puruzANAm ||
   śraddha puro gata mātṛ janetrī pālika varddhika sarva guṇānām |	SradDa puro gata  mAtR ja netrI pAlika vardDika sarva  guNAnAm |
   kāṃkṣa vinodani ogha pratāraṇi | śraddha nidarśani kṣema purasya ||	kAMkza vinodani oGa  pratAraNi | SradDa  nidarSani kzema purasya ||
   śraddha an āvila citta prasādo māna vivarjita gaurava mūlā | śraddha	SradDa an A Avila  citta  prasAdaH mAna  vivarjita gOrava  mUlAH | SradDa
   nidhāna dhanaṃ caraṇa agraṃ pāṇi yathā śubha saṃgraha mūlam ||	niDAna  Danam caraNa agram pANi yaTA SuBa  saMgraha mUlam ||
   śraddha pramoda karī parityāge | śraddha praharṣa karī jina dharmme |	SradDa pramoda karI parityAge | SradDa praharza karI jina Darmme |
   śraddha viśeṣa karī guṇa jñāne | daiśika prāpaṇi buddha gatī ye ||	SradDa viSeza  karI guNa  jQAne | dESika prApaNi budDa  gatI ye ||
   indriya tīkṣṇa prabhāsvaratāyai | śraddha balaṃ a vimardanatāyai |	indriya  tIkzNa  praBA svaratAyE | SradDa balam a vimardana tAyE |
   niśraya kleśa adharṣikatāyai | aiṣikā śraddha svayaṃ bhu guṇānām ||	niSraya  kleSa  aDarzika tAyE | EzikA SradDa svayaM Bu  guNAnAm ||
   śraddha a saṅgata saṅga sukheṣu a kṣaṇa varjita eka kṣaṇa agram | śraddha	SradDa a saFgata saFga  suKezu a kzaNa varjitaH eka  kzaNa  agram | SradDa
   atikramu māra pathasya | darśika uttama mokṣa pathasya ||	atikramu mAra paTasya | darSikaH uttama mokza paTasya ||
   vījam a pūtiku hetu guṇānāṃ | śraddha virohaṇi bodhi drumasya | varddhani	vIjam a pUtiku hetu  guNAnAm | SradDa virohaNi boDi  drumasya | vardDani
   jñāna viśeṣa sukhānāṃ | śraddha nidarśika sarva jinānāṃ ||	jQAna  viSeza  suKAnAm | SradDa nidarSika sarva jinAnAm ||
   ye sada śraddha sa gaurava buddhe | te tu na śīla na śikṣa tyajanti | ye	ye sada SradDa sa gOrava budDe | te tu na SIla na Sikza tyajanti | ye
   tu na śīla na śikṣa tyajantī | te guṇavāṃ stutaye [doubtful] guṇavantaḥ ||	tu na SIla na Sikza tyajantI | te guNavAm stutaye [doubtful] guNavantaH ||
   ye sada śraddha sa gaurava dharmme | te jina dharmma a tṛpta śṛṇontī	ye sada SradDa sa gOrava  Darmme | te jina Darmma a tRpta  SRNontI
   [doubtful] ||	[doubtful] ||
   ye jina dharmm a tṛpta śṛṇontī | teṣv adhimukti a cintiya dharmme ||	ye jina Darmm a tRpta  SRNontI | tezu aDimukti a cintiya  Darmme ||
   ye sada śraddha sa gaurava saṃghe | te a vivarttika saṃgha prasannāḥ ||	ye sada SradDa sa gOrava  saMGe | te a vivarttika saMGa  prasannAH ||
   ye a vivarttika saṃgha prasannās te a vivarttika śraddha balātaḥ | ye	ye a vivarttika saMGa  prasannAH te a vivarttika SradDa balAtaH | ye
   a vivarttika śraddha balāto | indriya tīkṣṇa prabhāsvara teṣām ||	a vivarttika SradDa balAtaH | indriya  tIkzNa  praBAsvara tezAm ||
   indriya tīkṣṇa prabhāsvara yeṣām tehi vivarjita pāpaka mitrāḥ | yehi	indriya  tIkzNa  praBAsvara yezAm tehi vivarjita pApaka mitrAH | yehi
   vivarjita pāpaka mitrāḥ dhārmmika mitra parigraha teṣām ||	vivarjita pApaka  mitrAH DArmmika  mitra  parigraha tezAm ||
   dhārmika mitra parigraha yeṣām | te vipulaṃ kuśala + upacinvanti | ye	DArmika  mitra  parigraha yezAm | te vipulam kuSalaH + upacinvanti | ye
   vipulaṃ kuśala + upacinontī hetu bala upagatāya mahā ātmā ||	vipulam kuSala + upacinontI hetu  bala upagatAya mahA AtmA ||
   hetu bala upagatāya mahā ātmā | teṣa udāra dhimukti viśeṣāḥ | yeṣa	hetu bala upagatAya mahA AtmA | tezaH udAra Di mukti  viSezAH | yeza
   udāra dhimukti viśeṣās te sadā + adhiṣṭhita sarva jinebhiḥ ||	udAra Di mukti  viSezAH te sadA + aDizWita sarva jineBiH ||
   ye sadā + adhiṣṭhita sarva jinebhis teṣu + upapadyati bodhayi cittam |	ye sadA + aDizWita sarva jineBiH tezu + upapadyati boDayi cittam |
   yeṣu + upapadyati bodhayi cittaṃ te abhiyukta maha rṣi guṇeṣu ||	yezu + upapadyati boDayi cittam te aBiyukta mahA  Rzi  guNezu ||
   ye abhiyukta maha rṣi guṇeṣu jātaya buddha kule anujātāḥ | jātaya	ye aBiyukta mahA  Rzi  guNezu jAtaya budDa kule anujAtAH | jAtaya
   buddha kule anujātās te samayoga a yoga vimuktāḥ ||	budDa kule anujAtAH te sama yoga a yoga  vimuktAH ||
   ye samayoga a yoga vimuktāḥ | āśaya teṣa prasāda viśuddhaḥ ||	ye sama yoga a yoga  vimuktAH | ASaya teza prasAda  viSudDaH ||
   āśayu yeṣa prasāda viśuddhaḥ teṣa adhyāśayu uttama śreṣṭhaḥ | yeṣa	ASayu yeza prasAda  viSudDaH teza aDyASayu uttama  SrezWaH | yeza
   adhyāśayu uttama śreṣṭhas te sada pāramitāsu caranti ||	aDyASayu uttama  SrezWaH te sada pAramitAsu caranti ||
   ye sada pāramitāsu carantī te pratipanna iho maha yāne | ye pratipanna iho	ye sada pAramitAsu carantI te pratipannaH iha u maha yAne | ye pratipannaH iha u
   maha yāne te pratipattitu pūjayi buddhān ||	maha yAne te pratipattitu pUjayi budDAn ||
