   Vasudhārādhāraṇī	Vasu-DArA-DAraNI
   evaṃ mayā śrutam ekasamaye bhagavān kauśāmbyāṃ viharati sma /	evam mayA Srutam eka-samaye BagavAn kOSAmbyAm viharati sma /
   kaṇṭakasaṃjñake mahāvanavare mahatā bhikṣusaṃghena sārdhaṃ paṃcamātrair	kaNwaka-saMjQake mahA-vana-vare mahatA Bikzu-saMGena sArDam paMca-mAtrEH-
   bhikṣuśataiḥ saṃbahulaiś ca bodhisatvair mahāsatvaiḥ	Bikzu-SatEH saMbahulEH ca boDisatvEH mahAsatvEH
   sarvabuddhadharmaguṇasamanvāgataiḥ	sarva-budDa-Darma-guNa-samanvAgatEH
   tena khalu punaḥ samayena kauśāmbyāṃ mahānagaryāṃ sucandro nāma gṛhapatiḥ	tena Kalu punar samayena kOSAmbyAm mahA-nagaryAm sucandraH nAma gRhapatiH
   prativasati sma / upaśāntendriyo upaśāntamānasaḥ bahuputro bahuduhitriko	prativasati sma / upaSAnta-indriyaH upaSAnta-mAnasaH bahu-putraH bahu-duhitrikaH-
   bahubhṛtyaparijanasaṃpannaḥ śrāddho mahāśrāddhaḥ sa yena bhagavāṃs	bahu-BRtya-parijana-saMpannaH SrAdDaH mahA-SrAdDaH sa yena BagavAn=-
   tenopasaṃkrānta upasaṃkramya bhagavataḥ pādau śirasā vanditvā bhagavantam	tena-upasaMkrAntaH upasaMkramya BagavataH pAdO SirasA vanditvA Bagavantam
   anekaśatasahasrakṛtvaḥ pradakṣaṇīkṛtyaikānte nyaṣīdat* ekāntaniṣaṇṇaḥ	aneka-Sata-sahasra-kRtvas pradakzaNIkRtya-ekAnte nyazIdat* ekAnta-nizaNNaH
   sucandro gṛhapatir bhagavantam etad avocat*	sucandraH gRhapatiH Bagavantam etat avocat-*
   pṛccheyam ahaṃ bhagavantaṃ tathāgatam arhantaṃ samyaksaṃbuddhaṃ kaṃcit	pRcCeyam aham Bagavantam taTAgatam arhantam samyaksaMbudDam kaMcid-
   pradeśaṃ praṣṭuṃ / sacen me bhagavān avakāśaṃ kuryāt	pradeSam prazwum / saced me BagavAn avakASam kuryAt-
   pṛṣṭapraśnavyākaraṇāya // evam ukte bhagavān sucandraṃ gṛhapatim etad	pRzwa-praSna-vyAkaraNAya // evam ukte BagavAn sucandram gRhapatim etat-
   avocat* pṛccha tvaṃ gṛhapate yad yad evākāṃkṣasy ahaṃ te yathāpṛṣṭena [GBM	avocat* pRcCa tvam gRhapate yat yat eva-akAMkzasi aham te yaTApRzwena [GBm
   1427(fol. 35v)1] cittam ārādhayiṣye / evam ukte sucandro gṛhapatir	1427(fol. 35v)1] cittam ArADayizye / evam ukte sucandraH gRhapatiH-
   bhagavantam etad avocat* kathaṃ bhagavan kulaputro vā kuladuhitā vā	Bagavantam etat avocat* kaTam Bagavan kula-putraH vA kula-duhitA vA
   daridro bhūtvā adaridro bhavati vyādhitaś ca bhūtvā avyādhito bhavati //	daridraH BUtvA adaridraH Bavati vyADitaH ca BUtvA avyADitaH Bavati //
   atha khalu bhagavāṃ jānann eva sucandraṃ gṛhapatim etad avocat* kim iti	aTa Kalu BagavAm jAnan eva sucandram gRhapatim etat avocat* kim iti
   tvaṃ gṛhapate adaridratāyā praśnaṃ pṛcchasi // evam ukte sucandro	tvam gRhapate adaridra-tAyAH praSnam pRcCasi // evam ukte sucandraH-
   gṛhapatir bhagavantam etad avocat* daridro 'haṃ bhagavan bahupoṣyo	gRhapatiH Bagavantam etat avocat* daridraH aham Bagavan bahu-pozyaH-
   bahuputro bahuduhitrikas tad deśayatu bhagavāṃs taṃ dharmaparyāyaṃ yena	bahu-putraH bahu-duhitrikaH tat deSayatu BagavAn tam Darma-paryAyam yena
   daridrāḥ satvā adaridrā bhaveyuḥ bahudhanadhānyakośakoṣṭāgārasaṃpannāś ca	daridrAH satvAH adaridrAH BaveyuH bahu-Dana-DAnya-koSa-kozwa-AgAra-saMpannAH ca
   bhaveyuḥ pṛyā manāpā manojñadarśanāś ca bhaveyuḥ dānapatayo	BaveyuH pRyAH manApAH manojQa-darSanAH ca BaveyuH dAnapatayaH-
   mahādānapatayaḥ	mahA-dAnapatayaH
   akṣīṇahiraṇyasuvarṇadhanadhānyaratnakośakoṣṭāgāramaṇimuktāvajraśaṃkhaśilāpravāḍajātarūparajatasamṛddhāś	akzINa-hiraNya-suvarNa-Dana-DAnya-ratna-koSa-kozwa-AgAra-maNi-muktA-vajra-SaMKa-SilA-pravAxa-jAtarUpa-rajata-samRdDAH-
   ca bhaveyuḥ supratiṣṭhitagṛhaputradārakuṭuṃbāś ca bhaveyuḥ	ca BaveyuH su-pratizWita-gRha-putra-dAra-kuwuMbAH ca BaveyuH
   evam ukte bhagavāṃ sucandraṃ gṛhapatim etad avocat* bhūtapūrvaṃ gṛhapate	evam ukte BagavAm sucandram gRhapatim etat avocat* BUta-pUrvam gRhapate
   atīta	atIta
   GBM 1286(fol. (36)r)1 /// samayena bhagavāṃ vajradharasāgaranirghoṣo nāma	GBm 1286(fol. (36)r)1 /// samayena BagavAm vajraDara-sAgara-nirGozaH nAma
   tathāgato 'rhan samyaksaṃbuddho ///	taTAgataH arhan samyaksaMbudDaH ///
   2 /// myasārathiḥ śāstā devamanuṣyāṇāṃ buddho bhagavāṃ tasya	2 /// mi-asAraTiH SAstA deva-manuzyANAm budDaH BagavAm tasya
   tathāgatasyāntikā .. ///	taTAgatasya-antikAH .. ///
   3 /// tā dhāritā vācitā paryavāptā anumoditā parebhyaś ca vistareṇa	3 /// tA DAritA vAcitA paryavAptA anumoditA pareByaH ca vistareNa
   saṃprakā .. ///	saMprakAH .. ///
   4 /// .. ne mānuṣā na viheṭhayanti / amānuṣā na viheṭhayanti / yakṣā na	4 /// .. ne mAnuzAH na viheWayanti / amAnuzAH na viheWayanti / yakzAH na
   vihe ///	vihe ///
   5 /// .. ṭhayanti / evaṃ kuṃbhāṇḍā austārakā pūtanā kaṭapūtanā yātudhānā	5 /// .. Wayanti / evam kuMBANxA OstArakA pUtanA kawa-pUtanA yAtuDAnA
   na + + ///	na + + ///
   6 /// hārā rasāhārā jātāhārā syandanikāhārā na viheṭhayanti / yasyetaṃ	6 /// hArAH rasa-AhArAH jAta-AhArAH syandanikA-AhArAH na viheWayanti / yasya-itam
   gṛha ///	gRha ///
   GBM 1287(fol. (36)v)1 /// .. śrutigatā / paryavāptā vācitā / dhāritā	GBm 1287(fol. (36)v)1 /// .. Sruti-gatA / paryavAptA vAcitA / DAritA
   anumoditā parebhyaś ca vistareṇa saṃprakāśi	anumoditA pareByaH ca vistareNa saMprakASi
   2 /// tāya sukhāya kṣemāya subhikṣāya / yogakṣemāya bhaviṣyati / yaś	2 /// tAya suKAya kzemAya suBikzAya / yogakzemAya Bavizyati / yaH-
   caināṃ vasudhā	ca-enAm vasuDA
   3 /// ardharātres tridhā vā caturvārān asya devatā āttamanaskā svayam	3 /// arDarAtreH triDA vA catur-vArAn asya devatA Atta-manaskA svayam
   āgamya dhānyavṛṣṭiṃ pāta	Agamya DAnya-vRzwim pAta
   4 /// prītā saṃghaprajñaptyā prītā dharmabhāṇakasyāśayena // namo	4 /// prItA saMGa-prajQaptyA prItAH Darma-BANakasya-ASayena // namaH-
   vajradharasāgaranirgho	vajraDara-sAgara-nirGaH-
   5 /// + .. me acaphame acapame / udghātani / udbhedani / ucchedani /	5 /// + .. me acaPame acapame / udGAtani / udBedani / ucCedani /
   sasyavati dhānya	sasyavati DAnya
   6 /// + + + + + surūpe amale ananaste vinanaste viśvakeśi / paṃkure	6 /// + + + + + surUpe amale ananaH-te vinanaH-te viSva-keSi / paMkure
   saṃkure /	saMkure /
   [GBM 1428(fol. 37r)1] khakhare khakhame / dhudhume / tara tara tara /	[GBm 1428(fol. 37r)1] Ka-Kare Ka-Kame / DuDume / tara tara taraH /
   vajra vajra vajropame kaṭe kaṭe / ukke nukke varṣaṇī niṣpādani /	vajra vajra vajra-upame kawe kawe / ukke nukke varzaNI nizpAdani /
   vajradharasāgaranirghoṣaṃ tathāgatam anusmara / smara smara /	vajraDara-sAgara-nirGozam taTAgatam anusmara / smara smara /
   sarvatathāgatasatyam anusmara / saṃghasatyam anusmara / taṭa taṭa / pūra	sarva-taTAgata-satyam anusmara / saMGa-satyam anusmara / tawa tawa / pUra
   pūra / pūraya pūraya / sarvāśā mama dāmasiṃghasya bhara bharaṇe /	pUraH / pUraya pUrayaH / sarva-ASA mama dAma-siMGasya Bara BaraNe /
   sumaṃgale śāntamati / mahāmati maṃgalamati / subhadramati / āgaccha	su-maMgale SAntam-ati / mahAmati maMgalam-ati / suBadram-ati / AgacCa
   samayam anusmara svāhā // ācaraṇam anusmara svāhā // ādhāraṇam anusmara	samayam anusmara svAhA // AcaraNam anusmara svAhA // ADAraNam anusmara
   svāhā // prabhāvam anusmara svāhā // dhṛtim anusmara svāhā // vijayam	svAhA // praBAvam anusmara svAhA // DRtim anusmara svAhA // vijayam
   anusmara svāhā // sarvasatvavijayam anusmara svāhā // iyaṃ sā gṛhapate	anusmara svAhA // sarva-satva-vijayam anusmara svAhA // iyam sA gRhapate
   vasudhārā nāma dhāraṇī asyā dhāraṇyānubhāvena rogadurbhikṣamarakāntārādayo	vasuDArA nAma DAraNI asyAH DAraNya-anuBAvena roga-durBikza-mara-kAnta-ArAdayaH-
   na prabhavanti yas tu gṛhapate imāni vasudhārādhāraṇīmantrapadāni	na praBavanti yaH tu gRhapate imAni vasu-DArA-DAraNI-mantra-padAni
   tathāgatānām arhatānāṃ samyaksaṃbuddhānāṃ pūjāṃ kṛtvā ekarātram āvartaye	taTAgatAnAm arhatAnAm samyaksaMbudDAnAm pUjAm kRtvA eka-rAtram Avartaye
   tasya mahāpuruṣamātrayā dhārayā gṛham [GBM 1429(fol.37v)1] abhiparipūraye	tasya mahApuruza-mAtrayA DArayA gRham [GBm 1429(fol.37v)1] aBiparipUraye
   / sarvadhānyaiḥ sarvopakaraṇaiḥ sarvopadravāṃś ca nāśayati tena hi tvaṃ	/ sarva-DAnyEH sarva-upakaraNEH sarva-upadravAn ca nASayati tena hi tvam
   gṛhapate udgṛhṇīṣvemāṃ vasudhārādhāraṇīṃ dhāraya vācaya deśaya / parebhyaś	gRhapate udgRhNIzu-a-imAm vasuDArA-DAraNIm DAraya vAcaya deSaya / pareByaS
   ca vistareṇa saṃprakāśaya / tat te bhaviṣyati dīrgharātram arthāya hitāya	ca vistareNa saMprakASaya / tat te Bavizyati dIrGarAtram arTAya hitAya
   sukhāyeti sādhu bhagavann iti / sucandro gṛhapatir bhagavato 'ntikād imāṃ	suKAya-iti sADu Bagavan iti / sucandraH gRhapatiH BagavataH antikAt imAm
   vasudhārādhāraṇīṃ śrutvā hṛṣṭas tuṣṭa udagra āttamanā pramuditaḥ	vasu-DArA-DAraNIm SrutvA hRzwaH tuzwaH udagre Atta-manA pramuditaH
   prītisaumanasyajāto bhagavataś caraṇayor nipatya bhagavantam etad avocat*	prIti-sOmanasya-jAtaH BagavataH caraNayoH nipatya Bagavantam etat avocat-*
   udgṛhītā me vasudhārādhāraṇī prahvīkṛtā dhāritā vācitā paryavāptā idānīṃ	udgRhItA me vasuDArA-DAraNI prahvIkRtA DAritA vAcitA paryavAptA idAnIm
   parebhyo vistareṇa saṃprakāśayiṣyāmi / atha khalu sucandro gṛhapatir	pareByaH vistareNa saMprakASayizyAmi / aTa Kalu sucandraH gRhapatiH-
   bhagavantam anekaśatasahasrakṛtvaḥ pradakṣiṇīkṛtya bhagavataḥ pādau śirasā	Bagavantam aneka-Sata-sahasra-kRtvas pradakziNIkRtya BagavataH pAdO SirasA
   vanditvā bhagavantaṃ punar anavalokya bhagavato 'ntikāt prakrāntaḥ	vanditvA Bagavantam punar anavalokya BagavataH antikAt prakrAntaH
   atha khalu bhagavān āyuṣmantam ānandam āmantrayate sma / gaccha tvam	aTa Kalu BagavAn Ayuzmantam Anandam Amantrayate sma / gacCa tvam
   ānanda sucandragṛhapater niveśanaṃ gatvā cākāraṃ paśya paripūrṇaṃ	Ananda su-candra-gRhapateH niveSanam gatvA ca-AkAram paSya paripUrNam
   dhanadhānyasamṛddhaṃ ratnasamṛddhaṃ ca / [GBM 1430(fol. 38)r1]	Dana-DAnya-samRdDam ratna-samRdDam ca / [GBm 1430(fol. 38)r1]
   sarvopakaraṇaiś ca mahākośakoṣṭāgārāṇi paripūrṇāni / athāyuṣmān ānandaḥ	sarva-upakaraNEH ca mahAkoSa-kozwAgArANi paripUrNAni / aTa-AyuzmAn AnandaH
   sucandrasya gṛhapater niveśanaṃ dṛṣṭvā vismitaḥ prītisaumanasyajāto	sucandrasya gRhapateH niveSanam dRzwvA vismitaH prIti-sOmanasya-jAtaH-
   bhagavantam etad avocat* ko bhagavan hetuḥ kaḥ pratyayo yena sucandro	Bagavantam etat avocat* kaH Bagavan hetuH kaH pratyayaH yena sucandraH-
   gṛhapatir mahādhano mahābhogo mahākośakoṣṭāgārasamṛddhaḥ saṃvṛttaḥ /	gRhapatiH mahADanaH mahA-BogaH mahAkoSa-kozwa-AgAra-samRdDaH saMvRttaH /
   bhagavān āha / śrāddhaḥ ānanda sucandro gṛhapatiḥ paramaśrāddhaḥ	BagavAn Aha / SrAdDaH Ananda sucandraH gRhapatiH parama-SrAdDaH
   kalyāṇāśayo dhāritā cānena vasudhārādhāraṇī pravartitā udgṛhītā vācitā /	kalyANa-ASayaH DAritA ca-anena vasu-DArA-DAraNI pravartitA udgRhItA vAcitA /
   paryavāptā parebhyaś ca vistareṇa saṃprakāśitā / tena hy ānanda tvam	paryavAptA pareByaH ca vistareNa saMprakASitA / tena hi Ananda tvam
