   Hastavālaprakaraṇavṛttiḥ (Hvpv)	HastavAla prakaraNa vRttiH (Hvpv)
   mañjuśrīye jñānasattvāya	maQjuSrIye jQAna sattvAya
   namaḥ trailokye vyavahāramātre sati paramarthābhimānāt	namaH trElokye vyavahAra mAtre sati param arTa aBimAnAt
   tattvārthānavagāhibhiḥ	tattva arTAn avagAhiBiH
   sattvairvastusvabhāvavivekadvāreṇāviparyayajñānasaṃprāptaye	sattvEH vastu svaBAva viveka dvAreNa aviparyaya jQAna saMprAptaye
   śāstraracaneyaṃ //	SAstra racanA iyam //
   rajjau sarpamanaskāro rajjuṃ dṛṣṭvā nirarthakaḥ /	rajjO sarpa manaskAraH rajjum dRzwvA nirarTakaH /
   tadaṃśān vīkṣya tatrāpi bhrāntā buddhirahāviva // Hvpv_1 (6) //	tad aMSAn vIkzya tatra api BrAntAH budDiH ahO= iva // Hvpu _1 (6) //
   sarvāṇyāśritavastūni svarupe suvicarite /	sarvANi ASrita vastUni svarupe su vicarite /
   āśritānyanyato yāvat saṃvṛtijñānagocaraḥ // Hvpv_2 (24) //	ASritAni anyatas yAvat saMvRti jQAna gocaraH // Hvpu _2 (24) //
   niraṃśānāmacintyatvadaṇtyo 'pyavastunā samaḥ /	niraMSAnAm acintya tva daNtyaH api avastunA samaH /
   bhrāntamatramataḥ prājñair na cintyaṃ paramārthataḥ // Hvpv_3 (45) //	BrAntam atram atas prAjQEH na cintyam paramArTataH // Hvpu _3 (45) //
   bhrāntaṃ tadapya samyaktvad yathā bhanaṃ tathāsti na /	BrAntam tat apya samyak tvat yaTA Banam taTA asti na /
   anarthakaṃ bhāsamānaṃ tatsadṛśātmakaṃ bhavet // Hvpv_4 //	anarTakam BAsamAnam tad sadRSa Atmakam Bavet // Hvpu _4 //
   sarvamevāśritaṃ yena vidyate sūksmabuddhinā /	sarvam eva ASritam yena vidyate sUksma budDinA /
   tyajet sa buddhiman suṣthurāgādyahibhayaṃ yathā // Hvpv_5 //	tyajet sa budDiman suzTu rAga Adi ahi Bayam yaTA // Hvpu _5 //
   laukikārthavicareṣu lokasiddhimanuvrajet /	lOkika arTa vicarezu loka sidDim anuvrajet /
   kleśan sarvasaṃ tyaktumana yateta paramārthataḥ // Hvpv_6 //	kleSan sarvasam tyaktu mana yateta paramArTataH // Hvpu _6 //
