   oṃ	om
   tatsadbrahmaṇe+namaḥ	tat-sat-brahmaNe+namaH
   māṇḍūkyopaniṣad	mANxUkya-upanizad-
   (MANDUKYA UPANISHAD)	(MANDUKYAH UPANi-ISHa-aD)
   śāntipāṭha	SAnti-pAWa
   oṃ bhadraṃ karṇebhiḥ śṛṇuyāma devā bhadraṃ paśyemākṣabhiryajatrāḥ /	om Badram karNeBiH SRNuyAma devAH Badram paSyema-akzaBiH-yajatrAH /
   sthirairaṅgaistuṣṭuvā sastanūbhirvyaśema devahitaṃ yadāyuḥ //	sTirEH-aFgEH-tuzwuvA saH-tanUBiH-vyaSema deva-hitam yat-AyuH //
   oṃ śāntiḥ !! śāntiḥ !! śāntiḥ !!!	om SAntiH !! SAntiH !! SAntiH !!!
   svasti na indro vṛddhaśravāḥ svasti naḥ pūṣā viśvavedāḥ /	svasti naH indraH vRdDaSravAH svasti naH pUzA viSva-vedAH /
   svasti nastārkṣyo ariṣṭanemiḥ svasti no bṛhaspatirdadhātu //	svasti naH-tArkzyaH arizwanemiH svasti naH bRhaspatiH-daDAtu //
   oṃ śāntiḥ !! śāntiḥ !! śāntiḥ!!!	om SAntiH !! SAntiH !! SAntiH!!!
   āgama prakaraṇa	Agama prakaraNa
   INVOCATION	INVOCATION
   prajñānāṃśupratānaiḥ sthiracaranikaravyāpibhir vyāpya lokān bhuktvā	prajQAna-aMSu-pratAnEH sTira-cara-nikara-vyApiBiH vyApya lokAn BuktvA
   bhogānsthaviṣṭhānpunarapi dhiṣaṇodbhāsitānkāmajanyān /	BogAn-sTa-vizWAn-punar-api DizaNA-udBAsitAn-kAma-janyAn /
   pītvā sarvān viśeṣān svapiti madhurabhuṅ māyayā bhojayanno	pItvA sarvAn viSezAn svapiti maDura-Buj mAyayA Bojayanno
   māyāsaṃkhyāturīyaṃ paramamṛtamajaṃ brahma yattannato 'smi //1//	mAyA-saMKyA-turIyam param-am-Rtam-ajam brahma yat-tat-nataH asmi //1//
   yo viśvātmā vidhijaviṣayān prāśya bhogān sthaviṣṭhān paścāc cānyān	yaH viSvAtmA viDi-ja-vizayAn prASya BogAn sTavizWAn paScAt ca-anyAn
   svamativibhavāñ jyotiṣā svena sūkṣmān /	sva-m-ati-viBavAn jyotizA svena sUkzmAn /
   sarvān etān punar api śanaiḥ svātmani sthāpayitvā hitvā	sarvAn etAn punar api SanEs sva-Atmani sTApayitvA hitvA
   sarvānviśeṣānvigataguṇagaṇaḥ pātvasau nasturīyaḥ //2//	sarvAn-viSezAn-vigata-guNa-gaNaH pAtu-asO naH-turIyaH //2//
        START MandUp 1	START MandUp 1
        omityetadakṣaramidaṃ sarvam /	om-iti-etat-akzaram-idam sarvam /
        tasyopavyākhyānaṃ vedāntārthasārasaṃgrahabhūtamidaṃ	tasya-upavyAKyAnam vedAnta-arTa-sAra-saMgraha-BUtam-idam
   prakaraṇacatṛṣṭayamomityetadakṣaramityādyārabhyate /	prakaraNa-catRzwayam-om-iti-etat-akzaram-iti-Adi-AraByate /
        ata eva na pṛthaksambandhābhidheyaprayojanāni vaktavyāni /	atas eva na pRTak-sambanDa-aBiDeya-prayojanAni vaktavyAni /
        yānyeva tu vedānte sambandhābhidheya prayojanāni tānyeveha	yAni-eva tu vedAnte sambanDa-aBiDeya prayojanAni tAni-eva-iha
   bhavitumarhanti /	Bavitum-arhanti /
        tathāpi prakaraṇavyācikhyāsunā saṃkṣepato vaktavyāni /	taTA-api prakaraNa-vyAci-Kya-asunA saMkzepataH vaktavyAni /
        tatra prayojanavat sādhanābhivyañjakatvenābhidheyasambaddhaṃ śāstraṃ	tatra prayojana-vat sADana-aBivyaQjaka-tvena-aBiDeya-sambadDam SAstram
   pāramparyeṇa viśiṣṭasaṃbandhābhidheyaprayojanavad bhavati /	pAramparyeNa viSizwa-saMbanDa-aBiDeya-prayojana-vat Bavati /
        kiṃ punas tat prayojanam ity ucyate rogārtasyaiva roganivṛttau	kim punar tat prayojanam iti ucyate roga-Artasya-eva roga-nivRttO
   svasthatā /	svasTa-tA /
        tathā duḥkhātmakasyātmano dvaitaprapañcopaśame svasthatā /	taTA duHKa-Atmakasya-AtmanaH dvEta-prapaQca-upaSame svasTa-tA /
        advaitabhāvaḥ prayojanam /	advEta-BAvaH prayojanam /
        dvaitaprapañcasyāvidyākṛtatvād vidyayā tad upaśamaḥ syād iti	dvEta-prapaQcasya-avidyA-kRta-tvAt vidyayA tat upaSamaH syAt iti
   brahmavidyāprakāśanāyāsya ārambhaḥ kriyate /	brahma-vidyA-prakASanAya-asya AramBaH kriyate /
        "yatra hi dvaitam iva bhavati"(bṛ.u 2 / 4 / 14) "yatra vānyad iva	"yatra hi dvEtam iva Bavati-"(bR.u 2 / 4 / 14) "yatra vA-anyat iva
   syāt tatrānyo 'nyat paśyed anyo 'nyad vijānīyāt"(bṛ.u 4 / 3 / 31) "yatra	syAt tatra-anyaH anyat paSyet anyaH anyat vijAnIyAt-"(bR.u 4 / 3 / 31) "yatra
   vāsya sarvam ātmaivābhūt tat kena kaṃ paśyet kena kaṃ vijānīyāt"(bṛ.u 2 /	vA-asya sarvam AtmA-eva-aBUt tat kena kam paSyet kena kam vijAnIyAt-"(-bR.u 2 /
   4 / 14) ity ādi śrutibhyo 'syārthasya siddhiḥ /	4 / 14) iti Adi SrutiByaH asya-arTasya sidDiH /
        tatra tāvad oṃkāranirṇayāya prathamaṃ prakaraṇam āgamapradhānām	tatra tAvat oMkAra-nirNayAya praTamam prakaraNam Agama-praDAnAm
   ātmatattvapratipatty upāyabhūtam /	Atma-tattva-pratipatti upAya-BUtam /
        yasya dvaitaprapañcasyopaśame 'dvaitapratipattī rajjvām iva	yasya dvEta-prapaQcasya-upaSame advEta-pratipattiH rajjvAm iva
   sarpādivikalpa upaśame rajjutattvapratipattis tasya dvaitasya hetuto	sarpa-Adi-vikalpaH upaSame rajju-tattva-pratipattiH tasya dvEtasya hetuto
   vaitathyapratipādanāya dvitīyaṃ prakaraṇam /	vEtaTya-pratipAdanAya dvitIyam prakaraNam /
        tathādvaitasyāpi vaitathyaprasaṅgaprāptau yuktitas tathātvadarśanāya	taTA-advEtasya-api vEtaTya-prasaFga-prAptO yuktitaH taTA-tva-darSanAya
   tṛtīyaṃ prakaraṇam /	tRtIyam prakaraNam /
        advaitasya tathātvapratipattipakṣabhūtāni yāni vādāntarāṇyavaidikāni	advEtasya taTAtva-pratipatti-pakza-BUtAni yAni vAda-antarANi-avEdikAni
   teṣām anyonyavirodhitvādatathārthatvena tadupapattibhir eva nirākaraṇāya	tezAm anyonya-viroDi-tvAt-a-taTArTa-tvena tad-upapattiBiH eva nirAkaraNAya
   caturthaṃ prakaraṇam /	caturTam prakaraNam /
        kathaṃ puna oṃkāranirṇaya ātmatattvapratipatty upāyatvaṃ pratipadyata	kaTam punaH oMkAra-nirNayaH Atma-tattva-pratipatti upAya-tvam pratipadyata
   ity ucyate"oṃ ity etat"(ka.u 1 / 2 / 15) "etad ālambanam"(ka.u.1 / 2 / 17)	iti ucyate"om iti etat-"(ka.u 1 / 2 / 15) "etat Alambanam"(ka.u.1 / 2 / 17)
   "etad vai satyakāma"(pra.u.5 / 2) "oṃ ity ātmānaṃ yuñjīta"(maitryu.6 / 3)	"etat vE satyakAma"(-pra.u.5 / 2) "om iti AtmAnam yuQjIta-"(-mEtryu.6 / 3)
   "oṃ iti brahma"(tai.u.1 / 8 / 1) "oṃkāra evedaṃ sarvam" (chā.u.2 / 23 / 3)	"om iti brahma-"(tE.u.1 / 8 / 1) "oMkAraH eva-idam sarvam" (CA.u.2 / 23 / 3)
   ity ādi śrutibhyaḥ /	iti Adi SrutiByaH /
        rajjur ādir iva sarpādivikalpasyāspado 'dvaya ātmā paramārthaḥ	rajjuH AdiH iva sarpa-Adi-vikalpasya-AspadaH advayaH AtmA parama-arTaH
   sanprāṇādivikalpasyāspado yathā tathā sarvo 'pi vākprapañcaḥ prāṇādy	san-prANa-Adi-vikalpasya-AspadaH yaTA taTA sarvaH api vAc-prapaQcaH prANa-Adi-
   ātmavikalpaviṣaya oṃkāra eva /	Atma-vikalpa-vizayaH oMkAraH eva /
        sa cātmasvarūpam eva tadabhidhāyakatvāt /	sa ca-Atma-svarUpam eva tad-aBiDAyaka-tvAt /
        oṃkāravikāraśabdābhidheyaś ca sarvaḥ prāṇādir ātmavikalpo	oMkAra-vikAra-Sabda-aBiDeyaH ca sarvaH prANa-AdiH Atma-vikalpaH-
   'bhidhānavyatirekeṇa nāsti /	aBiDAna-vyatirekeNa na-asti /
        "vācārambhaṇaṃ vikāro nāmadheyam"(chā.u.6 / 1 / 4) "tad asyedaṃ vācā	"vAca-AramBaNam vikAraH nAmaDeyam"(CA.u.6 / 1 / 4) "tat asya-idam vAcA
   tantyā nāmabhir dāmabhiḥ sarvaṃ sitam" "sarvaṃ hīdaṃ nāmāni"ity ādi	tantyA nAmaBiH dAmaBiH sarvam sitam" "sarvam hi-idam nAma-ani"iti Adi
   śrutibhyaḥ /	SrutiByaH /
        ata āha	atas Aha
        oṃ ity etad akṣaram idaṃ sarvaṃ tasyopavyākhyānaṃ bhūtaṃ bhavad	om iti etat akzaram idam sarvam tasya-upavyAKyAnam BUtam Bavat-
   bhaviṣyad iti sarvam oṃkāra eva |	Bavizyat iti sarvam oMkAraH eva |
        yac cānyat trikālātītaṃ tad apy oṃkāra eva || MandUp_1 ||	yat ca-anyat tri-kAla-atItam tat api oMkAraH eva || MandUp_1 ||
        MandUpC_1	Mandu-upC_1
        oṃ ity etad akṣaram idaṃ sarvam iti /	om iti etat akzaram idam sarvam iti /
        yad idam arthajātam abhidheyabhūtaṃ tasyābhidhānāvyatirekād	yat idam arTa-jAtam aBiDeya-BUtam tasya-aBiDAna-avyatirekAt-
   abhidhānasya ca oṃkārāvyatirekād oṃkāra evedaṃ sarvam /	aBiDAnasya ca oMkAra-avyatirekAt oMkAraH eva-idam sarvam /
        paraṃ ca brahmābhidhānābhidheya upāyapūrvakam eva gamyata ity oṃkāra	param ca brahma-aBiDAna-aBiDeyaH upAya-pUrvakam eva gamyate iti oMkAra
   eva /	eva /
        tasyaitasya parāpara brahmarūpasyākṣarasya oṃ ity etasyopavyākhyānam;	tasya-etasya parApara brahma-rUpasya-akzarasya om iti etasya-upavyAKyAnam;
   brahmapratipatty upāyatvād brahmasamīpatayā vispaṣṭaṃ prakathanam	brahma-pratipatti upAya-tvAt brahma-samIpa-tayA vispazwam prakaTanam
   upavyākhyānaṃ prastutaṃ veditavyam iti vākyaśeṣaḥ /	upavyAKyAnam prastutam veditavyam iti vAkya-SezaH /
        bhūtaṃ bhavadbhaviṣyad iti kālatrayaparicchedyaṃ yat tad apy oṃkāra	BUtam Bavat-Bavizyat iti kAla-traya-paricCedyam yat tat api oMkAra
   evoktanyāyataḥ /	eva-ukta-nyAyataH /
        yac cānyat trikālātītaṃ kāryādhigamyaṃ kālāparicchedyamavyākṛtādi tad	yat ca-anyat tri-kAla-atItam kArya-aDigamyam kAla-aparicCedyam-avyAkRta-Adi tat-
   apy oṃkāra eva //1//	api oMkAraH eva //1//
        START MandUp 2	START MandUp 2
        abhidhānābhidheyayor ekatve 'py abhidhānāprādhānyena nirdeśaḥ kṛtaḥ /	aBiDAna-aBiDeyayoH eka-tve api aBiDAna-aprADAnyena nirdeSaH kRtaH /
        oṃ ity etad akṣaram idaṃ sarvam ity ādy abhidhānaprādhānyena	om iti etat akzaram idam sarvam iti Adi aBiDAna-prADAnyena
   nirdiṣṭasya puno 'bhidheyaprādhānyena nirdeśo 'bhidhānābhidheyayor	nirdizwasya punaH aBiDeya-prADAnyena nirdeSaH aBiDAna-aBiDeyayoH-
   ekatvapratipatty arthaḥ /	eka-tva-pratipatti arTaH /
        itaro 'thā hy abhidhānatantrābhidheyapratipattir ity	itaraH aTA hi aBiDAna-tantra-aBiDeya-pratipattiH iti-
   abhidheyasyābhidhānatvaṃ gauṇām ity āśaṅkā syāt /	aBiDeyasya-aBiDAna-tvam gONAm iti ASaFkA syAt /
        ekatvapratipatteś ca prayojanam abhidhānābhidheyayor ekenaiva	eka-tva-pratipatteH ca prayojanam aBiDAna-aBiDeyayoH ekena-eva
   prayatnena yugapatpravilāparyastadvilakṣaṇaṃ brahma pratipadyeta iti /	prayatnena yugapad-pravilAparyaH-tad-vilakzaNam brahma pratipadyeta iti /
        tathā ca vakṣyati"pādā mātrā mātrāś ca pādāḥ" (mā.u.8) iti /	taTA ca vakzyati"pAdAH mAtrAH mAtrAH ca pAdAH" (mA.u.8) iti /
        tadāha	tat-Aha
        sarvaṃ hy etad brahmāyam ātmā brahma so 'yam ātmā catuṣpāt ||	sarvam hi etat brahmA-ayam AtmA brahma saH ayam AtmA catuzpAd ||
   MandUp_2 ||	MandUp_2 ||
        MandUpC_2	Mandu-upC_2
        sarvaṃ hy etad brahmeti /	sarvam hi etat brahma-iti /
        sarvaṃ yad uktam oṃkāramātram iti tadetad brahma /	sarvam yat uktam oMkAra-mAtram iti tat-etat brahma /
        tac ca brahma parokṣābhihitaṃ pratyakṣato viśeṣeṇa nirdiśatyayamātmā	tat ca brahma parokza-aBihitam pratyakzataH viSezeNa nirdiSati-ayam-AtmA
   brahmeti /	brahma-iti /
        ayam iti catuṣpātvena pravibhajyamānaṃ pratyagātmatayābhinayena	ayam iti catuzpAtvena praviBajyamAnam pratyagAtma-tayA-aBinayena
   nirdiśati ayam ātmeti /	nirdiSati ayam AtmA-iti /
        so 'yamātma oṃkārābhidheyaḥ parāparatvena vyavasthitaś	saH ayam-Atma oMkAra-aBiDeyaH parAparatvena vyavasTita-S
   catuṣpātkārṣāpaṇavan na gaur iveti /	catuzpAd-ka-Arza-ApaNa-vat na gOH iva-iti /
        trayāṇāṃ viśvādīnāṃ pūrvapūrvapravilāpanena turīyasya pratapattir iti	trayANAm viSva-AdInAm pUrva-pUrva-pravilApanena turIyasya pratapattiH iti
   karaṇasādhanaḥ pādaśabdaḥ /	karaNa-sADanaH pAda-SabdaH /
        turīyasya padyata iti karmasādhanaḥ pādaśabdaḥ //2//	turIyasya padyate iti karma-sADanaH pAda-SabdaH //2//
        START MandUp 3	START MandUp 3
        kathaṃ catuṣpātvam ity āha	kaTam catuzpAtvam iti Aha
        jāgaritasthāno bahiḥprajñaḥ saptāṅga ekonaviṃśatimukhaḥ sthūlabhug	jAgarita-sTAnaH bahis-prajQaH sapta-aFgaH ekonaviMSati-muKaH sTUla-Buj-
   vaiśvānaraḥ prathamaḥ pādaḥ || MandUp_3 ||	vESvAnaraH praTamaH pAdaH || MandUp_3 ||
        MandUpC_3	Mandu-upC_3
        jāgaritaṃ sthānam asyeti jāgaritasthānaḥ /	jAgaritam sTAnam asya-iti jAgarita-sTAnaH /
        bahiṣprajñaḥ svātmavyatirikte viṣaye prajñā sa bahiṣprajño bahir	bahizprajQaH sva-Atma-vyatirikte vizaye prajQA sa bahizprajQaH bahis-
   viṣaya eva prajñāvidyākṛtāv avabhāsata ity arthaḥ /	vizayaH eva prajQA-vidyA-kRtO avaBAsate iti arTaH /
        tathā saptāṅgānyasya"tasya ha vaitasyātmano vaiśvānarasya mūrdhaiva	taTA sapta-aFgAni-asya"tasya ha vA-etasya-AtmanaH vESvAnarasya mUrDA-eva
   sutejāś cakṣurviśvarūpaḥ prāṇaḥ pṛthagvartmātmā saṃdoho bahulo vastir eva	su-tejAH cakzuH-viSva-rUpaH prANaH pRTak-vartma-AtmA saMdohaH bahulaH vastiH eva
   rayiḥ pṛthivy eva pādau" (chā.u.5 / 18 / 2) ity	rayiH pRTivI eva pAdO" (CA.u.5 / 18 / 2) iti-
   agnihotrakalpanāśeṣatvenāhavanīyo 'gnir asya mukhatvenokta ity evaṃ	agnihotra-kalpanA-Seza-tvena-AhavanIyaH agniH asya muKa-tvena-uktaH iti evam
   saptāṅgāni yasya sa saptāṅgaḥ /	sapta-aFgAni yasya sa sapta-aFgaH /
